No,Namespace,Variable,Bramford Primary School - 139437,Thorns Primary School - 103787,St George and St Teresa Catholic Primary School - 104101,St George and St Teresa Catholic Primary School - 148088,Rushall Primary School - 104196,Field View Primary School - 141775,The Rowan School - 144374,The Old Park School - 103880,Holy Trinity Catholic Primary School - 104378,Dorridge Primary School - 104045,Greenfield Primary School - 104216,Milking Bank Primary School - 103834,Brierley Hill Primary School - 103776,Russells Hall Primary School - 103813,Christ Church CofE Primary School - 104220,Lodge Farm Primary School - 142765,St Giles Church of England Primary School - 104226,Goldsmith Primary Academy - 138591,Withymoor Primary School - 103809,Hurst Hill Primary School - 143537,St Francis Catholic Primary School - 104239,Barcroft Primary School - 135081,Manor Primary School - 141858,Castle School - 104269,Old Hall School - 104274,Phoenix Academy - 143382,Hob Green Primary School - 143196,Leamore Primary School - 104157,Woodsetton School - 103879,Sunshine Infant and Nursery School - 104145,Villiers Primary School - 145715,Roberts Primary School - 103821,Brockmoor Primary School - 103777,Rosedale Church of England C Infant School - 104225,Short Heath Junior School - 104188,Shustoke CofE Primary School - 125684,The King Alfred School - 148564,Rufford Primary School - 148685,Rufford Primary School - 103803,Castlefort Junior Mixed and Infant School - 104204,Blakenall Heath Junior School - 104144,St Mark's CofE Primary School - 103836,Arden - 136333,Thorns Collegiate Academy - 143818,Ormiston SWB Academy - 145008,Bow Street School - 142603,Willenhall E-ACT Academy - 137706,Beacon Hill Academy - 137705,Moseley Park - 138098,Ormiston Shelfield Community Academy - 135769,National state-funded primary,National state-funded secondary and 16 to 18,Description
1208,KS2_19,WRITPROG_FSM6CLA1A,2.9,-7.5,SUPP,,-2.8,-0.3,,SUPP,1.8,SUPP,3.4,-2.8,1.4,-0.3,-3.5,0.9,1.5,-1.2,-2.7,-4,2.7,2.6,2.8,-14.3,SUPP,SUPP,-2.1,0.5,SUPP,,-0.6,-0.6,-4.2,,-1.1,SUPP,,,-4.2,-3,-2.5,-3.8,,,,,,,,,-0.5,,Writing progress measure for disadvantaged pupils
1209,KS2_19,WRITPROG_FSM6CLA1A_LOWER,-0.2,-11.7,SUPP,,-6.2,-2.1,,SUPP,-0.9,SUPP,0.2,-7,-1.3,-2.6,-5.9,-1.3,-1,-3,-6.4,-6.6,-1,0.7,-0.2,-17.3,SUPP,SUPP,-4.8,-2.3,SUPP,,-2.5,-2.6,-6.6,,-3.6,SUPP,,,-7.4,-6.6,-4.3,-6.7,,,,,,,,,0,,Writing progress measure for disadvantaged pupils - lower confidence limit
1210,KS2_19,WRITPROG_FSM6CLA1A_UPPER,6,-3.2,SUPP,,0.5,1.5,,SUPP,4.4,SUPP,6.6,1.5,4.2,2,-1.1,3,4,0.7,1,-1.4,6.5,4.4,5.8,-11.3,SUPP,SUPP,0.6,3.3,SUPP,,1.2,1.3,-1.8,,1.4,SUPP,,,-1,0.5,-0.8,-0.9,,,,,,,,,0,,Writing progress measure for disadvantaged pupils - upper confidence limit
1211,KS2_19,WRITPROG_NOTFSM6CLA1A,-0.3,-4,SUPP,,1.3,0.7,,SUPP,-1.3,SUPP,-1.6,-2.1,-2.5,0.1,-2,2.1,1.6,1.7,0.3,-1.5,3.8,2.3,1.6,-16.6,SUPP,,0.2,0.8,SUPP,,1,-0.8,-1.3,,-2.1,SUPP,,,-0.1,-0.9,-1.8,-3.2,,,,,,,,,0.3,,Writing progress measure for non-disadvantaged pupils
1212,KS2_19,WRITPROG_NOTFSM6CLA1A_LOWER,-2,-6.9,SUPP,,-1,-2.1,,SUPP,-4.7,SUPP,-4.3,-3.7,-6,-1.9,-5.3,-0.8,-0.8,-1,-1.3,-3.7,1.3,0,-0.1,-20.8,SUPP,,-2.5,-2.2,SUPP,,-0.7,-2.3,-3.6,,-4,SUPP,,,-3,-3.5,-4.4,-5.8,,,,,,,,,0,,Writing progress measure for non-disadvantaged pupils - lower confidence limit
1213,KS2_19,WRITPROG_NOTFSM6CLA1A_UPPER,1.4,-1.1,SUPP,,3.7,3.5,,SUPP,2,SUPP,1.1,-0.6,1.1,2,1.4,4.9,4.1,4.4,1.9,0.7,6.4,4.7,3.2,-12.4,SUPP,,2.9,3.8,SUPP,,2.7,0.7,0.9,,-0.3,SUPP,,,2.7,1.6,0.9,-0.6,,,,,,,,,0,,Writing progress measure for non-disadvantaged pupils - upper confidence limit
1214,KS2_19,DIFFN_WRITPROG,2.6,-7.8,SUPP,,-3.1,-0.6,,SUPP,1.5,SUPP,3.1,-3.1,1.1,-0.6,-3.8,0.6,1.2,-1.5,-3,-4.3,2.4,2.3,2.5,-14.6,SUPP,SUPP,-2.4,0.2,SUPP,,-0.9,-0.9,-4.5,,-1.4,SUPP,,,-4.5,-3.3,-2.8,-4.1,,,,,,,,,0,,Difference between writing progress measure for disadvantaged pupils in school and other pupils nationally
1215,KS2_19,WRITPROG_EAL,NA,SUPP,NA,,SUPP,3,,SUPP,0.2,2.3,SUPP,-0.7,SUPP,3.1,NA,0.3,3.3,5.2,SUPP,SUPP,3.8,SUPP,SUPP,SUPP,-5,NA,SUPP,NA,SUPP,,0.6,NA,-1.9,,SUPP,NA,,,-0.6,SUPP,SUPP,-1.8,,,,,,,,,1.2,,Writing progress measure for EAL pupils
1216,KS2_19,WRITPROG_EAL_LOWER,NA,SUPP,NA,,SUPP,0.3,,SUPP,-3.3,-2,SUPP,-5.3,SUPP,0,NA,-3.2,-0.4,0.7,SUPP,SUPP,-0.8,SUPP,SUPP,SUPP,-9.5,NA,SUPP,NA,SUPP,,-2.5,NA,-4.9,,SUPP,NA,,,-3.4,SUPP,SUPP,-6.1,,,,,,,,,0,,Writing progress measure for EAL pupils - lower confidence limit
1217,KS2_19,WRITPROG_EAL_UPPER,NA,SUPP,NA,,SUPP,5.8,,SUPP,3.7,6.5,SUPP,3.8,SUPP,6.2,NA,3.8,7,9.8,SUPP,SUPP,8.4,SUPP,SUPP,SUPP,-0.4,NA,SUPP,NA,SUPP,,3.7,NA,1,,SUPP,NA,,,2.2,SUPP,SUPP,2.4,,,,,,,,,0,,Writing progress measure for EAL pupils - upper confidence limit
1218,KS2_19,WRITPROG_MOBN,0.3,-5.2,-0.6,,-0.1,-0.4,,-2.3,0.6,0.4,0.4,-2.2,-0.6,0.2,-3.3,2,1.6,-0.5,-0.2,-2.5,3.5,2.5,1.8,-12.7,-3.9,-1.9,-1.5,0.7,-3,,0.1,-0.8,-2.5,,-1.7,0.3,,,-2,-1.7,-2.7,-3.6,,,,,,,,,0.1,,Writing progress measure for non-mobile pupils
1219,KS2_19,WRITPROG_MOBN_LOWER,-1.1,-7.7,-2.4,,-2,-2,,-6.5,-1.5,-0.9,-1.7,-3.7,-2.9,-1.3,-5.3,0.2,-0.2,-2.1,-1.7,-4.2,1.4,1,0.4,-16.4,-7.2,-6.5,-3.5,-1.4,-5.7,,-1.1,-2,-4.2,,-3.2,-2.5,,,-4.1,-3.7,-4.2,-5.5,,,,,,,,,0,,Writing progress measure for non-mobile pupils - lower confidence limit
1220,KS2_19,WRITPROG_MOBN_UPPER,1.8,-2.7,1.2,,1.9,1.1,,1.9,2.7,1.6,2.6,-0.7,1.7,1.8,-1.3,3.8,3.3,1.1,1.3,-0.8,5.6,3.9,3.3,-9,-0.5,2.6,0.5,2.8,-0.3,,1.4,0.4,-0.7,,-0.2,3.1,,,0.2,0.4,-1.1,-1.6,,,,,,,,,0,,Writing progress measure for non-mobile pupils - upper confidence limit
1221,KS2_19,MATPROG_B,4.5,-6.5,-2,,2,-0.7,,SUPP,3.1,3.3,0.9,0.1,0.9,-1.7,0.4,2.7,3.3,-3.2,-3,-4.3,5.9,1.8,1.9,-14.4,-6.6,SUPP,-3.4,-0.5,-4.7,,1.5,-1.1,-2.7,,-0.2,SUPP,,,-7,2.9,-1.4,-1.6,,,,,,,,,0.7,,Maths progress measure for boys
1222,KS2_19,MATPROG_B_LOWER,2.7,-9.7,-4.3,,-1.2,-2.6,,SUPP,0.4,1.6,-2.1,-1.9,-2,-3.7,-1.8,0.8,0.8,-5.2,-4.9,-6.5,2.9,-0.4,0.2,-17.7,-10.6,SUPP,-5.9,-3.7,-7.6,,-0.2,-2.5,-4.9,,-2,SUPP,,,-10,0.8,-3.4,-3.8,,,,,,,,,0,,Maths progress measure for boys - lower confidence limit
1223,KS2_19,MATPROG_B_UPPER,6.3,-3.3,0.4,,5.2,1.2,,SUPP,5.8,4.9,3.8,2.1,3.9,0.3,2.6,4.7,5.8,-1.3,-1,-2,9,4,3.7,-11.1,-2.6,SUPP,-1,2.6,-1.9,,3.2,0.3,-0.6,,1.6,SUPP,,,-4.1,5.1,0.6,0.7,,,,,,,,,0,,Maths progress measure for boys - upper confidence limit
1224,KS2_19,MATPROG_G,2.1,-6.1,-3.8,,0.4,-2,,SUPP,1.9,-0.8,-3.3,-2.2,-0.9,-4,-0.2,-0.6,1.3,-7.3,-4.2,-5.2,2.6,0.6,0.9,-17.5,SUPP,SUPP,-1.7,-2.6,SUPP,,-2.4,-3.5,-5.5,,-1,1.3,,,-3.5,SUPP,-4.5,-5.9,,,,,,,,,-0.7,,Maths progress measure for girls
1225,KS2_19,MATPROG_G_LOWER,-0.1,-9,-6.1,,-1.9,-4.2,,SUPP,-0.9,-2.4,-6.1,-4.1,-3.7,-6.1,-3.6,-3.8,-0.9,-9.4,-6.2,-7.5,-0.1,-1.3,-1.3,-21,SUPP,SUPP,-4.7,-5,SUPP,,-4,-5.3,-7.8,,-3.2,-1.9,,,-6.3,SUPP,-6.5,-8.9,,,,,,,,,0,,Maths progress measure for girls - lower confidence limit
1226,KS2_19,MATPROG_G_UPPER,4.2,-3.2,-1.4,,2.8,0.2,,SUPP,4.8,0.8,-0.5,-0.3,2,-2,3.1,2.6,3.5,-5.1,-2.2,-3,5.2,2.6,3,-14,SUPP,SUPP,1.4,-0.2,SUPP,,-0.7,-1.8,-3.3,,1.2,4.4,,,-0.7,SUPP,-2.5,-2.8,,,,,,,,,0,,Maths progress measure for girls - upper confidence limit
1227,KS2_19,MATPROG_L,3,SUPP,NA,,SUPP,SUPP,,-1.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,-3,SUPP,SUPP,SUPP,2.8,SUPP,-16.1,-5,SUPP,SUPP,SUPP,-3.3,,SUPP,2.1,SUPP,,SUPP,NA,,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment
1228,KS2_19,MATPROG_L_LOWER,-1.3,SUPP,NA,,SUPP,SUPP,,-5.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-2.4,SUPP,-7.3,SUPP,SUPP,SUPP,-1.5,SUPP,-18.6,-8.1,SUPP,SUPP,SUPP,-5.9,,SUPP,-1.4,SUPP,,SUPP,NA,,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment - lower confidence limit
1229,KS2_19,MATPROG_L_UPPER,7.3,SUPP,NA,,SUPP,SUPP,,2.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,6.3,SUPP,1.3,SUPP,SUPP,SUPP,7.2,SUPP,-13.6,-2,SUPP,SUPP,SUPP,-0.6,,SUPP,5.6,SUPP,,SUPP,NA,,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment - upper confidence limit
1230,KS2_19,MATPROG_M,3.8,-7.1,-3.7,,2.9,-1.9,,NA,3.1,1.7,-1.8,-0.6,1.9,-4.9,0.3,1.9,1.6,-6.7,-3.8,-5.1,4,1,2.1,SUPP,NA,SUPP,-1.4,-2.1,SUPP,,-1.4,-2.9,-3.8,,-0.6,2.6,,,-6.2,2.5,-3.3,-1.8,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment
1231,KS2_19,MATPROG_M_LOWER,1.9,-10,-6.4,,0.5,-3.6,,NA,0.3,0,-4,-2.7,-1.4,-6.9,-1.6,0,-0.5,-8.5,-5.6,-7.1,1.6,-0.8,0.3,SUPP,NA,SUPP,-3.9,-4.4,SUPP,,-3,-4.3,-5.7,,-2.2,-1.1,,,-8.9,0,-5,-4.5,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment - lower confidence limit
1232,KS2_19,MATPROG_M_UPPER,5.7,-4.1,-1,,5.2,-0.1,,NA,5.8,3.5,0.3,1.5,5.2,-3,2.3,3.8,3.7,-4.9,-2.1,-3.1,6.3,2.8,3.9,SUPP,NA,SUPP,1.1,0.2,SUPP,,0.2,-1.4,-2,,1.1,6.4,,,-3.5,5.1,-1.7,0.8,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment - upper confidence limit
1233,KS2_19,MATPROG_H,3.2,-5.3,-2.3,,0.6,-0.9,,NA,1.5,0.4,SUPP,-0.7,-1.4,-2.6,SUPP,SUPP,3,-0.9,-2.3,-5.9,3.5,0.6,0.3,NA,NA,NA,-4.2,-2.3,NA,,1,-1.9,-3.9,,-1,1.9,,,-2.6,1,-3,-3.5,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment
1234,KS2_19,MATPROG_H_LOWER,0.9,-8.9,-4.5,,-3.1,-3.9,,NA,-1.5,-1.1,SUPP,-2.7,-4.4,-4.9,SUPP,SUPP,0.2,-4.1,-4.8,-8.6,-0.8,-2.3,-1.8,NA,NA,NA,-7.5,-6.6,NA,,-0.8,-3.9,-7.4,,-3.9,-1.8,,,-6.1,-2.5,-5.8,-6.4,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment - lower confidence limit
1235,KS2_19,MATPROG_H_UPPER,5.5,-1.8,-0.2,,4.3,2.2,,NA,4.6,2,SUPP,1.2,1.7,-0.3,SUPP,SUPP,5.9,2.3,0.3,-3.1,7.8,3.6,2.5,NA,NA,NA,-0.8,2,NA,,2.8,0.2,-0.4,,2,5.6,,,0.9,4.6,-0.2,-0.6,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment - upper confidence limit
1236,KS2_19,MATPROG_FSM6CLA1A,2,-7.5,SUPP,,-1.3,-2.1,,SUPP,3,SUPP,-1.3,-3,0.9,-2.8,-0.8,1.1,1.6,-7.8,-5.3,-6.3,4.7,1.1,1.9,-15.6,SUPP,SUPP,-2.5,-1.4,SUPP,,-1.9,-2.6,-5.3,,-0.6,SUPP,,,-7.7,2.3,-3.6,-2.8,,,,,,,,,-0.7,,Maths progress measure for disadvantaged pupils
1237,KS2_19,MATPROG_FSM6CLA1A_LOWER,-0.9,-11,SUPP,,-4.7,-3.8,,SUPP,0.5,SUPP,-4.5,-7,-1.6,-5,-3.1,-1,-0.8,-9.6,-8.8,-8.8,1.2,-0.8,-0.9,-18.5,SUPP,SUPP,-5.3,-4,SUPP,,-3.7,-4.5,-7.6,,-3,SUPP,,,-10.8,-1.1,-5.3,-5.6,,,,,,,,,0,,Maths progress measure for disadvantaged pupils - lower confidence limit
1238,KS2_19,MATPROG_FSM6CLA1A_UPPER,4.9,-4,SUPP,,2,-0.4,,SUPP,5.5,SUPP,1.9,1,3.5,-0.6,1.4,3.1,3.9,-6.1,-1.8,-3.8,8.3,3,4.7,-12.7,SUPP,SUPP,0.3,1.2,SUPP,,-0.1,-0.8,-3.1,,1.8,SUPP,,,-4.7,5.6,-1.9,-0.1,,,,,,,,,0,,Maths progress measure for disadvantaged pupils - upper confidence limit
1239,KS2_19,MATPROG_NOTFSM6CLA1A,3.9,-5.6,SUPP,,2.1,0.6,,SUPP,1.8,SUPP,-1.3,-0.9,-1.6,-2.9,2.2,3.2,2.8,0.8,-3.3,-3.7,3.7,1.2,1.4,-16.5,SUPP,,-3,-2.4,SUPP,,0.8,-1.7,-2.9,,-0.5,SUPP,,,-3.2,1.9,-1.6,-3.3,,,,,,,,,0.4,,Maths progress measure for non-disadvantaged pupils
1240,KS2_19,MATPROG_NOTFSM6CLA1A_LOWER,2.4,-8.3,SUPP,,-0.2,-2,,SUPP,-1.4,SUPP,-3.9,-2.3,-4.9,-4.7,-1,0.4,0.5,-1.8,-4.8,-5.7,1.3,-1.1,-0.1,-20.8,SUPP,,-5.5,-5.2,SUPP,,-0.8,-3.1,-5.1,,-2.2,SUPP,,,-5.9,-0.5,-4.1,-5.7,,,,,,,,,0,,Maths progress measure for non-disadvantaged pupils - lower confidence limit
1241,KS2_19,MATPROG_NOTFSM6CLA1A_UPPER,5.5,-2.8,SUPP,,4.4,3.3,,SUPP,5,SUPP,1.4,0.6,1.7,-1,5.4,6,5.1,3.3,-1.7,-1.6,6.1,3.5,3,-12.1,SUPP,,-0.4,0.5,SUPP,,2.4,-0.3,-0.7,,1.3,SUPP,,,-0.4,4.3,0.9,-0.9,,,,,,,,,0,,Maths progress measure for non-disadvantaged pupils - upper confidence limit
1242,KS2_19,DIFFN_MATPROG,1.6,-7.9,SUPP,,-1.7,-2.5,,SUPP,2.6,SUPP,-1.7,-3.4,0.5,-3.2,-1.2,0.7,1.2,-8.2,-5.7,-6.7,4.3,0.7,1.5,-16,SUPP,SUPP,-2.9,-1.8,SUPP,,-2.3,-3,-5.7,,-1,SUPP,,,-8.1,1.9,-4,-3.2,,,,,,,,,0,,Difference between maths progress measure for disadvantaged pupils in school and other pupils nationally
1243,KS2_19,MATPROG_EAL,NA,SUPP,NA,,SUPP,2.4,,SUPP,2.9,5.9,NA,0.5,SUPP,2,NA,4.9,4.6,5.4,SUPP,SUPP,5.8,SUPP,SUPP,SUPP,-5.2,NA,SUPP,NA,SUPP,,2.3,NA,-2,,SUPP,NA,,,-3.7,SUPP,SUPP,1.6,,,,,,,,,2.1,,Maths progress measure for EAL pupils
1244,KS2_19,MATPROG_EAL_LOWER,NA,SUPP,NA,,SUPP,-0.2,,SUPP,-0.5,1.9,NA,-3.8,SUPP,-0.9,NA,1.6,1.1,1.1,SUPP,SUPP,1.5,SUPP,SUPP,SUPP,-9.5,NA,SUPP,NA,SUPP,,-0.7,NA,-4.9,,SUPP,NA,,,-6.3,SUPP,SUPP,-2.4,,,,,,,,,0,,Maths progress measure for EAL pupils - lower confidence limit
1245,KS2_19,MATPROG_EAL_UPPER,NA,SUPP,NA,,SUPP,5,,SUPP,6.2,9.9,NA,4.8,SUPP,4.9,NA,8.3,8.1,9.8,SUPP,SUPP,10.1,SUPP,SUPP,SUPP,-0.9,NA,SUPP,NA,SUPP,,5.2,NA,0.8,,SUPP,NA,,,-1,SUPP,SUPP,5.6,,,,,,,,,0,,Maths progress measure for EAL pupils - upper confidence limit
1246,KS2_19,MATPROG_MOBN,3.3,-6.2,-2.8,,1,-1.6,,-1.6,2.5,1.1,-1.2,-1.1,-0.5,-2.4,0.1,1.8,2.2,-5.5,-3.6,-4.7,4.2,1.1,1.5,-13.5,-4.3,SUPP,-2.8,-2.2,-4.2,,-0.6,-2.1,-3.8,,-0.5,2.3,,,-5.2,2,-3.1,-3.1,,,,,,,,,0.1,,Maths progress measure for non-mobile pupils
1247,KS2_19,MATPROG_MOBN_LOWER,1.9,-8.5,-4.5,,-0.9,-3.1,,-5.6,0.6,0,-3.2,-2.5,-2.7,-3.8,-1.8,0.1,0.5,-7,-5,-6.3,2.2,-0.3,0.1,-17,-7.5,SUPP,-4.8,-4.2,-6.8,,-1.8,-3.2,-5.5,,-2,-0.4,,,-7.2,0.1,-4.6,-5,,,,,,,,,0,,Maths progress measure for non-mobile pupils - lower confidence limit
1248,KS2_19,MATPROG_MOBN_UPPER,4.7,-4,-1.1,,2.9,-0.1,,2.4,4.5,2.3,0.9,0.3,1.7,-0.9,2,3.5,3.8,-4,-2.1,-3.2,6.2,2.6,2.9,-9.9,-1.1,SUPP,-0.8,-0.2,-1.6,,0.6,-1,-2.2,,0.9,4.9,,,-3.2,4,-1.7,-1.2,,,,,,,,,0,,Maths progress measure for non-mobile pupils - upper confidence limit
1249,KS2_19,READ_AVERAGE_B,106,100,108,,105,96,,SUPP,105,105,100,103,102,97,100,100,105,97,99,96,105,101,109,,,102,100,103,,,103,98,98,,102,SUPP,,,99,106,99,98,,,,,,,,,103,,Average scaled score in reading for boys
1250,KS2_19,READ_AVERAGE_G,106,106,108,,107,102,,SUPP,108,108,103,105,105,101,103,99,104,98,101,102,107,103,110,,SUPP,SUPP,103,99,SUPP,,103,101,100,,106,107,,,105,SUPP,100,104,,,,,,,,,106,,Average scaled score in reading for girls
1251,KS2_19,READ_AVERAGE_L,98,SUPP,,,SUPP,SUPP,,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,91,SUPP,83,SUPP,SUPP,SUPP,92,SUPP,,,SUPP,90,SUPP,,,SUPP,90,SUPP,,SUPP,,,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,93,,Average scaled score in reading for pupils with low prior attainment
1252,KS2_19,READ_AVERAGE_M,105,100,105,,103,98,,,105,104,102,99,103,96,100,102,102,95,98,98,105,101,108,SUPP,,SUPP,99,100,SUPP,,100,97,98,,103,103,,,99,102,99,98,,,,,,,,,102,,Average scaled score in reading for pupils with medium prior attainment
1253,KS2_19,READ_AVERAGE_H,110,107,109,,115,105,,,111,110,SUPP,108,109,106,SUPP,SUPP,109,108,107,102,114,109,112,,,,107,111,,,110,106,109,,110,112,,,108,114,107,105,,,,,,,,,110,,Average scaled score in reading for pupils with high prior attainment
1254,KS2_19,READ_AVERAGE_FSM6CLA1A,102,98,SUPP,,100,98,,SUPP,106,SUPP,102,102,104,96,99,101,102,95,94,98,103,101,108,,SUPP,SUPP,99,102,SUPP,,102,97,96,,104,SUPP,,,99,106,99,97,,,,,,,,,102,,Average scaled score in reading for disadvantaged pupils
1255,KS2_19,READ_AVERAGE_NOTFSM6CLA1A,107,105,SUPP,,109,100,,SUPP,108,SUPP,102,104,103,101,104,98,106,101,101,100,107,104,110,,SUPP,,103,100,SUPP,,104,100,101,,104,SUPP,,,104,106,103,102,,,,,,,,,105,,Average scaled score in reading for non-disadvantaged pupils
1256,KS2_19,READ_AVERAGE_EAL,SUPP,SUPP,,,SUPP,101,,SUPP,105,105,SUPP,102,SUPP,100,,101,106,107,SUPP,SUPP,106,109,SUPP,SUPP,,,SUPP,,SUPP,,104,,96,,SUPP,,,,102,SUPP,SUPP,103,,,,,,,,,104,,Average scaled score in reading for EAL pupils
1257,KS2_19,READ_AVERAGE_MOBN,106,103,108,,106,99,,,106,107,102,104,103,99,100,100,104,96,100,99,106,102,110,,,99,101,100,,,103,99,99,,104,107,,,102,106,100,100,,,,,,,,,105,,Average scaled score in reading for MOBN pupils
1258,KS2_19,MAT_AVERAGE_B,108,98,107,,108,101,,SUPP,108,109,103,108,103,101,104,104,109,100,103,101,109,105,108,,,92,101,104,,,106,103,100,,104,SUPP,,,96,107,102,102,,,,,,,,,105,,Average scaled score in maths for boys
1259,KS2_19,MAT_AVERAGE_G,109,100,105,,108,102,,SUPP,108,106,101,105,105,102,105,101,105,98,101,101,106,104,106,,SUPP,SUPP,103,100,SUPP,,103,101,98,,104,108,,,101,SUPP,100,101,,,,,,,,,105,,Average scaled score in maths for girls
1260,KS2_19,MAT_AVERAGE_L,95,SUPP,,,SUPP,SUPP,,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,97,SUPP,91,SUPP,SUPP,SUPP,97,SUPP,,,SUPP,87,SUPP,,,SUPP,94,SUPP,,SUPP,,,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,94,,Average scaled score in maths for pupils with low prior attainment
1261,KS2_19,MAT_AVERAGE_M,107,96,102,,107,100,,,107,105,101,103,105,97,104,104,104,96,100,99,106,103,105,SUPP,,SUPP,102,101,SUPP,,101,100,98,,103,106,,,95,105,100,100,,,,,,,,,103,,Average scaled score in maths for pupils with medium prior attainment
1262,KS2_19,MAT_AVERAGE_H,114,105,109,,112,109,,,113,111,SUPP,110,109,108,SUPP,SUPP,113,110,108,104,113,111,111,,,,105,109,,,111,108,107,,108,112,,,108,111,107,107,,,,,,,,,110,,Average scaled score in maths for pupils with high prior attainment
1263,KS2_19,MAT_AVERAGE_FSM6CLA1A,102,95,SUPP,,105,101,,SUPP,107,SUPP,101,104,104,99,102,103,104,95,96,100,106,103,105,,SUPP,SUPP,100,101,SUPP,,103,100,96,,103,SUPP,,,96,106,100,98,,,,,,,,,103,,Average scaled score in maths for disadvantaged pupils
1264,KS2_19,MAT_AVERAGE_NOTFSM6CLA1A,110,102,SUPP,,109,104,,SUPP,109,SUPP,102,107,105,103,108,104,109,106,103,102,108,106,108,,SUPP,,103,102,SUPP,,106,103,102,,104,SUPP,,,101,106,104,104,,,,,,,,,106,,Average scaled score in maths for non-disadvantaged pupils
1265,KS2_19,MAT_AVERAGE_EAL,SUPP,SUPP,,,SUPP,105,,SUPP,109,110,SUPP,107,SUPP,106,,107,111,110,SUPP,SUPP,109,108,SUPP,SUPP,,,SUPP,,SUPP,,104,,100,,SUPP,,,,100,SUPP,SUPP,107,,,,,,,,,106,,Average scaled score in maths for EAL pupils
1266,KS2_19,MAT_AVERAGE_MOBN,108,100,106,,108,102,,,108,108,102,107,104,102,104,103,107,98,101,101,107,105,107,,,90,102,101,,,105,102,99,,104,109,,,99,106,102,102,,,,,,,,,105,,Average scaled score in maths for MOBN pupils
1267,KS2_19,GPS_AVERAGE_B,106,101,110,,109,102,,SUPP,110,108,104,108,101,100,104,104,107,99,103,100,108,106,108,,,99,102,103,,,105,102,101,,106,SUPP,,,100,110,100,102,,,,,,,,,105,,Average scaled score in GPS for boys
1268,KS2_19,GPS_AVERAGE_G,107,107,109,,114,104,,SUPP,114,110,106,107,110,105,109,103,109,101,104,102,111,108,110,,SUPP,SUPP,105,101,SUPP,,105,104,104,,107,110,,,104,SUPP,102,104,,,,,,,,,107,,Average scaled score in GPS for girls
1269,KS2_19,GPS_AVERAGE_L,97,SUPP,,,SUPP,SUPP,,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,92,SUPP,88,SUPP,SUPP,SUPP,97,SUPP,,,SUPP,90,SUPP,,,SUPP,93,SUPP,,SUPP,,,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,94,,Average scaled score in GPS for pupils with low prior attainment
1270,KS2_19,GPS_AVERAGE_M,105,100,107,,110,101,,,110,105,105,102,104,98,106,106,105,98,101,99,109,106,107,SUPP,,SUPP,101,101,SUPP,,102,100,101,,105,106,,,99,109,99,100,,,,,,,,,104,,Average scaled score in GPS for pupils with medium prior attainment
1271,KS2_19,GPS_AVERAGE_H,111,109,111,,118,111,,,119,113,SUPP,112,112,111,SUPP,SUPP,115,111,110,106,119,116,113,,,,109,108,,,113,110,114,,114,113,,,109,117,107,109,,,,,,,,,113,,Average scaled score in GPS for pupils with high prior attainment
1272,KS2_19,GPS_AVERAGE_FSM6CLA1A,102,100,SUPP,,108,101,,SUPP,110,SUPP,106,105,104,98,104,103,104,98,98,100,105,106,108,,SUPP,SUPP,100,102,SUPP,,105,102,100,,107,SUPP,,,99,108,99,99,,,,,,,,,104,,Average scaled score in GPS for disadvantaged pupils
1273,KS2_19,GPS_AVERAGE_NOTFSM6CLA1A,108,106,SUPP,,113,106,,SUPP,115,SUPP,105,108,108,105,109,104,112,104,105,102,112,109,109,,SUPP,,105,101,SUPP,,106,103,105,,106,SUPP,,,104,111,103,106,,,,,,,,,107,,Average scaled score in GPS for non-disadvantaged pupils
1274,KS2_19,GPS_AVERAGE_EAL,SUPP,SUPP,,,SUPP,107,,SUPP,116,109,SUPP,108,SUPP,106,,107,114,107,SUPP,SUPP,111,113,SUPP,SUPP,,,SUPP,,SUPP,,104,,104,,SUPP,,,,103,SUPP,SUPP,108,,,,,,,,,108,,Average scaled score in GPS for EAL pupils
1275,KS2_19,GPS_AVERAGE_MOBN,106,104,110,,112,103,,,112,109,105,107,106,103,105,104,108,99,103,101,110,107,109,,,96,103,101,,,106,103,103,,107,110,,,102,110,101,103,,,,,,,,,107,,Average scaled score in GPS for MOBN pupils
