No,Namespace,Variable,Coleshill Heath School - 104070,Park Hall Infant Academy - 136303,Eversfield Preparatory School - 104122,Turves Green Primary School - 144390,The Westminster School - 132233,Holy Cross Catholic Primary School - 140525,The Meadows Primary School - 103296,Our Lady of the Wayside Catholic Primary School - 104098,Our Lady of the Wayside Catholic Primary School - 148085,Oakham Primary School - 103950,Manor Way Primary Academy - 142355,"St Anne's Catholic Primary School, Streetly - 104241",Ruckleigh School - 104127,Coppice Junior School - 104041,Hollyfield Primary School - 131672,Water Orton Primary School - 125620,St John Fisher Catholic Primary School - 103452,St John Fisher Catholic Primary School - 148266,Blackwood School - 148364,Blackwood School - 104211,Cranmore Infant School - 104042,Tenterfields Primary Academy - 143195,Tividale Community Primary School - 133261,Manor Primary School - 104210,Park Hill Primary School - 103910,Mesty Croft Primary - 137972,Widney Junior School - 104054,Tudor Grange Primary Academy Yew Tree - 147364,Yew Tree Primary School - 104058,Dickens Heath Community Primary School - 133720,St Augustine's Catholic Primary School - 148087,St Augustine's Catholic Primary School - 104100,St Joseph's Catholic Primary School - 140528,Brickhouse Primary School - 103936,Springfield Primary School - 132140,Woodrush High School - 136924,Turves Green Boys' School - 103500,Turves Green Boys' School - 148521,Bishop Vesey's Grammar School - 137988,Alderbrook School - 136994,New Ways School - 145417,Fairfax - 136908,John Willmott School - 144721,John Willmott School - 103522,Joseph Leckie Academy - 137830,"Tudor Grange Academy, Solihull - 136310",St Peter's Catholic School - 148094,St Peter's Catholic School - 104119,Solihull College & University Centre - 130481,Halesowen College - 130476,National state-funded primary,National state-funded secondary and 16 to 18,Description
1086,KS2_19,CONFEXAM,,,,,,R,,,,,,,,,,,,,,,,R,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,Confirmation flag that core performance information has been checked: R=No confirmation received from schools WITH RESULTS; Blank = Confirmed (or schools have no KS2)
1087,KS2_19,TAB15,0,,,0,0,0,0,0,,0,0,0,,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,School published in secondary school (key stage 4) performance tables: 1=Yes; 0=No
1088,KS2_19,TAB1618,0,,,0,0,0,0,0,,0,0,0,,0,0,0,0,,,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,School published in school and college (key stage 5) performance tables: 1=Yes; 0=No
1089,KS2_19,TOTPUPS,516,,,389,198,210,611,458,,476,202,231,,213,417,322,207,,,703,,247,486,351,265,465,255,,272,447,,235,359,228,472,,,,,,,,,,,,,,,,4602440,,Total number of pupils (including part-time pupils): NEW' =New school with no eligible pupils
1090,KS2_19,TPUPYEAR,49,,,53,5,30,61,61,,60,30,30,,61,60,47,30,,,90,,30,62,48,31,61,66,,30,59,,31,31,30,60,,,,,,,,,,,,,,,,643616,,Number of pupils aged 11 
1091,KS2_19,TELIG,48,,,50,5,30,61,60,,60,30,30,,62,61,47,30,,,90,,30,61,48,31,61,65,,30,60,,31,31,30,60,,,,,,,,,,,,,,,,644967,,Published eligible pupil number
1092,KS2_19,BELIG,24,,,29,SUPP,13,37,30,,36,16,16,,29,29,13,16,,,39,,12,28,23,16,31,28,,12,25,,14,15,17,31,,,,,,,,,,,,,,,,329113,,Eligible boys on school roll at time of tests
1093,KS2_19,GELIG,24,,,21,SUPP,17,24,30,,24,14,14,,33,32,34,14,,,51,,18,33,25,15,30,37,,18,35,,17,16,13,29,,,,,,,,,,,,,,,,315849,,Eligible girls on school roll at time of tests
1094,KS2_19,PBELIG,50%,,,58%,SUPP,43%,61%,50%,,60%,53%,53%,,47%,48%,28%,53%,,,43%,,40%,46%,48%,52%,51%,43%,,40%,42%,,45%,48%,57%,52%,,,,,,,,,,,,,,,,51%,,Percentage of eligible boys on school roll at time of tests
1095,KS2_19,PGELIG,50%,,,42%,SUPP,57%,39%,50%,,40%,47%,47%,,53%,52%,72%,47%,,,57%,,60%,54%,52%,48%,49%,57%,,60%,58%,,55%,52%,43%,48%,,,,,,,,,,,,,,,,49%,,Percentage of eligible girls on school roll at time of tests
1096,KS2_19,TKS1AVERAGE,14.8,,,15.8,SUPP,15.6,15.4,17.5,,16.3,17.4,17.7,,17,17,16.8,17.7,,,17.6,,16,16.2,16.1,15.7,15.7,18.1,,16.6,16.7,,18.3,17.5,13.3,15.4,,,,,,,,,,,,,,,,16.2,,Cohort level key stage 1 average points score
1097,KS2_19,TKS1GROUP_L,8,,,3,SUPP,1,11,0,,5,1,1,,1,1,2,0,,,2,,3,4,1,2,3,1,,0,5,,0,0,8,8,,,,,,,,,,,,,,,,53959,,Number of pupils in cohort with low KS1 attainment
1098,KS2_19,PTKS1GROUP_L,17%,,,6%,SUPP,3%,18%,0%,,8%,3%,3%,,2%,2%,4%,0%,,,2%,,10%,7%,2%,6%,5%,2%,,0%,8%,,0%,0%,27%,13%,,,,,,,,,,,,,,,,9%,,Percentage of pupils in cohort with low KS1 attainment
1099,KS2_19,TKS1GROUP_M,31,,,36,SUPP,26,31,34,,35,16,13,,32,35,27,18,,,49,,17,34,33,23,46,26,,19,25,,12,18,18,36,,,,,,,,,,,,,,,,350287,,Number of pupils in cohort with medium KS1 attainment
1100,KS2_19,PTKS1GROUP_M,66%,,,73%,SUPP,87%,52%,58%,,58%,53%,43%,,55%,58%,57%,60%,,,55%,,57%,60%,69%,74%,75%,44%,,68%,42%,,43%,58%,60%,60%,,,,,,,,,,,,,,,,57%,,Percentage of pupils in cohort with medium KS1 attainment
1101,KS2_19,TKS1GROUP_H,8,,,10,SUPP,3,18,25,,20,13,16,,25,24,18,12,,,38,,10,19,14,6,12,32,,9,29,,16,13,4,16,,,,,,,,,,,,,,,,209272,,Number of pupils in cohort high KS1 attainment
1102,KS2_19,PTKS1GROUP_H,17%,,,20%,SUPP,10%,30%,42%,,33%,43%,53%,,43%,40%,38%,40%,,,43%,,33%,33%,29%,19%,20%,54%,,32%,49%,,57%,42%,13%,27%,,,,,,,,,,,,,,,,34%,,Percentage of pupils in cohort with high KS1 attainment
1103,KS2_19,TKS1GROUP_NA,1,,,1,SUPP,0,1,1,,0,0,0,,4,1,0,0,,,1,,0,4,0,0,0,6,,2,1,,3,0,0,0,,,,,,,,,,,,,,,,31449,,No. of pupils in KS1 group not calculable
1104,KS2_19,PTKS1GROUP_NA,2%,,,2%,SUPP,0%,2%,2%,,0%,0%,0%,,6%,2%,0%,0%,,,1%,,0%,7%,0%,0%,0%,9%,,7%,2%,,10%,0%,0%,0%,,,,,,,,,,,,,,,,5%,,Percentage of pupils in KS1group not calculable
1105,KS2_19,TFSM6CLA1A,33,,,27,SUPP,4,28,16,,14,5,0,,9,21,10,5,,,8,,6,16,1,8,24,13,,14,7,,8,5,15,24,,,,,,,,,,,,,,,,197488,,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
1106,KS2_19,PTFSM6CLA1A,69%,,,54%,SUPP,13%,46%,27%,,23%,17%,0%,,15%,34%,21%,17%,,,9%,,20%,26%,2%,26%,39%,20%,,47%,12%,,26%,16%,50%,40%,,,,,,,,,,,,,,,,31%,,Percentage of key stage 2 disadvantaged pupils
1107,KS2_19,TNOTFSM6CLA1A,15,,,23,SUPP,26,33,44,,46,25,30,,53,40,37,25,,,82,,24,45,47,23,37,52,,16,53,,23,26,15,36,,,,,,,,,,,,,,,,447479,,Number of key stage 2 pupils who are not disadvantaged
1108,KS2_19,PTNOTFSM6CLA1A,31%,,,46%,SUPP,87%,54%,73%,,77%,83%,100%,,85%,66%,79%,83%,,,91%,,80%,74%,98%,74%,61%,80%,,53%,88%,,74%,84%,50%,60%,,,,,,,,,,,,,,,,69%,,Percentage of key stage 2 pupils who are not disadvantaged
1109,KS2_19,TEALGRP2,1,,,3,SUPP,0,1,2,,4,2,0,,18,3,0,0,,,11,,2,28,4,1,11,10,,12,15,,7,2,1,5,,,,,,,,,,,,,,,,135559,,Number of eligible pupils with English as additional language (EAL)
1110,KS2_19,PTEALGRP2,2%,,,6%,SUPP,0%,2%,3%,,7%,7%,0%,,29%,5%,0%,0%,,,12%,,7%,46%,8%,3%,18%,15%,,40%,25%,,23%,6%,3%,8%,,,,,,,,,,,,,,,,21%,,Percentage of eligible pupils with English as additional language (EAL)
1111,KS2_19,TMOBN,44,,,47,SUPP,30,55,60,,60,28,29,,56,56,45,30,,,85,,29,61,48,30,60,61,,27,55,,30,29,30,57,,,,,,,,,,,,,,,,595736,,Number of eligible pupils classified as non-mobile
1112,KS2_19,PTMOBN,92%,,,94%,SUPP,100%,90%,100%,,100%,93%,97%,,90%,92%,96%,100%,,,94%,,97%,100%,100%,97%,98%,94%,,90%,92%,,97%,94%,100%,95%,,,,,,,,,,,,,,,,92%,,Percentage of eligible pupils classified as non-mobile
1113,KS2_19,PTRWM_EXP,67%,,,50%,SUPP,70%,44%,72%,,73%,67%,90%,,66%,67%,77%,83%,,,74%,,57%,67%,75%,71%,39%,78%,,83%,72%,,84%,71%,43%,53%,,,,,,,,,,,,,,,,65%,,"Percentage of pupils reaching the expected standard in reading, writing and maths"
1114,KS2_19,PTRWM_HIGH,8%,,,2%,SUPP,13%,5%,20%,,12%,7%,23%,,16%,8%,9%,17%,,,19%,,10%,13%,19%,10%,5%,26%,,10%,17%,,23%,29%,3%,7%,,,,,,,,,,,,,,,,11%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
1115,KS2_19,READPROG,1.1,,,-1.8,SUPP,2.7,-5.2,-0.2,,0.5,-3,6.3,,0,-1.9,0.5,1.9,,,-0.2,,-0.9,0.8,2.3,1.8,-2.5,0,,2,1.2,,0.2,1.1,-0.9,-0.4,,,,,,,,,,,,,,,,,,Reading progress measure
1116,KS2_19,READPROG_LOWER,-0.6,,,-3.5,SUPP,0.5,-6.7,-1.8,,-1.1,-5.2,4.1,,-1.6,-3.5,-1.3,-0.3,,,-1.5,,-3.1,-0.8,0.6,-0.3,-4.1,-1.6,,-0.3,-0.4,,-2.1,-1.1,-3.1,-2,,,,,,,,,,,,,,,,,,Reading progress measure - lower confidence limit
1117,KS2_19,READPROG_UPPER,2.9,,,-0.1,SUPP,4.9,-3.6,1.3,,2,-0.8,8.5,,1.6,-0.4,2.3,4.1,,,1.1,,1.3,2.4,4.1,4,-1,1.6,,4.3,2.7,,2.5,3.2,1.3,1.2,,,,,,,,,,,,,,,,,,Reading progress measure - upper confidence limit
1118,KS2_19,READCOV,98%,,,98%,SUPP,100%,98%,98%,,100%,100%,100%,,92%,97%,94%,100%,,,99%,,100%,93%,100%,100%,100%,91%,,93%,98%,,90%,100%,100%,100%,,,,,,,,,,,,,,,,,,Reading progress measure - coverage
1119,KS2_19,WRITPROG,1.6,,,-1.3,SUPP,3.1,-2.6,-0.2,,1.3,-0.5,-0.4,,-0.4,-0.1,1.2,-1,,,0.1,,-0.2,0,4.8,-2.1,-3.2,0,,1.6,0.9,,-0.3,1.9,2.3,0.7,,,,,,,,,,,,,,,,,,Writing progress measure
1120,KS2_19,WRITPROG_LOWER,0,,,-2.9,SUPP,1.1,-4.1,-1.6,,-0.1,-2.6,-2.4,,-1.9,-1.5,-0.4,-3,,,-1.1,,-2.3,-1.4,3.2,-4.1,-4.6,-1.4,,-0.5,-0.5,,-2.4,-0.1,0.3,-0.7,,,,,,,,,,,,,,,,,,Writing progress measure - lower confidence limit
1121,KS2_19,WRITPROG_UPPER,3.2,,,0.3,SUPP,5.2,-1.2,1.3,,2.8,1.5,1.7,,1.1,1.4,2.9,1,,,1.2,,1.8,1.5,6.4,-0.1,-1.8,1.5,,3.7,2.4,,1.8,3.9,4.4,2.2,,,,,,,,,,,,,,,,,,Writing progress measure - upper confidence limit
1122,KS2_19,WRITCOV,98%,,,98%,SUPP,100%,98%,98%,,100%,100%,100%,,92%,98%,100%,100%,,,99%,,100%,93%,100%,100%,100%,91%,,93%,98%,,90%,100%,100%,100%,,,,,,,,,,,,,,,,,,Writing progress measure - coverage
1123,KS2_19,MATPROG,2.5,,,-1.8,SUPP,1.8,-3.2,0.5,,4.3,-3.4,5,,-0.1,-0.5,-0.7,-0.4,,,0,,-3.2,1.1,3.2,0.3,-1.6,0.1,,-0.7,3,,-0.1,2.7,-1.3,-2.1,,,,,,,,,,,,,,,,,,Maths progress measure
1124,KS2_19,MATPROG_LOWER,1,,,-3.3,SUPP,-0.1,-4.6,-0.8,,3,-5.3,3.1,,-1.5,-1.9,-2.3,-2.3,,,-1.1,,-5.1,-0.2,1.7,-1.6,-2.9,-1.2,,-2.7,1.7,,-2,0.8,-3.3,-3.5,,,,,,,,,,,,,,,,,,Maths progress measure - lower confidence limit
1125,KS2_19,MATPROG_UPPER,4.1,,,-0.3,SUPP,3.7,-1.9,1.9,,5.7,-1.5,7,,1.3,0.9,0.9,1.6,,,1.1,,-1.3,2.5,4.8,2.2,-0.2,1.5,,1.3,4.4,,1.9,4.6,0.6,-0.8,,,,,,,,,,,,,,,,,,Maths progress measure - upper confidence limit
1126,KS2_19,MATCOV,98%,,,98%,SUPP,100%,98%,98%,,100%,100%,100%,,92%,97%,94%,100%,,,99%,,100%,93%,100%,100%,100%,91%,,93%,98%,,90%,100%,100%,100%,,,,,,,,,,,,,,,,,,Maths progress measure - coverage
1127,KS2_19,PTREAD_EXP,73%,,,66%,SUPP,80%,57%,83%,,75%,70%,100%,,71%,72%,83%,93%,,,82%,,70%,79%,81%,81%,52%,83%,,97%,82%,,90%,77%,47%,63%,,,,,,,,,,,,,,,,73%,,Percentage of pupils reaching the expected standard in reading
1128,KS2_19,PTREAD_HIGH,17%,,,12%,SUPP,30%,15%,35%,,22%,33%,70%,,34%,23%,26%,50%,,,31%,,27%,31%,33%,19%,11%,45%,,33%,38%,,32%,39%,7%,23%,,,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in reading
1129,KS2_19,PTREAD_AT,0%,,,0%,SUPP,0%,0%,0%,,0%,0%,0%,,3%,2%,6%,0%,,,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in reading
1130,KS2_19,READ_AVERAGE,103,,,102,SUPP,106,103,106,,105,103,113,,105,104,106,109,,,106,,103,105,106,105,100,107,,107,106,,107,107,100,103,,,,,,,,,,,,,,,,104,,Average scaled score in reading
1131,KS2_19,PTGPS_EXP,79%,,,74%,SUPP,93%,72%,95%,,85%,67%,100%,,81%,85%,81%,93%,,,86%,,67%,87%,100%,81%,80%,91%,,93%,87%,,94%,97%,50%,68%,,,,,,,,,,,,,,,,78%,,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
1132,KS2_19,PTGPS_HIGH,35%,,,20%,SUPP,37%,26%,57%,,42%,17%,93%,,53%,49%,43%,37%,,,37%,,13%,51%,48%,32%,26%,63%,,23%,53%,,45%,58%,20%,20%,,,,,,,,,,,,,,,,36%,,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
1133,KS2_19,PTGPS_AT,0%,,,0%,SUPP,0%,0%,0%,,0%,0%,0%,,3%,2%,6%,0%,,,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,,0%,,"Percentage of pupils absent from or not able to access the test in grammar, punctuation and spelling"
1134,KS2_19,GPS_AVERAGE,106,,,104,SUPP,108,107,111,,107,102,116,,110,108,107,108,,,107,,101,109,109,106,104,111,,106,109,,109,111,103,104,,,,,,,,,,,,,,,,106,,"Average scaled score in grammar, punctuation and spelling"
1135,KS2_19,PTMAT_EXP,79%,,,68%,SUPP,87%,64%,87%,,88%,77%,100%,,79%,80%,83%,90%,,,89%,,57%,82%,98%,74%,69%,89%,,93%,87%,,90%,100%,63%,67%,,,,,,,,,,,,,,,,79%,,Percentage of pupils reaching the expected standard in maths
1136,KS2_19,PTMAT_HIGH,29%,,,12%,SUPP,23%,10%,43%,,58%,13%,67%,,31%,25%,19%,33%,,,40%,,23%,33%,29%,29%,16%,49%,,17%,57%,,35%,58%,7%,15%,,,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in maths
1137,KS2_19,PTMAT_AT,0%,,,0%,SUPP,0%,0%,0%,,0%,0%,0%,,3%,2%,6%,0%,,,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in maths
1138,KS2_19,MAT_AVERAGE,105,,,102,SUPP,105,101,107,,109,103,112,,105,106,106,107,,,107,,101,107,108,104,102,108,,105,108,,108,109,101,102,,,,,,,,,,,,,,,,105,,Average scaled score in maths
1139,KS2_19,PTWRITTA_EXP,77%,,,74%,SUPP,90%,77%,87%,,90%,83%,90%,,76%,82%,85%,90%,,,86%,,77%,82%,96%,74%,61%,92%,,87%,87%,,87%,94%,67%,73%,,,,,,,,,,,,,,,,78%,,Percentage of pupils reaching the expected standard in writing
1140,KS2_19,PTWRITTA_HIGH,15%,,,4%,SUPP,27%,8%,25%,,18%,27%,23%,,21%,28%,34%,20%,,,31%,,13%,16%,44%,10%,15%,31%,,33%,23%,,32%,42%,10%,23%,,,,,,,,,,,,,,,,20%,,Percentage of pupils working at greater depth within the expected standard in writing
1141,KS2_19,PTWRITTA_WTS,21%,,,26%,SUPP,10%,5%,13%,,10%,17%,10%,,16%,16%,11%,10%,,,13%,,23%,13%,4%,13%,26%,8%,,13%,13%,,13%,6%,23%,20%,,,,,,,,,,,,,,,,17%,,Percentage of pupils working towards the expected standard in writing
1142,KS2_19,PTWRITTA_AD,0%,,,0%,SUPP,0%,0%,0%,,0%,0%,0%,,3%,0%,0%,0%,,,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,,0%,,Percentage of pupils absent or disapplied in writing TA
1143,KS2_19,PTSCITA_EXP,83%,,,84%,SUPP,93%,85%,100%,,93%,87%,97%,,82%,85%,85%,93%,,,92%,,87%,80%,100%,77%,89%,95%,,83%,93%,,87%,90%,73%,72%,,,,,,,,,,,,,,,,83%,,Percentage of pupils reaching the expected standard in science TA
1144,KS2_19,PTSCITA_AD,0%,,,0%,SUPP,0%,0%,0%,,0%,0%,0%,,3%,0%,0%,0%,,,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,,0%,,Percentage of pupils absent or disapplied in science TA
1145,KS2_19,PTRWM_EXP_B,67%,,,48%,SUPP,62%,54%,63%,,78%,56%,81%,,72%,52%,62%,81%,,,64%,,50%,61%,61%,81%,32%,79%,,67%,64%,,93%,60%,35%,48%,,,,,,,,,,,,,,,,60%,,"Percentage of boys reaching the expected standard in reading, writing and maths"
1146,KS2_19,PTRWM_EXP_G,67%,,,52%,SUPP,76%,29%,80%,,67%,79%,100%,,61%,81%,82%,86%,,,82%,,61%,73%,88%,60%,47%,78%,,94%,77%,,76%,81%,54%,59%,,,,,,,,,,,,,,,,70%,,"Percentage of girls reaching the expected standard in reading, writing and maths"
1147,KS2_19,PTRWM_EXP_L,0%,,,SUPP,SUPP,SUPP,0%,,,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,,,,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,,SUPP,,,,0%,0%,,,,,,,,,,,,,,,,7%,,"Percentage of pupils with low prior attainment reaching the expected standard in reading, writing and maths"
1148,KS2_19,PTRWM_EXP_M,74%,,,42%,,69%,39%,53%,,69%,50%,85%,,50%,49%,74%,72%,,,59%,,41%,56%,67%,70%,28%,65%,,74%,60%,,67%,50%,50%,47%,,,,,,,,,,,,,,,,58%,,"Percentage of pupils with medium prior attainment reaching the expected standard in reading, writing and maths"
1149,KS2_19,PTRWM_EXP_H,100%,,,90%,,SUPP,78%,100%,,100%,92%,100%,,100%,96%,89%,100%,,,100%,,100%,100%,100%,100%,92%,94%,,100%,93%,,100%,100%,SUPP,94%,,,,,,,,,,,,,,,,95%,,"Percentage of pupils with high prior attainment reaching the expected standard in reading, writing and maths"
1150,KS2_19,PTRWM_EXP_FSM6CLA1A,64%,,,41%,SUPP,SUPP,36%,50%,,50%,SUPP,,,44%,52%,50%,SUPP,,,75%,,50%,56%,SUPP,50%,29%,69%,,71%,57%,,63%,SUPP,33%,33%,,,,,,,,,,,,,,,,51%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths"
1151,KS2_19,PTRWM_EXP_NOTFSM6CLA1A,73%,,,61%,SUPP,SUPP,52%,80%,,80%,SUPP,SUPP,,70%,75%,84%,SUPP,,,74%,,58%,71%,SUPP,78%,46%,81%,,94%,74%,,91%,SUPP,53%,67%,,,,,,,,,,,,,,,,71%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths"
1152,KS2_19,DIFFN_RWM_EXP,-7,,,-30,SUPP,SUPP,-35,-21,,-21,SUPP,,,-27,-19,-21,SUPP,,,4,,-21,-15,SUPP,-21,-42,-2,,0,-14,,-8,SUPP,-38,-38,,,,,,,,,,,,,,,,0,,"Difference between school percentage of disavantaged pupils and national percentage of other pupils reaching the expected standard in reading, writing and maths "
1153,KS2_19,PTRWM_EXP_EAL,SUPP,,,SUPP,SUPP,,SUPP,SUPP,,SUPP,SUPP,,,67%,SUPP,,,,,82%,,SUPP,75%,SUPP,SUPP,73%,70%,,92%,80%,,71%,SUPP,SUPP,SUPP,,,,,,,,,,,,,,,,64%,,"Percentage of EAL pupils reaching the expected standard in reading, writing and maths"
1154,KS2_19,PTRWM_EXP_MOBN,66%,,,49%,SUPP,70%,44%,72%,,73%,64%,90%,,70%,68%,80%,83%,,,75%,,59%,67%,75%,70%,40%,79%,,81%,71%,,87%,72%,43%,51%,,,,,,,,,,,,,,,,66%,,"Percentage of non-mobile pupils reaching the expected standard in reading, writing and maths"
1155,KS2_19,PTRWM_HIGH_B,8%,,,0%,SUPP,0%,5%,17%,,6%,13%,25%,,17%,0%,15%,25%,,,15%,,0%,11%,13%,13%,3%,18%,,8%,16%,,21%,27%,0%,10%,,,,,,,,,,,,,,,,9%,,Percentage of boys achieving a high score in reading and maths and working at greater depth in writing
1156,KS2_19,PTRWM_HIGH_G,8%,,,5%,SUPP,24%,4%,23%,,21%,0%,21%,,15%,16%,6%,7%,,,22%,,17%,15%,24%,7%,7%,32%,,11%,17%,,24%,31%,8%,3%,,,,,,,,,,,,,,,,13%,,"Percentage of girls reaching the HIGHected standard in reading, writing and maths"
1157,KS2_19,PTRWM_HIGH_L,0%,,,SUPP,SUPP,SUPP,0%,,,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,,,,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,,SUPP,,,,0%,0%,,,,,,,,,,,,,,,,0%,,Percentage of pupils with low prior attainment achieving a high score in reading and maths and working at greater depth in writing
1158,KS2_19,PTRWM_HIGH_M,3%,,,0%,,4%,0%,0%,,0%,6%,8%,,0%,0%,4%,0%,,,2%,,0%,0%,3%,0%,0%,12%,,5%,0%,,0%,6%,0%,0%,,,,,,,,,,,,,,,,2%,,Percentage of pupils with medium prior attainment achieving a high score in reading and maths and working at greater depth in writing
1159,KS2_19,PTRWM_HIGH_H,38%,,,10%,,SUPP,17%,48%,,35%,8%,38%,,40%,21%,17%,42%,,,42%,,30%,42%,57%,50%,25%,38%,,22%,34%,,44%,62%,SUPP,25%,,,,,,,,,,,,,,,,29%,,Percentage of pupils with high prior attainment achieving a high score in reading and maths and working at greater depth in writing
1160,KS2_19,PTRWM_HIGH_FSM6CLA1A,3%,,,0%,SUPP,SUPP,0%,6%,,7%,SUPP,,,0%,0%,10%,SUPP,,,0%,,0%,6%,SUPP,13%,4%,15%,,14%,0%,,13%,SUPP,0%,8%,,,,,,,,,,,,,,,,5%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
1161,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A,20%,,,4%,SUPP,SUPP,9%,25%,,13%,SUPP,SUPP,,19%,13%,8%,SUPP,,,21%,,13%,16%,SUPP,9%,5%,29%,,6%,19%,,26%,SUPP,7%,6%,,,,,,,,,,,,,,,,13%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
1162,KS2_19,DIFFN_RWM_HIGH,-10,,,-13,SUPP,SUPP,-13,-7,,-6,SUPP,,,-13,-13,-3,SUPP,,,-13,,-13,-7,SUPP,0,-9,2,,1,-13,,0,SUPP,-13,-5,,,,,,,,,,,,,,,,0,,"Difference between school percentage of disavantaged pupils and national percentage of other pupils achieving a high score in reading, writing and maths "
1163,KS2_19,PTRWM_HIGH_EAL,SUPP,,,SUPP,SUPP,,SUPP,SUPP,,SUPP,SUPP,,,17%,SUPP,,,,,18%,,SUPP,14%,SUPP,SUPP,9%,40%,,8%,20%,,14%,SUPP,SUPP,SUPP,,,,,,,,,,,,,,,,11%,,Percentage of EAL pupils achieving a high score in reading and maths and working at greater depth in writing
1164,KS2_19,PTRWM_HIGH_MOBN,9%,,,2%,SUPP,13%,5%,20%,,12%,7%,21%,,18%,9%,9%,17%,,,19%,,10%,13%,19%,10%,5%,26%,,11%,18%,,23%,31%,3%,7%,,,,,,,,,,,,,,,,11%,,Percentage of non-mobile pupils achieving a high score in reading and maths and working at greater depth in writing
1165,KS2_19,READPROG_B,0.7,,,-3.3,SUPP,0.6,-5.5,-1.1,,0,-3,6.6,,0,-4.3,2.5,1.5,,,-0.5,,-0.7,-1.4,1.7,4.2,-4.1,0.2,,4.6,1.6,,0.5,-0.6,-1.4,-0.5,,,,,,,,,,,,,,,,-0.5,,Reading progress measure for boys
1166,KS2_19,READPROG_B_LOWER,-1.8,,,-5.5,SUPP,-2.8,-7.5,-3.3,,-2.1,-6,3.6,,-2.3,-6.6,-1.3,-1.5,,,-2.5,,-4.2,-3.8,-0.9,1.2,-6.3,-2.2,,1.1,-0.8,,-3,-3.7,-4.3,-2.7,,,,,,,,,,,,,,,,0,,Reading progress measure for boys - lower confidence limit
1167,KS2_19,READPROG_B_UPPER,3.3,,,-1,SUPP,3.9,-3.5,1.2,,2,0,9.6,,2.3,-1.9,6.3,4.5,,,1.4,,2.8,1,4.2,7.2,-2,2.6,,8.1,4,,3.9,2.6,1.5,1.7,,,,,,,,,,,,,,,,0,,Reading progress measure for boys - upper confidence limit
1168,KS2_19,READPROG_G,1.5,,,0.3,SUPP,4.3,-4.6,0.6,,1.2,-2.9,6,,0,0,-0.1,2.3,,,0,,-1.1,2.7,3,-0.6,-0.9,-0.2,,0,0.8,,0,2.6,-0.2,-0.3,,,,,,,,,,,,,,,,0.6,,Reading progress measure for girls
1169,KS2_19,READPROG_G_LOWER,-1,,,-2.4,SUPP,1.4,-7.1,-1.6,,-1.2,-6.2,2.7,,-2.2,-2.1,-2.1,-0.9,,,-1.6,,-3.9,0.6,0.5,-3.8,-3.1,-2.3,,-3,-1.2,,-3,-0.5,-3.6,-2.5,,,,,,,,,,,,,,,,0,,Reading progress measure for girls - lower confidence limit
1170,KS2_19,READPROG_G_UPPER,4,,,3,SUPP,7.2,-2.1,2.8,,3.7,0.3,9.2,,2.2,2.2,2,5.6,,,1.7,,1.8,4.9,5.4,2.5,1.3,1.9,,3,2.9,,3,5.6,3.1,2,,,,,,,,,,,,,,,,0,,Reading progress measure for girls - upper confidence limit
1171,KS2_19,READPROG_L,-4,,,SUPP,SUPP,SUPP,-16.1,NA,,SUPP,SUPP,SUPP,,SUPP,SUPP,SUPP,NA,,,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,NA,SUPP,,NA,NA,-1.2,-4.4,,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment
