No,Namespace,Variable,St John's Church of England Primary School - 104228,Shenstone Lodge School - 104024,Shenstone Lodge School - 147347,Oakwood School - 104275,The Secret Garden - 148243,Peters Hill Primary School - 103791,Red Hall Primary School - 103784,Rivers Primary Academy - 140196,Bloxwich Academy - 137274,Bilston Church of England Primary School - 130305,The Bromley-Pensnett Primary School - 141979,Stow Heath Primary School - 104323,Tudor Grange Primary Academy Hockley Heath - 138462,Hill Avenue Academy - 143151,Lanesfield Primary School - 104327,St Chad's Catholic Primary School - 140144,Ham Dingle Primary Academy - 143822,Ham Dingle Primary School - 103808,St Michael's Church of England C Primary School - 104227,Sunfield Children's Home Ltd - 117033,Woodlands Academy of Learning - 138343,Queen Victoria Primary School - 103826,St Peter's Church of England Primary Academy - 142982,Green Park School - 104415,Walsall Wood School - 104201,Fibbersley Park Academy - 143417,Elmore Green Primary School - 104153,Stowlawn Primary School - 104317,Hawbush Primary School - 103820,Cotwall End Primary School - 103810,Blackwell First School - 116665,All Saints National Academy - 141410,Springfield House Community Special School - 103623,Busill Jones Primary School - 104146,Busill Jones Primary School - 146785,"St Peter's Catholic Primary School, Bloxwich - 104234",Kingsbury Primary School - 134924,Pedmore CE Primary School - 103848,Clent Parochial Primary School - 116796,The Pedmore High School - 145593,Mary Elliot School - 104272,Black Country Wheels School - 137571,The Dormston School - 103855,Ellowes Hall Sports College - 141570,Hunters Hill College - 103609,Redhill School - 139872,Kingsbury School - A Specialist Science and Mathematics Academy - 145019,Shire Oak Academy - 136620,Pool Hayes Academy - 142594,Wolverhampton Vocational Training Centre - 142123,National state-funded primary,National state-funded secondary and 16 to 18,Description
1225,KS2_19,MATPROG_G_LOWER,-2.3,SUPP,,SUPP,,-2,-5.9,-3.5,-3.2,-2,-8.2,-1.9,SUPP,0.4,2.2,-4.8,,-3.5,-1.7,,-2.7,-10.3,-4.9,SUPP,0.2,-4.8,-5,-3.9,-7.5,-5.4,,-4.1,SUPP,-8.6,,-3.5,-5.2,-2.5,SUPP,,,,,,,,,,,,0,,Maths progress measure for girls - lower confidence limit
1226,KS2_19,MATPROG_G_UPPER,2.7,SUPP,,SUPP,,1,-0.6,1.6,1.3,2.1,-2.1,2.3,SUPP,6.1,7,0.7,,0.3,3.2,,1.1,-6.6,3.1,SUPP,6.1,-0.7,-0.4,1.1,-1.1,-1,,0.9,SUPP,-3.9,,2.8,-1.2,2.8,SUPP,,,,,,,,,,,,0,,Maths progress measure for girls - upper confidence limit
1227,KS2_19,MATPROG_L,SUPP,SUPP,,0.6,,-1.1,SUPP,SUPP,0.5,3.1,SUPP,6,NA,SUPP,SUPP,SUPP,,SUPP,NA,,6.7,-8.2,SUPP,-0.8,SUPP,-4.7,SUPP,SUPP,SUPP,-0.3,,SUPP,-4,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment
1228,KS2_19,MATPROG_L_LOWER,SUPP,SUPP,,-2.6,,-4.9,SUPP,SUPP,-3.5,-0.6,SUPP,1.6,NA,SUPP,SUPP,SUPP,,SUPP,NA,,2.9,-12.5,SUPP,-4,SUPP,-8.7,SUPP,SUPP,SUPP,-4.3,,SUPP,-7,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment - lower confidence limit
1229,KS2_19,MATPROG_L_UPPER,SUPP,SUPP,,3.8,,2.6,SUPP,SUPP,4.5,6.9,SUPP,10.3,NA,SUPP,SUPP,SUPP,,SUPP,NA,,10.4,-3.9,SUPP,2.3,SUPP,-0.7,SUPP,SUPP,SUPP,3.7,,SUPP,-0.9,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment - upper confidence limit
1230,KS2_19,MATPROG_M,0.2,SUPP,,NA,,-1.3,0.6,-1.3,-0.1,-0.5,-3.4,1,2.2,3.1,4.3,-0.6,,-1.2,2.8,,0.2,-6.7,-1.8,NA,2.7,-2.6,-3.7,-1,-6.2,-0.4,,0.4,-10.6,-4.9,,0.6,-2.7,-0.1,-1.6,,,,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment
1231,KS2_19,MATPROG_M_LOWER,-2.1,SUPP,,NA,,-2.7,-1.5,-3.7,-1.8,-2.2,-6.2,-0.7,-0.7,1,2.2,-3,,-3.1,0.9,,-1.7,-8.3,-4.3,NA,0.2,-4.3,-5.8,-3.2,-9.2,-2.6,,-1.4,-14.6,-6.7,,-1.6,-4.6,-2.9,-5.4,,,,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment - lower confidence limit
1232,KS2_19,MATPROG_M_UPPER,2.5,SUPP,,NA,,0.1,2.7,1.2,1.6,1.2,-0.6,2.8,5.1,5.2,6.4,1.9,,0.7,4.7,,2.1,-5.1,0.6,NA,5.3,-1,-1.5,1.3,-3.1,1.7,,2.3,-6.6,-3.2,,2.8,-0.9,2.7,2.1,,,,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment - upper confidence limit
1233,KS2_19,MATPROG_H,0.3,SUPP,,NA,,0.8,0.5,1,SUPP,1.8,-3.8,0.1,-0.8,4,3.5,-2.3,,0.3,1.4,,-0.6,-6.8,-0.9,NA,4.1,-2.3,-2.5,2.9,-7.4,-2.5,,-0.4,NA,NA,,NA,-0.9,1.3,SUPP,,,,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment
1234,KS2_19,MATPROG_H_LOWER,-2.1,SUPP,,NA,,-0.8,-2.7,-3.3,SUPP,-1.7,-7.6,-2.9,-5.1,0,0.3,-6,,-1.7,-1.5,,-2.9,-8.8,-5.3,NA,0.6,-5.4,-5.3,-1.4,-11.4,-4.7,,-4.4,NA,NA,,NA,-3.7,-1.2,SUPP,,,,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment - lower confidence limit
1235,KS2_19,MATPROG_H_UPPER,2.7,SUPP,,NA,,2.4,3.7,5.4,SUPP,5.4,-0.1,3,3.6,8,6.6,1.4,,2.4,4.2,,1.7,-4.8,3.4,NA,7.7,0.9,0.2,7.2,-3.4,-0.2,,3.6,NA,NA,,NA,1.8,3.8,SUPP,,,,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment - upper confidence limit
1236,KS2_19,MATPROG_FSM6CLA1A,0.9,SUPP,,SUPP,,-0.6,-2,-1.1,-0.5,-0.4,-4.5,0.6,SUPP,5.1,1.2,-0.7,,-4,4,,1.9,-8.5,SUPP,SUPP,3.2,-4.2,-1.7,-0.4,-5.8,-2.3,,-2.2,SUPP,-5.1,,-1.4,-1.9,SUPP,SUPP,,,,,,,,,,,,-0.7,,Maths progress measure for disadvantaged pupils
1237,KS2_19,MATPROG_FSM6CLA1A_LOWER,-2,SUPP,,SUPP,,-2.6,-4.7,-3.4,-2.2,-2.1,-7,-1.3,SUPP,2.7,-1.2,-5,,-6.7,0.2,,-0.3,-10.3,SUPP,SUPP,-0.3,-6.1,-4,-3.2,-8.6,-5.1,,-4.4,SUPP,-7.3,,-5.4,-5.7,SUPP,SUPP,,,,,,,,,,,,0,,Maths progress measure for disadvantaged pupils - lower confidence limit
1238,KS2_19,MATPROG_FSM6CLA1A_UPPER,3.8,SUPP,,SUPP,,1.4,0.7,1.3,1.2,1.2,-1.9,2.5,SUPP,7.6,3.5,3.6,,-1.2,7.7,,4.1,-6.7,SUPP,SUPP,6.7,-2.4,0.7,2.4,-2.9,0.5,,0,SUPP,-2.9,,2.6,1.8,SUPP,SUPP,,,,,,,,,,,,0,,Maths progress measure for disadvantaged pupils - upper confidence limit
1239,KS2_19,MATPROG_NOTFSM6CLA1A,0.5,SUPP,,SUPP,,-0.4,2.1,0.3,1.4,2.9,-4.1,2.2,SUPP,4,6.6,-1.1,,0.4,2,,0,-5.5,SUPP,SUPP,3.7,-0.9,-4,-1,-6,-0.9,,2.2,SUPP,-2.8,,1.5,-1.9,SUPP,SUPP,,,,,,,,,,,,0.4,,Maths progress measure for non-disadvantaged pupils
1240,KS2_19,MATPROG_NOTFSM6CLA1A_LOWER,-1.4,SUPP,,SUPP,,-1.6,-0.1,-3.2,-1.9,0,-7.6,0.1,SUPP,1.6,4.3,-3.3,,-1.2,0.3,,-1.7,-7.1,SUPP,SUPP,1.4,-3,-6.2,-3.6,-9.8,-2.6,,-0.2,SUPP,-5.4,,-0.9,-3.6,SUPP,SUPP,,,,,,,,,,,,0,,Maths progress measure for non-disadvantaged pupils - lower confidence limit
1241,KS2_19,MATPROG_NOTFSM6CLA1A_UPPER,2.5,SUPP,,SUPP,,0.8,4.3,3.9,4.7,5.7,-0.5,4.3,SUPP,6.4,8.8,1.2,,2,3.7,,1.8,-3.8,SUPP,SUPP,6,1.2,-1.8,1.7,-2.3,0.8,,4.5,SUPP,-0.1,,4,-0.3,SUPP,SUPP,,,,,,,,,,,,0,,Maths progress measure for non-disadvantaged pupils - upper confidence limit
1242,KS2_19,DIFFN_MATPROG,0.5,SUPP,,SUPP,,-1,-2.4,-1.5,-0.9,-0.8,-4.9,0.2,SUPP,4.7,0.8,-1.1,,-4.4,3.6,,1.5,-8.9,SUPP,SUPP,2.8,-4.6,-2.1,-0.8,-6.2,-2.7,,-2.6,SUPP,-5.5,,-1.8,-2.3,SUPP,SUPP,,,,,,,,,,,,0,,Difference between maths progress measure for disadvantaged pupils in school and other pupils nationally
1243,KS2_19,MATPROG_EAL,SUPP,NA,,SUPP,,1.4,SUPP,SUPP,SUPP,2.5,NA,4.9,SUPP,8.5,6.7,NA,,0.2,SUPP,,SUPP,SUPP,NA,SUPP,SUPP,SUPP,SUPP,1.5,SUPP,SUPP,,SUPP,NA,SUPP,,SUPP,SUPP,SUPP,NA,,,,,,,,,,,,2.1,,Maths progress measure for EAL pupils
1244,KS2_19,MATPROG_EAL_LOWER,SUPP,NA,,SUPP,,-1.5,SUPP,SUPP,SUPP,-0.1,NA,2.1,SUPP,4.8,3.6,NA,,-3.5,SUPP,,SUPP,SUPP,NA,SUPP,SUPP,SUPP,SUPP,-2.8,SUPP,SUPP,,SUPP,NA,SUPP,,SUPP,SUPP,SUPP,NA,,,,,,,,,,,,0,,Maths progress measure for EAL pupils - lower confidence limit
1245,KS2_19,MATPROG_EAL_UPPER,SUPP,NA,,SUPP,,4.3,SUPP,SUPP,SUPP,5.2,NA,7.7,SUPP,12.2,9.7,NA,,4,SUPP,,SUPP,SUPP,NA,SUPP,SUPP,SUPP,SUPP,5.8,SUPP,SUPP,,SUPP,NA,SUPP,,SUPP,SUPP,SUPP,NA,,,,,,,,,,,,0,,Maths progress measure for EAL pupils - upper confidence limit
1246,KS2_19,MATPROG_MOBN,0.3,-1,,0.7,,-0.5,0.6,-0.5,0.1,0.3,-4.2,1.5,1.2,4.7,4.2,-1,,-0.6,2.4,,0.7,-7,-1.5,-0.8,3.5,-2.7,-2.9,-0.9,-6.2,-1.4,,-0.1,-6.4,-4.2,,1.4,-1.8,0.6,0.7,,,,,,,,,,,,0.1,,Maths progress measure for non-mobile pupils
1247,KS2_19,MATPROG_MOBN_LOWER,-1.3,-5.3,,-2.6,,-1.5,-1.1,-2.5,-1.5,-1.2,-6.3,0,-1.3,2.8,2.5,-3,,-2,0.9,,-0.6,-8.2,-3.6,-4,1.6,-4.2,-4.5,-2.8,-8.5,-2.9,,-1.7,-8.8,-6,,-0.8,-3.3,-1.2,-3,,,,,,,,,,,,0,,Maths progress measure for non-mobile pupils - lower confidence limit
1248,KS2_19,MATPROG_MOBN_UPPER,2,3.3,,4,,0.6,2.3,1.6,1.7,1.9,-2,2.9,3.7,6.5,5.9,1,,0.8,4,,2.1,-5.7,0.5,2.3,5.4,-1.3,-1.3,1.1,-3.9,0.1,,1.5,-4,-2.4,,3.6,-0.2,2.5,4.4,,,,,,,,,,,,0,,Maths progress measure for non-mobile pupils - upper confidence limit
1249,KS2_19,READ_AVERAGE_B,104,97,,,,100,104,103,96,103,101,100,106,109,107,101,,105,107,,104,96,100,,104,97,101,100,96,103,,96,92,95,,100,102,106,105,,,,,,,,,,,,103,,Average scaled score in reading for boys
1250,KS2_19,READ_AVERAGE_G,106,SUPP,,SUPP,,108,103,104,99,102,103,103,SUPP,109,110,106,,105,108,,105,102,107,SUPP,106,102,102,104,97,106,,102,SUPP,99,,103,105,111,SUPP,,,,,,,,,,,,106,,Average scaled score in reading for girls
1251,KS2_19,READ_AVERAGE_L,SUPP,SUPP,,,,89,SUPP,SUPP,90,91,SUPP,90,,105,106,SUPP,,SUPP,,,96,92,SUPP,,SUPP,88,SUPP,SUPP,SUPP,93,,SUPP,91,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,93,,Average scaled score in reading for pupils with low prior attainment
1252,KS2_19,READ_AVERAGE_M,103,SUPP,,,,100,101,103,98,103,104,101,106,108,107,102,,101,105,,103,96,102,,105,98,99,100,97,100,,97,97,98,,102,100,105,103,,,,,,,,,,,,102,,Average scaled score in reading for pupils with medium prior attainment
1253,KS2_19,READ_AVERAGE_H,109,SUPP,,,,111,111,109,SUPP,112,107,109,107,115,113,110,,110,112,,109,103,106,,113,109,107,114,99,110,,109,,,,,111,111,SUPP,,,,,,,,,,,,110,,Average scaled score in reading for pupils with high prior attainment
1254,KS2_19,READ_AVERAGE_FSM6CLA1A,105,SUPP,,SUPP,,101,101,103,97,102,101,101,SUPP,107,107,105,,101,105,,103,96,SUPP,SUPP,104,97,100,102,95,103,,98,SUPP,96,,98,107,SUPP,SUPP,,,,,,,,,,,,102,,Average scaled score in reading for disadvantaged pupils
1255,KS2_19,READ_AVERAGE_NOTFSM6CLA1A,105,SUPP,,SUPP,,104,105,104,99,103,104,102,SUPP,111,109,103,,107,108,,105,101,SUPP,SUPP,106,103,102,103,99,105,,100,SUPP,98,,102,103,SUPP,SUPP,,,,,,,,,,,,105,,Average scaled score in reading for non-disadvantaged pupils
1256,KS2_19,READ_AVERAGE_EAL,SUPP,,,,,100,SUPP,SUPP,97,104,SUPP,101,SUPP,110,111,SUPP,,106,SUPP,,SUPP,SUPP,,SUPP,SUPP,100,SUPP,100,SUPP,SUPP,,SUPP,SUPP,97,,SUPP,SUPP,SUPP,,,,,,,,,,,,,104,,Average scaled score in reading for EAL pupils
1257,KS2_19,READ_AVERAGE_MOBN,106,100,,,,103,103,104,98,103,102,102,107,108,108,104,,105,108,,104,99,101,,105,99,101,102,96,104,,99,94,97,,102,103,108,105,,,,,,,,,,,,105,,Average scaled score in reading for MOBN pupils
1258,KS2_19,MAT_AVERAGE_B,108,94,,,,103,108,103,101,103,100,105,107,109,108,103,,107,108,,106,99,102,,106,98,101,103,98,105,,102,87,97,,104,104,107,102,,,,,,,,,,,,105,,Average scaled score in maths for boys
1259,KS2_19,MAT_AVERAGE_G,107,SUPP,,SUPP,,107,101,103,101,102,100,104,SUPP,107,110,105,,105,107,,104,98,105,SUPP,108,102,102,102,98,103,,101,SUPP,97,,105,103,108,SUPP,,,,,,,,,,,,105,,Average scaled score in maths for girls
1260,KS2_19,MAT_AVERAGE_L,SUPP,SUPP,,,,91,SUPP,SUPP,92,94,SUPP,96,,107,97,SUPP,,SUPP,,,100,94,SUPP,,SUPP,87,SUPP,SUPP,SUPP,96,,SUPP,86,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,94,,Average scaled score in maths for pupils with low prior attainment
1261,KS2_19,MAT_AVERAGE_M,105,SUPP,,,,102,104,102,102,102,101,104,106,107,108,102,,102,106,,104,96,102,,105,100,100,101,98,102,,102,89,97,,105,100,104,101,,,,,,,,,,,,103,,Average scaled score in maths for pupils with medium prior attainment
1262,KS2_19,MAT_AVERAGE_H,110,SUPP,,,,111,111,110,SUPP,113,106,109,109,114,113,109,,111,111,,109,103,109,,114,108,107,112,101,107,,109,,,,,110,112,SUPP,,,,,,,,,,,,110,,Average scaled score in maths for pupils with high prior attainment
1263,KS2_19,MAT_AVERAGE_FSM6CLA1A,106,SUPP,,SUPP,,103,102,102,101,101,99,104,SUPP,106,105,102,,100,107,,104,97,SUPP,SUPP,106,98,102,103,98,102,,98,SUPP,98,,100,103,SUPP,SUPP,,,,,,,,,,,,103,,Average scaled score in maths for disadvantaged pupils
1264,KS2_19,MAT_AVERAGE_NOTFSM6CLA1A,108,SUPP,,SUPP,,105,107,105,103,105,102,105,SUPP,109,111,104,,108,108,,106,100,SUPP,SUPP,108,102,102,102,99,104,,105,SUPP,96,,106,104,SUPP,SUPP,,,,,,,,,,,,106,,Average scaled score in maths for non-disadvantaged pupils
1265,KS2_19,MAT_AVERAGE_EAL,SUPP,,,,,104,SUPP,SUPP,104,105,SUPP,106,SUPP,110,111,SUPP,,107,SUPP,,SUPP,SUPP,,SUPP,SUPP,105,SUPP,104,SUPP,SUPP,,SUPP,SUPP,97,,SUPP,SUPP,SUPP,,,,,,,,,,,,,106,,Average scaled score in maths for EAL pupils
1266,KS2_19,MAT_AVERAGE_MOBN,107,94,,,,104,105,103,101,103,100,105,107,108,109,104,,106,107,,105,99,102,,107,100,102,102,98,104,,102,88,97,,105,103,107,105,,,,,,,,,,,,105,,Average scaled score in maths for MOBN pupils
1267,KS2_19,GPS_AVERAGE_B,106,95,,,,103,105,104,100,105,102,108,107,112,111,101,,109,109,,108,101,103,,106,97,102,104,99,107,,99,92,100,,102,103,110,103,,,,,,,,,,,,105,,Average scaled score in GPS for boys
1268,KS2_19,GPS_AVERAGE_G,109,SUPP,,SUPP,,109,103,105,101,105,104,110,SUPP,114,112,107,,109,111,,110,104,107,SUPP,108,103,105,106,101,107,,105,SUPP,102,,105,107,114,SUPP,,,,,,,,,,,,107,,Average scaled score in GPS for girls
1269,KS2_19,GPS_AVERAGE_L,SUPP,SUPP,,,,92,SUPP,SUPP,91,92,SUPP,95,,111,101,SUPP,,SUPP,,,100,91,SUPP,,SUPP,89,SUPP,SUPP,SUPP,99,,SUPP,91,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,94,,Average scaled score in GPS for pupils with low prior attainment
1270,KS2_19,GPS_AVERAGE_M,105,SUPP,,,,102,102,103,101,105,104,109,106,112,111,102,,105,107,,108,98,104,,107,99,100,103,99,104,,101,95,101,,104,102,109,103,,,,,,,,,,,,104,,Average scaled score in GPS for pupils with medium prior attainment
1271,KS2_19,GPS_AVERAGE_H,110,SUPP,,,,113,110,114,SUPP,115,110,116,109,117,116,112,,114,116,,115,109,114,,114,110,110,116,105,111,,115,,,,,112,115,SUPP,,,,,,,,,,,,113,,Average scaled score in GPS for pupils with high prior attainment
1272,KS2_19,GPS_AVERAGE_FSM6CLA1A,108,SUPP,,SUPP,,103,101,103,99,104,101,108,SUPP,111,109,101,,103,106,,106,100,SUPP,SUPP,107,98,102,104,99,106,,99,SUPP,100,,97,105,SUPP,SUPP,,,,,,,,,,,,104,,Average scaled score in GPS for disadvantaged pupils
1273,KS2_19,GPS_AVERAGE_NOTFSM6CLA1A,107,SUPP,,SUPP,,106,106,107,104,107,106,109,SUPP,114,113,105,,111,111,,111,104,SUPP,SUPP,107,103,104,107,102,107,,105,SUPP,101,,105,105,SUPP,SUPP,,,,,,,,,,,,107,,Average scaled score in GPS for non-disadvantaged pupils
1274,KS2_19,GPS_AVERAGE_EAL,SUPP,,,,,104,SUPP,SUPP,105,109,SUPP,110,SUPP,115,114,SUPP,,113,SUPP,,SUPP,SUPP,,SUPP,SUPP,105,SUPP,108,SUPP,SUPP,,SUPP,SUPP,104,,SUPP,SUPP,SUPP,,,,,,,,,,,,,108,,Average scaled score in GPS for EAL pupils
1275,KS2_19,GPS_AVERAGE_MOBN,107,96,,,,105,104,104,100,105,103,109,107,113,112,104,,109,110,,109,102,104,,107,100,103,105,100,107,,102,93,101,,104,105,112,103,,,,,,,,,,,,107,,Average scaled score in GPS for MOBN pupils
1276,KS2_19,PTREAD_EXP_L,SUPP,SUPP,,0%,,0%,SUPP,SUPP,0%,11%,SUPP,0%,,44%,67%,SUPP,,SUPP,,,13%,0%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,14%,,SUPP,0%,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,16%,,Percentage of pupils with low prior attainment reaching the expected standard in reading
1277,KS2_19,PTREAD_EXP_M,71%,SUPP,,,,59%,64%,74%,54%,79%,80%,68%,92%,100%,92%,53%,,63%,81%,,74%,35%,74%,,76%,43%,56%,50%,33%,56%,,35%,43%,39%,,70%,56%,79%,100%,,,,,,,,,,,,70%,,Percentage of pupils with medium prior attainment reaching the expected standard in reading
1278,KS2_19,PTREAD_EXP_H,100%,SUPP,,,,98%,100%,100%,SUPP,100%,100%,100%,100%,100%,100%,100%,,100%,100%,,100%,74%,100%,,100%,91%,100%,100%,57%,91%,,86%,,,,,100%,100%,SUPP,,,,,,,,,,,,97%,,Percentage of pupils with high prior attainment reaching the expected standard in reading
1279,KS2_19,PTREAD_EXP_FSM6CLA1A,85%,SUPP,,SUPP,,61%,60%,75%,43%,74%,67%,67%,SUPP,82%,81%,67%,,67%,63%,,67%,31%,SUPP,SUPP,60%,35%,62%,57%,40%,60%,,28%,SUPP,33%,,57%,88%,SUPP,SUPP,,,,,,,,,,,,62%,,Percentage of disadvantaged pupils reaching the expected standard in reading
1280,KS2_19,PTREAD_EXP_NOTFSM6CLA1A,77%,SUPP,,SUPP,,72%,79%,67%,62%,61%,90%,66%,SUPP,91%,100%,65%,,84%,92%,,78%,59%,SUPP,SUPP,76%,58%,75%,56%,38%,68%,,50%,SUPP,43%,,72%,68%,SUPP,SUPP,,,,,,,,,,,,78%,,Percentage of non-disadvantaged pupils reaching the expected standard in reading
1281,KS2_19,PTGPS_EXP_L,SUPP,SUPP,,0%,,25%,SUPP,SUPP,0%,0%,SUPP,29%,,44%,50%,SUPP,,SUPP,,,63%,0%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,29%,,SUPP,0%,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,17%,,"Percentage of pupils with low prior attainment reaching the expected standard in grammar, punctuation and spelling"
1282,KS2_19,PTGPS_EXP_M,95%,SUPP,,,,80%,72%,74%,69%,79%,67%,95%,100%,100%,92%,74%,,83%,94%,,94%,40%,84%,,100%,60%,44%,73%,25%,68%,,58%,29%,56%,,74%,66%,100%,88%,,,,,,,,,,,,77%,,"Percentage of pupils with medium prior attainment reaching the expected standard in grammar, punctuation and spelling"
1283,KS2_19,PTGPS_EXP_H,100%,SUPP,,,,98%,100%,100%,SUPP,100%,100%,100%,83%,100%,100%,100%,,100%,100%,,100%,93%,100%,,100%,100%,100%,100%,100%,100%,,100%,,,,,100%,100%,SUPP,,,,,,,,,,,,99%,,"Percentage of pupils with high prior attainment reaching the expected standard in grammar, punctuation and spelling"
1284,KS2_19,PTGPS_EXP_FSM6CLA1A,92%,SUPP,,SUPP,,79%,67%,70%,55%,70%,61%,88%,SUPP,82%,76%,67%,,73%,75%,,83%,42%,SUPP,SUPP,70%,50%,52%,71%,40%,73%,,40%,SUPP,50%,,57%,88%,SUPP,SUPP,,,,,,,,,,,,67%,,"Percentage of disadvantaged pupils reaching the expected standard in grammar, punctuation and spelling"
1285,KS2_19,PTGPS_EXP_NOTFSM6CLA1A,97%,SUPP,,SUPP,,84%,83%,78%,77%,72%,80%,86%,SUPP,91%,100%,83%,,95%,100%,,95%,68%,SUPP,SUPP,90%,69%,71%,75%,63%,78%,,75%,SUPP,62%,,78%,75%,SUPP,SUPP,,,,,,,,,,,,83%,,"Percentage of non-disadvantaged pupils reaching the expected standard in grammar, punctuation and spelling"
1286,KS2_19,PTMAT_EXP_L,SUPP,SUPP,,0%,,0%,SUPP,SUPP,14%,11%,SUPP,14%,,44%,33%,SUPP,,SUPP,,,38%,0%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,14%,,SUPP,0%,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,19%,,Percentage of pupils with low prior attainment reaching the expected standard in maths
1287,KS2_19,PTMAT_EXP_M,95%,SUPP,,,,76%,88%,74%,72%,68%,73%,86%,92%,100%,92%,74%,,80%,94%,,87%,28%,74%,,100%,58%,52%,73%,33%,72%,,65%,14%,42%,,83%,59%,86%,75%,,,,,,,,,,,,77%,,Percentage of pupils with medium prior attainment reaching the expected standard in maths
1288,KS2_19,PTMAT_EXP_H,100%,SUPP,,,,98%,100%,100%,SUPP,100%,88%,100%,100%,100%,100%,100%,,100%,100%,,100%,78%,100%,,100%,100%,93%,100%,57%,95%,,100%,,,,,100%,100%,SUPP,,,,,,,,,,,,99%,,Percentage of pupils with high prior attainment reaching the expected standard in maths
1289,KS2_19,PTMAT_EXP_FSM6CLA1A,92%,SUPP,,SUPP,,68%,80%,65%,62%,63%,67%,79%,SUPP,82%,71%,67%,,73%,100%,,75%,33%,SUPP,SUPP,80%,53%,67%,79%,27%,60%,,44%,SUPP,42%,,57%,75%,SUPP,SUPP,,,,,,,,,,,,67%,,Percentage of disadvantaged pupils reaching the expected standard in maths
1290,KS2_19,PTMAT_EXP_NOTFSM6CLA1A,97%,SUPP,,SUPP,,83%,92%,89%,77%,72%,70%,83%,SUPP,95%,100%,83%,,93%,95%,,92%,54%,SUPP,SUPP,90%,65%,63%,69%,63%,80%,,80%,SUPP,33%,,83%,73%,SUPP,SUPP,,,,,,,,,,,,84%,,Percentage of non-disadvantaged pupils reaching the expected standard in maths
1291,KS2_19,PTWRITTA_EXP_L,SUPP,SUPP,,0%,,0%,SUPP,SUPP,0%,11%,SUPP,14%,,33%,33%,SUPP,,SUPP,,,38%,17%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,29%,,SUPP,0%,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,15%,,Percentage of pupils with low prior attainment reaching the expected standard in writing
1292,KS2_19,PTWRITTA_EXP_M,86%,SUPP,,,,80%,72%,84%,77%,82%,73%,92%,100%,100%,81%,84%,,87%,91%,,94%,60%,68%,,100%,65%,64%,77%,83%,84%,,39%,0%,39%,,91%,63%,86%,88%,,,,,,,,,,,,78%,,Percentage of pupils with medium prior attainment reaching the expected standard in writing
1293,KS2_19,PTWRITTA_EXP_H,100%,SUPP,,,,98%,100%,100%,SUPP,100%,100%,100%,100%,100%,100%,100%,,100%,100%,,100%,96%,100%,,100%,100%,93%,100%,100%,100%,,100%,,,,,100%,100%,SUPP,,,,,,,,,,,,99%,,Percentage of pupils with high prior attainment reaching the expected standard in writing
1294,KS2_19,PTWRITTA_EXP_FSM6CLA1A,92%,SUPP,,SUPP,,64%,67%,75%,64%,72%,61%,82%,SUPP,77%,71%,67%,,73%,75%,,75%,61%,SUPP,SUPP,80%,53%,67%,79%,73%,73%,,36%,SUPP,29%,,57%,75%,SUPP,SUPP,,,,,,,,,,,,68%,,Percentage of disadvantaged pupils reaching the expected standard in writing
1295,KS2_19,PTWRITTA_EXP_NOTFSM6CLA1A,90%,SUPP,,SUPP,,87%,83%,89%,69%,78%,90%,83%,SUPP,91%,87%,91%,,98%,97%,,95%,78%,SUPP,SUPP,90%,77%,75%,75%,88%,88%,,50%,SUPP,48%,,100%,75%,SUPP,SUPP,,,,,,,,,,,,83%,,Percentage of non-disadvantaged pupils reaching the expected standard in writing
1296,KS2_19,PTREAD_HIGH_L,SUPP,SUPP,,0%,,0%,SUPP,SUPP,0%,0%,SUPP,0%,,11%,33%,SUPP,,SUPP,,,0%,0%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,0%,,SUPP,0%,SUPP,,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,1%,,Percentage of pupils with low prior attainment achieving a high score in reading
