No,Namespace,Variable,Greenholm Primary School - 138693,Hawthorn Primary School - 103214,Cedars Academy - 143088,Devonshire Junior Academy - 141292,Devonshire Infant Academy - 141293,Kimichi School - 141242,St Peter and St Paul RC Junior and Infant School - 103454,St Peter and St Paul RC Junior and Infant School - 146298,Selly Oak Trust School - 103613,Colmore Junior School - 103188,Colmore Infant and Nursery School - 103189,Acocks Green Primary School - 139443,Wheelers Lane Primary School - 134099,Cottesbrooke Infant and Nursery School - 140706,Oasis Academy Short Heath - 139125,Annie Lennard Primary School - 103932,Osborne Primary School - 147758,Osborne Primary School - 103363,The Dame Ellen Pinsent School - 103615,St Mark's Catholic Primary School - 148973,St Mark's Catholic Primary School - 103468,Court Farm Primary School - 103267,Story Wood School - 103213,Highclare School - 103576,Welsh House Farm Community School and Special Needs Resources Base - 103295,Holy Souls Catholic Primary School - 147009,Holy Souls Catholic Primary School - 103429,Priestley Smith School - 103614,Beeches Infant School - 103164,Beeches Junior School - 103163,Abbey Catholic Primary School - 103422,Abbey Catholic Primary School - 147669,Gilbertstone Primary School - 103201,Glenmead Primary School - 103320,Bournville Village Primary - 103445,Bournville Infant School - 103446,The Oval School - 143087,Swanshurst School - 103514,Wheelers Lane Technology College - 103501,Hamstead Hall Academy - 139746,Hall Green School - 137858,Oscott Academy - 142115,"Ninestiles, an Academy - 136406",The University of Birmingham School - 140863,Aspire Ap School - 139962,Archbishop Ilsley Catholic School - 103541,Archbishop Ilsley Catholic School - 146124,Arena Academy - 145580,Sandwell Valley School - 143038,Fircroft College of Adult Education - 130467,National state-funded primary,National state-funded secondary and 16 to 18,Description
1449,KS4_19,TOTATT8EBAC,,,,,,0,,,67,,,,,,,,,,,,,,,516,,,,28,,,,,,,,,,4141,1911,2159,2495.5,0,3308.5,,SUPP,2346.4,,2191.5,280,,,7310635.9,Total sum of Attainment 8 scores for EBacc element
1450,KS4_19,ATT8SCREBAC,,,,,,0,,,1.2,,,,,,,,,,,,,,,17.2,,,,4,,,,,,,,,,13.9,15.4,12.6,14,0,12.7,,SUPP,11.5,,12.5,3.4,,,13.5,Average Attainment 8 score per pupil for EBacc element
1451,KS4_19,TOTATT8OPEN,,,,,,22,,,16,,,,,,,,,,,,,,,506,,,,26.8,,,,,,,,,,4399.8,1873.5,2192.5,2570,1,3371.8,,SUPP,2870.8,,2516.8,93,,,7708916.9,Total sum of Attainment 8 scores for open element
1452,KS4_19,ATT8SCROPEN,,,,,,3.1,,,0.3,,,,,,,,,,,,,,,16.9,,,,3.8,,,,,,,,,,14.8,15.1,12.8,14.4,0.1,12.9,,SUPP,14.1,,14.3,1.1,,,14.2,Average Attainment 8 score per pupil for open element
1453,KS4_19,TOTATT8OPENG,,,,,,22,,,12,,,,,,,,,,,,,,,506,,,,17,,,,,,,,,,3476.5,1539,1961,2294.5,1,2996,,SUPP,2214.5,,1525,93,,,6280931.7,Total sum of Attainment 8 scores for open element - GCSE only
1454,KS4_19,ATT8SCROPENG,,,,,,3.1,,,0.2,,,,,,,,,,,,,,,16.9,,,,2.4,,,,,,,,,,11.7,12.4,11.5,12.9,0.1,11.5,,SUPP,10.9,,8.7,1.1,,,11.6,Average Attainment 8 score per pupil for open element - GCSE only
1455,KS4_19,TOTATT8OPENNG,,,,,,0,,,4,,,,,,,,,,,,,,,0,,,,9.8,,,,,,,,,,923.3,334.5,231.5,275.5,0,375.8,,SUPP,656.3,,991.8,0,,,1427985.3,Total sum of Attainment 8 scores for open element - non-GCSE only
1456,KS4_19,ATT8SCROPENNG,,,,,,0,,,0.1,,,,,,,,,,,,,,,0,,,,1.4,,,,,,,,,,3.1,2.7,1.4,1.5,0,1.4,,SUPP,3.2,,5.6,0,,,2.6,Average Attainment 8 score per pupil for open element - non-GCSE only
1457,KS4_19,AVGEBACFILL,,,,,,0,,,0.5,,,,,,,,,,,,,,,2.9,,,,1.6,,,,,,,,,,2.9,2.9,2.8,2.9,0,2.8,,SUPP,2.8,,2.9,0.6,,,2.8,Average number of EBacc slots filled in Attainment 8 per pupil
1458,KS4_19,AVGOPENFILL,,,,,,1,,,0.2,,,,,,,,,,,,,,,3,,,,1.3,,,,,,,,,,2.9,3,2.9,2.9,0.1,2.8,,SUPP,2.9,,2.9,0.3,,,2.8,Average number of Open slots filled in Attainment 8 per pupil
1459,KS4_19,P8PUP,,,,,,NP,,,56,,,,,,,,,,,,,,,NP,,,,7,,,,,,,,,,281,120,167,172,NP,255,,NP,183,,176,NP,,,512929,Number of pupils included in Progress 8 measure
1460,KS4_19,TP8ADJ,,,,,,NP,,,0,,,,,,,,,,,,,,,NP,,,,0,,,,,,,,,,1,1,2,1,NP,3,,NP,1,,0,NP,,,4876,Number of pupils who have had P8 score adjusted in average
1461,KS4_19,P8MEACOV,,,,,,NP,,,100%,,,,,,,,,,,,,,,NP,,,,100%,,,,,,,,,,94%,97%,98%,97%,NP,98%,,NP,90%,,100%,NP,,,95%,Percentage of pupils at the end of key stage 4 included in Progress 8 measure
1462,KS4_19,P8MEA,,,,,,NP,,,-1.78,,,,,,,,,,,,,,,NP,,,,-1.1,,,,,,,,,,0.32,0.26,-0.01,0.18,NP,-0.16,,NP,-0.15,,-0.32,NP,,,-0.03,Progress 8 measure after adjustment for extreme scores
1463,KS4_19,P8CILOW,,,,,,NP,,,-2.11,,,,,,,,,,,,,,,NP,,,,-2.05,,,,,,,,,,0.17,0.03,-0.21,-0.01,NP,-0.32,,NP,-0.34,,-0.51,NP,,,,Progress 8 lower 95% confidence interval for adjusted average
1464,KS4_19,P8CIUPP,,,,,,NP,,,-1.44,,,,,,,,,,,,,,,NP,,,,-0.15,,,,,,,,,,0.47,0.49,0.18,0.37,NP,0,,NP,0.03,,-0.13,NP,,,,Progress 8 upper 95% confidence interval for adjusted average
1465,KS4_19,P8MEA_ORIG,,,,,,NP,,,-1.78,,,,,,,,,,,,,,,NP,,,,-1.1,,,,,,,,,,0.32,0.26,-0.02,0.18,NP,-0.16,,NP,-0.15,,-0.32,NP,,,-0.03,Progress 8 measure based on unadjusted pupil scores
1466,KS4_19,P8CILOW_ORIG,,,,,,NP,,,-2.12,,,,,,,,,,,,,,,NP,,,,-2.07,,,,,,,,,,0.16,0.03,-0.21,-0.02,NP,-0.32,,NP,-0.34,,-0.51,NP,,,,Progress 8 lower 95% confidence interval for unadjusted average
1467,KS4_19,P8CIUPP_ORIG,,,,,,NP,,,-1.43,,,,,,,,,,,,,,,NP,,,,-0.13,,,,,,,,,,0.47,0.5,0.18,0.37,NP,0,,NP,0.04,,-0.13,NP,,,,Progress 8 upper 95% confidence interval for unadjusted average
1468,KS4_19,P8MEAENG,,,,,,NP,,,-2.25,,,,,,,,,,,,,,,NP,,,,-1.97,,,,,,,,,,0.35,0.1,0,0.24,NP,-0.05,,NP,-0.19,,-0.17,NP,,,-0.04,Progress 8 measure for English element
1469,KS4_19,P8MEAENG_CILOW,,,,,,NP,,,-2.65,,,,,,,,,,,,,,,NP,,,,-3.12,,,,,,,,,,0.17,-0.18,-0.23,0.01,NP,-0.24,,NP,-0.42,,-0.4,NP,,,,Lower 95% confidence interval for Progress 8 English element
1470,KS4_19,P8MEAENG_CIUPP,,,,,,NP,,,-1.84,,,,,,,,,,,,,,,NP,,,,-0.83,,,,,,,,,,0.53,0.38,0.24,0.47,NP,0.14,,NP,0.03,,0.06,NP,,,,Upper 95% confidence interval for Progress 8 English element
1471,KS4_19,P8MEAMAT,,,,,,NP,,,-1.32,,,,,,,,,,,,,,,NP,,,,0.11,,,,,,,,,,0.04,0.27,0.23,-0.1,NP,-0.12,,NP,-0.24,,-0.66,NP,,,-0.02,Progress 8 measure for mathematics element
1472,KS4_19,P8MEAMAT_CILOW,,,,,,NP,,,-1.68,,,,,,,,,,,,,,,NP,,,,-0.91,,,,,,,,,,-0.12,0.02,0.02,-0.3,NP,-0.29,,NP,-0.44,,-0.86,NP,,,,Lower 95% confidence interval for Progress 8 maths element
1473,KS4_19,P8MEAMAT_CIUPP,,,,,,NP,,,-0.97,,,,,,,,,,,,,,,NP,,,,1.12,,,,,,,,,,0.2,0.51,0.43,0.11,NP,0.05,,NP,-0.05,,-0.46,NP,,,,Upper 95% confidence interval for Progress 8 maths element
1474,KS4_19,P8MEAEBAC,,,,,,NP,,,-1.33,,,,,,,,,,,,,,,NP,,,,-0.91,,,,,,,,,,0.41,0.47,0.03,0.33,NP,-0.09,,NP,-0.39,,-0.42,NP,,,-0.03,Progress 8 measure for EBacc element
1475,KS4_19,P8MEAEBAC_CILOW,,,,,,NP,,,-1.73,,,,,,,,,,,,,,,NP,,,,-2.04,,,,,,,,,,0.23,0.2,-0.21,0.1,NP,-0.28,,NP,-0.61,,-0.65,NP,,,,Lower 95% confidence interval for Progress 8 EBacc element
1476,KS4_19,P8MEAEBAC_CIUPP,,,,,,NP,,,-0.93,,,,,,,,,,,,,,,NP,,,,0.22,,,,,,,,,,0.59,0.75,0.26,0.55,NP,0.1,,NP,-0.17,,-0.2,NP,,,,Upper 95% confidence interval for Progress 8 EBacc element
1477,KS4_19,P8MEAOPEN,,,,,,NP,,,-2.2,,,,,,,,,,,,,,,NP,,,,-1.5,,,,,,,,,,0.39,0.16,-0.23,0.17,NP,-0.33,,NP,0.17,,-0.09,NP,,,-0.04,Progress 8 measure for open element
1478,KS4_19,P8MEAOPEN_CILOW,,,,,,NP,,,-2.6,,,,,,,,,,,,,,,NP,,,,-2.62,,,,,,,,,,0.21,-0.11,-0.46,-0.06,NP,-0.52,,NP,-0.05,,-0.31,NP,,,,Lower 95% confidence interval for Progress 8 open element
1479,KS4_19,P8MEAOPEN_CIUPP,,,,,,NP,,,-1.81,,,,,,,,,,,,,,,NP,,,,-0.38,,,,,,,,,,0.56,0.43,0,0.4,NP,-0.15,,NP,0.39,,0.13,NP,,,,Upper 95% confidence interval for Progress 8 open element
1480,KS4_19,PTL2BASICS_94,,,,,,0%,,,0%,,,,,,,,,,,,,,,93%,,,,29%,,,,,,,,,,60%,76%,60%,61%,10%,62%,,SUPP,55%,,64%,4%,,,65%,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs 
1481,KS4_19,PTL2BASICS_95,,,,,,0%,,,0%,,,,,,,,,,,,,,,63%,,,,0%,,,,,,,,,,40%,48%,39%,39%,0%,37%,,SUPP,34%,,38%,0%,,,43%,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs 
1482,KS4_19,TOTEBACCAPS,,,,,,0,,,12.66,,,,,,,,,,,,,,,152.8,,,,7.16,,,,,,,,,,1272.97,566.8,671.77,733.51,3.51,994.21,,SUPP,696.8,,665.29,69.66,,,2210757.15,Total EBacc APS score per pupil
1483,KS4_19,EBACCAPS,,,,,,0,,,0.23,,,,,,,,,,,,,,,5.09,,,,1.02,,,,,,,,,,4.27,4.57,3.93,4.12,0.35,3.81,,SUPP,3.42,,3.78,0.84,,,4.07,Average EBacc APS score per pupil
1484,KS4_19,EBACCAPS_FSM6CLA1A,,,,,,NP,,,0.23,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,3.89,4.35,3.45,3.89,NP,3.33,,NP,3.01,,3.02,NP,,,3.08,Average EBacc APS score per disadvantaged pupil
1485,KS4_19,EBACCAPS_NFSM6CLA1A,,,,,,NP,,,0.21,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,4.62,4.67,4.21,4.22,NP,4.23,,NP,3.67,,4.27,NP,,,4.43,Average EBacc APS score per non-disadvantaged pupil
1486,KS4_19,EBACCAPS_LO,,,,,,NP,,,0.21,,,,,,,,,,,,,,,NP,,,,0.78,,,,,,,,,,2.18,2.42,2.11,2.06,NP,1.79,,NP,1.28,,1.81,NP,,,1.62,Average EBacc APS score per pupil with low prior attainment
1487,KS4_19,EBACCAPS_AV,,,,,,NP,,,SUPP,,,,,,,,,,,,,,,NP,,,,NE,,,,,,,,,,3.72,3.77,3.66,3.64,NP,3.18,,NP,2.98,,2.94,NP,,,3.34,Average EBacc APS score per pupil with middle prior attainment
1488,KS4_19,EBACCAPS_HI,,,,,,NP,,,SUPP,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,5.79,5.69,5.1,5.42,NP,5.26,,NP,4.81,,4.93,NP,,,5.52,Average EBacc APS score per pupil with high prior attainment
1489,KS4_19,EBACCAPS_EAL,,,,,,NP,,,SUPP,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,4.27,4.68,4.32,4.03,NP,4.12,,NP,4.26,,4.07,NP,,,4.27,Average EBacc APS score per pupil for whom English is an additional language
1490,KS4_19,EBACCAPS_GIRLS,,,,,,SUPP,,,0.19,,,,,,,,,,,,,,,5.08,,,,SUPP,,,,,,,,,,4.27,NA,3.97,4.32,SUPP,4.11,,SUPP,3.75,,4.11,0.8,,,4.32,Average EBacc APS score per girl
1491,KS4_19,EBACCAPS_BOYS,,,,,,SUPP,,,0.25,,,,,,,,,,,,,,,5.11,,,,SUPP,,,,,,,,,,NA,4.57,3.89,3.94,SUPP,3.56,,SUPP,3.05,,3.46,0.86,,,3.84,Average EBacc APS score per boy
1492,KS4_19,EBACCAPS_NMOB,,,,,,NP,,,0.23,,,,,,,,,,,,,,,NP,,,,1.02,,,,,,,,,,4.29,4.58,3.93,4.15,NP,3.84,,NP,3.39,,3.81,NP,,,4.13,Average EBacc APS score per non-mobile pupil
1493,KS4_19,EBACCAPS_18,,,,,,SUPP,,,0.27,,,,,,,,,,,,,,,4.87,,,,0.36,,,,,,,,,,4.44,4.21,3.69,4.16,0.35,4.13,NA,SUPP,3.43,,NA,0.57,,,4.04,Average EBacc APS score per pupil in 2018
1494,KS4_19,EBACCAPS_FSM6CLA1A_18,,,,,,NA,,,0.21,,,,,,,,,,,,,,,NA,,,,SUPP,,,,,,,,,,4.08,3.95,2.94,3.75,NA,3.5,NA,NA,2.91,,NA,NA,,,3.07,Average EBacc APS score per disadvantaged pupil in 2018
1495,KS4_19,EBACCAPS_NFSM6CLA1A_18,,,,,,NA,,,0.52,,,,,,,,,,,,,,,NA,,,,SUPP,,,,,,,,,,4.78,4.44,4.14,4.46,NA,4.63,NA,NA,3.81,,NA,NA,,,4.4,Average EBacc APS score per non-disadvantaged pupil in 2018
1496,KS4_19,TEBACC_E_PTQ_EE,,,,,,0,,,0,,,,,,,,,,,,,,,21,,,,0,,,,,,,,,,165,51,106,62,0,65,,SUPP,43,,54,0,,,216986,Number of key stage 4 pupils with entries in all English Baccalaureate subject areas
1497,KS4_19,PTEBACC_E_PTQ_EE,,,,,,0%,,,0%,,,,,,,,,,,,,,,70%,,,,0%,,,,,,,,,,55%,41%,62%,35%,0%,25%,,SUPP,21%,,31%,0%,,,40%,Percentage of key stage 4 pupils with entries in all English Baccalaureate subject areas
1498,KS4_19,PTEBACC_94,,,,,,0%,,,0%,,,,,,,,,,,,,,,37%,,,,0%,,,,,,,,,,38%,32%,23%,23%,0%,19%,,SUPP,11%,,20%,0%,,,25%,Percentage of pupils achieving the English Baccalaureate with 9-4 passes
1499,KS4_19,PTEBACC_95,,,,,,0%,,,0%,,,,,,,,,,,,,,,13%,,,,0%,,,,,,,,,,25%,22%,15%,13%,0%,14%,,SUPP,6%,,13%,0%,,,17%,Percentage of pupils achieving the English Baccalaureate with 9-5 passes
1500,KS4_19,TEBACENG_E_PTQ_EE,,,,,,0,,,1,,,,,,,,,,,,,,,30,,,,0,,,,,,,,,,293,124,168,176,0,244,,SUPP,194,,176,1,,,520101,Number of pupils entering the English Baccalaureate English subject area
1501,KS4_19,PTEBACENG_E_PTQ_EE,,,,,,0%,,,2%,,,,,,,,,,,,,,,100%,,,,0%,,,,,,,,,,98%,100%,98%,99%,0%,94%,,SUPP,95%,,100%,1%,,,96%,Percentage of pupils entering the English Baccalaureate English subject area
1502,KS4_19,TEBACMAT_E_PTQ_EE,,,,,,0,,,2,,,,,,,,,,,,,,,30,,,,4,,,,,,,,,,295,124,170,177,10,259,,SUPP,200,,176,44,,,527884,Number of pupils entering the English Baccalaureate Maths subject area
1503,KS4_19,PTEBACMAT_E_PTQ_EE,,,,,,0%,,,4%,,,,,,,,,,,,,,,100%,,,,57%,,,,,,,,,,99%,100%,99%,99%,100%,99%,,SUPP,98%,,100%,53%,,,97%,Percentage of pupils entering the English Baccalaureate Maths subject area
1504,KS4_19,TEBAC2SCI_E_PTQ_EE,,,,,,0,,,15,,,,,,,,,,,,,,,30,,,,4,,,,,,,,,,291,124,165,176,0,255,,SUPP,195,,175,15,,,518775,Number of pupils entering the English Baccalaureate Science subject area
1505,KS4_19,PTEBAC2SCI_E_PTQ_EE,,,,,,0%,,,27%,,,,,,,,,,,,,,,100%,,,,57%,,,,,,,,,,98%,100%,97%,99%,0%,98%,,SUPP,96%,,99%,18%,,,96%,% of pupils entering the English Baccalaureate Science subject area
1506,KS4_19,TEBACHUM_E_PTQ_EE,,,,,,0,,,0,,,,,,,,,,,,,,,26,,,,5,,,,,,,,,,279,102,149,147,0,197,,SUPP,176,,167,0,,,437430,Number of pupils entering the English Baccalaureate Humanities subject area
1507,KS4_19,PTEBACHUM_E_PTQ_EE,,,,,,0%,,,0%,,,,,,,,,,,,,,,87%,,,,71%,,,,,,,,,,94%,82%,87%,83%,0%,76%,,SUPP,86%,,95%,0%,,,81%,% of pupils entering the English Baccalaureate Humanities subject area
1508,KS4_19,TEBACLAN_E_PTQ_EE,,,,,,0,,,0,,,,,,,,,,,,,,,23,,,,2,,,,,,,,,,172,57,112,73,0,96,,SUPP,54,,54,19,,,253176,Number of pupils entering the English Baccalaureate Language subject area
1509,KS4_19,PTEBACLAN_E_PTQ_EE,,,,,,0%,,,0%,,,,,,,,,,,,,,,77%,,,,29%,,,,,,,,,,58%,46%,66%,41%,0%,37%,,SUPP,27%,,31%,23%,,,47%,% of pupils entering the English Baccalaureate Language subject area
1510,KS4_19,PTEBACENG_94,,,,,,0%,,,0%,,,,,,,,,,,,,,,93%,,,,0%,,,,,,,,,,78%,85%,74%,80%,0%,77%,,SUPP,76%,,84%,0%,,,76%,% of pupils achieving the EBacc English subject area with a standard 9-4 pass
1511,KS4_19,PTEBACENG_95,,,,,,0%,,,0%,,,,,,,,,,,,,,,90%,,,,0%,,,,,,,,,,64%,62%,56%,64%,0%,56%,,SUPP,53%,,61%,0%,,,61%,% of pupils achieving the EBacc English subject area with a strong 9-5 pass 
1512,KS4_19,PTEBACMAT_94,,,,,,0%,,,2%,,,,,,,,,,,,,,,93%,,,,43%,,,,,,,,,,63%,80%,68%,66%,20%,65%,,SUPP,60%,,66%,19%,,,70%,% of pupils achieving the EBacc Maths subject area with a standard 9-4 pass 
1513,KS4_19,PTEBACMAT_95,,,,,,0%,,,2%,,,,,,,,,,,,,,,63%,,,,14%,,,,,,,,,,44%,57%,46%,42%,0%,43%,,SUPP,40%,,42%,5%,,,49%,% of pupils achieving the EBacc Maths subject area with a strong 9-5 pass 
1514,KS4_19,PTEBAC2SCI_94,,,,,,NE,,,7%,,,,,,,,,,,,,,,90%,,,,SUPP,,,,,,,,,,64%,77%,54%,71%,NE,60%,,SUPP,50%,,56%,80%,,,65%,% of entered pupils achieving the EBacc Science subject area with a 9-4 pass
1515,KS4_19,PTEBAC2SCI_95,,,,,,NE,,,0%,,,,,,,,,,,,,,,77%,,,,SUPP,,,,,,,,,,47%,62%,41%,51%,NE,39%,,SUPP,30%,,37%,33%,,,47%,% of entered pupils achieving the EBacc Science subject area with a 9-5 pass
1516,KS4_19,PTEBACHUM_94,,,,,,NE,,,NE,,,,,,,,,,,,,,,92%,,,,SUPP,,,,,,,,,,54%,69%,50%,58%,NE,64%,,SUPP,47%,,55%,NE,,,63%,% of entered pupils achieving the EBacc Humanities subject area with a 9-4 pass
1517,KS4_19,PTEBACHUM_95,,,,,,NE,,,NE,,,,,,,,,,,,,,,81%,,,,SUPP,,,,,,,,,,43%,56%,38%,44%,NE,45%,,SUPP,31%,,41%,NE,,,50%,% of entered pupils achieving the EBacc Humanities subject area with a 9-5 pass
1518,KS4_19,PTEBACLAN_94,,,,,,NE,,,NE,,,,,,,,,,,,,,,57%,,,,SUPP,,,,,,,,,,85%,84%,48%,70%,NE,76%,,SUPP,70%,,69%,95%,,,70%,% of entered pupils achieving the EBacc Language subject area with a 9-4 pass
1519,KS4_19,PTEBACLAN_95,,,,,,NE,,,NE,,,,,,,,,,,,,,,22%,,,,SUPP,,,,,,,,,,65%,68%,33%,52%,NE,65%,,SUPP,59%,,54%,95%,,,54%,% of entered pupils achieving the EBacc Language subject area with a 9-5 pass
1520,KS4_19,SCIVACOV_PTQ_EE,,,,,,NP,,,100%,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,94%,97%,98%,97%,NP,98%,,NP,90%,,100%,NP,,,,Coverage of the English Baccalaureate Science Value Added indicators of those who entered for science
1521,KS4_19,HUMVACOV_PTQ_EE,,,,,,NP,,,NE,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,95%,96%,99%,97%,NP,99%,,NP,91%,,100%,NP,,,,Coverage of the English Baccalaureate Humanities Value Added indicators of those who entered for humanities
1522,KS4_19,LANVACOV_PTQ_EE,,,,,,NP,,,NE,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,95%,93%,96%,99%,NP,98%,,NP,78%,,100%,NP,,,,Coverage of the English Baccalaureate Language Value Added indicators of those who entered for languages
1523,KS4_19,SCIVAMEA_PTQ_EE,,,,,,NP,,,0,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,0.34,0.66,0.03,0.49,NP,-0.1,,NP,-0.42,,-0.39,NP,,,,English Baccalaureate Science Value Added measure
1524,KS4_19,SCIVALOW_PTQ_EE,,,,,,NP,,,-0.71,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,0.18,0.41,-0.18,0.27,NP,-0.27,,NP,-0.63,,-0.6,NP,,,,English Baccalaureate Science Value Added lower 95% confidence limit
1525,KS4_19,SCIVAUPP_PTQ_EE,,,,,,NP,,,0.71,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,0.51,0.91,0.25,0.7,NP,0.08,,NP,-0.21,,-0.18,NP,,,,English Baccalaureate Science Value Added upper 95% confidence limit
1526,KS4_19,HUMVAMEA_PTQ_EE,,,,,,NP,,,NE,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,0.05,0.18,-0.33,-0.05,NP,0.11,,NP,-0.47,,-0.58,NP,,,,EBacc Humanities VA measure
1527,KS4_19,HUMVALOW_PTQ_EE,,,,,,NP,,,NE,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,-0.15,-0.17,-0.61,-0.33,NP,-0.13,,NP,-0.74,,-0.84,NP,,,,English Baccalaureate Humanities Value Added lower 95% confidence limit
1528,KS4_19,HUMVAUPP_PTQ_EE,,,,,,NP,,,NE,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,0.26,0.52,-0.05,0.24,NP,0.35,,NP,-0.2,,-0.32,NP,,,,English Baccalaureate Humanities Value Added upper 95% confidence limit
1529,KS4_19,LANVAMEA_PTQ_EE,,,,,,NP,,,NE,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,0.68,0.28,-0.43,-0.17,NP,0.6,,NP,-0.07,,-0.2,NP,,,,English Baccalaureate Languages Value Added measure
1530,KS4_19,LANVALOW_PTQ_EE,,,,,,NP,,,NE,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,0.4,-0.21,-0.77,-0.59,NP,0.23,,NP,-0.62,,-0.68,NP,,,,English Baccalaureate Languages Value Added lower 95% confidence limit
1531,KS4_19,LANVAUPP_PTQ_EE,,,,,,NP,,,NE,,,,,,,,,,,,,,,NP,,,,SUPP,,,,,,,,,,0.96,0.77,-0.09,0.25,NP,0.96,,NP,0.48,,0.29,NP,,,,English Baccalaureate Languages Value Added upper 95% confidence limit
1532,KS4_19,TEBACENG_94,,,,,,0,,,0,,,,,,,,,,,,,,,28,,,,0,,,,,,,,,,232,105,127,142,0,200,,SUPP,155,,147,0,,,411321,Number of pupils achieving EBacc English subject area with a standard 9-4 pass 
1533,KS4_19,TEBACENG_95,,,,,,0,,,0,,,,,,,,,,,,,,,27,,,,0,,,,,,,,,,190,77,95,114,0,147,,SUPP,109,,108,0,,,328633,Number of pupils achieving EBacc English subject area with a strong 9-5 pass 
1534,KS4_19,TEBACMAT_94,,,,,,0,,,1,,,,,,,,,,,,,,,28,,,,3,,,,,,,,,,189,99,116,117,2,170,,SUPP,123,,116,16,,,379948,Number of pupils achieving EBacc Maths subject area with a standard 9-4 pass 
1535,KS4_19,TEBACMAT_95,,,,,,0,,,1,,,,,,,,,,,,,,,19,,,,1,,,,,,,,,,130,70,78,75,0,113,,SUPP,82,,74,4,,,266541,Number of pupils achieving EBacc Maths subject area with a strong 9-5 pass 
1536,KS4_19,TEBAC2SCI_94,,,,,,NE,,,1,,,,,,,,,,,,,,,27,,,,SUPP,,,,,,,,,,187,96,89,124,NE,152,,SUPP,97,,98,12,,,338843,Number of pupils achieving EBacc Science subject area with a 9-4 pass
1537,KS4_19,TEBAC2SCI_95,,,,,,NE,,,0,,,,,,,,,,,,,,,23,,,,SUPP,,,,,,,,,,136,77,68,89,NE,100,,SUPP,59,,65,5,,,242739,Number of pupils achieving EBacc Science subject area with a 9-5 pass
1538,KS4_19,TEBACHUM_94,,,,,,NE,,,NE,,,,,,,,,,,,,,,24,,,,SUPP,,,,,,,,,,150,70,75,85,NE,125,,SUPP,83,,91,NE,,,274291,Number of pupils achieving EBacc Humanities subject area with a 9-4 pass
1539,KS4_19,TEBACHUM_95,,,,,,NE,,,NE,,,,,,,,,,,,,,,21,,,,SUPP,,,,,,,,,,120,57,57,65,NE,89,,SUPP,55,,68,NE,,,219203,Number of pupils achieving EBacc Humanities subject area with a 9-5 pass
1540,KS4_19,TEBACLAN_94,,,,,,NE,,,NE,,,,,,,,,,,,,,,13,,,,SUPP,,,,,,,,,,146,48,54,51,NE,73,,SUPP,38,,37,18,,,177708,Number of pupils achieving EBacc Language subject area with a 9-4 pass
1541,KS4_19,TEBACLAN_95,,,,,,NE,,,NE,,,,,,,,,,,,,,,5,,,,SUPP,,,,,,,,,,111,39,37,38,NE,62,,SUPP,32,,29,18,,,137628,Number of pupils achieving EBacc Language subject area with a 9-5 pass
1542,KS4_19,TEBACC91,,,,,,0,,,0,,,,,,,,,,,,,,,18,,,,0,,,,,,,,,,163,51,103,60,0,65,,SUPP,42,,53,0,,,210539,Number of pupils achieving the English Baccalaureate at grades 9-1
1543,KS4_19,PTEBACC91,,,,,,0%,,,0%,,,,,,,,,,,,,,,60%,,,,0%,,,,,,,,,,55%,41%,60%,34%,0%,25%,,SUPP,21%,,30%,0%,,,39%,% of pupils achieving the English Baccalaureate at grades 9-1 
1544,KS4_19,TEBACENG91,,,,,,0,,,1,,,,,,,,,,,,,,,30,,,,0,,,,,,,,,,293,123,168,176,0,244,,SUPP,194,,176,1,,,517415,Number of pupils achieving EBacc English subject area at grade 9-1
1545,KS4_19,PTEBACENG91,,,,,,0%,,,2%,,,,,,,,,,,,,,,100%,,,,0%,,,,,,,,,,98%,99%,98%,99%,0%,94%,,SUPP,95%,,100%,1%,,,95%,% of pupils achieving the EBacc English subject area at grade 9-1
1546,KS4_19,TEBACMAT91,,,,,,0,,,2,,,,,,,,,,,,,,,30,,,,4,,,,,,,,,,292,124,163,175,10,255,,SUPP,192,,174,42,,,519139,Number of pupils achieving EBacc Maths subject area at grade 9-1
1547,KS4_19,PTEBACMAT91,,,,,,0%,,,4%,,,,,,,,,,,,,,,100%,,,,57%,,,,,,,,,,98%,100%,95%,98%,100%,98%,,SUPP,94%,,99%,51%,,,96%,% of pupils achieving the EBacc Maths subject area at grade 9-1
