No,Namespace,Variable,Marston Green Infant Academy - 140733,Blackheath Primary School - 103981,Town Junior School - 141206,St Anthony's Catholic Primary School - 104103,St Anthony's Catholic Primary School - 148090,Minworth Junior and Infant School - 103345,Marston Green Junior School - 104060,Kingshurst Primary School - 135139,The Priory Primary School - 131212,Rowley Hall Primary School - 103955,St Anne's Catholic Primary School - 148092,St Anne's Catholic Primary School - 104104,Moorlands Primary School - 103908,Greswold Primary School - 104079,Forest Oak School - 104132,Merstone School - 104133,Smith's Wood Primary Academy - 140923,West Heath Primary School - 134279,Homeschool - 141501,Shirley Heath Junior School - 104050,Newtown Primary School - 103924,Newtown Primary School - 146434,Delves Junior School - 104170,Delves Infant School - 104150,Woodlands Infant School - 104053,Merritts Brook Primary E-ACT Academy - 139014,Grace Mary Primary School - 103945,Highfields Primary School - 103946,St John the Baptist Catholic Primary School - 148093,St John the Baptist Catholic Primary School - 104107,Hawkesley Church Primary Academy - 139269,Damson Wood Nursery and Infant School - 143051,Lea Hall Academy - 148722,Coppice Primary School - 137697,Tameside Primary School - 131735,Harvills Hawthorn Primary School - 131591,Park Hall Junior Academy - 137797,Tameside Primary Academy - 146358,Tudor Grange Academy Kingshurst - 146379,Plantsbrook School - 137053,Lode Heath School - 137008,Light Hall School - 137231,Smith's Wood Academy - 143895,WMG Academy for Young Engineers (Solihull) - 142900,Wodensborough Ormiston Academy - 139918,Ormiston Sandwell Community Academy - 135979,King Edward VI Northfield School for Girls - 148684,Turves Green Girls' School - 103499,High Point Academy - 148400,St Michael's Church of England High School - 104019,National state-funded primary,National state-funded secondary and 16 to 18,Description
1038,KS5_STUDEST_21,ACADAGEN_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,13,,,,,,,,,Cohort size for academic/applied general cohort
1039,KS5_STUDEST_21,ACADAGEN_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,,,,31%,,,,,,,,,Progressed for academic/applied general cohort
1040,KS5_STUDEST_21,ACADAGEN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,-35,,,,,,,,,Progression score for academic/applied general cohort
1041,KS5_STUDEST_21,ACADAGEN_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,,Band for academic/applied general cohort
1042,KS5_STUDEST_21,TLEV_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,42,,,,,,,,,Cohort size for TLEV cohort
1043,KS5_STUDEST_21,TLEV_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,26%,,,,,,,,,Progressed for TLEV cohort
1044,KS5_STUDEST_21,TLEV_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,-15,,,,,,,,,Score for TLEV cohort
1045,KS5_STUDEST_21,TLEV_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,3,,,,,,,,,Band for TLEV cohort
1046,KS5_STUDEST_21,OTHER_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,Cohort size for other level 3 qualifications cohort
1047,KS5_STUDEST_21,OTHER_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0%,,,,,,,,,Progressed for other level 3 qualifications cohort
1048,KS5_STUDEST_21,OTHER_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,NA,,,,,,,,,Score for other level 3 qualifications cohort
1049,KS5_STUDEST_21,OTHER_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,NA,,,,,,,,,Band for other level 3 qualifications cohort
1050,KS5_STUDEST_21,DIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,15%,,,,,,,,,Progressed for disadvantaged students
1051,KS5_STUDEST_21,DIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,Apprenticeships for disadvantaged students
1052,KS5_STUDEST_21,DIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,15%,,,,,,,,,HE for disadvantaged students
1053,KS5_STUDEST_21,DIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,,SUPP,,,,,,,,,Top third for disadvantaged students
1054,KS5_STUDEST_21,DIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,SUPP,,,,,,,,,Russell for disadvantaged students
1055,KS5_STUDEST_21,DIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0%,,,,,,,,,Oxbridge for disadvantaged students
1056,KS5_STUDEST_21,DIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,Higher technical for disadvantaged students
1057,KS5_STUDEST_19,NONDIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63%,
1058,KS5_STUDEST_19,NONDIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1059,KS5_STUDEST_19,NONDIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59%,
1060,KS5_STUDEST_19,NONDIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,
1061,KS5_STUDEST_19,NONDIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,
1062,KS5_STUDEST_19,NONDIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1063,KS5_STUDEST_19,NONDIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,
1064,KS2_19,YEAR,,2019,2019,2019,,2019,2019,2019,2019,2019,,2019,2019,2019,2019,2019,2019,2019,,2019,2019,,2019,,,2019,2019,2019,,2019,2019,,,2019,2019,2019,2019,2019,,,,,,,,,,,,,2019,,
1065,KS2_19,RECTYPE,,1,1,1,,1,1,1,1,1,,1,1,1,2,2,1,1,,1,1,,1,,,1,1,1,,1,1,,,1,1,1,1,1,,,,,,,,,,,,,5,,Record type (1=Mainstream school; 2=Special school; 3=Local Authority; 4=National (all schools); 5=National (state-funded schools only))
1066,KS2_19,ALPHAIND,,5844,60416,47286,,35726,34294,29734,43206,46042,,47116,36138,22278,19518,35138,56056,63148,,55340,37772,,15216,,,35090,21280,25354,,49442,23968,,,13326,59008,23704,41100,59006,,,,,,,,,,,,,,,Alphabetic index
1067,KS2_19,LEA,,333,330,334,,330,334,334,333,333,,334,333,334,334,334,334,330,,334,333,,335,,,330,333,333,,334,330,,,885,333,333,335,333,,,,,,,,,,,,,,,Local authority number
1068,KS2_19,ESTAB,,2176,2145,3510,,2406,2051,3517,2183,2146,,3511,2046,2090,7005,7007,2094,2019,,2019,2074,,2043,,,2100,2127,2128,,3516,2121,,,2915,2187,2186,5201,2009,,,,,,,,,,,,,,,Establishment number
1069,KS2_19,URN,,103981,141206,104103,,103345,104060,135139,131212,103955,,104104,103908,104079,104132,104133,140923,134279,,104050,103924,,104170,,,139014,103945,103946,,104107,139269,,,137697,131735,131591,137797,146358,,,,,,,,,,,,,,,School unique reference number
1070,KS2_19,SCHNAME,,Blackheath Primary School,Town Junior School,St Anthony's Catholic Primary School,,Minworth Junior and Infant School,Marston Green Junior School,Kingshurst Primary School,The Priory Primary School,Rowley Hall Primary School,,St Anne's Catholic Primary School,Moorlands Primary School,Greswold Primary School,Forest Oak School,Merstone School,Smith's Wood Primary Academy,West Heath Primary School,,Shirley Heath Junior School,Newtown Primary School,,Delves Junior School,,,Merritts Brook Primary E-ACT Academy,Grace Mary Primary School,Highfields Primary School,,St John the Baptist Catholic Primary School,Hawkesley Church Primary Academy,,,Coppice Primary School,Tameside Primary School,Harvills Hawthorn Primary School,Park Hall Junior Academy,Tameside Primary Academy,,,,,,,,,,,,,,,School/Local authority name
1071,KS2_19,ADDRESS1,,Britannia Road,Ebrook Road,Fordbridge Road,,Water Orton Lane,Station Road,School Close,Dorsett Road,Windsor Road,,Bosworth Drive,Winchester Road,Buryfield Road,Windward Way,Windward Way,Burton's Way,Rednal Road,,Coombe Road,Anne Close,,Bell Lane,,,Trescott Road,Hawfield Road,Beeches Road,,Arran Way,376 Shannon Road,,,Shawhurst Lane,Price Road,Wolseley Road,Park Hall Road,Price Road,,,,,,,,,,,,,,,School address (1)
1072,KS2_19,ADDRESS2,,,,Kingshurst,,Minworth,Marston Green,Kingshurst,Friar Park,,,Chelmsley Wood,,,Smith's Wood,Smith's Wood,Smith's Wood,West Heath Primary,,Shirley,Off Dunkirk Avenue,,Delves,,,Northfield,Tividale,,,Chelmsley Wood,Kings Norton,,,Hollywood,,Hill Top,,,,,,,,,,,,,,,,,School address (2)
1073,KS2_19,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
1074,KS2_19,TOWN,,Rowley Regis,Sutton Coldfield,Birmingham,,Sutton Coldfield,Birmingham,Birmingham,Wednesbury,Rowley Regis,,Birmingham,West Bromwich,Solihull,Birmingham,Birmingham,Birmingham,Birmingham,,Solihull,West Bromwich,,Walsall,,,Birmingham,Oldbury,Rowley Regis,,Birmingham,Birmingham,,,Birmingham,Wednesbury,West Bromwich,Walsall,Wednesbury,,,,,,,,,,,,,,,School town
1075,KS2_19,PCODE,,B65 9NF,B72 1NX,B37 6LW,,B76 9BU,B37 7BA,B37 6BN,WS10 0JG,B65 9HU,,B37 5DP,B71 2NZ,B91 2AZ,B36 0UE,B36 0UE,B36 0SZ,B38 8HU,,B90 3DS,B70 0ES,,WS5 4PU,,,B31 5QD,B69 1LD,B65 0DA,,B36 0QE,B38 9TR,,,B47 5JN,WS10 0EZ,B70 0NG,WS5 3HF,WS10 0EZ,,,,,,,,,,,,,,,School postcode
1076,KS2_19,TELNUM,,1215591033,1214648738,1217703168,,1213511345,1217792227,1217886510,1215561383,1215591400,,1217798060,1215560352,1217054738,1217170088,1217171040,1217798050,1214584257,,1217441339,1215578504,,1922721112,,,1216751299,1384255910,1215591037,,1217701892,1214596467,,,1564826709,1215560340,1215571034,1922720761,1215560340,,,,,,,,,,,,,,,School telephone number 
1077,KS2_19,PCON_CODE,,E14000722,E14000985,E14000812,,E14000985,E14000812,E14000812,E14001029,E14000722,,E14000812,E14001030,E14000931,E14000812,E14000812,E14000812,E14000565,,E14000931,E14001030,,E14001012,,,E14000565,E14001030,E14000722,,E14000812,E14000565,,,E14000605,E14001029,E14001030,E14001012,E14001029,,,,,,,,,,,,,,,School parliamentary constituency code
1078,KS2_19,PCON_NAME,,Halesowen and Rowley Regis,Sutton Coldfield,Meriden,,Sutton Coldfield,Meriden,Meriden,West Bromwich East,Halesowen and Rowley Regis,,Meriden,West Bromwich West,Solihull,Meriden,Meriden,Meriden,"Birmingham, Northfield",,Solihull,West Bromwich West,,Walsall South,,,"Birmingham, Northfield",West Bromwich West,Halesowen and Rowley Regis,,Meriden,"Birmingham, Northfield",,,Bromsgrove,West Bromwich East,West Bromwich West,Walsall South,West Bromwich East,,,,,,,,,,,,,,,School parliamentary constituency name
1079,KS2_19,URN_AC,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,,0,0,,,0,0,0,0,0,,,,,,,,,,,,,,,Converter academy: URN 
1080,KS2_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: name
1081,KS2_19,OPEN_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: open date
1082,KS2_19,NFTYPE,,CY,AC,VA,,CY,CY,CY,CY,FD,,VA,FD,CY,CYS,CYS,ACC,CY,,CY,CY,,CY,,,AC,CY,CY,,VA,AC,,,ACC,FD,FD,ACC,AC,,,,,,,,,,,,,,,"School type. Rectype 1: AC = Academy Sponsor Led (NFTYPE 20), CY = Community school (21), VA = Voluntary Aided school (22), VC = Voluntary Controlled school (23), FD = Foundation school (24), CTC = City Technology College (25), ACC = Academy converter (51), F = Free school (52). Rectype 2: CYS = Community special (26), FDS = Foundation special (27), ACS = Academy special (50), FS = Free Special School (53), ACCS = Academy Converter Special (55)."
1083,KS2_19,ICLOSE,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,,0,0,,,0,1,0,0,0,,,,,,,,,,,,,,,"Closed Flag: 0 (Open), 1 (Closed) or 'null'"
1084,KS2_19,RELDENOM,,Does not apply,Does not apply,Roman Catholic,,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,Does not apply,Does not apply,,Does not apply,,,Does not apply,Does not apply,Does not apply,,Roman Catholic,Church of England/Methodist,,,Does not apply,Does not apply,Does not apply,None,Does not apply,,,,,,,,,,,,,,,Religious denomination
1085,KS2_19,AGERANGE,,3 to 11,7 to 11,3 to 11,,4 to 11,7 to 11,3 to 11,3 to 11,3 to 11,,3 to 11,5 to 11,3 to 11,4 to 19,2 to 19,3 to 11,4 to 11,,7 to 11,3 to 11,,7 to 11,,,3 to 11,3 to 11,3 to 11,,3 to 11,3 to 11,,,3 to 11,3 to 11,3 to 11,7 to 11,3 to 11,,,,,,,,,,,,,,,Age range
1086,KS2_19,CONFEXAM,,,,,,,,,,R,,,,,R,R,R,R,,,R,,,,,R,,,,,R,,,,R,,,,,,,,,,,,,,,,,,Confirmation flag that core performance information has been checked: R=No confirmation received from schools WITH RESULTS; Blank = Confirmed (or schools have no KS2)
1087,KS2_19,TAB15,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,,0,0,,,0,0,0,0,0,,,,,,,,,,,,,,,School published in secondary school (key stage 4) performance tables: 1=Yes; 0=No
1088,KS2_19,TAB1618,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,,0,0,,,0,0,0,0,0,,,,,,,,,,,,,,,School published in school and college (key stage 5) performance tables: 1=Yes; 0=No
1089,KS2_19,TOTPUPS,,504,238,264,,200,352,502,337,679,,475,209,585,175,113,446,406,,389,233,,361,,,221,285,464,,219,240,,,675,0,495,409,NEW,,,,,,,,,,,,,4602440,,Total number of pupils (including part-time pupils): NEW' =New school with no eligible pupils
1090,KS2_19,TPUPYEAR,,60,59,30,,27,85,54,30,90,,58,30,60,5,9,56,60,,90,30,,89,,,29,59,61,,29,31,,,62,0,60,102,,,,,,,,,,,,,,643616,,Number of pupils aged 11 
1091,KS2_19,TELIG,,60,59,30,,27,85,55,30,90,,58,30,60,5,9,56,59,,90,30,,88,,,29,59,61,,29,30,,,62,89,58,102,,,,,,,,,,,,,,644967,,Published eligible pupil number
1092,KS2_19,BELIG,,25,31,13,,15,36,24,10,54,,33,14,20,SUPP,8,25,31,,53,17,,48,,,18,29,31,,13,20,,,33,45,29,58,,,,,,,,,,,,,,329113,,Eligible boys on school roll at time of tests
1093,KS2_19,GELIG,,35,28,17,,12,49,31,20,36,,25,16,40,SUPP,1,31,28,,37,13,,40,,,11,30,30,,16,10,,,29,44,29,44,,,,,,,,,,,,,,315849,,Eligible girls on school roll at time of tests
1094,KS2_19,PBELIG,,42%,53%,43%,,56%,42%,44%,33%,60%,,57%,47%,33%,SUPP,89%,45%,53%,,59%,57%,,55%,,,62%,49%,51%,,45%,67%,,,53%,51%,50%,57%,,,,,,,,,,,,,,51%,,Percentage of eligible boys on school roll at time of tests
1095,KS2_19,PGELIG,,58%,47%,57%,,44%,58%,56%,67%,40%,,43%,53%,67%,SUPP,11%,55%,47%,,41%,43%,,45%,,,38%,51%,49%,,55%,33%,,,47%,49%,50%,43%,,,,,,,,,,,,,,49%,,Percentage of eligible girls on school roll at time of tests
1096,KS2_19,TKS1AVERAGE,,15.9,17.4,15.8,,15.9,17.2,16.1,16.1,16.1,,16.2,15.1,17.1,SUPP,2.1,17.5,16,,17.1,15.2,,17.5,,,15.5,15.3,16.7,,15.1,15.7,,,17.4,12.6,15,17.7,,,,,,,,,,,,,,16.2,,Cohort level key stage 1 average points score
1097,KS2_19,TKS1GROUP_L,,10,2,4,,1,1,4,2,9,,7,4,6,SUPP,9,3,8,,3,4,,1,,,4,10,2,,4,0,,,2,34,7,3,,,,,,,,,,,,,,53959,,Number of pupils in cohort with low KS1 attainment
1098,KS2_19,PTKS1GROUP_L,,17%,4%,13%,,4%,1%,8%,7%,10%,,13%,13%,10%,SUPP,100%,5%,14%,,3%,13%,,1%,,,14%,18%,3%,,14%,0%,,,3%,40%,12%,3%,,,,,,,,,,,,,,9%,,Percentage of pupils in cohort with low KS1 attainment
1099,KS2_19,TKS1GROUP_M,,31,28,17,,21,45,33,19,50,,29,21,26,SUPP,0,26,31,,47,18,,47,,,16,32,36,,19,23,,,29,45,36,46,,,,,,,,,,,,,,350287,,Number of pupils in cohort with medium KS1 attainment
1100,KS2_19,PTKS1GROUP_M,,53%,50%,57%,,81%,54%,62%,66%,57%,,53%,70%,45%,SUPP,0%,47%,55%,,53%,60%,,57%,,,57%,56%,59%,,66%,79%,,,48%,53%,63%,47%,,,,,,,,,,,,,,57%,,Percentage of pupils in cohort with medium KS1 attainment
1101,KS2_19,TKS1GROUP_H,,17,26,9,,4,38,16,8,28,,19,5,26,SUPP,0,26,17,,38,8,,35,,,8,15,23,,6,6,,,30,6,14,49,,,,,,,,,,,,,,209272,,Number of pupils in cohort high KS1 attainment
1102,KS2_19,PTKS1GROUP_H,,29%,46%,30%,,15%,45%,30%,28%,32%,,35%,17%,45%,SUPP,0%,47%,30%,,43%,27%,,42%,,,29%,26%,38%,,21%,21%,,,49%,7%,25%,50%,,,,,,,,,,,,,,34%,,Percentage of pupils in cohort with high KS1 attainment
1103,KS2_19,TKS1GROUP_NA,,2,3,0,,1,1,2,1,3,,3,0,2,SUPP,0,1,3,,2,0,,5,,,1,2,0,,0,1,,,1,4,1,4,,,,,,,,,,,,,,31449,,No. of pupils in KS1 group not calculable
1104,KS2_19,PTKS1GROUP_NA,,3%,5%,0%,,4%,1%,4%,3%,3%,,5%,0%,3%,SUPP,0%,2%,5%,,2%,0%,,6%,,,3%,3%,0%,,0%,3%,,,2%,4%,2%,4%,,,,,,,,,,,,,,5%,,Percentage of pupils in KS1group not calculable
1105,KS2_19,TFSM6CLA1A,,26,14,18,,12,21,35,16,40,,25,17,4,SUPP,4,41,36,,10,14,,31,,,22,21,14,,16,27,,,13,51,24,9,,,,,,,,,,,,,,197488,,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
1106,KS2_19,PTFSM6CLA1A,,43%,24%,60%,,44%,25%,64%,53%,44%,,43%,57%,7%,SUPP,44%,73%,61%,,11%,47%,,35%,,,76%,36%,23%,,55%,90%,,,21%,57%,41%,9%,,,,,,,,,,,,,,31%,,Percentage of key stage 2 disadvantaged pupils
1107,KS2_19,TNOTFSM6CLA1A,,34,45,12,,15,64,20,14,50,,33,13,56,SUPP,5,15,23,,80,16,,57,,,7,38,47,,13,3,,,49,38,34,93,,,,,,,,,,,,,,447479,,Number of key stage 2 pupils who are not disadvantaged
1108,KS2_19,PTNOTFSM6CLA1A,,57%,76%,40%,,56%,75%,36%,47%,56%,,57%,43%,93%,SUPP,56%,27%,39%,,89%,53%,,65%,,,24%,64%,77%,,45%,10%,,,79%,43%,59%,91%,,,,,,,,,,,,,,69%,,Percentage of key stage 2 pupils who are not disadvantaged
1109,KS2_19,TEALGRP2,,12,5,2,,1,6,5,4,9,,8,9,14,SUPP,0,0,5,,9,7,,53,,,7,11,8,,2,3,,,2,17,14,64,,,,,,,,,,,,,,135559,,Number of eligible pupils with English as additional language (EAL)
1110,KS2_19,PTEALGRP2,,20%,8%,7%,,4%,7%,9%,13%,10%,,14%,30%,23%,SUPP,0%,0%,8%,,10%,23%,,60%,,,24%,19%,13%,,7%,10%,,,3%,19%,24%,63%,,,,,,,,,,,,,,21%,,Percentage of eligible pupils with English as additional language (EAL)
1111,KS2_19,TMOBN,,57,58,29,,25,82,53,28,88,,57,30,57,SUPP,9,52,56,,87,29,,82,,,26,54,60,,26,26,,,60,81,57,99,,,,,,,,,,,,,,595736,,Number of eligible pupils classified as non-mobile
1112,KS2_19,PTMOBN,,95%,98%,97%,,93%,96%,96%,93%,98%,,98%,100%,95%,SUPP,100%,93%,95%,,97%,97%,,93%,,,90%,92%,98%,,90%,87%,,,97%,91%,98%,97%,,,,,,,,,,,,,,92%,,Percentage of eligible pupils classified as non-mobile
1113,KS2_19,PTRWM_EXP,,62%,76%,90%,,59%,74%,55%,73%,47%,,88%,40%,82%,SUPP,0%,84%,73%,,68%,27%,,67%,,,75%,81%,72%,,55%,52%,,,76%,45%,60%,91%,,,,,,,,,,,,,,65%,,"Percentage of pupils reaching the expected standard in reading, writing and maths"
1114,KS2_19,PTRWM_HIGH,,7%,17%,30%,,11%,11%,5%,10%,3%,,24%,3%,22%,SUPP,0%,14%,3%,,12%,0%,,11%,,,0%,22%,5%,,3%,3%,,,23%,3%,2%,21%,,,,,,,,,,,,,,11%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
1115,KS2_19,READPROG,,-0.1,-0.5,5.9,,-0.9,0,-3.9,-0.9,-4.3,,3.1,-1.9,3.1,SUPP,-0.4,-0.3,0.7,,-1.1,-5.2,,-0.9,,,-0.9,3.5,-0.9,,-1.8,-3,,,-0.5,1.6,0.9,2.7,,,,,,,,,,,,,,,,Reading progress measure
1116,KS2_19,READPROG_LOWER,,-1.7,-2.1,3.7,,-3.3,-1.3,-5.5,-3.1,-5.6,,1.5,-4.1,1.5,SUPP,-4.5,-1.9,-0.9,,-2.4,-7.4,,-2.2,,,-3.2,1.9,-2.5,,-4,-5.3,,,-2.1,0.2,-0.7,1.5,,,,,,,,,,,,,,,,Reading progress measure - lower confidence limit
1117,KS2_19,READPROG_UPPER,,1.5,1.1,8.1,,1.4,1.3,-2.2,1.4,-3,,4.7,0.3,4.7,SUPP,3.6,1.3,2.3,,0.1,-3,,0.4,,,1.5,5.1,0.6,,0.5,-0.7,,,1,2.9,2.5,3.9,,,,,,,,,,,,,,,,Reading progress measure - upper confidence limit
1118,KS2_19,READCOV,,95%,95%,100%,,96%,99%,96%,97%,97%,,95%,100%,97%,SUPP,100%,98%,93%,,98%,100%,,94%,,,93%,97%,100%,,100%,93%,,,98%,96%,98%,96%,,,,,,,,,,,,,,,,Reading progress measure - coverage
1119,KS2_19,WRITPROG,,-0.4,0.4,2.8,,-1.2,0.1,-2.6,1.2,-1,,3.1,-0.6,0.4,SUPP,-1.2,-0.4,-0.2,,-0.5,-0.9,,-0.9,,,1.1,2.6,0,,1.9,-1.8,,,0.1,4.1,-0.5,0,,,,,,,,,,,,,,,,Writing progress measure
1120,KS2_19,WRITPROG_LOWER,,-1.8,-1.1,0.8,,-3.4,-1.2,-4.2,-0.9,-2.2,,1.6,-2.7,-1.1,SUPP,-5,-1.9,-1.7,,-1.7,-2.9,,-2.1,,,-1,1.1,-1.5,,-0.2,-3.9,,,-1.4,2.9,-2,-1.1,,,,,,,,,,,,,,,,Writing progress measure - lower confidence limit
1121,KS2_19,WRITPROG_UPPER,,1.1,1.9,4.9,,1,1.3,-1.1,3.3,0.2,,4.6,1.4,1.8,SUPP,2.5,1.1,1.3,,0.7,1.1,,0.4,,,3.3,4,1.4,,3.9,0.3,,,1.5,5.3,0.9,1.1,,,,,,,,,,,,,,,,Writing progress measure - upper confidence limit
1122,KS2_19,WRITCOV,,97%,95%,100%,,96%,99%,96%,97%,97%,,95%,100%,97%,SUPP,100%,98%,95%,,98%,100%,,94%,,,93%,97%,100%,,100%,93%,,,98%,94%,98%,96%,,,,,,,,,,,,,,,,Writing progress measure - coverage
1123,KS2_19,MATPROG,,0,-0.5,5.2,,0.4,-1.6,-1.7,-0.6,-4.1,,3.2,-0.8,2.4,SUPP,-1.5,-0.2,-0.3,,-2.1,-5.1,,0,,,0.2,2.1,-1,,0.3,-3.5,,,0.3,0.1,2.1,2.6,,,,,,,,,,,,,,,,Maths progress measure
1124,KS2_19,MATPROG_LOWER,,-1.4,-1.9,3.3,,-1.7,-2.8,-3.2,-2.6,-5.2,,1.8,-2.7,1,SUPP,-5.1,-1.6,-1.7,,-3.2,-7,,-1.2,,,-1.9,0.7,-2.4,,-1.7,-5.5,,,-1.1,-1.1,0.7,1.5,,,,,,,,,,,,,,,,Maths progress measure - lower confidence limit
1125,KS2_19,MATPROG_UPPER,,1.4,0.9,7.2,,2.5,-0.5,-0.3,1.3,-3,,4.6,1.2,3.7,SUPP,2,1.2,1.2,,-0.9,-3.2,,1.2,,,2.2,3.5,0.3,,2.3,-1.6,,,1.7,1.2,3.5,3.6,,,,,,,,,,,,,,,,Maths progress measure - upper confidence limit
1126,KS2_19,MATCOV,,95%,95%,100%,,96%,99%,96%,97%,97%,,95%,100%,97%,SUPP,100%,98%,92%,,98%,100%,,94%,,,93%,97%,100%,,100%,93%,,,97%,96%,98%,96%,,,,,,,,,,,,,,,,Maths progress measure - coverage
1127,KS2_19,PTREAD_EXP,,72%,83%,90%,,70%,84%,62%,73%,54%,,93%,50%,88%,SUPP,0%,84%,81%,,76%,43%,,82%,,,79%,85%,80%,,55%,63%,,,79%,56%,72%,97%,,,,,,,,,,,,,,73%,,Percentage of pupils reaching the expected standard in reading
1128,KS2_19,PTREAD_HIGH,,22%,34%,43%,,19%,33%,16%,27%,11%,,38%,13%,50%,SUPP,0%,43%,22%,,32%,0%,,27%,,,10%,39%,23%,,17%,10%,,,32%,8%,14%,49%,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in reading
1129,KS2_19,PTREAD_AT,,2%,0%,0%,,0%,0%,0%,0%,0%,,0%,0%,0%,SUPP,0%,0%,2%,,0%,0%,,0%,,,3%,0%,0%,,0%,3%,,,0%,1%,0%,0%,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in reading
1130,KS2_19,READ_AVERAGE,,103,106,109,,103,106,102,103,101,,107,100,109,SUPP,,107,105,,105,98,,105,,,102,108,104,,100,100,,,105,101,103,109,,,,,,,,,,,,,,104,,Average scaled score in reading
1131,KS2_19,PTGPS_EXP,,73%,81%,93%,,81%,88%,69%,73%,53%,,98%,70%,92%,SUPP,0%,93%,81%,,82%,73%,,84%,,,59%,81%,85%,,72%,60%,,,84%,55%,81%,98%,,,,,,,,,,,,,,78%,,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
1132,KS2_19,PTGPS_HIGH,,27%,32%,77%,,30%,52%,16%,43%,10%,,41%,23%,63%,SUPP,0%,63%,42%,,34%,17%,,36%,,,17%,32%,38%,,14%,17%,,,52%,11%,50%,71%,,,,,,,,,,,,,,36%,,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
