No,Namespace,Variable,Old Church Church of England C Primary School - 104224,Alumwell Junior School - 104142,Alumwell Infant School - 104143,Foxyards Primary School - 148182,Foxyards Primary School - 103788,Croft Academy - 138420,Wallbrook Primary Academy - 147721,Wallbrook Primary School - 103783,Reedswood E-ACT Academy - 138452,Priory Primary School - 145305,Jesson's CofE Primary School (VA) - 103845,"St Joseph's Catholic Primary School, Darlaston - 104235",Quarry Bank Primary School - 103830,Woods Bank Academy - 139305,Bentley Heath Church of England Primary School - 140462,North Walsall Primary Academy - 144499,Wilkinson Primary School - 104325,The Wenlock School - 145563,Christ Church CofE Primary School - 103838,Radleys Primary School - 104207,King Charles Primary School - 104175,Leighswood School - 131433,County Bridge Primary School - 104189,George Fentham Endowed School - 104094,"The Jane Lane School,  A College for Cognition & Learning - 104271",Woodside Primary School and Nursery - 143821,St Thomas of Canterbury Catholic Primary School - 104236,Wollescote Primary School - 103800,Wrens Nest Primary School - 103823,Lickey Hills Primary School and Nursery - 116773,St Andrew's CofE First School - 116865,Mount Pleasant Primary School - 103780,The Island Project School - 135453,Edgar Stammers Primary Academy - 139610,Loxdale Primary School - 104315,Rosewood School - 103882,Crown Meadow First School & Nursery - 116646,Alvechurch CofE Middle School - 143507,Knowle Church of England Primary Academy - 139457,St Mary's RC Primary School - 141489,Bentley West Primary School Additionally Resourced for Hearing Impaired - 104174,St James Academy - 144657,Waseley Hills High School - 138664,Grace Academy Darlaston - 135956,Elmwood School - 135461,Priory Park Community School - 148642,Pegasus Academy - 137390,Sutton School - 103877,Bishop Milner Catholic College - 140126,"St Thomas More Catholic School, Willenhall - 104259",National state-funded primary,National state-funded secondary and 16 to 18,Description
1912,KS5_19,RELDENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,Roman Catholic,Roman Catholic,,,Religious character 
1913,KS5_19,ADMPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,,,,,NSE,NSE,,,Admissions policy
1914,KS5_19,ADMPOL_PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER NON SEL,OTHER NON SEL,,,,,OTHER NON SEL,OTHER NON SEL,,,Admissions policy - new definition from 2019 onwards
1915,KS5_19,GEND1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIXED,MIXED,,,,,MIXED,MIXED,,,"Gender of sixth form: girls, boys or mixed"
1916,KS5_19,FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,Indicates whether a school/college is a feeder school/college for sixth form centre or consortium:0= not a feeder school/college; 1= feeder school/college
1917,KS5_19,AGERANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 to 18,11 to 19,,,,,11 to 18,11 to 18,,,Age range
1918,KS5_19,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,Closed school/college flag: 0= open; 1= closed
1919,KS5_19,TABKS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school is published in the primary school (Key Stage 2) performance tables:0= No; 1= Yes
1920,KS5_19,TAB15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school or college is published in the secondary school (Key Stage 4) performance tables: 0= No; 1= Yes
1921,KS5_19,EXAMCONF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicates if a school or college has confirmed their results: blank/null= confirmed; R= not confirmed
1922,KS5_19,DUMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dummy field
1923,KS5_19,TPUP1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,65,,,,,147,314,,,Number of 16-18 year old students in sixth form
1924,KS5_19,TALLPUP_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,41,,,,,78,157,,550933,Number of students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
1925,KS5_19,TALLPUP_ALEV_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,21,,,,,66,125,,247995,Number of students at the end of 16-18 study who entered for at least one AS or A level qualification
1926,KS5_19,TALLPPE_ALEV_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.78,22.47,,,,,30.24,27.38,,32.87,Average point score per A level entry
1927,KS5_19,TALLPPEGRD_ALEV_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-,D+,,,,,C,C-,,C+,Average point score per A level entry expressed as a grade
1928,KS5_19,TINCLUDE_B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,,,,,34,46,,189802,Number of students included in the best 3 A levels measure
1929,KS5_19,TB3PTSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33,SUPP,,,,,31.76,31.67,,32.89,Average point score in best 3 A level entries
1930,KS5_19,TB3PTSE_GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-,SUPP,,,,,C+,C+,,C+,Average point score in best 3 A level entries expressed as a grade
1931,KS5_19,TINCLUDE_AAB_2FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,,,,,34,46,,189788,Number of students included in AAB in 2 facilitating subjects measure
1932,KS5_19,PTAAB_2FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7%,SUPP,,,,,8.8%,8.7%,,14.1%,"Percentage of A level students achieving at least three levels at grades AAB or better, at least two of which are in facilitating subjects"
1933,KS5_19,TALLPUP_ACAD_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,22,,,,,66,125,,252640,Number of students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification
1934,KS5_19,TALLPPE_ACAD_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.97,22.98,,,,,30.24,27.38,,33.02,Average point score per academic entry
1935,KS5_19,TALLPPEGRD_ACAD_1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-,D+,,,,,C,C-,,C+,Average point score per academic entry expressed as a grade
1936,KS5_19,TALLPUP_AGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,,,,,41,80,,67710,Number of students at the end of 16-18 study who entered for ant least one applied general qualification
1937,KS5_19,TALLPPE_AGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,27.88,,,,,25.81,28.88,,28.89,Average point score per applied general entry
1938,KS5_19,TALLPPEGRD_AGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,Merit+,,,,,Merit,Merit+,,Merit+,Average point score per applied general entry expressed as a grade
1939,KS5_19,TALLPUP_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,19431,Number of students at the end of 16-18 study who entered for at least one tech level qualification
1940,KS5_19,TALLPPE_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,28.64,Average point score per tech level entry
1941,KS5_19,TALLPPEGRD_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,Merit+,Average point score per tech level entry expressed as a grade
1942,KS5_19,TTECH_BACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,191,"Number of students achieving a TechBacc (ie, a tech level, an extended project qualification and core maths or equivalent maths qualification)"
1943,KS5_19,TALLPUP_TLEVDENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,131483,Number of trigger students for 'level 3 vocational quals' - ignoring discounting and applied general
1944,KS5_19,TLEV_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,14.8%,Proportion of level 3 vocational students that are tech level students
1945,KS5_19,TALLPUP_AGENDENOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,,,,,41,80,,175067,Number of trigger students for 'level 3 vocational quals' - ignoring discounting and tech levels
1946,KS5_19,AGEN_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,100.0%,,,,,100.0%,100.0%,,39.1%,Proportion of level 3 vocational students that are applied general students
1947,KS5_19,T_SCOPEEX_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,8,,,,,1,22,,106083,Number of students at the end of 16-18 study included in the English progress measure
1948,KS5_19,PROGEX_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,0.25,,,,,SUPP,0.61,,0.14,Average progress made in English
1949,KS5_19,ENTRY_PER_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,100.0%,,,,,SUPP,100.0%,,82.5%,Proportion of students eligible for English progress measures entered for approved exams
1950,KS5_19,T_SCOPEEX_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,,13,31,,140556,Number of students at the end of 16-18 study included in the maths progress measure
1951,KS5_19,PROGEX_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,1.00,,,,,0.38,0.61,,0.09,Average progress made in maths
1952,KS5_19,ENTRY_PER_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%,100.0%,,,,,SUPP,100.0%,,85.2%,Proportion of students eligible for maths progress measures entered for approved exams
1953,KS5_19,TALLPUP_SCOPE_L3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,25,,,,,65,120,,268494,Number of students in scope for level 3 maths measure
1954,KS5_19,L3M_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1%,12.0%,,,,,20.0%,14.2%,,26.7%,Percentage of students in scope for the level 3 maths measure who achieved approved a level 3 maths qualification
1955,KS5_19,T_INSCOPE_ALEV_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,,,,,37,49,,239124,Number of students at the end of 16-18 study with an A level core aim
1956,KS5_19,PT_RETAINED_ALEV_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1%,83.3%,,,,,91.9%,98.0%,,91.3%,Percentage of A level core aims retained
1957,KS5_19,PT_RET_ASSESSED_ALEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1%,83.3%,,,,,91.9%,95.9%,,89.5%,Percentage of A Level core aims retained and assessed
1958,KS5_19,T_INSCOPE_ALEV_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,6,,,,,37,49,,236838,Number of students in scope for returned and retained for a second year where core aim is an A Level
1959,KS5_19,PT_RETAINED_ALEV_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,83.3%,,,,,91.9%,91.8%,,84.7%,Percentage of students who were retained for a second year with an A Level programme core aim
1960,KS5_19,T_INSCOPE_ACAD_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,,,,,37,49,,241598,Number of students at the end of 16-18 study with an academic core aim
1961,KS5_19,PT_RETAINED_ACAD_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1%,83.3%,,,,,91.9%,98.0%,,91.3%,Percentage of academic core aims retained
1962,KS5_19,PT_RET_ASSESSED_ACAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1%,83.3%,,,,,91.9%,95.9%,,89.3%,Percentage of academic core aims retained and assessed
1963,KS5_19,T_INSCOPE_ACAD_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,6,,,,,37,49,,239235,Number of students in scope for returned and retained for a second year where core aim is an academic qualification
1964,KS5_19,PT_RETAINED_ACAD_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,83.3%,,,,,91.9%,91.8%,,84.5%,Percentage of students who were retained for a second year with an academic core aim
1965,KS5_19,T_INSCOPE_AGEN_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,33,,,,,41,91,,53841,Number of students at the end of 16-18 study with an applied general core aim
1966,KS5_19,PT_RETAINED_AGEN_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,63.6%,,,,,100.0%,90.1%,,86.5%,Percentage of applied general core aims retained
1967,KS5_19,PT_RET_ASSESSED_AGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,63.6%,,,,,46.3%,86.8%,,79.3%,Percentage of applied general core aims retained and assessed
1968,KS5_19,T_INSCOPE_AGEN_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,33,,,,,41,91,,52609,Number of students In scope for returned and retained for a second year where core aim is an applied general qualification
1969,KS5_19,PT_RETAINED_AGEN_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,63.6%,,,,,100.0%,89.0%,,75.3%,Percentage of students who were retained for a second year with an applied general core aim
1970,KS5_19,T_INSCOPE_TLEV_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,1,,20447,Number of students at the end of 16-18 study with a tech level core aim
1971,KS5_19,PT_RETAINED_TLEV_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,SUPP,,87.9%,Percentage of tech level core aims retained
1972,KS5_19,PT_RET_ASSESSED_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,SUPP,,75.7%,Percentage of tech level core aims retained and assessed
1973,KS5_19,T_INSCOPE_TLEV_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,1,,19538,Number of students in scope for returned and retained for a second year measure where core aim is a tech level qualification
1974,KS5_19,PT_RETAINED_TLEV_2NDYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,SUPP,,76.3%,Percentage of students who were retained for a second year with a tech level core aim
1975,KS5_19,T_AIMS_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,22634,Number of tech level aims
1976,KS5_19,CA_SCORE_TLEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,0.00,Completion and Attainment score
1977,KS5_19,TALLPUP_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,5321,Number of students at the end of 16-18 study who were entered for at least one technical certificate qualification
1978,KS5_19,TALLPPE_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,5.75,Average point score per technical certificate entry 
1979,KS5_19,TALLPPEGRD_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,L2Merit-,Average point score per technical certificate entry expressed as a grade
1980,KS5_19,T_AIMS_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,7808,Number of technical certificate aims in completion and attainment measure
1981,KS5_19,CA_SCORE_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,0.00,Technical certificate completion and attainment score
1982,KS5_19,T_INSCOPE_TECHCERT_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,7745,Number of students in scope for retention measure where core aim is a tech cert programme
1983,KS5_19,PT_RETAINED_TECHCERT_RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,87.9%,Percentage of technical certificate core aims retained
1984,KS5_19,PT_RET_ASSESSED_TECHCERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,55.9%,Percentage of technical certificate core aims retained and assessed
1985,KS5_19,TALLPUP_ANYL2VOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,6,,,,,NE,13,,89168,"Number of students entered for at least one level 2 vocational, whose highest qualification during 16-18 study was at level 2."
1986,KS5_19,TECHCERT_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,0.0%,,,,,NE,0.0%,,5.2%,Percentage of level 2 vocational students that are technical certificate students
1987,KS5_19,TALLPUP_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,20,,,,,12,46,,137486,Number of disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
1988,KS5_19,TALLPUP_ALEV_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,9,,,,,9,34,,38800,Number of disadvantaged students at the end of 16-18 study who entered for at least one AS or A level qualification
1989,KS5_19,TALLPPE_ALEV_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,21.50,,,,,19.75,27.22,,28.70,Average point score per A level entry for disadvantaged students
1990,KS5_19,TALLPPEGRD_ALEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,D,,,,,D,C-,,C,Average point score per A level entry for disadvantaged students expressed as a grade
1991,KS5_19,TALLPUP_ACAD_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,10,,,,,9,34,,39704,Number of disadvantaged students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification
1992,KS5_19,TALLPPE_ACAD_1618_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,22.54,,,,,19.75,27.22,,28.77,Average point score per academic entry for disadvantaged students
1993,KS5_19,TALLPPEGRD_ACAD_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,D+,,,,,D,C-,,C,Average point score per academic entry for disadvantaged students expressed as a grade
1994,KS5_19,TALLPUP_AGEN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,8,,,,,6,26,,15406,Number of disadvantaged students at the end of 16-18 study who entered for at least one applied general exam entry
1995,KS5_19,TALLPPE_AGEN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,26.18,,,,,21.92,28.90,,27.72,Average point score per applied general entry for disadvantaged students
1996,KS5_19,TALLPPEGRD_AGEN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,Merit,,,,,Merit-,Merit+,,Merit+,Average point score per applied general entry expressed as a grade for disadvantaged students
1997,KS5_19,TALLPUP_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,4615,Number of disadvantaged students at the end of 16-18 study who entered for at least one tech level exam entry
1998,KS5_19,TALLPPE_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,26.80,Average point score per tech level entry for disadvantaged students
1999,KS5_19,TALLPPEGRD_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,Merit+,Average point score per tech level entry expressed as a grade for disadvantaged students
2000,KS5_19,T_SCOPEEX_E_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,SUPP,,,,,NE,8,,44702,Number of disadvantaged students at the end of 16-18 study in scope for English progress measure
2001,KS5_19,PROGEX_E_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,SUPP,,,,,NE,0.25,,-0.03,Average progress made in English by disadvantaged students
2002,KS5_19,T_SCOPEEX_M_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,SUPP,10,,57743,Number of disadvantaged students at the end of 16-18 study in scope for maths progress measure
2003,KS5_19,PROGEX_M_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,SUPP,0.50,,-0.04,Average progress made in maths by disadvantaged students
2004,KS5_19,T_AIMS_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,5759,Number of Tech Level aims in completion and attainment for disadvantaged students
2005,KS5_19,CA_SCORE_TLEV_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,-0.25,Tech Level completion and attainment score for disadvantaged students
2006,KS5_19,T_INSCOPE_ALEV_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,7,7,,38266,Number of disadvantaged students in scope for retention measure where core aim is an A level qualification
2007,KS5_19,PT_RETAINED_ALEV_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,71.4%,100.0%,,85.5%,Percentage of disadvantaged students who completed an A level core aim for retention measure
2008,KS5_19,T_INSCOPE_ACAD_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,7,7,,38645,Number of disadvantaged students in scope for retention measure where core aim is an academic qualification
2009,KS5_19,PT_RETAINED_ACAD_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,,,,,71.4%,100.0%,,85.4%,Percentage of disadvantaged students who completed an academic core aim for retention measure
2010,KS5_19,T_INSCOPE_AGEN_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,15,,,,,6,32,,13918,Number of disadvantaged students in scope for retention measure where core aim is an applied general qualification
2011,KS5_19,PT_RETAINED_AGEN_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,53.3%,,,,,100.0%,84.4%,,83.0%,Percentage of disadvantaged students who completed an applied general core aim for retention measure
2012,KS5_19,T_INSCOPE_TLEV_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,5272,Number of disadvantaged students in scope for retention measure where core aim is a tech level qualification
2013,KS5_19,PT_RETAINED_TLEV_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,84.6%,Percentage of disadvantaged students who completed a tech level core aim for retention measure
2014,KS5_19,TALLPUP_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,1601,Number of disadvantaged students at the end of 16-18 study entered for at least one technical certificate qualification 
2015,KS5_19,TALLPPE_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,5.60,Average point score per technical certificate entry for disadvantaged students
2016,KS5_19,TALLPPEGRD_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,L2Merit-,Average point score per technical certificate entry expressed as a grade for disadvantaged students
2017,KS5_19,T_AIMS_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,2613,Number of technical certificate aims in completion and attainment measure for disadvantaged students
2018,KS5_19,CA_SCORE_TECHCERT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,-0.10,Technical certificate completion and attainment score for disadvantaged students
2019,KS5_19,T_INSCOPE_TECHCERT_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,2689,Number of disadvantaged students in scope for retention measure where core aim is a technical certificate programme
2020,KS5_19,PT_RETAINED_TECHCERT_RET_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,NE,,,,,NE,NE,,84.9%,Percentage of disadvantaged students who completed a technical certificate core aim for retention measure
2021,KS5_19,TALLPUP_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,21,,,,,66,110,,395647,Number of non-disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications)
2022,KS5_19,TALLPUP_ALEV_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,12,,,,,57,90,,205725,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one A level qualification
2023,KS5_19,TALLPPE_ALEV_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,23.41,,,,,31.90,27.77,,33.58,Average point score per A level entry for non-disadvantaged students
2024,KS5_19,TALLPPEGRD_ALEV_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,D+,,,,,C+,C-,,C+,Average point score per A level entry for non-disadvantaged students expressed as a grade
2025,KS5_19,TALLPUP_ACAD_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,12,,,,,57,90,,209238,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one academic qualification
2026,KS5_19,TALLPPE_ACAD_1618_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,23.41,,,,,31.90,27.77,,33.74,Average point score per academic entry for non-disadvantaged students
2027,KS5_19,TALLPPEGRD_ACAD_NOTDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,D+,,,,,C+,C-,,C+,Average point score per academic entry for non-disadvantaged students expressed as a grade
