No,Namespace,Variable,James Watt Primary School - 134102,Norfolk House School - 103572,Cannon Hill House 14 Russell Road - 103588,Deykin Avenue Junior and Infant School - 103313,Oasis Academy Boulton - 139242,Grove School - 103392,Bordesley Green Primary School - 103172,Arden Primary School - 103324,Anderton Park Primary School - 103192,St Benedict's Primary School - 103261,Holy Family Catholic Primary School - 103421,Birmingham Muslim School - 133521,Ark Victoria Academy - 141752,St Martin de Porres Catholic Primary School - 103467,The Blue Coat School Birmingham - 103580,Starbank School - 147757,Starbank  School - 103258,English Martyrs' Catholic Primary School - 103425,Chad Vale Primary School - 103332,Greet Primary School - 143090,Shireland Hall Primary Academy - 139875,William Murdoch Primary School - 103317,Wilkes Green Infant School (NC) - 103308,Slade Primary School - 138590,St John's CofE Primary School - 139173,Cape Primary School - 103937,Alston Primary School - 140656,George Dixon Primary School - 103200,St Teresa's Catholic Primary School - 103456,Sladefield Infant School - 103255,Woodbourne Hospital School - 142623,Hamilton School - 103600,King David Primary School - 103444,Waverley School - 142219,Ark Boulton Academy - 140014,King Edward VI Handsworth Grammar School for Boys - 143562,Green Oak Academy - 131164,Spring Hill High School - 134982,Harborne Academy - 136213,Myles Academy - 148644,"Eden Boys' School, Birmingham - 141969",Waverley Studio College - 139788,King Edward's School - 103584,Saltley Academy - 141668,King Edward VI High School for Girls - 103585,V.A.S.E Academy - 147702,King Edward VI Handsworth Wood Girls' Academy - 138937,Prince Albert High School - 148553,George Dixon Academy - 138695,Holyhead School - 137034,National state-funded primary,National state-funded secondary and 16 to 18,Description
1349,KS2_19,PTRWM_EXP_17,46%,,,50%,52%,55%,46%,55%,43%,,35%,,,55%,,,59%,54%,67%,64%,55%,60%,,44%,68%,37%,46%,22%,50%,,,0%,77%,,,,,,,,,,,,,,,,,,61%,,"Percentage of pupils reaching the expected standard in reading, writing and maths two years prior"
1350,KS2_19,PTRWM_HIGH_17,3%,,,3%,7%,3%,3%,4%,3%,,0%,,,10%,,,5%,5%,12%,2%,2%,8%,,4%,5%,1%,1%,3%,10%,,,0%,7%,,,,,,,,,,,,,,,,,,9%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1351,KS2_19,PTRWM_EXP_FSM6CLA1A_17,39%,,,44%,44%,60%,46%,60%,45%,,23%,,,44%,,,59%,48%,57%,61%,60%,58%,,36%,56%,29%,42%,18%,SUPP,,,0%,70%,,,,,,,,,,,,,,,,,,47%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths two years prior"
1352,KS2_19,PTRWM_HIGH_FSM6CLA1A_17,6%,,,6%,6%,4%,0%,9%,2%,,0%,,,22%,,,6%,0%,0%,2%,4%,5%,,5%,0%,2%,0%,6%,SUPP,,,0%,10%,,,,,,,,,,,,,,,,,,4%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1353,KS2_19,PTRWM_EXP_NOTFSM6CLA1A_17,53%,,,57%,67%,31%,46%,50%,41%,,44%,,,60%,,,60%,58%,70%,67%,51%,62%,,48%,77%,49%,51%,25%,SUPP,,,0%,80%,,,,,,,,,,,,,,,,,,67%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths two years prior"
1354,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A_17,0%,,,0%,11%,0%,5%,0%,5%,,0%,,,5%,,,4%,10%,15%,3%,0%,10%,,3%,9%,0%,3%,0%,SUPP,,,0%,5%,,,,,,,,,,,,,,,,,,11%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1355,KS2_19,READPROG_17,-2,,,-4.3,-2.7,-2.1,-2.4,-2.7,-0.7,,-1.7,,,1.5,,,0.7,1.6,-0.7,0.3,3.3,-1.4,,-3.7,-2,-1.3,-1.2,-5.6,-0.3,,,-0.6,1.1,,,,,,,,,,,,,,,,,,,,Reading progress measure two years prior
1356,KS2_19,READPROG_LOWER_17,-3.6,,,-6.6,-5.2,-3.4,-3.7,-4,-2,,-4,,,-0.9,,,-0.2,-0.2,-2.3,-0.8,1.7,-2.7,,-5.6,-3.6,-2.7,-2.5,-7.9,-2.6,,,-3.9,-1.2,,,,,,,,,,,,,,,,,,,,Reading progress measure - lower confidence limit two years prior
1357,KS2_19,READPROG_UPPER_17,-0.4,,,-2,-0.2,-0.8,-1.1,-1.4,0.6,,0.6,,,3.9,,,1.6,3.4,0.9,1.4,4.9,-0.1,,-1.8,-0.4,0.1,0.1,-3.3,2,,,2.7,3.4,,,,,,,,,,,,,,,,,,,,Reading progress measure - upper confidence limit two years prior
1358,KS2_19,WRITPROG_17,0.5,,,1.3,0.9,-0.9,-0.5,-0.8,-2.6,,-1.1,,,1.7,,,-0.2,2.4,-1.1,-0.3,2.3,-1.9,,-0.2,-2.2,-1.4,1.1,-3.4,-0.6,,,0.3,-1.7,,,,,,,,,,,,,,,,,,,,Writing progress measure two years prior
1359,KS2_19,WRITPROG_LOWER_17,-1.1,,,-0.9,-1.6,-2.2,-1.8,-2.1,-3.9,,-3.3,,,-0.6,,,-1.1,0.6,-2.7,-1.4,0.7,-3.2,,-2.1,-3.7,-2.8,-0.2,-5.7,-2.8,,,-2.9,-3.9,,,,,,,,,,,,,,,,,,,,Writing progress measure - lower confidence limit two years prior
1360,KS2_19,WRITPROG_UPPER_17,2.1,,,3.5,3.4,0.4,0.8,0.5,-1.3,,1.1,,,4,,,0.7,4.2,0.5,0.8,3.9,-0.6,,1.7,-0.7,0,2.4,-1.1,1.6,,,3.5,0.5,,,,,,,,,,,,,,,,,,,,Writing progress measure - upper confidence limit two years prior
1361,KS2_19,MATPROG_17,-0.6,,,-1.1,0.5,-0.1,-0.2,0.1,2.9,,-0.1,,,0.6,,,1.1,2,1.1,2.8,3.1,1.7,,-3.4,1.2,0.1,1.8,-4.6,2.5,,,-0.7,1.7,,,,,,,,,,,,,,,,,,,,Maths progress measure two years prior
1362,KS2_19,MATPROG_LOWER_17,-2,,,-3.1,-1.8,-1.3,-1.4,-1.1,1.7,,-2.1,,,-1.5,,,0.3,0.3,-0.4,1.8,1.6,0.5,,-5.1,-0.2,-1.2,0.6,-6.7,0.4,,,-3.6,-0.4,,,,,,,,,,,,,,,,,,,,Maths progress measure - lower confidence limit two years prior
1363,KS2_19,MATPROG_UPPER_17,0.8,,,0.9,2.8,1.1,1,1.3,4.1,,1.9,,,2.7,,,1.9,3.7,2.6,3.8,4.6,2.9,,-1.7,2.6,1.4,3,-2.5,4.6,,,2.2,3.8,,,,,,,,,,,,,,,,,,,,Maths progress measure - upper confidence limit two years prior
1364,KS2_19,READ_AVERAGE_17,100,,,98,100,102,100,102,101,,98,,,104,,,103,103,105,102,102,103,,99,103,99,99,97,105,,,,107,,,,,,,,,,,,,,,,,,104,,Average scaled score in reading  two years prior
1365,KS2_19,MAT_AVERAGE_17,102,,,101,103,104,102,104,105,,100,,,103,,,103,104,107,105,102,106,,101,106,101,102,99,106,,,,108,,,,,,,,,,,,,,,,,,104,,Average scaled score in maths two years prior
1366,KS2_19,TELIG_3YR,177,,,88,85,266,287,271,302,,89,,,88,,,574,173,180,356,234,266,,144,179,253,268,132,90,,,38,88,,,,,,,,,,,,,,,,,,1864398,,Total number of pupils at the end of Key Stage 2 over the past three years
1367,KS2_19,PTRWM_EXP_3YR,53%,,,44%,60%,61%,48%,55%,51%,,61%,,NA,59%,,,60%,65%,77%,69%,53%,64%,,51%,68%,45%,63%,35%,63%,,,,73%,NA,,,,,,,,,,,,,,,,,63%,,"Percentage of pupils reaching the expected standard in reading, writing and maths  - 3 year total"
1368,KS2_19,PTRWM_HIGH_3YR,7%,,,1%,7%,10%,2%,5%,7%,,4%,,NA,13%,,,6%,8%,14%,9%,6%,8%,,8%,8%,3%,3%,5%,6%,,,,8%,NA,,,,,,,,,,,,,,,,,10%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing  - 3 year total
1369,KS2_19,READ_AVERAGE_3YR,101,,,98,101,103,101,102,101,,104,,NA,105,,,103,104,107,104,101,103,,101,104,101,102,98,105,,,SUPP,106,NA,,,,,,,,,,,,,,,,,105,,Average scaled score in reading - 3 year average
1370,KS2_19,MAT_AVERAGE_3YR,103,,,102,104,104,103,104,104,,104,,NA,104,,,104,105,108,106,103,107,,102,106,101,104,100,105,,,SUPP,107,NA,,,,,,,,,,,,,,,,,105,,Average scaled score in maths - 3 year average
1371,KS2_19,READPROG_UNADJUSTED,-0.5,,,-1.5,-3,0.7,-2.7,-2.8,-1.8,,3.6,,-3.1,0.4,,,1.1,1.8,3.2,2.7,0.1,1.1,,-1.6,-3.1,1,2.3,-1.9,-0.6,,,-2.3,0.3,0.6,,,,,,,,,,,,,,,,,0,,Unadjusted reading progress measure
1372,KS2_19,WRITPROG_UNADJUSTED,-0.2,,,0.7,0.1,0.8,-0.1,0.4,1.6,,1.1,,-0.7,0.1,,,-0.3,2.3,0.2,1.7,2.6,-0.6,,2.5,-0.6,-0.6,0.8,0,-3.2,,,-2.1,0.6,1.7,,,,,,,,,,,,,,,,,0,,Unadjusted writing progress measure
1373,KS2_19,MATPROG_UNADJUSTED,0.7,,,1.9,-1.4,1.7,-2.9,-0.4,-0.3,,2.3,,-0.4,0.5,,,1.4,3.7,2.6,2.8,0.8,3.2,,-0.8,-0.1,-0.5,3.1,-0.9,0.5,,,-2.2,1.5,0.3,,,,,,,,,,,,,,,,,0,,Unadjusted maths progress measure
1374,KS2_19,READPROG_DESCR_17,4,,,5,4,4,4,4,3,,3,,,3,,,3,3,3,3,2,4,,5,4,3,3,5,3,,,3,3,,,,,,,,,,,,,,,,,,,,Reading progress measure 'description' - two years prior
1375,KS2_19,WRITPROG_DESCR_17,3,,,3,3,3,3,3,4,,3,,,3,,,3,2,3,3,2,4,,3,4,3,3,5,3,,,3,3,,,,,,,,,,,,,,,,,,,,Reading progress measure 'description' - two years prior
1376,KS2_19,MATPROG_DESCR_17,3,,,3,3,3,3,3,2,,3,,,3,,,2,2,3,2,2,2,,5,3,3,2,5,2,,,3,3,,,,,,,,,,,,,,,,,,,,Writing progress measure 'description' - two years prior
1377,KS2_19,READPROG_DESCR_18,4,,,5,5,3,3,4,3,,1,,,3,,,2,3,3,3,3,4,,3,3,3,2,5,3,,,3,3,,,,,,,,,,,,,,,,,,,,Maths progress measure 'description' - two years prior
1378,KS2_19,WRITPROG_DESCR_18,2,,,5,3,3,4,3,2,,3,,,3,,,3,3,2,2,2,4,,3,3,3,3,3,4,,,3,3,,,,,,,,,,,,,,,,,,,,Reading progress measure 'description' - one year prior
1379,KS2_19,MATPROG_DESCR_18,3,,,5,3,3,3,3,1,,1,,,3,,,2,2,1,2,2,2,,4,3,3,1,4,3,,,5,3,,,,,,,,,,,,,,,,,,,,Writing progress measure 'description' - one year prior
1380,KS2_19,READPROG_DESCR,3,,,3,5,3,4,4,4,,1,,5,3,,,2,3,1,2,3,3,,3,5,3,2,3,3,,,3,3,3,,,,,,,,,,,,,,,,,,,Maths progress measure 'description' - one year prior
1381,KS2_19,WRITPROG_DESCR,3,,,3,3,3,3,3,2,,3,,3,3,,,3,2,3,2,1,3,,2,3,3,3,3,5,,,3,3,2,,,,,,,,,,,,,,,,,,,Writing progress measure 'description'
1382,KS2_19,MATPROG_DESCR,3,,,3,3,2,4,3,3,,2,,3,3,,,2,1,2,2,3,1,,3,3,3,1,3,3,,,3,3,3,,,,,,,,,,,,,,,,,,,Maths progress measure 'description'
1383,KS4_19,YEAR,,,,,,,,,,,,,2019,,,,2019,,,,,,,,,,,,,,2019,,,2019,2019,2019,2019,2019,2019,,2019,2019,2019,2019,2019,,2019,,2019,2019,,2019,
1384,KS4_19,RECTYPE,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,1,1,1,1,2,1,,1,1,1,1,1,,1,,1,1,,7,Record type (1=mainstream school; 2=special school; 4=local authority; 5=National (all schools); 7=National (maintained schools))
1385,KS4_19,LEA,,,,,,,,,,,,,330,,,,330,,,,,,,,,,,,,,330,,,330,330,330,330,330,330,,330,330,330,330,330,,330,,330,330,,,Local authority code (see separate list of local authorities and their codes)
1386,KS4_19,ESTAB,,,,,,,,,,,,,4019,,,,2179,,,,,,,,,,,,,,6025,,,4009,4013,5402,6094,6112,6910,,4021,4010,6076,4018,6077,,4207,,5412,4241,,,Establishment number
1387,KS4_19,URN,,,,,,,,,,,,,141752,,,,103258,,,,,,,,,,,,,,142623,,,142219,140014,143562,131164,134982,136213,,141969,139788,103584,141668,103585,,138937,,138695,137034,,,School Unique Reference Number
1388,KS4_19,SCHNAME,,,,,,,,,,,,,Ark Victoria Academy,,,,Starbank School,,,,,,,,,,,,,,The Priory Woodbourne Hospital School,,,Waverley School,Ark Boulton Academy,King Edward VI Handsworth Grammar School for Boys,Green Oak Academy,Spring Hill High School,Harborne Academy,,"Eden Boys' School, Birmingham",Waverley Studio College,King Edward's School,Saltley Academy,King Edward VI High School for Girls,,King Edward VI Handsworth Wood Girls' Academy,,George Dixon Academy,Holyhead School,,,School name
1389,KS4_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School now known as (used if the school has converted to an academy on or after 12 Sept 2018)
1390,KS4_19,ADDRESS1,,,,,,,,,,,,,Talbot Way,,,,Hob Moor Road,,,,,,,,,,,,,,Woodbourne Priory Hospital,,,Yardley Green Road,Golden Hillock Road,Grove Lane,11 - 15 Woodstock Road,C/O 28 Slade Road,Harborne Road,,150 Wellhead Lane,470 Belchers Lane,Edgbaston Park Road,Belchers Lane,Edgbaston Park Road,,Church Lane,,Portland Road,Milestone Lane,,,School address (1)
1391,KS4_19,ADDRESS2,,,,,,,,,,,,,Small Heath,,,,,,,,,,,,,,,,,,21 Woodbourne Road,,,Bordesley Green,Sparkhill,Handsworth,Moseley,Erdington,Edgbaston,,Perry Barr,Bordesley Green,,Bordesley Green,,,Handsworth,,Edgbaston,Handsworth,,,School address (2)
1392,KS4_19,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgbaston,,,,,,,,,,,,,,,,,,,,,,School address (3)
1393,KS4_19,TOWN,,,,,,,,,,,,,Birmingham,,,,Birmingham,,,,,,,,,,,,,,Birmingham,,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,,Birmingham,Birmingham,,,School town
1394,KS4_19,PCODE,,,,,,,,,,,,,B10 0HJ,,,,B10 9BT,,,,,,,,,,,,,,B17 8BY,,,B9 5QA,B11 2QG,B21 9ET,B13 9BB,B23 7PG,B15 3JL,,B42 2SY,B9 5SX,B15 2UA,B9 5RX,B15 2UB,,B20 2HL,,B16 9GD,B21 0HN,,,School postcode
1395,KS4_19,TELNUM,,,,,,,,,,,,,01212893535,,,,01214642638,,,,,,,,,,,,,,01214344343,,,01215666600,01217738156,01215542794,01214496690,01216081576,01214642737,,01216577070,01215666622,01214721672,01215666555,01214721834,,01215548122,,01215666565,01215231960,,,School telephone number
1396,KS4_19,PCON_CODE,,,,,,,,,,,,,E14000568,,,,E14000563,,,,,,,,,,,,,,E14000560,,,E14000563,E14000568,E14000566,E14000562,E14000561,E14000560,,E14000566,E14000563,E14000560,E14000563,E14000560,,E14000566,,E14000560,E14000564,,,
1397,KS4_19,PCON_NAME,,,,,,,,,,,,,"Birmingham, Yardley",,,,"Birmingham, Hodge Hill",,,,,,,,,,,,,,"Birmingham, Edgbaston",,,"Birmingham, Hodge Hill","Birmingham, Yardley","Birmingham, Perry Barr","Birmingham, Hall Green","Birmingham, Erdington","Birmingham, Edgbaston",,"Birmingham, Perry Barr","Birmingham, Hodge Hill","Birmingham, Edgbaston","Birmingham, Hodge Hill","Birmingham, Edgbaston",,"Birmingham, Perry Barr",,"Birmingham, Edgbaston","Birmingham, Ladywood",,,
1398,KS4_19,CONTFLAG,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,,,Contingency flag - school results 'significantly affected'. This field is zero for all schools.
1399,KS4_19,ICLOSE,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,,,Closed school flag (0=open; 1=closed)
1400,KS4_19,NFTYPE,,,,,,,,,,,,,F,,,,CY,,,,,,,,,,,,,,IND,,,ACC,AC,ACC,IND,INDSPEC,AC,,F,SS,IND,AC,IND,,ACC,,ACC,ACC,,,School type (see separate list of abbreviations used in the tables)
1401,KS4_19,RELDENOM,,,,,,,,,,,,,None,,,,Does not apply,,,,,,,,,,,,,,None,,,Does not apply,Does not apply,None,None,None,Does not apply,,Muslim,None,Christian,Does not apply,Christian,,Does not apply,,None,None,,,School religious character
1402,KS4_19,ADMPOL,,,,,,,,,,,,,NR,,,,NA,,,,,,,,,,,,,,,,,NSE,NSE,SEL,,,NSE,,NR,NSE,,NSE,,,NSE,,NSE,NSE,,,School admissions policy (self-declared by schools on Edubase)
1403,KS4_19,ADMPOL_PT,,,,,,,,,,,,,OTHER NON SEL,,,,OTHER NON SEL,,,,,,,,,,,,,,NA,,,OTHER NON SEL,OTHER NON SEL,SEL,NA,NA,OTHER NON SEL,,OTHER NON SEL,OTHER NON SEL,NA,OTHER NON SEL,NA,,OTHER NON SEL,,OTHER NON SEL,OTHER NON SEL,,,
1404,KS4_19,EGENDER,,,,,,,,,,,,,MIXED,,,,MIXED,,,,,,,,,,,,,,MIXED,,,MIXED,MIXED,BOYS,GIRLS,MIXED,MIXED,,BOYS,MIXED,BOYS,MIXED,GIRLS,,GIRLS,,MIXED,MIXED,,,School gender of entry
1405,KS4_19,FEEDER,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,,,Indicates whether school is a feeder school for sixth form centre/consortia (0=No; 1=Yes)
1406,KS4_19,TABKS2,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,0,,,1,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,,,Indicates whether school is published in the primary school (key stage 2) performance tables (0=No; 1=Yes)
1407,KS4_19,TAB1618,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,0,,,1,0,1,0,0,1,,0,1,1,0,1,,1,,1,1,,,Indicates whether school is published in the school and college (16-18) performance tables (0=No; 1=Yes)
1408,KS4_19,AGERANGE,,,,,,,,,,,,,3 to 18,,,,3 to 16,,,,,,,,,,,,,,10 to 18,,,4 to 19,11 to 16,11 to 18,11 to 16,11 to 19,11 to 19,,11 to 18,14 to 19,11 to 18,11 to 16,11 to 18,,11 to 18,,11 to 18,11 to 18,,,Age range
1409,KS4_19,CONFEXAM,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,R,,,,,,,,,,,,,,,Indicates whether the school has checked its results (R=No; blank=Yes)
1410,KS4_19,TOTPUPS,,,,,,,,,,,,,1535,,,,2217,,,,,,,,,,,,,,21,,,1677,894,1033,83,20,633,,487,236,862,1097,601,,915,,933,1315,,3366207,Number of pupils on roll (all ages)
1411,KS4_19,NUMBOYS,,,,,,,,,,,,,789,,,,1111,,,,,,,,,,,,,,6,,,871,484,983,NA,13,389,,487,94,862,571,NA,,NA,,492,678,,1710775,Total boys on roll (including part-time pupils)
1412,KS4_19,NUMGIRLS,,,,,,,,,,,,,746,,,,1106,,,,,,,,,,,,,,15,,,806,410,NA,83,7,244,,NA,142,NA,526,601,,915,,441,637,,1655432,Total girls on roll (including part-time pupils)
1413,KS4_19,TPUP,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,7,,,177,175,150,21,10,116,,49,57,140,201,94,,139,,150,208,,542621,Number of pupils at the end of key stage 4
1414,KS4_19,BPUP,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,1,,,104,104,150,NA,8,68,,49,35,140,96,NA,,NA,,83,125,,276670,Number of boys at the end of key stage 4
1415,KS4_19,PBPUP,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,14%,,,59%,59%,100%,NA,80%,59%,,100%,61%,100%,48%,NA,,NA,,55%,60%,,51%,Percentage of pupils at the end of key stage 4 who are boys
1416,KS4_19,GPUP,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,6,,,73,71,NA,21,2,48,,NA,22,NA,105,94,,139,,67,83,,265951,Number of girls at the end of key stage 4
1417,KS4_19,PGPUP,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,86%,,,41%,41%,NA,100%,20%,41%,,NA,39%,NA,52%,100%,,100%,,45%,40%,,49%,Percentage of pupils at the end key stage 4 who are girls
1418,KS4_19,KS2APS,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,NP,,,27.3,27.1,33,NP,NP,27.1,,29.2,25.9,NP,27.2,NP,,27.9,,25.6,27,,28.6,Key stage 2 Average Points Score of the cohort at the end of key stage 4
1419,KS4_19,TPRIORLO,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,NP,,,34,30,0,NP,NP,16,,3,9,NP,39,NP,,21,,38,33,,60688,Number of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2
1420,KS4_19,PTPRIORLO,,,,,,,,,,,,,,,,,14%,,,,,,,,,,,,,,NP,,,20%,19%,0%,NP,NP,21%,,7%,21%,NP,20%,NP,,16%,,34%,17%,,12%,Percentage of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2
1421,KS4_19,TPRIORAV,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,NP,,,78,87,1,NP,NP,34,,20,28,NP,99,NP,,62,,49,128,,228580,Number of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2
1422,KS4_19,PTPRIORAV,,,,,,,,,,,,,,,,,48%,,,,,,,,,,,,,,NP,,,46%,55%,1%,NP,NP,45%,,47%,67%,NP,52%,NP,,48%,,43%,65%,,45%,Percentage of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2
1423,KS4_19,TPRIORHI,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,NP,,,57,40,144,NP,NP,25,,20,5,NP,53,NP,,47,,26,36,,223661,Number of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2
1424,KS4_19,PTPRIORHI,,,,,,,,,,,,,,,,,38%,,,,,,,,,,,,,,NP,,,34%,26%,99%,NP,NP,33%,,47%,12%,NP,28%,NP,,36%,,23%,18%,,44%,Percentage of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2
1425,KS4_19,TFSM6CLA1A,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,NP,,,93,102,38,NP,NP,65,,21,30,NP,108,NP,,76,,87,126,,143816,Number of disadvantaged pupils at the end of key stage 4
1426,KS4_19,PTFSM6CLA1A,,,,,,,,,,,,,,,,,54%,,,,,,,,,,,,,,NP,,,53%,58%,25%,NP,NP,56%,,43%,53%,NP,54%,NP,,55%,,58%,61%,,27%,Percentage of pupils at the end of key stage 4 who are disadvantaged
1427,KS4_19,TNOTFSM6CLA1A,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,NP,,,84,73,112,NP,NP,51,,28,27,NP,93,NP,,63,,63,82,,398805,Number of non-disadvantaged pupils at the end of key stage 4
1428,KS4_19,PTNOTFSM6CLA1A,,,,,,,,,,,,,,,,,46%,,,,,,,,,,,,,,NP,,,48%,42%,75%,NP,NP,44%,,57%,47%,NP,46%,NP,,45%,,42%,39%,,74%,Percentage of pupils at the end of key stage 4 who are not disadvantaged
1429,KS4_19,TEALGRP2,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,NP,,,132,80,65,NP,NP,57,,38,25,NP,152,NP,,109,,111,154,,90069,Number of pupils at the end of key stage 4 with English as additional language (EAL)
1430,KS4_19,PTEALGRP2,,,,,,,,,,,,,,,,,86%,,,,,,,,,,,,,,NP,,,75%,46%,43%,NP,NP,49%,,78%,44%,NP,76%,NP,,78%,,74%,74%,,17%,Percentage of pupils at the end of key stage 4 with English as additional language (EAL)
1431,KS4_19,TEALGRP1,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,NP,,,39,95,85,NP,NP,58,,11,30,NP,49,NP,,27,,39,53,,450082,Number of pupils at the end of key stage 4 with English as their first language
1432,KS4_19,PTEALGRP1,,,,,,,,,,,,,,,,,13%,,,,,,,,,,,,,,NP,,,22%,54%,57%,NP,NP,50%,,22%,53%,NP,24%,NP,,19%,,26%,26%,,83%,Percentage of pupils at the end of key stage 4 with English as their first language
1433,KS4_19,TEALGRP3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,NP,,,6,0,0,NP,NP,1,,0,2,NP,0,NP,,3,,0,1,,1332,Number of pupils at the end of key stage 4 whose first language is unclassified
1434,KS4_19,PTEALGRP3,,,,,,,,,,,,,,,,,2%,,,,,,,,,,,,,,NP,,,3%,0%,0%,NP,NP,1%,,0%,4%,NP,0%,NP,,2%,,0%,1%,,0%,Percentage of pupils at the end of key stage 4 whose first language is unclassified
1435,KS4_19,TNMOB,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,NP,,,170,170,148,NP,NP,100,,48,39,NP,193,NP,,137,,150,207,,522936,Number of pupils at the end of key stage 4 who are non-mobile
1436,KS4_19,PTNMOB,,,,,,,,,,,,,,,,,98%,,,,,,,,,,,,,,NP,,,96%,97%,99%,NP,NP,86%,,98%,68%,NP,96%,NP,,99%,,100%,100%,,96%,Percentage of pupils at the end of key stage 4 who are non-mobile
1437,KS4_19,SENSE4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,NA,,,12,4,0,NA,,1,,0,0,NA,2,NA,,2,,0,0,,20373,"Number of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan"
1438,KS4_19,PSENSE4,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,,,,NA,,,7%,2%,0%,NA,,1%,,0%,0%,NA,1%,NA,,1%,,0%,0%,,4%,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan"
1439,KS4_19,SENAPK4,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,NA,,,21,10,2,NA,,11,,11,2,NA,13,NA,,18,,16,47,,56580,"Number of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan"
1440,KS4_19,PSENAPK4,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,,,,NA,,,12%,6%,1%,NA,,10%,,22%,4%,NA,7%,NA,,13%,,11%,23%,,10%,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan"
1441,KS4_19,SEN_ALL,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,NA,,,33,14,2,NA,,12,,11,2,NA,15,NA,,20,,16,47,,76953,"Number of pupils at the end of key stage 4 with special educational needs (SEN) including those with or without a statement or Education, health and care (EHC) plan"
1442,KS4_19,PSEN_ALL,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,,,,NA,,,19%,8%,1%,NA,,10%,,22%,4%,NA,7%,NA,,14%,,11%,23%,,14%,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) including those with or without a statement or Education, health and care (EHC) plan"
1443,KS4_19,TOTATT8,,,,,,,,,,,,,,,,,4633.5,,,,,,,,,,,,,,NE,,,7591.3,7609.5,10114,1013.5,73,4835.8,,3154.5,1702.5,1513,8259.5,3696,,6376,,6574.5,8692.3,,25335160.8,Total sum of Attainment 8 scores
1444,KS4_19,ATT8SCR,,,,,,,,,,,,,,,,,38.9,,,,,,,,,,,,,,NE,,,42.9,43.5,67.4,48.3,7.3,41.7,,64.4,29.9,10.8,41.1,39.3,,45.9,,43.8,41.8,,46.7,Average Attainment 8 score per pupil
