No,Namespace,Variable,"St George's Church of England Academy, Newtown - 139126",Arc Oakbridge School - 145859,St Chad's Catholic Primary School - 103435,St Chad's Catholic Primary School - 148440,King Solomon International Business School - 149155,St Vincent's Catholic Primary School - 103417,St Matthew's CofE Primary School - 103404,St Catherine of Siena Catholic Primary School - 103433,Chilwell Croft Academy - 138395,St Thomas CofE Academy - 142375,King Solomon International Business School - 141943,Nelson Junior and Infant School - 103237,St Anne's Catholic Primary School - 103434,Chandos Primary School - 143908,Harper Bell Seventh-day Adventist School - 136440,Bordesley Village Primary School - 144337,James Brindley School - 139526,Brookfields Primary School - 146437,Brookfields Primary School - 103175,Cromwell Junior and Infant School - 143563,Calthorpe Academy - 141252,Oasis Academy Woodview - 139128,Lozells Junior and Infant School and Nursery - 103227,Mayfield School - 148225,Aston Tower Community Primary School - 142686,Regents Park Community Primary School - 103193,St Joseph's Catholic Primary School - 103436,St Joseph's Catholic Primary School - 148441,Birmingham Ormiston Academy - 136944,Blackwater Academy - 143039,Aston University Engineering Academy - 138222,Central Academy - 138200,South and City College Birmingham - 130461,City United Academy (CUA) - 137819,Heartlands Academy - 135907,Avecinna Academy - 140382,Archway Academy - 135406,Aston Manor Academy - 136882,City Academy - 148187,City Academy Birmingham - 139797,Jewellery Quarter Academy - 141003,Nishkam High School - 138586,Values Academy - 132743,Newbury Independent School - 143174,Ark St Alban's Academy - 135970,Camp Hill Education - 146999,Central Birmingham Education Centre - 144820,Birmingham Metropolitan College - 130466,The National College for Advanced Transport and Infrastructure - 148721,The National College for Advanced Transport and Infrastructure - 144789,National state-funded primary,National state-funded secondary and 16 to 18,Description
1306,KS2_19,PTMAT_HIGH_L,SUPP,,SUPP,,,SUPP,SUPP,SUPP,0%,SUPP,,SUPP,SUPP,0%,SUPP,SUPP,,,0%,SUPP,0%,SUPP,0%,,0%,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,,1%,,Percentage of pupils with low prior attainment achieving a high score in maths
1307,KS2_19,PTMAT_HIGH_M,0%,,26%,,,0%,6%,17%,19%,6%,,8%,9%,8%,29%,38%,,,14%,56%,,12%,8%,,37%,7%,19%,,,,,,,,,,,,,,,,,,,,,,,,13%,,Percentage of pupils with medium prior attainment achieving a high score in maths
1308,KS2_19,PTMAT_HIGH_H,13%,,86%,,,13%,50%,100%,33%,17%,,50%,SUPP,71%,SUPP,SUPP,,,88%,100%,,40%,40%,,86%,58%,86%,,,,,,,,,,,,,,,,,,,,,,,,58%,,Percentage of pupils with high prior attainment achieving a high score in maths
1309,KS2_19,PTMAT_HIGH_FSM6CLA1A,5%,,53%,,,6%,SUPP,38%,15%,5%,,13%,12%,15%,31%,22%,,,20%,SUPP,0%,18%,17%,,49%,22%,33%,,,,,,,,,,,,,,,,,,,,,,,,16%,,Percentage of disadvantaged pupils achieving a high score in maths
1310,KS2_19,PTMAT_HIGH_NOTFSM6CLA1A,0%,,23%,,,8%,SUPP,36%,21%,38%,,47%,25%,42%,50%,47%,,,21%,SUPP,0%,38%,23%,,33%,17%,43%,,,,,,,,,,,,,,,,,,,,,,,,32%,,Percentage of non-disadvantaged pupils achieving a high score in maths
1311,KS2_19,PTWRITTA_HIGH_L,SUPP,,SUPP,,,SUPP,SUPP,SUPP,0%,SUPP,,SUPP,SUPP,0%,SUPP,SUPP,,,0%,SUPP,0%,SUPP,0%,,0%,0%,SUPP,,,,,,,,,,,,,,,,,,,,,,,,0%,,Percentage of pupils with low prior attainment working at greater depth in writing
1312,KS2_19,PTWRITTA_HIGH_M,0%,,0%,,,6%,6%,0%,9%,0%,,0%,18%,0%,12%,22%,,,0%,19%,,4%,4%,,27%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,7%,,Percentage of pupils with medium prior attainment working at greater depth in writing
1313,KS2_19,PTWRITTA_HIGH_H,13%,,29%,,,13%,17%,75%,50%,0%,,31%,SUPP,43%,SUPP,SUPP,,,25%,70%,,40%,60%,,79%,17%,57%,,,,,,,,,,,,,,,,,,,,,,,,49%,,Percentage of pupils with high prior attainment working at greater depth in writing
1314,KS2_19,PTWRITTA_HIGH_FSM6CLA1A,5%,,7%,,,6%,SUPP,6%,13%,0%,,3%,29%,9%,8%,19%,,,6%,SUPP,0%,15%,20%,,32%,4%,17%,,,,,,,,,,,,,,,,,,,,,,,,11%,,Percentage of disadvantaged pupils working at greater depth in writing
1315,KS2_19,PTWRITTA_HIGH_NOTFSM6CLA1A,0%,,8%,,,15%,SUPP,36%,7%,0%,,27%,8%,16%,42%,18%,,,0%,SUPP,0%,19%,33%,,38%,6%,14%,,,,,,,,,,,,,,,,,,,,,,,,24%,,Percentage of non-disadvantaged pupils working at greater depth in writing
1316,KS2_19,TEALGRP1,9,,11,,,14,8,10,28,19,,18,15,13,18,12,,,28,1,12,27,8,,8,13,7,,,,,,,,,,,,,,,,,,,,,,,,506919,,Number of eligible pupils with English as first language
1317,KS2_19,PTEALGRP1,30%,,39%,,,45%,29%,33%,47%,66%,,34%,52%,25%,72%,24%,,,47%,3%,43%,54%,13%,,14%,15%,28%,,,,,,,,,,,,,,,,,,,,,,,,79%,,Percentage of eligible pupils with English as first language
1318,KS2_19,TEALGRP3,0,,0,,,0,0,0,0,0,,0,0,1,1,0,,,0,0,1,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2489,,Number of eligible pupils with unclassified language
1319,KS2_19,PTEALGRP3,0%,,0%,,,0%,0%,0%,0%,0%,,0%,0%,2%,4%,0%,,,0%,0%,4%,0%,0%,,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,,Percentage of eligible pupils with unclassified language
1320,KS2_19,TSENELE,0,,0,,,1,1,0,1,1,,2,0,1,0,0,,,0,0,27,0,1,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Number of eligible pupils with EHC plan
1321,KS2_19,PSENELE,0%,,0%,,,3%,4%,0%,2%,3%,,4%,0%,2%,0%,0%,,,0%,0%,96%,0%,2%,,3%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,3%,,Percentage of eligible pupils with EHC plan
1322,KS2_19,TSENELK,2,,4,,,12,0,5,12,2,,18,5,10,3,5,,,17,2,0,8,14,,11,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,Number of eligible pupils with SEN support
1323,KS2_19,PSENELK,7%,,14%,,,39%,0%,17%,20%,7%,,34%,17%,19%,12%,10%,,,29%,7%,0%,16%,23%,,19%,10%,16%,,,,,,,,,,,,,,,,,,,,,,,,15%,,Percentage of eligible pupils with SEN support
1324,KS2_19,TSENELEK,2,,4,,,13,1,5,13,3,,20,5,11,3,5,,,17,2,27,8,15,,13,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,Number of eligible pupils with SEN (EHC plan or SEN support)
1325,KS2_19,PSENELEK,7%,,14%,,,42%,4%,17%,22%,10%,,38%,17%,21%,12%,10%,,,29%,7%,96%,16%,25%,,22%,10%,16%,,,,,,,,,,,,,,,,,,,,,,,,18%,,Percentage of eligible pupils with SEN (EHC plan or SEN support)
1326,KS2_19,TELIG_18,30,,28,,,32,29,31,59,28,,29,29,56,27,50,,,55,30,20,27,61,,58,88,25,,,,,,,,,,,,,,,,,,,,,,,,619703,,Number of eligible pupils 2018
1327,KS2_19,PTFSM6CLA1A_18,80%,,54%,,,56%,69%,42%,86%,46%,,76%,62%,66%,22%,68%,,,69%,83%,75%,81%,52%,,67%,48%,64%,,,,,,,,,,,,,,,,,,,,,,,,31%,,Percentage of key stage 2 disadvantaged pupils one year prior
1328,KS2_19,PTNOTFSM6CLA1A_18,20%,,46%,,,44%,31%,58%,14%,54%,,24%,38%,34%,78%,32%,,,31%,17%,25%,19%,48%,,33%,52%,36%,,,,,,,,,,,,,,,,,,,,,,,,69%,,Percentage of key stage 2 pupils who are not disadvantaged one year prior
1329,KS2_19,PTRWM_EXP_18,43%,,71%,,,47%,86%,74%,68%,82%,,76%,59%,48%,70%,54%,,,42%,90%,0%,52%,70%,,57%,64%,76%,,,,,,,,,,,,,,,,,,,,,,,,64%,,"Percentage of pupils reaching the expected standard in reading, writing and maths one year prior"
1330,KS2_19,PTRWM_HIGH_18,3%,,4%,,,6%,7%,10%,2%,4%,,3%,10%,0%,7%,6%,,,2%,27%,0%,4%,10%,,7%,6%,12%,,,,,,,,,,,,,,,,,,,,,,,,10%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing  one year prior
1331,KS2_19,PTRWM_EXP_FSM6CLA1A_18,29%,,67%,,,56%,80%,69%,69%,77%,,82%,61%,49%,83%,56%,,,42%,SUPP,SUPP,SUPP,72%,,49%,62%,69%,,,,,,,,,,,,,,,,,,,,,,,,51%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths one year prior"
1332,KS2_19,PTRWM_HIGH_FSM6CLA1A_18,0%,,7%,,,6%,0%,0%,0%,0%,,5%,11%,0%,0%,9%,,,3%,SUPP,SUPP,SUPP,6%,,8%,5%,13%,,,,,,,,,,,,,,,,,,,,,,,,4%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing one year prior
1333,KS2_19,PTRWM_EXP_NOTFSM6CLA1A_18,100%,,77%,,,36%,100%,78%,63%,87%,,57%,55%,47%,67%,50%,,,41%,SUPP,SUPP,SUPP,69%,,74%,65%,89%,,,,,,,,,,,,,,,,,,,,,,,,70%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths one year prior"
1334,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A_18,17%,,0%,,,7%,22%,17%,13%,7%,,0%,9%,0%,10%,0%,,,0%,SUPP,SUPP,SUPP,14%,,5%,7%,11%,,,,,,,,,,,,,,,,,,,,,,,,12%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing one year prior
1335,KS2_19,READPROG_18,-1.9,,-0.4,,,-0.3,0.6,3.4,0.7,-1.4,,-1.9,0.5,0.3,0.4,1.7,,,-2.1,4.6,1.5,-4.6,1.1,,0.7,1.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure one year prior
1336,KS2_19,READPROG_LOWER_18,-4.2,,-2.8,,,-2.4,-1.6,1.2,-0.9,-3.8,,-4.2,-1.8,-1.5,-2,-0.2,,,-3.8,2.4,-1.1,-6.9,-0.4,,-1,-0.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure - lower confidence limit one year prior
1337,KS2_19,READPROG_UPPER_18,0.4,,2,,,1.8,2.8,5.6,2.3,1,,0.4,2.8,2.1,2.8,3.6,,,-0.4,6.8,4.1,-2.3,2.6,,2.4,2.5,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure - upper confidence limit one year prior
1338,KS2_19,WRITPROG_18,1.3,,-1.7,,,-0.6,1.6,1.9,0.3,-0.3,,-0.2,0.3,-0.7,-0.8,3.1,,,-2.1,2.3,1.8,-0.7,-1.7,,1.8,0.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure  one year prior
1339,KS2_19,WRITPROG_LOWER_18,-0.9,,-4,,,-2.6,-0.5,-0.2,-1.2,-2.6,,-2.4,-1.9,-2.4,-3.1,1.3,,,-3.7,0.2,-0.7,-2.9,-3.2,,0.2,-0.9,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure - lower confidence limit  one year prior
1340,KS2_19,WRITPROG_UPPER_18,3.5,,0.6,,,1.4,3.7,4,1.8,2,,2,2.5,1,1.5,4.9,,,-0.5,4.4,4.3,1.5,-0.2,,3.4,1.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure - upper confidence limit one year prior
1341,KS2_19,MATPROG_18,-1.4,,2.9,,,-0.2,0.5,4.5,3.3,1.1,,0.6,1.8,1.5,0.2,1.1,,,-1.6,5,1.1,-3.1,2.1,,2.6,1.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure one year prior
1342,KS2_19,MATPROG_LOWER_18,-3.5,,0.7,,,-2.1,-1.5,2.5,1.9,-1.1,,-1.4,-0.3,-0.1,-2,-0.6,,,-3.1,3,-1.3,-5.2,0.7,,1.1,0.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure - lower confidence limit one year prior
1343,KS2_19,MATPROG_UPPER_18,0.7,,5.1,,,1.7,2.5,6.5,4.7,3.3,,2.6,3.9,3.1,2.4,2.8,,,-0.1,7,3.5,-1,3.5,,4.1,3.1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure - upper confidence limit one year prior
1344,KS2_19,READ_AVERAGE_18,101,,104,,,103,106,108,102,104,,103,105,101,105,102,,,101,110,,102,108,,102,103,107,,,,,,,,,,,,,,,,,,,,,,,,105,,Average scaled score in reading one year prior
1345,KS2_19,MAT_AVERAGE_18,101,,107,,,103,106,107,105,106,,105,106,102,105,102,,,101,109,,103,108,,104,104,106,,,,,,,,,,,,,,,,,,,,,,,,104,,Average scaled score in maths one year prior
1346,KS2_19,TELIG_17,31,,26,,,30,28,30,58,30,,29,30,,30,,,,53,28,24,26,60,,54,61,32,,,,,,,,,,,,,,,,,,,,,,,,599728,,Number of eligible pupils 2017
1347,KS2_19,PTFSM6CLA1A_17,74%,,77%,,,60%,71%,40%,74%,67%,,90%,73%,,63%,,,,77%,82%,79%,73%,67%,,59%,51%,78%,,,,,,,,,,,,,,,,,,,,,,,,32%,,Percentage of key stage 2 disadvantaged pupils two years prior
1348,KS2_19,PTNOTFSM6CLA1A_17,26%,,23%,,,40%,29%,60%,26%,33%,,10%,27%,,37%,,,,23%,18%,21%,27%,33%,,41%,49%,22%,,,,,,,,,,,,,,,,,,,,,,,,68%,,Percentage of key stage 2 pupils who are not disadvantaged two years prior
1349,KS2_19,PTRWM_EXP_17,35%,,73%,,,70%,79%,70%,45%,67%,,55%,60%,,60%,,,,49%,68%,0%,42%,43%,,43%,66%,72%,,,,,,,,,,,,,,,,,,,,,,,,61%,,"Percentage of pupils reaching the expected standard in reading, writing and maths two years prior"
1350,KS2_19,PTRWM_HIGH_17,0%,,4%,,,0%,4%,10%,0%,0%,,0%,3%,,0%,,,,2%,11%,0%,0%,3%,,7%,5%,9%,,,,,,,,,,,,,,,,,,,,,,,,9%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1351,KS2_19,PTRWM_EXP_FSM6CLA1A_17,35%,,70%,,,67%,70%,75%,40%,65%,,SUPP,59%,,58%,,,,51%,SUPP,SUPP,37%,43%,,44%,71%,76%,,,,,,,,,,,,,,,,,,,,,,,,47%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths two years prior"
1352,KS2_19,PTRWM_HIGH_FSM6CLA1A_17,0%,,5%,,,0%,5%,25%,0%,0%,,SUPP,5%,,0%,,,,2%,SUPP,SUPP,0%,5%,,9%,3%,12%,,,,,,,,,,,,,,,,,,,,,,,,4%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1353,KS2_19,PTRWM_EXP_NOTFSM6CLA1A_17,38%,,83%,,,75%,100%,67%,60%,70%,,SUPP,63%,,64%,,,,42%,SUPP,SUPP,57%,45%,,41%,60%,57%,,,,,,,,,,,,,,,,,,,,,,,,67%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths two years prior"
1354,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A_17,0%,,0%,,,0%,0%,0%,0%,0%,,SUPP,0%,,0%,,,,0%,SUPP,SUPP,0%,0%,,5%,7%,0%,,,,,,,,,,,,,,,,,,,,,,,,11%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1355,KS2_19,READPROG_17,-3.8,,2.7,,,2.2,2.5,0.7,-2.8,-0.3,,-1.9,1.4,,0,,,,-2.2,0,-0.6,-3,-3.9,,-2.2,-2.3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure two years prior
1356,KS2_19,READPROG_LOWER_17,-6.1,,0.3,,,-0.2,0.2,-1.5,-4.5,-2.7,,-4.3,-0.9,,-2.5,,,,-4,-2.3,-3.1,-5.5,-5.5,,-3.9,-3.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure - lower confidence limit two years prior
1357,KS2_19,READPROG_UPPER_17,-1.5,,5.1,,,4.6,4.8,2.9,-1.1,2.1,,0.5,3.7,,2.5,,,,-0.4,2.3,1.9,-0.5,-2.3,,-0.5,-0.7,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure - upper confidence limit two years prior
1358,KS2_19,WRITPROG_17,4,,1,,,1.3,3.2,-0.4,0.8,0.7,,-1.6,1.6,,-1.1,,,,-1.1,2.4,-0.1,-0.9,-0.9,,1.7,-2.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure two years prior
1359,KS2_19,WRITPROG_LOWER_17,1.8,,-1.4,,,-1,1,-2.6,-0.9,-1.6,,-3.9,-0.6,,-3.5,,,,-2.9,0.1,-2.5,-3.3,-2.4,,0,-4.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure - lower confidence limit two years prior
1360,KS2_19,WRITPROG_UPPER_17,6.2,,3.4,,,3.6,5.4,1.8,2.5,3,,0.7,3.8,,1.3,,,,0.7,4.7,2.3,1.5,0.6,,3.4,-1.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure - upper confidence limit two years prior
1361,KS2_19,MATPROG_17,0.4,,1.2,,,3.3,1.9,2.5,-1.6,-1,,1.8,1.3,,-1.5,,,,0.7,2,-0.6,-2.2,-2,,-1.9,1.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure two years prior
1362,KS2_19,MATPROG_LOWER_17,-1.6,,-1,,,1.1,-0.2,0.5,-3.1,-3.2,,-0.4,-0.8,,-3.8,,,,-1,-0.1,-2.9,-4.5,-3.4,,-3.5,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure - lower confidence limit two years prior
1363,KS2_19,MATPROG_UPPER_17,2.4,,3.4,,,5.5,4,4.5,-0.1,1.2,,4,3.4,,0.8,,,,2.4,4.1,1.7,0.1,-0.6,,-0.3,2.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure - upper confidence limit two years prior
1364,KS2_19,READ_AVERAGE_17,96,,106,,,102,104,105,99,103,,100,103,,101,,,,100,104,,98,100,,101,104,107,,,,,,,,,,,,,,,,,,,,,,,,104,,Average scaled score in reading  two years prior
1365,KS2_19,MAT_AVERAGE_17,100,,105,,,104,104,107,101,103,,104,103,,101,,,,103,106,,100,102,,101,107,104,,,,,,,,,,,,,,,,,,,,,,,,104,,Average scaled score in maths two years prior
1366,KS2_19,TELIG_3YR,91,,82,,,93,85,91,177,87,,111,88,,82,,,,167,87,72,103,181,,170,235,82,,,,,,,,,,,,,,,,,,,,,,,,1864398,,Total number of pupils at the end of Key Stage 2 over the past three years
1367,KS2_19,PTRWM_EXP_3YR,45%,,74%,,,59%,79%,74%,56%,69%,,63%,61%,NA,67%,NA,,,45%,84%,,58%,60%,,58%,62%,74%,,,,,,,,,,,,,,,,,,,,,,,,63%,,"Percentage of pupils reaching the expected standard in reading, writing and maths  - 3 year total"
1368,KS2_19,PTRWM_HIGH_3YR,2%,,5%,,,3%,5%,12%,1%,1%,,2%,6%,NA,9%,NA,,,2%,22%,,5%,9%,,12%,5%,12%,,,,,,,,,,,,,,,,,,,,,,,,10%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing  - 3 year total
1369,KS2_19,READ_AVERAGE_3YR,99,,106,,,104,105,106,101,103,,102,103,NA,103,NA,,,101,107,,101,104,,103,103,107,,,,,,,,,,,,,,,,,,,,,,,,105,,Average scaled score in reading - 3 year average
1370,KS2_19,MAT_AVERAGE_3YR,101,,106,,,103,105,107,103,103,,104,105,NA,104,NA,,,102,108,,103,105,,104,104,106,,,,,,,,,,,,,,,,,,,,,,,,105,,Average scaled score in maths - 3 year average
1371,KS2_19,READPROG_UNADJUSTED,-2.8,,4.4,,,3.4,2.1,1.8,-0.2,-1.2,,-1.2,0.5,0.6,2.4,3.4,,,-0.2,4.5,-2.5,-1.5,-0.4,,3.7,0.3,4,,,,,,,,,,,,,,,,,,,,,,,,0,,Unadjusted reading progress measure
1372,KS2_19,WRITPROG_UNADJUSTED,-2.4,,-0.9,,,1.5,-1,1.3,1.3,-1.8,,-1.3,4,-2.4,2.4,4.3,,,-1.1,3.8,-2.2,-0.5,-0.8,,3.7,-1.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,0,,Unadjusted writing progress measure
1373,KS2_19,MATPROG_UNADJUSTED,-2.1,,3,,,-0.5,1.9,3.6,2.2,-2.1,,-0.6,2,1.4,4.1,4.1,,,-0.6,5.4,-2.8,-0.4,-0.9,,4.3,0.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,0,,Unadjusted maths progress measure
1374,KS2_19,READPROG_DESCR_17,5,,2,,,3,2,3,4,3,,3,3,,3,,,,4,3,3,4,5,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure 'description' - two years prior
1375,KS2_19,WRITPROG_DESCR_17,1,,3,,,3,1,3,3,3,,3,3,,3,,,,3,2,3,3,3,,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure 'description' - two years prior
1376,KS2_19,MATPROG_DESCR_17,3,,3,,,2,3,2,4,3,,3,3,,3,,,,3,3,3,3,4,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure 'description' - two years prior
1377,KS2_19,READPROG_DESCR_18,3,,3,,,3,3,1,3,3,,3,3,3,3,3,,,4,1,3,5,3,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure 'description' - two years prior
1378,KS2_19,WRITPROG_DESCR_18,3,,3,,,3,3,3,3,3,,3,3,3,3,1,,,4,2,3,3,4,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure 'description' - one year prior
1379,KS2_19,MATPROG_DESCR_18,3,,2,,,3,3,1,1,3,,3,3,3,3,3,,,4,1,3,4,2,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure 'description' - one year prior
1380,KS2_19,READPROG_DESCR,4,,1,,,1,3,3,3,3,,3,3,3,3,1,,,3,1,3,3,3,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure 'description' - one year prior
1381,KS2_19,WRITPROG_DESCR,4,,3,,,3,3,3,3,3,,3,1,4,3,1,,,3,1,3,3,3,,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure 'description'
1382,KS2_19,MATPROG_DESCR,4,,1,,,3,3,1,2,3,,3,3,3,1,1,,,3,1,4,3,3,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure 'description'
1383,KS4_19,YEAR,,,,,,,,,,,2019,,,,,,,,,,2019,,,,,,,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,,2019,2019,2019,2019,2019,2019,,,,,,,2019,
1384,KS4_19,RECTYPE,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,1,1,,,,,,,7,Record type (1=mainstream school; 2=special school; 4=local authority; 5=National (all schools); 7=National (maintained schools))
1385,KS4_19,LEA,,,,,,,,,,,330,,,,,,,,,,330,,,,,,,,330,330,330,330,330,330,330,330,330,330,,330,330,330,330,330,330,,,,,,,,Local authority code (see separate list of local authorities and their codes)
1386,KS4_19,ESTAB,,,,,,,,,,,4020,,,,,,,,,,7013,,,,,,,,4000,6026,4003,4002,8006,6010,6905,6016,6120,4220,,4011,4016,4004,6101,6031,6908,,,,,,,,Establishment number
1387,KS4_19,URN,,,,,,,,,,,141943,,,,,,,,,,141252,,,,,,,,136944,143039,138222,138200,130461,137819,135907,140382,135406,136882,,139797,141003,138586,132743,143174,135970,,,,,,,,School Unique Reference Number
1388,KS4_19,SCHNAME,,,,,,,,,,,King Solomon International Business School,,,,,,,,,,Calthorpe Teaching Academy,,,,,,,,Birmingham Ormiston Academy,Blackwater Academy,Aston University Engineering Academy,Central Academy,South and City College Birmingham,City United Academy (CUA),Heartlands Academy,Avecinna Academy,Archway Academy,Aston Manor Academy,,City Academy Birmingham,Jewellery Quarter Academy,Nishkam High School,Values Academy,Newbury School,Ark St Alban's Academy,,,,,,,,School name
1389,KS4_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School now known as (used if the school has converted to an academy on or after 12 Sept 2018)
1390,KS4_19,ADDRESS1,,,,,,,,,,,Lord Street,,,,,,,,,,Darwin Street,,,,,,,,1 Grosvenor Street,68-69 Cecil Street,1 Lister Street,Newhall Street,129 Floodgate Street,10 Edward Street,Great Francis Street,The Garrison Centre,86 Watery Lane,Phillips Street,,23 Langley Walk,St George's Court,Great King Street North,15 Key Hill,57 Newbury Road,Conybere Street,,,,,,,,School address (1)
1391,KS4_19,ADDRESS2,,,,,,,,,,,,,,,,,,,,,Highgate,,,,,,,,,,,Ladywood,,,Nechells,106 Garrison Lane,Middleway,Aston,,Ladywood,1 Albion Street,,Hockley,,,,,,,,,,School address (2)
1392,KS4_19,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digbeth,,,Bordesley,Bordesley,,,,,,,,,,,,,,,,School address (3)
1393,KS4_19,TOWN,,,,,,,,,,,Birmingham,,,,,,,,,,Birmingham,,,,,,,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,,,,,,School town
1394,KS4_19,PCODE,,,,,,,,,,,B7 4AA,,,,,,,,,,B12 0TP,,,,,,,,B4 7QD,B19 3SU,B7 4AG,B3 1SJ,B5 5SU,B1 2RX,B7 4QR,B9 4BS,B9 4HN,B6 4PZ,,B15 2EF,B1 3AA,B19 2LF,B18 5PB,B19 2SW,B12 0YH,,,,,,,,School postcode
1395,KS4_19,TELNUM,,,,,,,,,,,01213571905,,,,,,,,,,01217734637,,,,,,,,01213599300,01212380758,01213800570,01217297160,01216946293,07753196453,01214643931,01217714782,01217727772,01213598108,,01216472760,01212893944,01213487660,01215230222,01217944039,01214461300,,,,,,,,School telephone number
1396,KS4_19,PCON_CODE,,,,,,,,,,,E14000564,,,,,,,,,,E14000564,,,,,,,,E14000564,E14000564,E14000564,E14000564,E14000564,E14000564,E14000564,E14000564,E14000564,E14000564,,E14000564,E14000564,E14000564,E14000564,E14000564,E14000564,,,,,,,,
1397,KS4_19,PCON_NAME,,,,,,,,,,,"Birmingham, Ladywood",,,,,,,,,,"Birmingham, Ladywood",,,,,,,,"Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood",,"Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood",,,,,,,,
1398,KS4_19,CONTFLAG,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,Contingency flag - school results 'significantly affected'. This field is zero for all schools.
1399,KS4_19,ICLOSE,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,,,,,,,Closed school flag (0=open; 1=closed)
