No,Namespace,Variable,Grendon Primary School - 103205,The Orchard School - 132232,Topcliffe Primary School - 143091,Highters Heath Community School - 103365,Four Dwellings Primary Academy - 139131,Nonsuch Primary School - 142358,Rosslyn School and Day Nursery - 103573,St Thomas More Catholic Primary School - 103441,St Thomas More Catholic Primary School - 147017,Reynalds Cross School - 104131,Our Lady of Compassion Catholic Primary School - 104102,Our Lady of Compassion Catholic Primary School - 148089,Al Khair Primary School - 141001,Lindsworth School - 103632,Stanville Primary School - 103257,Green Meadow Primary School - 141610,Chilcote Primary School - 103298,Quinton Church Primary School - 143439,Perryfields Primary School - 103953,St Nicholas Catholic Primary School - 140529,New Oscott Primary School - 134774,Langley Primary School - 103978,Kingsland Primary School (NC) - 103221,Hargate Primary School - 103905,Sundridge Primary School - 103266,Leycroft Academy - 148653,St Andrew's Catholic Primary School - 104099,St Andrew's Catholic Primary School - 148086,St Francis Xavier Catholic Primary School - 141922,The Bridge School - 144043,Woodcock Hill Primary School - 103372,Lodge Primary School - 103969,Broadmeadow Junior School - 103286,Broadmeadow Infant School - 103288,Langley Primary School - 104080,Elms Farm Community Primary School - 103381,Timberley Academy - 138104,Our Lady's Catholic Primary School - 103449,"Christ Church, Church of England Secondary Academy - 148589",West Bromwich Collegiate Academy - 147182,King's Norton Boys' School - 103562,Four Dwellings Academy - 139047,Shenley Academy - 135911,Perryfields High School Specialist Maths and Computing College - 104012,Perryfields Academy - 148267,Langley School - 137007,Silver Birch School 11-17 Independent Provision - 138971,The British Muslim School - 135792,Shireland Biomedical Utc - 141813,Tile Cross Academy - 144306,National state-funded primary,National state-funded secondary and 16 to 18,Description
1147,KS2_19,PTRWM_EXP_L,SUPP,0%,0%,SUPP,SUPP,0%,,SUPP,,0%,SUPP,,,SUPP,0%,,SUPP,,,,SUPP,SUPP,SUPP,22%,SUPP,,SUPP,,SUPP,0%,SUPP,17%,SUPP,,17%,0%,25%,SUPP,,,,,,,,,,,,,7%,,"Percentage of pupils with low prior attainment reaching the expected standard in reading, writing and maths"
1148,KS2_19,PTRWM_EXP_M,64%,,50%,65%,46%,69%,,38%,,,37%,,,SUPP,29%,37%,59%,57%,21%,55%,46%,76%,82%,54%,13%,,38%,,45%,,44%,68%,62%,,58%,48%,50%,56%,,,,,,,,,,,,,58%,,"Percentage of pupils with medium prior attainment reaching the expected standard in reading, writing and maths"
1149,KS2_19,PTRWM_EXP_H,100%,,100%,82%,100%,100%,,93%,,,79%,,,SUPP,100%,91%,94%,100%,87%,100%,92%,100%,95%,100%,89%,,100%,,100%,,100%,93%,100%,,95%,100%,100%,100%,,,,,,,,,,,,,95%,,"Percentage of pupils with high prior attainment reaching the expected standard in reading, writing and maths"
1150,KS2_19,PTRWM_EXP_FSM6CLA1A,56%,0%,50%,67%,49%,53%,,31%,,SUPP,SUPP,,,SUPP,40%,54%,61%,SUPP,38%,,35%,70%,82%,41%,23%,,56%,,42%,0%,45%,47%,63%,,68%,56%,50%,58%,,,,,,,,,,,,,51%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths"
1151,KS2_19,PTRWM_EXP_NOTFSM6CLA1A,85%,0%,53%,67%,76%,78%,,61%,,SUPP,SUPP,,,,56%,59%,83%,SUPP,64%,SUPP,73%,84%,87%,62%,44%,,65%,,68%,0%,67%,73%,72%,,66%,43%,83%,78%,,,,,,,,,,,,,71%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths"
1152,KS2_19,DIFFN_RWM_EXP,-15,-71,-21,-4,-22,-18,,-40,,SUPP,SUPP,,,SUPP,-31,-17,-10,SUPP,-33,,-36,-1,11,-30,-48,,-15,,-29,-71,-26,-24,-8,,-3,-15,-21,-13,,,,,,,,,,,,,0,,"Difference between school percentage of disavantaged pupils and national percentage of other pupils reaching the expected standard in reading, writing and maths "
1153,KS2_19,PTRWM_EXP_EAL,SUPP,0%,SUPP,SUPP,67%,SUPP,,SUPP,,SUPP,SUPP,,,,43%,SUPP,80%,SUPP,SUPP,SUPP,53%,83%,SUPP,47%,SUPP,,SUPP,,71%,0%,SUPP,69%,SUPP,,68%,57%,100%,89%,,,,,,,,,,,,,64%,,"Percentage of EAL pupils reaching the expected standard in reading, writing and maths"
1154,KS2_19,PTRWM_EXP_MOBN,67%,0%,53%,66%,58%,62%,,51%,,0%,47%,,,,48%,57%,79%,66%,57%,83%,66%,78%,83%,54%,38%,,62%,,58%,0%,56%,66%,70%,,66%,59%,61%,70%,,,,,,,,,,,,,66%,,"Percentage of non-mobile pupils reaching the expected standard in reading, writing and maths"
1155,KS2_19,PTRWM_HIGH_B,6%,0%,9%,7%,0%,0%,,8%,,0%,4%,,,0%,19%,0%,13%,10%,11%,0%,11%,13%,20%,9%,7%,,6%,,6%,0%,0%,0%,6%,,13%,8%,8%,14%,,,,,,,,,,,,,9%,,Percentage of boys achieving a high score in reading and maths and working at greater depth in writing
1156,KS2_19,PTRWM_HIGH_G,8%,SUPP,18%,13%,0%,17%,,5%,,SUPP,5%,,,SUPP,0%,15%,31%,21%,18%,33%,13%,14%,17%,8%,7%,,15%,,20%,0%,0%,9%,15%,,14%,13%,12%,13%,,,,,,,,,,,,,13%,,"Percentage of girls reaching the HIGHected standard in reading, writing and maths"
1157,KS2_19,PTRWM_HIGH_L,SUPP,0%,0%,SUPP,SUPP,0%,,SUPP,,0%,SUPP,,,SUPP,0%,,SUPP,,,,SUPP,SUPP,SUPP,0%,SUPP,,SUPP,,SUPP,0%,SUPP,0%,SUPP,,0%,0%,0%,SUPP,,,,,,,,,,,,,0%,,Percentage of pupils with low prior attainment achieving a high score in reading and maths and working at greater depth in writing
1158,KS2_19,PTRWM_HIGH_M,0%,,4%,0%,0%,0%,,4%,,,0%,,,SUPP,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,,0%,,0%,,0%,0%,0%,,3%,4%,0%,0%,,,,,,,,,,,,,2%,,Percentage of pupils with medium prior attainment achieving a high score in reading and maths and working at greater depth in writing
1159,KS2_19,PTRWM_HIGH_H,22%,,50%,27%,0%,29%,,13%,,,14%,,,SUPP,33%,18%,35%,71%,27%,26%,24%,42%,42%,36%,22%,,25%,,50%,,0%,20%,28%,,35%,31%,33%,36%,,,,,,,,,,,,,29%,,Percentage of pupils with high prior attainment achieving a high score in reading and maths and working at greater depth in writing
1160,KS2_19,PTRWM_HIGH_FSM6CLA1A,6%,0%,9%,6%,0%,5%,,0%,,SUPP,SUPP,,,SUPP,5%,8%,17%,SUPP,25%,,0%,0%,14%,7%,0%,,0%,,8%,0%,0%,6%,3%,,5%,6%,5%,0%,,,,,,,,,,,,,5%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
1161,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A,8%,0%,18%,17%,0%,11%,,10%,,SUPP,SUPP,,,,22%,6%,24%,SUPP,9%,SUPP,14%,21%,27%,9%,13%,,15%,,16%,0%,0%,5%,17%,,17%,21%,17%,22%,,,,,,,,,,,,,13%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
1162,KS2_19,DIFFN_RWM_HIGH,-7,-13,-4,-7,-13,-8,,-13,,SUPP,SUPP,,,SUPP,-8,-5,4,SUPP,12,,-13,-13,1,-6,-13,,-13,,-5,-13,-13,-7,-10,,-8,-7,-8,-13,,,,,,,,,,,,,0,,"Difference between school percentage of disavantaged pupils and national percentage of other pupils achieving a high score in reading, writing and maths "
1163,KS2_19,PTRWM_HIGH_EAL,SUPP,0%,SUPP,SUPP,0%,SUPP,,SUPP,,SUPP,SUPP,,,,29%,SUPP,20%,SUPP,SUPP,SUPP,6%,11%,SUPP,6%,SUPP,,SUPP,,0%,0%,SUPP,6%,SUPP,,16%,14%,0%,44%,,,,,,,,,,,,,11%,,Percentage of EAL pupils achieving a high score in reading and maths and working at greater depth in writing
1164,KS2_19,PTRWM_HIGH_MOBN,7%,0%,13%,7%,0%,8%,,7%,,0%,4%,,,,11%,7%,23%,17%,13%,17%,9%,13%,18%,9%,8%,,10%,,13%,0%,0%,5%,11%,,14%,12%,10%,13%,,,,,,,,,,,,,11%,,Percentage of non-mobile pupils achieving a high score in reading and maths and working at greater depth in writing
1165,KS2_19,READPROG_B,0.5,-2.6,1.4,-1,-1.1,-2.1,,-1.8,,SUPP,-0.8,,,-7.7,0.3,-1.2,-0.9,-1.2,-4.9,0.8,-0.5,1.8,0,1.6,-5.5,,-2,,-0.3,-2.6,-1.4,0.5,0.2,,0.4,1.2,3.2,2.7,,,,,,,,,,,,,-0.5,,Reading progress measure for boys
1166,KS2_19,READPROG_B_LOWER,-2.5,-5.8,-1.1,-4.2,-3.5,-5.2,,-4.2,,SUPP,-3.2,,,-12,-2.7,-3.3,-3.2,-5,-7.7,-2.3,-2.3,-0.2,-2.7,-1,-8.7,,-5,,-3.3,-6.2,-4.9,-2,-2,,-1.8,-1.3,1.2,-0.6,,,,,,,,,,,,,0,,Reading progress measure for boys - lower confidence limit
1167,KS2_19,READPROG_B_UPPER,3.6,0.6,4,2.1,1.3,1.1,,0.7,,SUPP,1.7,,,-3.4,3.3,1,1.4,2.6,-2,4,1.3,3.7,2.7,4.2,-2.3,,1,,2.7,1.1,2.1,3,2.3,,2.5,3.7,5.2,5.9,,,,,,,,,,,,,0,,Reading progress measure for boys - upper confidence limit
1168,KS2_19,READPROG_G,4.4,SUPP,3,0.5,-1.4,-1.2,,1.9,,SUPP,-1.8,,,SUPP,-0.1,-2.6,0.4,3.3,-0.6,5.1,-1.5,1.6,2,2.4,-4.3,,-1,,1.7,-2.4,-4.2,-0.4,1.8,,0.5,1.5,0.9,2.6,,,,,,,,,,,,,0.6,,Reading progress measure for girls
1169,KS2_19,READPROG_G_LOWER,0.7,SUPP,0.1,-2.7,-3.9,-4.7,,-0.9,,SUPP,-4.4,,,SUPP,-3.4,-5,-2,0.5,-4.2,1.9,-3.5,-1,-0.5,0.3,-7.6,,-4.3,,-1.4,-7.3,-7.4,-2.6,-0.6,,-1.9,-1.2,-1.5,-0.4,,,,,,,,,,,,,0,,Reading progress measure for girls - lower confidence limit
1170,KS2_19,READPROG_G_UPPER,8,SUPP,5.9,3.6,1.1,2.3,,4.7,,SUPP,0.9,,,SUPP,3.3,-0.2,2.7,6.2,3.1,8.2,0.4,4.3,4.5,4.4,-1.1,,2.4,,4.8,2.5,-1.1,1.9,4.3,,2.9,4.2,3.3,5.6,,,,,,,,,,,,,0,,Reading progress measure for girls - upper confidence limit
1171,KS2_19,READPROG_L,SUPP,-2.6,3.4,SUPP,SUPP,-2.1,,SUPP,,-2.8,SUPP,,,SUPP,-3.3,NA,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,5.4,SUPP,,SUPP,,SUPP,-2.5,SUPP,1.3,SUPP,,4.5,2,7,SUPP,,,,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment
1172,KS2_19,READPROG_L_LOWER,SUPP,-5.6,-1.2,SUPP,SUPP,-6.7,,SUPP,,-7.7,SUPP,,,SUPP,-8.2,NA,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,2.6,SUPP,,SUPP,,SUPP,-5.4,SUPP,-3.7,SUPP,,-0.4,-2.2,2.8,SUPP,,,,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment - lower confidence limit
1173,KS2_19,READPROG_L_UPPER,SUPP,0.4,8,SUPP,SUPP,2.5,,SUPP,,2.2,SUPP,,,SUPP,1.6,NA,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,8.3,SUPP,,SUPP,,SUPP,0.4,SUPP,6.2,SUPP,,9.5,6.3,11.3,SUPP,,,,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment - upper confidence limit
1174,KS2_19,READPROG_M,2.7,NA,2.7,1.3,-1.4,-0.7,,-1.3,,NA,-0.5,,,SUPP,-0.1,-1.2,1.3,1.3,-3.6,1.3,-1,2.7,2.4,1.2,-8.7,,-2,,0.4,NA,-1.5,0.3,1.1,,-0.3,1.5,1,3.1,,,,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment
1175,KS2_19,READPROG_M_LOWER,-0.5,NA,0.2,-1.7,-3.7,-4.1,,-3.8,,NA,-2.8,,,SUPP,-3.3,-3.2,-1.3,-1.3,-6.8,-2.4,-2.7,0.7,-0.2,-1,-11.7,,-5,,-2.2,NA,-4.5,-1.9,-1,,-2.4,-1,-1,0.3,,,,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment - lower confidence limit
1176,KS2_19,READPROG_M_UPPER,5.9,NA,5.1,4.2,0.9,2.7,,1.2,,NA,1.8,,,SUPP,3.1,0.9,3.9,4,-0.4,4.9,0.8,4.7,5,3.5,-5.7,,1,,2.9,NA,1.5,2.4,3.2,,1.9,4,3,6,,,,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment - upper confidence limit
1177,KS2_19,READPROG_H,2.3,NA,-0.6,-1.6,-4,-3,,0.6,,NA,-3.2,,,SUPP,2.8,-2.9,-1.7,2.8,-2.9,3.9,-1.2,1,-0.1,-1.3,-1,,-1.1,,0.4,NA,-4.2,-1,-0.7,,0.3,0.6,2.5,2.4,,,,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment
1178,KS2_19,READPROG_H_LOWER,-1.7,NA,-4.9,-5.2,-7.1,-7.6,,-2.5,,NA,-6.4,,,SUPP,-1.3,-5.5,-3.9,-1.8,-6,1.1,-3.2,-1.8,-2.9,-5,-5.1,,-4.6,,-3.9,NA,-8.8,-4.1,-3.6,,-2.4,-2.7,-0.4,-1.3,,,,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment - lower confidence limit
1179,KS2_19,READPROG_H_UPPER,6.3,NA,3.6,2,-1,1.5,,3.8,,NA,0.1,,,SUPP,6.8,-0.3,0.5,7.4,0.2,6.7,0.8,3.7,2.7,2.3,3,,2.4,,4.7,NA,0.3,2.1,2.1,,3,4,5.3,6,,,,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment - upper confidence limit
1180,KS2_19,READPROG_FSM6CLA1A,1.1,-2.8,2.8,-1.4,-1.7,-1.5,,-0.5,,SUPP,SUPP,,,SUPP,-0.8,-2,-0.2,SUPP,-3.7,,-0.7,1.4,0.4,0.1,-6.6,,-4.9,,1.3,-2.8,-3.5,-1.2,1.2,,0.7,1.9,2.1,0.8,,,,,,,,,,,,,-0.6,,Reading progress measure for disadvantaged pupils
1181,KS2_19,READPROG_FSM6CLA1A_LOWER,-1.9,-6.9,0.2,-4.2,-3.9,-4.4,,-3.9,,SUPP,SUPP,,,SUPP,-3.5,-4.5,-3.1,SUPP,-8,,-3.7,-1.2,-1.9,-2.2,-9.9,,-8.9,,-2.2,-6.5,-6.2,-4.2,-1.1,,-2.3,-0.2,0.2,-2.7,,,,,,,,,,,,,0,,Reading progress measure for disadvantaged pupils - lower confidence limit
1182,KS2_19,READPROG_FSM6CLA1A_UPPER,4.2,1.2,5.4,1.5,0.4,1.3,,2.8,,SUPP,SUPP,,,SUPP,2,0.5,2.6,SUPP,0.5,,2.2,4,2.7,2.4,-3.2,,-0.9,,4.8,0.8,-0.8,1.9,3.5,,3.6,4,4.1,4.3,,,,,,,,,,,,,0,,Reading progress measure for disadvantaged pupils - upper confidence limit
1183,KS2_19,READPROG_NOTFSM6CLA1A,3.5,-2.3,1.2,1.3,-0.4,-1.9,,0,,SUPP,SUPP,,,,2.1,-1.7,-0.3,SUPP,-3.1,SUPP,-1,1.9,2.3,3.8,-3.5,,0,,0.2,-2,-1.4,0.5,0.7,,0.3,-0.5,2.4,3.8,,,,,,,,,,,,,0.3,,Reading progress measure for non-disadvantaged pupils
1184,KS2_19,READPROG_NOTFSM6CLA1A_LOWER,-0.1,-6.9,-1.7,-2.2,-3.3,-6,,-2.2,,SUPP,SUPP,,,,-2,-3.8,-2.3,SUPP,-5.7,SUPP,-2.5,-0.1,-0.8,1.6,-6.6,,-2.7,,-2.5,-6.9,-6,-1.5,-1.6,,-1.6,-4.2,-0.2,1,,,,,,,,,,,,,0,,Reading progress measure for non-disadvantaged pupils - lower confidence limit
1185,KS2_19,READPROG_NOTFSM6CLA1A_UPPER,7.2,2.2,4.1,4.8,2.4,2.1,,2.1,,SUPP,SUPP,,,,6.1,0.4,1.7,SUPP,-0.4,SUPP,0.4,3.9,5.4,6.1,-0.4,,2.7,,3,3,3.1,2.6,2.9,,2.2,3.1,4.9,6.7,,,,,,,,,,,,,0,,Reading progress measure for non-disadvantaged pupils - upper confidence limit
1186,KS2_19,DIFFN_READPROG,0.8,-3.1,2.5,-1.7,-2,-1.8,,-0.8,,SUPP,SUPP,,,SUPP,-1.1,-2.3,-0.5,SUPP,-4,,-1,1.1,0.1,-0.2,-6.9,,-5.2,,1,-3.1,-3.8,-1.5,0.9,,0.4,1.6,1.8,0.5,,,,,,,,,,,,,0,,Difference between reading progress measure for disadvantaged pupils in school and other pupils nationally
1187,KS2_19,READPROG_EAL,SUPP,-3.6,SUPP,SUPP,0.3,SUPP,,SUPP,,SUPP,SUPP,,,NA,-1.7,SUPP,0.6,SUPP,SUPP,SUPP,-2.6,0.7,SUPP,3.8,SUPP,,SUPP,,0,-2.7,SUPP,0.2,SUPP,,3.8,SUPP,1.2,2.5,,,,,,,,,,,,,0.8,,Reading progress measure for EAL pupils
1188,KS2_19,READPROG_EAL_LOWER,SUPP,-8.5,SUPP,SUPP,-4.3,SUPP,,SUPP,,SUPP,SUPP,,,NA,-6.3,SUPP,-2.5,SUPP,SUPP,SUPP,-5.6,-2.2,SUPP,1.5,SUPP,,SUPP,,-4.5,-6.9,SUPP,-1.7,SUPP,,0.8,SUPP,-3.8,-1.5,,,,,,,,,,,,,0,,Reading progress measure for EAL pupils - lower confidence limit
1189,KS2_19,READPROG_EAL_UPPER,SUPP,1.4,SUPP,SUPP,4.9,SUPP,,SUPP,,SUPP,SUPP,,,NA,2.8,SUPP,3.8,SUPP,SUPP,SUPP,0.3,3.7,SUPP,6.1,SUPP,,SUPP,,4.6,1.6,SUPP,2.1,SUPP,,6.8,SUPP,6.1,6.5,,,,,,,,,,,,,0,,Reading progress measure for EAL pupils - upper confidence limit
1190,KS2_19,READPROG_MOBN,1.6,-2.6,2.2,-0.5,-0.8,-2.1,,-0.1,,-2.8,-1.2,,,NA,0.5,-1.9,-0.3,1.7,-3.3,3.2,-1,1.7,1.1,2,-4.8,,-1.5,,0.7,-2.5,-3.7,0,0.9,,0.5,1.4,2.3,2.6,,,,,,,,,,,,,0.1,,Reading progress measure for non-mobile pupils
1191,KS2_19,READPROG_MOBN_LOWER,-0.8,-5.6,0.3,-2.7,-2.6,-4.5,,-1.9,,-7.7,-3,,,NA,-1.9,-3.5,-1.9,-0.6,-5.5,0.9,-2.3,0.1,-0.8,0.4,-7.2,,-3.8,,-1.5,-5.4,-6.2,-1.7,-0.7,,-1.1,-0.5,0.8,0.4,,,,,,,,,,,,,0,,Reading progress measure for non-mobile pupils - lower confidence limit
1192,KS2_19,READPROG_MOBN_UPPER,4,0.4,4.2,1.8,1,0.3,,1.8,,2.2,0.6,,,NA,2.8,-0.3,1.4,4,-1,5.4,0.4,3.3,3,3.7,-2.5,,0.7,,2.8,0.4,-1.1,1.7,2.5,,2.1,3.3,3.9,4.8,,,,,,,,,,,,,0,,Reading progress measure for non-mobile pupils - upper confidence limit
1193,KS2_19,WRITPROG_B,-0.4,-2.5,-0.7,-2,-0.6,2.5,,-0.8,,SUPP,-0.2,,,SUPP,2.7,-3.1,-1.3,-2.7,-3.2,-4.4,-2.3,0.9,0.4,4.4,-4.3,,-2,,1,-3.2,-8.3,1.9,2.1,,0.4,-2.3,0.4,0.1,,,,,,,,,,,,,-0.7,,Writing progress measure for boys
1194,KS2_19,WRITPROG_B_LOWER,-3.2,-5.5,-3.1,-4.9,-2.8,-0.3,,-3,,SUPP,-2.4,,,SUPP,-0.1,-5.1,-3.4,-6.2,-5.8,-7.3,-3.9,-0.9,-2.1,2,-7.2,,-4.8,,-1.8,-6.5,-11.5,-0.5,0,,-1.5,-4.5,-1.5,-2.8,,,,,,,,,,,,,0,,Writing progress measure for boys - lower confidence limit
1195,KS2_19,WRITPROG_B_UPPER,2.3,0.5,1.7,0.9,1.6,5.4,,1.4,,SUPP,2.1,,,SUPP,5.4,-1.1,0.8,0.8,-0.5,-1.6,-0.6,2.7,2.9,6.8,-1.3,,0.8,,3.8,0.2,-5.1,4.2,4.1,,2.4,0,2.2,3.1,,,,,,,,,,,,,0,,Writing progress measure for boys - upper confidence limit
1196,KS2_19,WRITPROG_G,-1.1,SUPP,0.6,0.9,1.8,2.6,,1.5,,SUPP,-1.1,,,NA,0.2,-3.8,-1.7,1.4,0.6,-0.8,-1.7,1.5,2,3.5,-0.3,,-1.4,,2.6,-2.5,-1.4,1.7,1.1,,-0.1,-0.6,-0.5,1.9,,,,,,,,,,,,,0.8,,Wwriting progress measure for girls
1197,KS2_19,WRITPROG_G_LOWER,-4.4,SUPP,-2.1,-2,-0.5,-0.7,,-1.1,,SUPP,-3.5,,,NA,-2.9,-6,-3.8,-1.2,-2.7,-3.7,-3.5,-1,-0.3,1.6,-3.3,,-4.5,,-0.3,-7.1,-4.3,-0.4,-1,,-2.3,-3.1,-2.7,-0.9,,,,,,,,,,,,,0,,Writing progress measure for girls - lower confidence limit
1198,KS2_19,WRITPROG_G_UPPER,2.3,SUPP,3.3,3.7,4.2,5.8,,4,,SUPP,1.3,,,NA,3.3,-1.7,0.5,4,4,2.1,0.1,3.9,4.3,5.4,2.7,,1.7,,5.5,2,1.5,3.7,3.3,,2.2,1.9,1.7,4.7,,,,,,,,,,,,,0,,Writing progress measure for girls - upper confidence limit
1199,KS2_19,WRITPROG_L,SUPP,-2.6,-0.5,SUPP,SUPP,7.4,,SUPP,,-2.8,SUPP,,,SUPP,2.4,NA,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,7,SUPP,,SUPP,,SUPP,-2.9,SUPP,2.8,SUPP,,6.5,-5,2.4,SUPP,,,,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment
1200,KS2_19,WRITPROG_L_LOWER,SUPP,-5.4,-4.7,SUPP,SUPP,3.1,,SUPP,,-7.4,SUPP,,,SUPP,-2.2,NA,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,4.4,SUPP,,SUPP,,SUPP,-5.6,SUPP,-1.7,SUPP,,2,-8.9,-1.5,SUPP,,,,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment - lower confidence limit
1201,KS2_19,WRITPROG_L_UPPER,SUPP,0.1,3.8,SUPP,SUPP,11.6,,SUPP,,1.7,SUPP,,,SUPP,7,NA,SUPP,NA,NA,NA,SUPP,SUPP,SUPP,9.6,SUPP,,SUPP,,SUPP,-0.2,SUPP,7.4,SUPP,,11.1,-1,6.4,SUPP,,,,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment - upper confidence limit
1202,KS2_19,WRITPROG_M,-0.4,NA,-1.6,0.6,1.1,1.8,,-0.2,,NA,0.3,,,SUPP,0.4,-4.2,-2.6,-0.6,-2.5,-4.2,-1.8,1.6,1.7,2.1,-3.6,,-2.2,,1.5,NA,-3.7,2.2,2,,-0.7,-0.8,0.2,-0.4,,,,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment
1203,KS2_19,WRITPROG_M_LOWER,-3.4,NA,-3.9,-2.1,-1,-1.3,,-2.5,,NA,-1.8,,,SUPP,-2.5,-6.1,-4.9,-3,-5.5,-7.6,-3.5,-0.3,-0.7,0,-6.4,,-5,,-0.9,NA,-6.5,0.2,0.1,,-2.7,-3.1,-1.7,-3,,,,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment - lower confidence limit
1204,KS2_19,WRITPROG_M_UPPER,2.6,NA,0.6,3.3,3.2,4.9,,2.1,,NA,2.5,,,SUPP,3.4,-2.3,-0.2,1.9,0.5,-0.9,-0.2,3.4,4.1,4.2,-0.8,,0.6,,3.8,NA,-0.9,4.2,3.9,,1.3,1.5,2.1,2.2,,,,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment - upper confidence limit
1205,KS2_19,WRITPROG_H,-1.5,NA,4.7,-1.4,-2,-0.8,,-0.6,,NA,-3.2,,,NA,2.7,-2.1,-1.5,1.5,-1,-1.7,-2.2,0.1,0.6,3.3,-1.2,,-1.1,,1.4,NA,-6.1,0.4,-0.6,,-0.3,-0.7,-1.5,3.7,,,,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment
1206,KS2_19,WRITPROG_H_LOWER,-5.2,NA,0.7,-4.7,-4.8,-5.1,,-3.5,,NA,-6.2,,,NA,-1,-4.5,-3.5,-2.8,-3.9,-4.2,-4.1,-2.5,-2,0,-4.9,,-4.4,,-2.5,NA,-10.4,-2.5,-3.2,,-2.8,-3.8,-4.2,0.3,,,,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment - lower confidence limit
1207,KS2_19,WRITPROG_H_UPPER,2.2,NA,8.6,2,0.8,3.4,,2.3,,NA,-0.2,,,NA,6.5,0.3,0.5,5.7,1.9,0.9,-0.4,2.7,3.1,6.7,2.5,,2.1,,5.4,NA,-1.9,3.3,2,,2.2,2.4,1.1,7.1,,,,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment - upper confidence limit
1208,KS2_19,WRITPROG_FSM6CLA1A,-0.3,-2.9,-0.1,-1.4,-0.5,2.7,,0.5,,SUPP,SUPP,,,SUPP,0.1,-3.3,-0.7,SUPP,-1.3,,-3.9,0.5,1.3,1.6,-0.3,,-3.2,,0.7,-2.9,-4.7,1.8,2,,-0.6,-1.9,-0.6,0.7,,,,,,,,,,,,,-0.5,,Writing progress measure for disadvantaged pupils
1209,KS2_19,WRITPROG_FSM6CLA1A_LOWER,-3.1,-6.6,-2.5,-4,-2.5,0.1,,-2.6,,SUPP,SUPP,,,SUPP,-2.4,-5.6,-3.4,SUPP,-5.3,,-6.6,-1.9,-0.8,-0.6,-3.4,,-6.9,,-2.5,-6.2,-7.2,-1,-0.1,,-3.3,-3.8,-2.3,-2.5,,,,,,,,,,,,,0,,Writing progress measure for disadvantaged pupils - lower confidence limit
1210,KS2_19,WRITPROG_FSM6CLA1A_UPPER,2.5,0.9,2.3,1.3,1.5,5.3,,3.6,,SUPP,SUPP,,,SUPP,2.6,-1,1.9,SUPP,2.6,,-1.2,2.9,3.4,3.7,2.8,,0.5,,4,0.5,-2.2,4.6,4.1,,2.1,0,1.2,4,,,,,,,,,,,,,0,,Writing progress measure for disadvantaged pupils - upper confidence limit
1211,KS2_19,WRITPROG_NOTFSM6CLA1A,-1.2,-2.4,-0.2,0.6,2.4,2.3,,0,,SUPP,SUPP,,,,4.8,-3.5,-1.9,SUPP,-1.9,SUPP,-1.5,1.5,1.2,5.9,-4,,-1.1,,2.4,-3.1,-3.8,1.7,1.2,,0.5,-0.4,1,1.3,,,,,,,,,,,,,0.3,,Writing progress measure for non-disadvantaged pupils
1212,KS2_19,WRITPROG_NOTFSM6CLA1A_LOWER,-4.6,-6.6,-2.9,-2.6,-0.3,-1.5,,-2,,SUPP,SUPP,,,,1.1,-5.4,-3.7,SUPP,-4.3,SUPP,-2.9,-0.4,-1.7,3.9,-6.9,,-3.6,,-0.1,-7.6,-8,-0.1,-0.9,,-1.2,-3.8,-1.4,-1.3,,,,,,,,,,,,,0,,Writing progress measure for non-disadvantaged pupils - lower confidence limit
1213,KS2_19,WRITPROG_NOTFSM6CLA1A_UPPER,2.1,1.8,2.5,3.8,5,6,,2,,SUPP,SUPP,,,,8.5,-1.6,0,SUPP,0.6,SUPP,-0.2,3.3,4.1,8,-1.1,,1.4,,5,1.5,0.5,3.6,3.4,,2.3,2.9,3.4,4,,,,,,,,,,,,,0,,Writing progress measure for non-disadvantaged pupils - upper confidence limit
