No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
1244,KS2_19,MATPROG_EAL_LOWER,,2.2,-0.7,,0.6,0.2,1.1,-0.9,-0.6,,-3.1,-1.8,,1.8,0.6,,-1.6,-3.1,-0.9,,0.6,1.2,3.3,,,3.3,-1.1,4.5,,-0.3,0.8,-1.4,-5.3,-0.7,2.9,-4.9,,-0.8,-1.6,-3.8,-1.5,,,,,,,,,,0,,Maths progress measure for EAL pupils - lower confidence limit
1245,KS2_19,MATPROG_EAL_UPPER,,4.6,3.4,,3.9,5.9,3.5,1,3.1,,-0.6,4,,5.1,3.9,,1.8,1.6,1.4,,2.6,4.3,6.4,,,6.5,1,7.4,,2.6,3.7,1.8,-3.5,2.9,7.8,0,,1.8,2.4,0.8,3.6,,,,,,,,,,0,,Maths progress measure for EAL pupils - upper confidence limit
1246,KS2_19,MATPROG_MOBN,,3.3,1.6,,1.5,-0.4,2.6,0,0.8,,-2.3,-1.7,,1.1,2.4,,0.1,-2,0.3,,1.5,2.2,4.3,,,5.3,-0.3,6.1,,1,2,-1.1,-4.4,0.6,4.8,-2.4,,0.5,0.1,-1,0.2,,,,,,,,,,0.1,,Maths progress measure for non-mobile pupils
1247,KS2_19,MATPROG_MOBN_LOWER,,2.1,0.2,,0.1,-2.6,1.4,-1,-0.6,,-3.4,-3.8,,-0.2,1,,-1.4,-4.1,-0.9,,0.5,0.7,2.8,,,3.8,-1.3,4.7,,-0.4,0.6,-2.5,-5.3,-1,2.5,-4.8,,-0.8,-1.2,-3,-1.4,,,,,,,,,,0,,Maths progress measure for non-mobile pupils - lower confidence limit
1248,KS2_19,MATPROG_MOBN_UPPER,,4.5,3,,3,1.8,3.7,0.9,2.2,,-1.1,0.4,,2.4,3.8,,1.7,0,1.5,,2.5,3.7,5.8,,,6.9,0.8,7.5,,2.5,3.4,0.2,-3.5,2.2,7,0.1,,1.8,1.4,1,1.8,,,,,,,,,,0,,Maths progress measure for non-mobile pupils - upper confidence limit
1249,KS2_19,READ_AVERAGE_B,,105,105,,105,95,105,102,101,,103,98,,97,102,,105,95,99,,101,104,105,,,97,99,108,,100,104,99,97,100,99,99,,99,103,105,105,,,,,,,,,,103,,Average scaled score in reading for boys
1250,KS2_19,READ_AVERAGE_G,,105,107,,104,105,106,103,103,,103,101,,102,106,,105,100,103,,102,105,106,,,102,103,113,,102,105,101,99,100,99,104,,102,105,109,105,,,,,,,,,,106,,Average scaled score in reading for girls
1251,KS2_19,READ_AVERAGE_L,,87,SUPP,,SUPP,SUPP,94,94,90,,SUPP,92,,92,SUPP,,92,SUPP,89,,90,91,94,,,92,92,99,,SUPP,93,91,90,SUPP,92,,,89,95,SUPP,SUPP,,,,,,,,,,93,,Average scaled score in reading for pupils with low prior attainment
1252,KS2_19,READ_AVERAGE_M,,106,103,,104,99,105,104,102,,100,98,,101,102,,105,98,100,,101,104,104,,,102,101,108,,100,105,101,98,99,105,101,,99,103,102,102,,,,,,,,,,102,,Average scaled score in reading for pupils with medium prior attainment
1253,KS2_19,READ_AVERAGE_H,,111,111,,113,SUPP,113,SUPP,111,,108,111,,108,111,,111,SUPP,109,,107,110,112,,,SUPP,109,116,,108,111,109,106,109,SUPP,107,,109,114,112,111,,,,,,,,,,110,,Average scaled score in reading for pupils with high prior attainment
1254,KS2_19,READ_AVERAGE_FSM6CLA1A,,105,102,,105,99,107,102,100,,104,101,,99,104,,105,99,102,,100,102,106,,,100,100,109,,101,102,99,99,96,101,103,,99,103,106,102,,,,,,,,,,102,,Average scaled score in reading for disadvantaged pupils
1255,KS2_19,READ_AVERAGE_NOTFSM6CLA1A,,104,107,,105,100,104,103,103,,102,99,,102,104,,105,96,101,,103,106,104,,,100,102,113,,101,106,101,97,102,96,102,,101,105,107,107,,,,,,,,,,105,,Average scaled score in reading for non-disadvantaged pupils
1256,KS2_19,READ_AVERAGE_EAL,,105,105,,105,102,105,102,101,,103,101,,100,104,,104,100,101,,101,104,105,,,100,101,111,,101,104,100,98,100,100,102,,100,102,106,104,,,,,,,,,,104,,Average scaled score in reading for EAL pupils
1257,KS2_19,READ_AVERAGE_MOBN,,105,106,,105,99,106,102,102,,103,100,,100,104,,104,98,101,,101,104,105,,,100,101,111,,101,104,100,99,100,100,102,,100,105,106,105,,,,,,,,,,105,,Average scaled score in reading for MOBN pupils
1258,KS2_19,MAT_AVERAGE_B,,109,108,,108,99,108,103,104,,105,99,,102,105,,105,103,103,,105,106,109,,,104,102,111,,106,106,103,100,104,105,103,,103,104,106,107,,,,,,,,,,105,,Average scaled score in maths for boys
1259,KS2_19,MAT_AVERAGE_G,,106,108,,104,106,106,101,103,,105,103,,100,108,,104,100,104,,105,105,109,,,105,104,113,,105,104,100,98,102,100,100,,104,102,108,103,,,,,,,,,,105,,Average scaled score in maths for girls
1260,KS2_19,MAT_AVERAGE_L,,92,SUPP,,SUPP,SUPP,99,94,89,,SUPP,91,,94,SUPP,,93,SUPP,93,,93,89,101,,,100,94,107,,SUPP,94,91,89,SUPP,98,,,96,91,SUPP,SUPP,,,,,,,,,,94,,Average scaled score in maths for pupils with low prior attainment
1261,KS2_19,MAT_AVERAGE_M,,108,105,,105,103,106,103,104,,102,100,,103,106,,105,101,102,,105,105,108,,,105,103,110,,104,106,101,98,102,105,101,,102,103,103,102,,,,,,,,,,103,,Average scaled score in maths for pupils with medium prior attainment
1262,KS2_19,MAT_AVERAGE_H,,113,113,,112,SUPP,111,SUPP,113,,110,112,,109,114,,109,SUPP,112,,111,114,114,,,SUPP,109,115,,111,112,109,107,110,SUPP,103,,111,112,112,111,,,,,,,,,,110,,Average scaled score in maths for pupils with high prior attainment
1263,KS2_19,MAT_AVERAGE_FSM6CLA1A,,107,107,,107,102,107,101,103,,106,102,,100,107,,105,102,105,,103,105,108,,,104,101,111,,105,102,101,99,99,103,101,,102,100,107,102,,,,,,,,,,103,,Average scaled score in maths for disadvantaged pupils
1264,KS2_19,MAT_AVERAGE_NOTFSM6CLA1A,,108,108,,106,101,107,104,104,,104,100,,103,107,,105,101,103,,107,106,110,,,105,104,113,,106,107,103,99,105,101,100,,105,105,108,107,,,,,,,,,,106,,Average scaled score in maths for non-disadvantaged pupils
1265,KS2_19,MAT_AVERAGE_EAL,,107,107,,107,105,107,102,104,,105,104,,103,107,,104,103,104,,105,106,109,,,105,103,112,,106,105,103,99,104,103,101,,103,102,106,106,,,,,,,,,,106,,Average scaled score in maths for EAL pupils
1266,KS2_19,MAT_AVERAGE_MOBN,,107,108,,106,103,107,102,103,,105,101,,101,107,,104,101,104,,105,105,109,,,104,102,112,,105,105,102,99,103,103,101,,104,103,107,105,,,,,,,,,,105,,Average scaled score in maths for MOBN pupils
1267,KS2_19,GPS_AVERAGE_B,,111,110,,108,99,111,107,105,,108,101,,102,105,,103,104,104,,107,108,111,,,104,106,109,,109,110,104,101,104,106,106,,104,106,108,108,,,,,,,,,,105,,Average scaled score in GPS for boys
1268,KS2_19,GPS_AVERAGE_G,,112,111,,108,111,111,109,107,,109,105,,106,111,,104,107,109,,108,110,113,,,108,108,113,,110,111,104,102,104,101,107,,108,108,114,109,,,,,,,,,,107,,Average scaled score in GPS for girls
1269,KS2_19,GPS_AVERAGE_L,,96,SUPP,,SUPP,SUPP,97,101,95,,SUPP,94,,96,SUPP,,91,SUPP,92,,97,93,101,,,99,100,98,,SUPP,99,94,91,SUPP,97,,,94,98,SUPP,SUPP,,,,,,,,,,94,,Average scaled score in GPS for pupils with low prior attainment
1270,KS2_19,GPS_AVERAGE_M,,112,108,,107,104,112,109,106,,105,101,,106,107,,103,105,106,,107,110,112,,,110,108,109,,108,111,105,101,104,107,105,,104,107,105,106,,,,,,,,,,104,,Average scaled score in GPS for pupils with medium prior attainment
1271,KS2_19,GPS_AVERAGE_H,,117,115,,114,SUPP,116,SUPP,115,,114,114,,114,116,,110,SUPP,114,,113,115,117,,,SUPP,113,117,,115,117,112,110,113,SUPP,110,,114,116,116,114,,,,,,,,,,113,,Average scaled score in GPS for pupils with high prior attainment
1272,KS2_19,GPS_AVERAGE_FSM6CLA1A,,111,110,,108,103,112,107,104,,110,103,,103,108,,104,106,107,,107,107,112,,,107,106,110,,109,107,103,101,99,104,107,,104,106,110,105,,,,,,,,,,104,,Average scaled score in GPS for disadvantaged pupils
1273,KS2_19,GPS_AVERAGE_NOTFSM6CLA1A,,111,111,,108,106,110,109,109,,108,102,,106,109,,103,104,107,,109,110,112,,,107,108,114,,110,113,106,102,106,102,106,,107,108,112,111,,,,,,,,,,107,,Average scaled score in GPS for non-disadvantaged pupils
1274,KS2_19,GPS_AVERAGE_EAL,,111,110,,109,107,111,108,106,,109,105,,106,109,,102,108,107,,107,109,112,,,107,107,112,,109,111,105,101,104,104,107,,105,106,110,110,,,,,,,,,,108,,Average scaled score in GPS for EAL pupils
1275,KS2_19,GPS_AVERAGE_MOBN,,111,111,,108,104,111,108,106,,109,103,,104,109,,103,105,107,,107,108,112,,,107,107,112,,109,111,104,102,104,104,106,,105,108,110,109,,,,,,,,,,107,,Average scaled score in GPS for MOBN pupils
1276,KS2_19,PTREAD_EXP_L,,11%,SUPP,,SUPP,SUPP,31%,18%,0%,,SUPP,14%,,5%,SUPP,,17%,SUPP,20%,,23%,25%,17%,,,21%,12%,29%,,SUPP,22%,8%,8%,SUPP,18%,,,0%,43%,SUPP,SUPP,,,,,,,,,,16%,,Percentage of pupils with low prior attainment reaching the expected standard in reading
1277,KS2_19,PTREAD_EXP_M,,91%,64%,,82%,53%,86%,78%,63%,,53%,47%,,64%,73%,,93%,48%,52%,,65%,79%,75%,,,73%,58%,87%,,52%,85%,50%,43%,52%,88%,79%,,45%,76%,67%,80%,,,,,,,,,,70%,,Percentage of pupils with medium prior attainment reaching the expected standard in reading
1278,KS2_19,PTREAD_EXP_H,,100%,100%,,100%,SUPP,100%,SUPP,100%,,95%,100%,,86%,94%,,100%,SUPP,96%,,92%,100%,100%,,,SUPP,100%,100%,,95%,100%,100%,83%,100%,SUPP,100%,,91%,100%,100%,100%,,,,,,,,,,97%,,Percentage of pupils with high prior attainment reaching the expected standard in reading
1279,KS2_19,PTREAD_EXP_FSM6CLA1A,,85%,50%,,80%,50%,77%,66%,52%,,71%,50%,,47%,82%,,82%,56%,58%,,58%,68%,79%,,,64%,55%,78%,,55%,68%,43%,48%,43%,58%,82%,,44%,65%,74%,64%,,,,,,,,,,62%,,Percentage of disadvantaged pupils reaching the expected standard in reading
1280,KS2_19,PTREAD_EXP_NOTFSM6CLA1A,,82%,81%,,79%,50%,77%,68%,65%,,66%,43%,,52%,66%,,79%,45%,59%,,76%,80%,74%,,,54%,55%,96%,,65%,85%,52%,45%,61%,33%,67%,,50%,81%,91%,96%,,,,,,,,,,78%,,Percentage of non-disadvantaged pupils reaching the expected standard in reading
1281,KS2_19,PTGPS_EXP_L,,33%,SUPP,,SUPP,SUPP,31%,35%,11%,,SUPP,14%,,25%,SUPP,,0%,SUPP,20%,,38%,25%,50%,,,50%,44%,29%,,SUPP,44%,17%,4%,SUPP,45%,,,18%,57%,SUPP,SUPP,,,,,,,,,,17%,,"Percentage of pupils with low prior attainment reaching the expected standard in grammar, punctuation and spelling"
1282,KS2_19,PTGPS_EXP_M,,100%,92%,,94%,71%,95%,92%,85%,,78%,60%,,82%,86%,,81%,86%,80%,,85%,97%,100%,,,91%,88%,97%,,97%,95%,82%,60%,71%,100%,79%,,76%,96%,73%,88%,,,,,,,,,,77%,,"Percentage of pupils with medium prior attainment reaching the expected standard in grammar, punctuation and spelling"
1283,KS2_19,PTGPS_EXP_H,,100%,100%,,100%,SUPP,100%,SUPP,100%,,100%,100%,,100%,100%,,100%,SUPP,100%,,100%,100%,100%,,,SUPP,96%,100%,,100%,100%,100%,96%,100%,SUPP,100%,,100%,100%,100%,100%,,,,,,,,,,99%,,"Percentage of pupils with high prior attainment reaching the expected standard in grammar, punctuation and spelling"
1284,KS2_19,PTGPS_EXP_FSM6CLA1A,,90%,100%,,90%,60%,83%,81%,69%,,93%,61%,,61%,86%,,71%,81%,81%,,80%,84%,97%,,,78%,73%,86%,,97%,77%,69%,56%,57%,74%,82%,,66%,81%,79%,77%,,,,,,,,,,67%,,"Percentage of disadvantaged pupils reaching the expected standard in grammar, punctuation and spelling"
1285,KS2_19,PTGPS_EXP_NOTFSM6CLA1A,,92%,94%,,91%,70%,86%,84%,84%,,77%,57%,,76%,81%,,75%,82%,75%,,87%,86%,94%,,,88%,77%,96%,,90%,95%,74%,62%,78%,67%,78%,,72%,91%,91%,96%,,,,,,,,,,83%,,"Percentage of non-disadvantaged pupils reaching the expected standard in grammar, punctuation and spelling"
1286,KS2_19,PTMAT_EXP_L,,33%,SUPP,,SUPP,SUPP,44%,12%,0%,,SUPP,14%,,25%,SUPP,,33%,SUPP,40%,,15%,25%,50%,,,43%,20%,71%,,SUPP,33%,8%,13%,SUPP,45%,,,27%,14%,SUPP,SUPP,,,,,,,,,,19%,,Percentage of pupils with low prior attainment reaching the expected standard in maths
1287,KS2_19,PTMAT_EXP_M,,98%,81%,,88%,59%,93%,75%,78%,,71%,47%,,69%,84%,,93%,57%,70%,,81%,90%,97%,,,91%,74%,100%,,88%,95%,63%,48%,68%,88%,71%,,74%,73%,73%,56%,,,,,,,,,,77%,,Percentage of pupils with medium prior attainment reaching the expected standard in maths
1288,KS2_19,PTMAT_EXP_H,,100%,100%,,100%,SUPP,100%,SUPP,100%,,97%,100%,,86%,100%,,100%,SUPP,100%,,96%,100%,100%,,,SUPP,96%,100%,,100%,100%,100%,88%,100%,SUPP,100%,,100%,100%,100%,100%,,,,,,,,,,99%,,Percentage of pupils with high prior attainment reaching the expected standard in maths
1289,KS2_19,PTMAT_EXP_FSM6CLA1A,,88%,100%,,90%,60%,83%,60%,66%,,84%,56%,,55%,86%,,86%,56%,84%,,68%,84%,93%,,,72%,58%,97%,,83%,77%,55%,55%,48%,74%,76%,,66%,58%,84%,50%,,,,,,,,,,67%,,Percentage of disadvantaged pupils reaching the expected standard in maths
1290,KS2_19,PTMAT_EXP_NOTFSM6CLA1A,,92%,85%,,85%,50%,95%,75%,74%,,77%,57%,,66%,78%,,86%,64%,66%,,85%,86%,94%,,,83%,74%,96%,,90%,92%,67%,46%,86%,56%,56%,,74%,74%,82%,83%,,,,,,,,,,84%,,Percentage of non-disadvantaged pupils reaching the expected standard in maths
1291,KS2_19,PTWRITTA_EXP_L,,22%,SUPP,,SUPP,SUPP,38%,29%,33%,,SUPP,14%,,25%,SUPP,,17%,SUPP,10%,,23%,38%,0%,,,29%,20%,14%,,SUPP,44%,17%,8%,SUPP,45%,,,0%,43%,SUPP,SUPP,,,,,,,,,,15%,,Percentage of pupils with low prior attainment reaching the expected standard in writing
1292,KS2_19,PTWRITTA_EXP_M,,100%,78%,,76%,65%,98%,85%,78%,,78%,73%,,80%,89%,,89%,67%,80%,,77%,90%,84%,,,82%,74%,83%,,94%,92%,74%,63%,52%,100%,93%,,69%,87%,60%,80%,,,,,,,,,,78%,,Percentage of pupils with medium prior attainment reaching the expected standard in writing
1293,KS2_19,PTWRITTA_EXP_H,,100%,100%,,100%,SUPP,100%,SUPP,100%,,100%,100%,,100%,100%,,100%,SUPP,100%,,100%,93%,100%,,,SUPP,100%,100%,,100%,100%,100%,94%,78%,SUPP,100%,,100%,100%,100%,100%,,,,,,,,,,99%,,Percentage of pupils with high prior attainment reaching the expected standard in writing
1294,KS2_19,PTWRITTA_EXP_FSM6CLA1A,,90%,83%,,75%,60%,85%,69%,59%,,91%,67%,,61%,86%,,82%,75%,74%,,71%,84%,79%,,,67%,59%,73%,,86%,77%,59%,62%,38%,74%,94%,,56%,74%,74%,68%,,,,,,,,,,68%,,Percentage of disadvantaged pupils reaching the expected standard in writing
1295,KS2_19,PTWRITTA_EXP_NOTFSM6CLA1A,,89%,85%,,76%,50%,88%,81%,87%,,79%,71%,,69%,88%,,79%,55%,75%,,82%,83%,81%,,,67%,72%,96%,,87%,92%,70%,56%,61%,67%,78%,,67%,79%,82%,96%,,,,,,,,,,83%,,Percentage of non-disadvantaged pupils reaching the expected standard in writing
1296,KS2_19,PTREAD_HIGH_L,,0%,SUPP,,SUPP,SUPP,0%,0%,0%,,SUPP,0%,,0%,SUPP,,0%,SUPP,0%,,0%,0%,0%,,,0%,0%,14%,,SUPP,11%,0%,0%,SUPP,0%,,,0%,7%,SUPP,SUPP,,,,,,,,,,1%,,Percentage of pupils with low prior attainment achieving a high score in reading
1297,KS2_19,PTREAD_HIGH_M,,22%,22%,,21%,12%,25%,16%,12%,,10%,7%,,18%,14%,,15%,0%,10%,,16%,14%,19%,,,18%,9%,53%,,3%,23%,13%,6%,13%,38%,0%,,10%,18%,20%,4%,,,,,,,,,,15%,,Percentage of pupils with medium prior attainment achieving a high score in reading
1298,KS2_19,PTREAD_HIGH_H,,70%,57%,,81%,SUPP,79%,SUPP,50%,,38%,67%,,43%,53%,,56%,SUPP,50%,,27%,40%,75%,,,SUPP,46%,96%,,42%,70%,42%,33%,33%,SUPP,14%,,45%,84%,50%,56%,,,,,,,,,,56%,,Percentage of pupils with high prior attainment achieving a high score in reading
1299,KS2_19,PTREAD_HIGH_FSM6CLA1A,,35%,33%,,45%,10%,38%,15%,7%,,31%,22%,,16%,14%,,25%,0%,23%,,14%,12%,31%,,,14%,11%,59%,,17%,9%,16%,15%,10%,26%,6%,,15%,21%,32%,9%,,,,,,,,,,17%,,Percentage of disadvantaged pupils achieving a high score in reading
1300,KS2_19,PTREAD_HIGH_NOTFSM6CLA1A,,29%,35%,,32%,20%,25%,16%,23%,,13%,14%,,21%,31%,,29%,0%,18%,,22%,26%,29%,,,17%,21%,75%,,13%,41%,15%,7%,17%,11%,0%,,17%,37%,36%,35%,,,,,,,,,,31%,,Percentage of non-disadvantaged pupils achieving a high score in reading
1301,KS2_19,PTGPS_HIGH_L,,0%,SUPP,,SUPP,SUPP,0%,6%,0%,,SUPP,0%,,0%,SUPP,,0%,SUPP,0%,,0%,0%,0%,,,21%,0%,14%,,SUPP,11%,8%,0%,SUPP,9%,,,0%,7%,SUPP,SUPP,,,,,,,,,,2%,,"Percentage of pupils with low prior attainment achieving a high score in grammar, punctuation and spelling"
1302,KS2_19,PTGPS_HIGH_M,,67%,47%,,36%,35%,64%,46%,29%,,18%,7%,,36%,32%,,4%,19%,34%,,42%,52%,69%,,,55%,40%,53%,,42%,64%,21%,8%,23%,13%,21%,,24%,33%,33%,28%,,,,,,,,,,21%,,"Percentage of pupils with medium prior attainment achieving a high score in grammar, punctuation and spelling"
1303,KS2_19,PTGPS_HIGH_H,,96%,83%,,100%,SUPP,100%,SUPP,88%,,77%,67%,,86%,94%,,44%,SUPP,92%,,77%,87%,100%,,,SUPP,83%,96%,,84%,100%,67%,48%,67%,SUPP,57%,,82%,100%,100%,88%,,,,,,,,,,71%,,"Percentage of pupils with high prior attainment achieving a high score in grammar, punctuation and spelling"
1304,KS2_19,PTGPS_HIGH_FSM6CLA1A,,65%,50%,,50%,30%,63%,37%,14%,,38%,17%,,29%,43%,,18%,31%,48%,,43%,44%,62%,,,50%,31%,57%,,48%,50%,24%,20%,14%,26%,35%,,32%,35%,58%,32%,,,,,,,,,,24%,,"Percentage of disadvantaged pupils achieving a high score in grammar, punctuation and spelling"
1305,KS2_19,PTGPS_HIGH_NOTFSM6CLA1A,,71%,61%,,53%,30%,60%,48%,52%,,47%,21%,,31%,50%,,14%,27%,43%,,47%,60%,77%,,,38%,49%,79%,,55%,72%,26%,17%,39%,11%,22%,,39%,47%,73%,61%,,,,,,,,,,41%,,"Percentage of non-disadvantaged pupils achieving a high score in grammar, punctuation and spelling"
1306,KS2_19,PTMAT_HIGH_L,,0%,SUPP,,SUPP,SUPP,0%,0%,0%,,SUPP,0%,,0%,SUPP,,0%,SUPP,0%,,0%,0%,0%,,,7%,0%,0%,,SUPP,0%,0%,0%,SUPP,0%,,,0%,0%,SUPP,SUPP,,,,,,,,,,1%,,Percentage of pupils with low prior attainment achieving a high score in maths
1307,KS2_19,PTMAT_HIGH_M,,43%,25%,,21%,24%,20%,16%,17%,,8%,13%,,13%,22%,,11%,5%,12%,,20%,14%,38%,,,15%,7%,57%,,18%,15%,11%,1%,6%,25%,7%,,12%,4%,13%,12%,,,,,,,,,,13%,,Percentage of pupils with medium prior attainment achieving a high score in maths
1308,KS2_19,PTMAT_HIGH_H,,78%,70%,,75%,SUPP,79%,SUPP,88%,,59%,50%,,29%,100%,,44%,SUPP,75%,,73%,80%,88%,,,SUPP,46%,83%,,58%,70%,50%,29%,67%,SUPP,14%,,68%,79%,64%,69%,,,,,,,,,,58%,,Percentage of pupils with high prior attainment achieving a high score in maths
1309,KS2_19,PTMAT_HIGH_FSM6CLA1A,,48%,33%,,40%,30%,37%,10%,14%,,33%,22%,,8%,39%,,18%,13%,29%,,25%,20%,34%,,,11%,9%,57%,,28%,14%,16%,10%,0%,26%,6%,,17%,14%,32%,14%,,,,,,,,,,16%,,Percentage of disadvantaged pupils achieving a high score in maths
1310,KS2_19,PTMAT_HIGH_NOTFSM6CLA1A,,42%,43%,,32%,20%,30%,24%,35%,,26%,21%,,17%,44%,,18%,9%,27%,,38%,40%,58%,,,29%,21%,67%,,29%,31%,19%,11%,28%,0%,11%,,30%,26%,45%,48%,,,,,,,,,,32%,,Percentage of non-disadvantaged pupils achieving a high score in maths
1311,KS2_19,PTWRITTA_HIGH_L,,0%,SUPP,,SUPP,SUPP,0%,0%,0%,,SUPP,0%,,0%,SUPP,,0%,SUPP,0%,,0%,0%,0%,,,0%,0%,0%,,SUPP,0%,0%,0%,SUPP,0%,,,0%,0%,SUPP,SUPP,,,,,,,,,,0%,,Percentage of pupils with low prior attainment working at greater depth in writing
1312,KS2_19,PTWRITTA_HIGH_M,,17%,14%,,0%,12%,0%,12%,7%,,2%,13%,,7%,3%,,0%,5%,2%,,1%,7%,0%,,,0%,0%,7%,,9%,13%,5%,1%,0%,0%,14%,,0%,4%,7%,4%,,,,,,,,,,7%,,Percentage of pupils with medium prior attainment working at greater depth in writing
1313,KS2_19,PTWRITTA_HIGH_H,,74%,70%,,31%,SUPP,31%,SUPP,38%,,44%,83%,,29%,41%,,94%,SUPP,33%,,15%,67%,75%,,,SUPP,25%,22%,,47%,20%,25%,13%,0%,SUPP,29%,,45%,84%,50%,44%,,,,,,,,,,49%,,Percentage of pupils with high prior attainment working at greater depth in writing
1314,KS2_19,PTWRITTA_HIGH_FSM6CLA1A,,27%,0%,,5%,10%,12%,6%,3%,,24%,28%,,8%,14%,,32%,6%,10%,,0%,16%,21%,,,3%,0%,11%,,10%,5%,4%,5%,0%,11%,24%,,10%,14%,26%,0%,,,,,,,,,,11%,,Percentage of disadvantaged pupils working at greater depth in writing
1315,KS2_19,PTWRITTA_HIGH_NOTFSM6CLA1A,,34%,39%,,12%,10%,4%,16%,16%,,15%,21%,,3%,13%,,21%,0%,11%,,11%,29%,19%,,,8%,13%,13%,,29%,18%,15%,4%,0%,0%,0%,,13%,28%,27%,35%,,,,,,,,,,24%,,Percentage of non-disadvantaged pupils working at greater depth in writing
1316,KS2_19,TEALGRP1,,1,34,,10,14,13,1,27,,17,15,,29,17,,10,7,1,,6,8,5,,,8,9,7,,3,4,21,1,10,5,3,,8,51,9,28,,,,,,,,,,506919,,Number of eligible pupils with English as first language
1317,KS2_19,PTEALGRP1,,1%,57%,,19%,47%,11%,1%,45%,,18%,47%,,36%,28%,,18%,26%,1%,,5%,13%,8%,,,13%,8%,11%,,5%,7%,28%,1%,18%,18%,12%,,9%,59%,30%,62%,,,,,,,,,,79%,,Percentage of eligible pupils with English as first language
1318,KS2_19,TEALGRP3,,0,0,,0,0,0,0,0,,0,0,,2,0,,0,0,0,,0,0,0,,,1,0,1,,0,1,0,0,1,0,0,,0,1,0,0,,,,,,,,,,2489,,Number of eligible pupils with unclassified language
1319,KS2_19,PTEALGRP3,,0%,0%,,0%,0%,0%,0%,0%,,0%,0%,,3%,0%,,0%,0%,0%,,0%,0%,0%,,,2%,0%,2%,,0%,2%,0%,0%,2%,0%,0%,,0%,1%,0%,0%,,,,,,,,,,0%,,Percentage of eligible pupils with unclassified language
1320,KS2_19,TSENELE,,0,0,,0,1,3,1,1,,1,1,,0,2,,0,0,0,,0,0,0,,,2,1,1,,1,0,2,3,1,0,0,,1,1,1,1,,,,,,,,,,,,Number of eligible pupils with EHC plan
1321,KS2_19,PSENELE,,0%,0%,,0%,3%,2%,1%,2%,,1%,3%,,0%,3%,,0%,0%,0%,,0%,0%,0%,,,3%,1%,2%,,2%,0%,3%,2%,2%,0%,0%,,1%,1%,3%,2%,,,,,,,,,,3%,,Percentage of eligible pupils with EHC plan
1322,KS2_19,TSENELK,,13,0,,14,6,22,41,10,,11,9,,14,8,,7,5,18,,21,15,5,,,2,42,12,,6,7,36,64,12,8,2,,11,17,8,6,,,,,,,,,,,,Number of eligible pupils with SEN support
1323,KS2_19,PSENELK,,15%,0%,,26%,20%,18%,33%,17%,,12%,28%,,18%,13%,,13%,19%,21%,,18%,25%,8%,,,3%,36%,20%,,10%,11%,47%,36%,21%,29%,8%,,13%,20%,27%,13%,,,,,,,,,,15%,,Percentage of eligible pupils with SEN support
1324,KS2_19,TSENELEK,,13,0,,14,7,25,42,11,,12,10,,14,10,,7,5,18,,21,15,5,,,4,43,13,,7,7,38,67,13,8,2,,12,18,9,7,,,,,,,,,,,,Number of eligible pupils with SEN (EHC plan or SEN support)
1325,KS2_19,PSENELEK,,15%,0%,,26%,23%,20%,34%,18%,,13%,31%,,18%,17%,,13%,19%,21%,,18%,25%,8%,,,7%,37%,21%,,12%,11%,50%,38%,23%,29%,8%,,14%,21%,30%,16%,,,,,,,,,,18%,,Percentage of eligible pupils with SEN (EHC plan or SEN support)
1326,KS2_19,TELIG_18,,83,60,,57,25,96,,61,,89,30,,83,58,,57,29,94,,119,56,60,,,50,119,60,,59,62,55,117,,23,26,,74,88,30,43,,,,,,,,,,619703,,Number of eligible pupils 2018
