No,Namespace,Variable,Al-Ameen Primary School - 130244,Rookery School - 137168,St Matthew's CofE Primary School - 104000,Moseley Church of England Primary School - 103398,Brookvale Primary School - 139465,Thornton Primary School - 103268,Cherry Orchard Primary School - 103178,Ward End Primary School - 103217,Uffculme School - 103605,St Philip's Catholic Primary School - 141929,Redhill Primary School - 103247,Victoria Park Primary - 138033,"St James Church of England Primary School, Handsworth - 103401",Erdington Hall Primary School - 138194,St Bernadette's Catholic Primary School - 103460,Shireland Technology Primary School - 147191,St Mary and St John Junior and Infant School - 146268,Harborne Primary School - 132261,St Mary and St John Junior and Infant School - 103442,"The Olive School, Birmingham - 142888",Springfield Primary Academy - 144722,Springfield Primary School - 134083,St Augustine's Catholic Primary School - 103431,Wattville Primary School - 132201,Al-Furqan Primary School - 131465,The Pines Special School - 103622,St Mary's Catholic Primary School - 103438,Marsh Hill Primary School - 103233,Kings Heath Primary School - 134098,St Cuthbert's RC Junior and Infant (NC) School - 103470,Moor Green Primary Academy - 139000,Washwood Heath Academy - 139888,Tiverton Academy - 139439,St Edward's Catholic Primary School - 103447,Bearwood Primary School - 103933,Oasis Academy Hobmoor - 139214,"Eden Girls'  Leadership Academy, Birmingham - 147201",Flexible Learning School - 135561,Queensbridge School - 103497,Fox Hollies School and Performing Arts College - 103625,Shireland Collegiate Academy - 135170,Ward End Community College - 135238,Yardleys School - 139994,Stockland Green School - 138137,Lordswood Boys' School - 145120,Lordswood Girls' School and Sixth Form Centre - 136592,Moseley School and Sixth Form - 103519,Erdington Academy - 143413,Queensbury School - 146858,Queensbury School - 103616,National state-funded primary,National state-funded secondary and 16 to 18,Description
1112,KS2_19,PTMOBN,,98%,100%,90%,100%,98%,98%,93%,88%,97%,94%,95%,98%,92%,94%,,,94%,100%,,,98%,97%,93%,98%,95%,97%,98%,93%,97%,92%,,92%,97%,98%,95%,,,,,,,,,,,,,,,92%,,Percentage of eligible pupils classified as non-mobile
1113,KS2_19,PTRWM_EXP,,61%,76%,90%,78%,68%,70%,71%,0%,78%,55%,77%,73%,63%,74%,,,67%,40%,,,56%,66%,41%,73%,0%,78%,67%,73%,70%,79%,,65%,78%,60%,86%,,,,,,,,,,,,,,,65%,,"Percentage of pupils reaching the expected standard in reading, writing and maths"
1114,KS2_19,PTRWM_HIGH,,7%,10%,32%,16%,9%,5%,15%,0%,19%,10%,8%,5%,3%,2%,,,23%,0%,,,6%,0%,0%,24%,0%,20%,0%,17%,10%,17%,,4%,24%,3%,21%,,,,,,,,,,,,,,,11%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
1115,KS2_19,READPROG,,-1.3,1.1,3.7,0.6,-1.3,-0.4,-0.6,-4.8,3.1,-2.8,1.6,1.9,0.5,1.9,,,0.7,-1.5,,,-0.9,0.1,-1,4.1,-4.9,1.3,-1.9,1.6,0.1,2.9,,0,2.2,1.1,1,,,,,,,,,,,,,,,,,Reading progress measure
1116,KS2_19,READPROG_LOWER,,-2.9,-1.2,1.5,-1.5,-2.3,-1.9,-1.8,-7.8,0.9,-5.2,0,0.3,-1.2,0.6,,,-0.7,-3.2,,,-2.2,-2.2,-2.5,2.8,-7.6,-0.3,-3.4,0.3,-2.2,1,,-2.5,0.6,-0.5,-0.6,,,,,,,,,,,,,,,,,Reading progress measure - lower confidence limit
1117,KS2_19,READPROG_UPPER,,0.3,3.3,5.8,2.8,-0.3,1.2,0.5,-1.9,5.3,-0.5,3.3,3.5,2.1,3.2,,,2,0.3,,,0.4,2.5,0.6,5.4,-2.1,3,-0.3,2.8,2.3,4.8,,2.4,3.7,2.7,2.7,,,,,,,,,,,,,,,,,Reading progress measure - upper confidence limit
1118,KS2_19,READCOV,,93%,100%,100%,97%,97%,97%,97%,100%,94%,87%,90%,95%,93%,100%,,,94%,82%,,,96%,93%,81%,97%,95%,93%,100%,97%,97%,85%,,96%,100%,97%,95%,,,,,,,,,,,,,,,,,Reading progress measure - coverage
1119,KS2_19,WRITPROG,,1,2.9,0.6,-1.1,-0.6,-1.7,-1.7,-4.6,2.5,-0.7,0.5,0.9,0.9,0.2,,,0.3,-0.8,,,0.5,-1.2,-3.6,3,-5.4,0.6,-2.6,-1,-2.1,2.5,,0.4,-0.1,0.6,1.1,,,,,,,,,,,,,,,,,Writing progress measure
1120,KS2_19,WRITPROG_LOWER,,-0.5,0.8,-1.4,-3.1,-1.5,-3.2,-2.7,-7.3,0.4,-2.8,-1,-0.6,-0.6,-1,,,-0.9,-2.5,,,-0.7,-3.3,-5,1.8,-8,-0.9,-4.1,-2.2,-4.2,0.7,,-1.8,-1.6,-0.9,-0.4,,,,,,,,,,,,,,,,,Writing progress measure - lower confidence limit
1121,KS2_19,WRITPROG_UPPER,,2.5,4.9,2.6,0.9,0.3,-0.3,-0.7,-1.9,4.5,1.5,2,2.4,2.4,1.4,,,1.5,0.8,,,1.7,0.9,-2.1,4.1,-2.8,2.1,-1.2,0.2,0,4.2,,2.6,1.3,2.1,2.6,,,,,,,,,,,,,,,,,Writing progress measure - upper confidence limit
1122,KS2_19,WRITCOV,,93%,100%,100%,97%,97%,98%,97%,100%,94%,87%,90%,95%,93%,100%,,,95%,82%,,,96%,93%,81%,98%,95%,93%,100%,97%,97%,85%,,96%,100%,97%,95%,,,,,,,,,,,,,,,,,Writing progress measure - coverage
1123,KS2_19,MATPROG,,-0.6,3.9,1.4,1,-1.9,2.1,1.7,-3.2,3.3,-1.6,1.5,2,0,3.6,,,0.1,-0.6,,,0.9,0.7,-2.1,3.9,-6.4,0.9,0.6,-0.2,0.9,1.2,,2,0.7,2.4,2.3,,,,,,,,,,,,,,,,,Maths progress measure
1124,KS2_19,MATPROG_LOWER,,-2,1.9,-0.5,-0.9,-2.8,0.7,0.7,-5.8,1.3,-3.6,0,0.6,-1.4,2.5,,,-1.1,-2.1,,,-0.2,-1.4,-3.4,2.8,-8.8,-0.6,-0.8,-1.3,-1.1,-0.5,,-0.1,-0.6,1,0.9,,,,,,,,,,,,,,,,,Maths progress measure - lower confidence limit
1125,KS2_19,MATPROG_UPPER,,0.8,5.9,3.3,2.9,-1,3.4,2.7,-0.7,5.2,0.4,2.9,3.4,1.4,4.8,,,1.2,1,,,2.1,2.7,-0.7,5.1,-4,2.3,1.9,0.9,2.8,2.9,,4.1,2.1,3.8,3.7,,,,,,,,,,,,,,,,,Maths progress measure - upper confidence limit
1126,KS2_19,MATCOV,,93%,97%,100%,97%,97%,97%,97%,100%,94%,87%,90%,95%,93%,100%,,,94%,82%,,,96%,93%,81%,97%,95%,93%,100%,97%,97%,83%,,96%,100%,97%,95%,,,,,,,,,,,,,,,,,Maths progress measure - coverage
1127,KS2_19,PTREAD_EXP,,62%,76%,100%,78%,79%,76%,76%,0%,84%,58%,87%,78%,69%,80%,,,77%,51%,,,61%,72%,59%,77%,0%,83%,73%,83%,80%,81%,,69%,85%,67%,88%,,,,,,,,,,,,,,,73%,,Percentage of pupils reaching the expected standard in reading
1128,KS2_19,PTREAD_HIGH,,20%,10%,68%,38%,25%,22%,31%,0%,38%,16%,25%,23%,20%,31%,,,41%,11%,,,12%,21%,8%,46%,0%,42%,13%,39%,20%,40%,,15%,49%,21%,36%,,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in reading
1129,KS2_19,PTREAD_AT,,2%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,,,1%,0%,,,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in reading
1130,KS2_19,READ_AVERAGE,,102,104,112,106,104,105,105,,107,103,105,105,102,105,,,107,99,,,101,105,101,107,,108,102,107,105,107,,103,107,103,107,,,,,,,,,,,,,,,104,,Average scaled score in reading
1131,KS2_19,PTGPS_EXP,,74%,86%,97%,91%,83%,90%,86%,0%,91%,71%,88%,87%,75%,87%,,,88%,60%,,,72%,69%,74%,86%,0%,92%,87%,92%,93%,83%,,62%,88%,74%,84%,,,,,,,,,,,,,,,78%,,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
1132,KS2_19,PTGPS_HIGH,,43%,38%,55%,44%,38%,54%,54%,0%,66%,35%,35%,43%,36%,47%,,,58%,19%,,,42%,34%,11%,53%,0%,71%,35%,42%,43%,54%,,12%,54%,22%,55%,,,,,,,,,,,,,,,36%,,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
1133,KS2_19,PTGPS_AT,,2%,0%,0%,0%,0%,2%,0%,0%,0%,3%,2%,0%,0%,0%,,,1%,0%,,,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,0%,,"Percentage of pupils absent from or not able to access the test in grammar, punctuation and spelling"
1134,KS2_19,GPS_AVERAGE,,106,108,111,109,107,110,110,,113,107,107,108,105,108,,,111,102,,,105,107,103,109,,111,106,109,109,110,,101,110,105,110,,,,,,,,,,,,,,,106,,"Average scaled score in grammar, punctuation and spelling"
1135,KS2_19,PTMAT_EXP,,72%,90%,100%,97%,77%,90%,89%,0%,88%,71%,90%,88%,71%,86%,,,78%,65%,,,75%,69%,58%,87%,0%,85%,82%,84%,83%,83%,,88%,83%,83%,91%,,,,,,,,,,,,,,,79%,,Percentage of pupils reaching the expected standard in maths
1136,KS2_19,PTMAT_HIGH,,15%,31%,48%,34%,18%,33%,41%,0%,41%,10%,32%,28%,15%,40%,,,40%,21%,,,21%,34%,7%,41%,0%,34%,30%,28%,30%,27%,,27%,39%,22%,50%,,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in maths
1137,KS2_19,PTMAT_AT,,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,,,1%,0%,,,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in maths
1138,KS2_19,MAT_AVERAGE,,103,108,110,107,104,107,108,,108,105,106,106,103,107,,,107,102,,,104,106,101,107,,108,105,106,107,107,,105,107,105,109,,,,,,,,,,,,,,,105,,Average scaled score in maths
1139,KS2_19,PTWRITTA_EXP,,75%,90%,90%,84%,81%,78%,79%,0%,81%,71%,82%,80%,73%,84%,,,83%,63%,,,75%,69%,51%,81%,0%,93%,75%,78%,77%,85%,,88%,81%,83%,91%,,,,,,,,,,,,,,,78%,,Percentage of pupils reaching the expected standard in writing
1140,KS2_19,PTWRITTA_HIGH,,25%,17%,45%,16%,20%,8%,19%,0%,25%,13%,20%,15%,10%,3%,,,35%,2%,,,9%,10%,0%,29%,0%,31%,0%,20%,13%,31%,,8%,27%,3%,31%,,,,,,,,,,,,,,,20%,,Percentage of pupils working at greater depth within the expected standard in writing
1141,KS2_19,PTWRITTA_WTS,,25%,3%,10%,16%,17%,17%,14%,0%,13%,13%,15%,20%,27%,16%,,,13%,33%,,,24%,21%,36%,18%,0%,7%,18%,22%,23%,10%,,4%,17%,14%,9%,,,,,,,,,,,,,,,17%,,Percentage of pupils working towards the expected standard in writing
1142,KS2_19,PTWRITTA_AD,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,0%,,Percentage of pupils absent or disapplied in writing TA
1143,KS2_19,PTSCITA_EXP,,77%,83%,94%,81%,84%,73%,81%,0%,81%,68%,87%,83%,71%,74%,,,82%,56%,,,21%,72%,55%,84%,0%,98%,83%,86%,83%,77%,,88%,90%,81%,93%,,,,,,,,,,,,,,,83%,,Percentage of pupils reaching the expected standard in science TA
1144,KS2_19,PTSCITA_AD,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,,,,,,,,,,,,,,0%,,Percentage of pupils absent or disapplied in science TA
1145,KS2_19,PTRWM_EXP_B,,63%,75%,85%,75%,65%,64%,61%,0%,71%,33%,72%,65%,58%,70%,,,65%,21%,,,54%,65%,41%,67%,0%,81%,61%,61%,79%,80%,,64%,77%,53%,92%,,,,,,,,,,,,,,,60%,,"Percentage of boys reaching the expected standard in reading, writing and maths"
1146,KS2_19,PTRWM_EXP_G,,59%,77%,94%,80%,73%,77%,84%,SUPP,83%,75%,80%,83%,68%,77%,,,69%,55%,,,58%,67%,40%,80%,SUPP,76%,72%,81%,63%,79%,,67%,79%,69%,82%,,,,,,,,,,,,,,,70%,,"Percentage of girls reaching the expected standard in reading, writing and maths"
1147,KS2_19,PTRWM_EXP_L,,0%,17%,,,0%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,17%,13%,10%,,,14%,14%,,,11%,SUPP,0%,0%,0%,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,17%,SUPP,,,,,,,,,,,,,,,7%,,"Percentage of pupils with low prior attainment reaching the expected standard in reading, writing and maths"
1148,KS2_19,PTRWM_EXP_M,,52%,88%,85%,63%,61%,62%,57%,SUPP,88%,50%,76%,76%,64%,74%,,,43%,30%,,,51%,60%,35%,78%,SUPP,67%,57%,57%,58%,85%,,61%,68%,62%,79%,,,,,,,,,,,,,,,58%,,"Percentage of pupils with medium prior attainment reaching the expected standard in reading, writing and maths"
1149,KS2_19,PTRWM_EXP_H,,100%,100%,94%,100%,93%,100%,98%,,100%,100%,100%,100%,100%,100%,,,95%,100%,,,97%,100%,93%,100%,,100%,100%,100%,90%,100%,,SUPP,100%,100%,100%,,,,,,,,,,,,,,,95%,,"Percentage of pupils with high prior attainment reaching the expected standard in reading, writing and maths"
1150,KS2_19,PTRWM_EXP_FSM6CLA1A,,68%,88%,SUPP,67%,52%,63%,68%,0%,67%,40%,80%,62%,70%,67%,,,22%,40%,,,43%,63%,37%,68%,0%,70%,60%,52%,62%,74%,,53%,53%,60%,87%,,,,,,,,,,,,,,,51%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths"
1151,KS2_19,PTRWM_EXP_NOTFSM6CLA1A,,53%,62%,SUPP,83%,78%,73%,74%,0%,88%,69%,73%,84%,47%,79%,,,72%,41%,,,63%,67%,44%,78%,0%,80%,76%,80%,76%,86%,,82%,90%,61%,85%,,,,,,,,,,,,,,,71%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths"
1152,KS2_19,DIFFN_RWM_EXP,,-3,17,SUPP,-4,-19,-8,-3,-71,-4,-31,9,-9,-1,-4,,,-49,-31,,,-28,-8,-34,-3,-71,-1,-11,-19,-9,3,,-18,-18,-11,16,,,,,,,,,,,,,,,0,,"Difference between school percentage of disavantaged pupils and national percentage of other pupils reaching the expected standard in reading, writing and maths "
1153,KS2_19,PTRWM_EXP_EAL,,58%,75%,SUPP,86%,70%,56%,72%,SUPP,73%,56%,70%,70%,58%,85%,,,74%,33%,,,58%,62%,39%,74%,SUPP,77%,67%,69%,64%,70%,,78%,71%,61%,90%,,,,,,,,,,,,,,,64%,,"Percentage of EAL pupils reaching the expected standard in reading, writing and maths"
1154,KS2_19,PTRWM_EXP_MOBN,,60%,76%,93%,78%,68%,69%,71%,0%,81%,59%,79%,75%,67%,76%,,,67%,40%,,,57%,68%,41%,74%,0%,81%,66%,73%,69%,80%,,63%,79%,60%,87%,,,,,,,,,,,,,,,66%,,"Percentage of non-mobile pupils reaching the expected standard in reading, writing and maths"
1155,KS2_19,PTRWM_HIGH_B,,11%,6%,38%,8%,13%,6%,13%,0%,14%,13%,0%,6%,6%,2%,,,18%,0%,,,7%,0%,0%,26%,0%,15%,0%,16%,0%,15%,,0%,31%,0%,17%,,,,,,,,,,,,,,,9%,,Percentage of boys achieving a high score in reading and maths and working at greater depth in writing
1156,KS2_19,PTRWM_HIGH_G,,3%,15%,28%,20%,3%,3%,18%,SUPP,22%,6%,14%,3%,0%,2%,,,28%,0%,,,5%,0%,0%,23%,SUPP,24%,0%,17%,19%,18%,,7%,18%,8%,24%,,,,,,,,,,,,,,,13%,,"Percentage of girls reaching the HIGHected standard in reading, writing and maths"
1157,KS2_19,PTRWM_HIGH_L,,0%,0%,,,0%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,0%,0%,0%,,,0%,0%,,,0%,SUPP,0%,0%,0%,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,0%,SUPP,,,,,,,,,,,,,,,0%,,Percentage of pupils with low prior attainment achieving a high score in reading and maths and working at greater depth in writing
1158,KS2_19,PTRWM_HIGH_M,,0%,0%,8%,0%,2%,0%,0%,SUPP,12%,0%,3%,0%,0%,0%,,,6%,0%,,,0%,0%,0%,16%,SUPP,3%,0%,2%,0%,0%,,0%,6%,0%,3%,,,,,,,,,,,,,,,2%,,Percentage of pupils with medium prior attainment achieving a high score in reading and maths and working at greater depth in writing
1159,KS2_19,PTRWM_HIGH_H,,20%,43%,50%,33%,24%,15%,38%,,50%,27%,25%,17%,14%,9%,,,40%,0%,,,17%,0%,0%,75%,,48%,0%,41%,30%,67%,,SUPP,52%,25%,52%,,,,,,,,,,,,,,,29%,,Percentage of pupils with high prior attainment achieving a high score in reading and maths and working at greater depth in writing
1160,KS2_19,PTRWM_HIGH_FSM6CLA1A,,3%,13%,SUPP,33%,5%,5%,14%,0%,0%,0%,3%,0%,3%,0%,,,0%,0%,,,3%,0%,0%,20%,0%,30%,0%,0%,0%,4%,,0%,0%,0%,13%,,,,,,,,,,,,,,,5%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
1161,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A,,10%,8%,SUPP,9%,11%,5%,16%,0%,35%,19%,13%,10%,5%,4%,,,25%,0%,,,7%,0%,0%,29%,0%,18%,0%,23%,18%,33%,,9%,35%,6%,35%,,,,,,,,,,,,,,,13%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
1162,KS2_19,DIFFN_RWM_HIGH,,-10,0,SUPP,20,-8,-8,1,-13,-13,-13,-10,-13,-10,-13,,,-13,-13,,,-10,-13,-13,7,-13,17,-13,-13,-13,-9,,-13,-13,-13,0,,,,,,,,,,,,,,,0,,"Difference between school percentage of disavantaged pupils and national percentage of other pupils achieving a high score in reading, writing and maths "
1163,KS2_19,PTRWM_HIGH_EAL,,8%,17%,SUPP,0%,9%,6%,14%,SUPP,18%,12%,14%,6%,3%,5%,,,22%,0%,,,6%,0%,0%,22%,SUPP,18%,0%,6%,18%,13%,,11%,38%,3%,24%,,,,,,,,,,,,,,,11%,,Percentage of EAL pupils achieving a high score in reading and maths and working at greater depth in writing
1164,KS2_19,PTRWM_HIGH_MOBN,,7%,10%,32%,16%,9%,3%,16%,0%,19%,10%,9%,5%,4%,2%,,,24%,0%,,,6%,0%,0%,25%,0%,21%,0%,18%,10%,16%,,4%,25%,4%,20%,,,,,,,,,,,,,,,11%,,Percentage of non-mobile pupils achieving a high score in reading and maths and working at greater depth in writing
1165,KS2_19,READPROG_B,,-0.8,0.8,3.4,-1.6,-1.7,-1.2,-1,-5.4,0.9,-3.1,-0.5,1.8,0.3,1.3,,,0.5,-2.4,,,-0.2,-0.5,-0.9,3.1,-6.8,0.8,-2.9,-0.6,1,3,,-0.7,1,0.7,1.7,,,,,,,,,,,,,,,-0.5,,Reading progress measure for boys
1166,KS2_19,READPROG_B_LOWER,,-3.2,-2.3,0.1,-5.1,-3.1,-3.4,-2.5,-8.6,-2.5,-6.5,-3,-0.5,-2,-0.6,,,-1.2,-5.2,,,-2,-3.5,-3,1.3,-9.8,-1.7,-5,-2.6,-2.4,-0.1,,-4.6,-1.4,-1.5,-0.9,,,,,,,,,,,,,,,0,,Reading progress measure for boys - lower confidence limit
1167,KS2_19,READPROG_B_UPPER,,1.5,3.8,6.8,1.9,-0.4,0.9,0.5,-2.2,4.2,0.2,2.1,4,2.6,3.1,,,2.3,0.4,,,1.6,2.5,1.2,5,-3.8,3.2,-0.7,1.3,4.4,6,,3.1,3.4,2.8,4.3,,,,,,,,,,,,,,,0,,Reading progress measure for boys - upper confidence limit
1168,KS2_19,READPROG_G,,-1.7,1.4,3.9,2,-0.7,0.6,-0.2,SUPP,4.8,-2.6,3.2,2,0.6,2.5,,,0.8,-0.8,,,-1.6,1.1,-1,5.1,SUPP,1.7,-0.8,3.1,-0.7,2.9,,0.4,3.1,1.6,0.6,,,,,,,,,,,,,,,0.6,,Reading progress measure for girls
1169,KS2_19,READPROG_G_LOWER,,-3.9,-1.9,1,-0.7,-2.3,-1.6,-1.9,SUPP,1.8,-5.8,1,-0.3,-1.7,0.7,,,-1.2,-3.1,,,-3.5,-2.6,-3.4,3.3,SUPP,-0.4,-3.1,1.5,-3.7,0.5,,-2.7,1,-0.8,-1.5,,,,,,,,,,,,,,,0,,Reading progress measure for girls - lower confidence limit
1170,KS2_19,READPROG_G_UPPER,,0.5,4.8,6.7,4.8,0.8,2.9,1.5,SUPP,7.7,0.6,5.4,4.3,2.9,4.3,,,2.8,1.5,,,0.3,4.7,1.3,6.9,SUPP,3.9,1.4,4.7,2.4,5.3,,3.6,5.2,4,2.7,,,,,,,,,,,,,,,0,,Reading progress measure for girls - upper confidence limit
1171,KS2_19,READPROG_L,,-0.2,-1.2,NA,NA,-9.6,SUPP,SUPP,-4.1,SUPP,SUPP,SUPP,4.5,-1.1,0.1,,,-1.7,6.5,,,0.4,SUPP,2.3,-4.3,-3.5,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,3.4,SUPP,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment
1172,KS2_19,READPROG_L_LOWER,,-5.1,-6.2,NA,NA,-14.5,SUPP,SUPP,-7.1,SUPP,SUPP,SUPP,-0.4,-5.4,-3.7,,,-6.2,1.9,,,-2.4,SUPP,-2.7,-8.3,-6.4,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,-1.6,SUPP,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment - lower confidence limit
1173,KS2_19,READPROG_L_UPPER,,4.8,3.7,NA,NA,-4.6,SUPP,SUPP,-1.1,SUPP,SUPP,SUPP,9.5,3.2,4,,,2.9,11.1,,,3.3,SUPP,7.2,-0.3,-0.5,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,8.3,SUPP,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment - upper confidence limit
1174,KS2_19,READPROG_M,,-1.8,2.3,4.2,0,-0.8,-0.3,-1.3,SUPP,4.2,-4.1,1.6,2.1,0.6,2.2,,,-0.4,-2.9,,,-0.5,-0.2,-0.9,5.1,SUPP,1.6,-1.7,1.2,0.8,3.2,,-0.4,2.1,0.5,0.8,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment
1175,KS2_19,READPROG_M_LOWER,,-4,-0.7,0.8,-2.8,-2,-2.2,-2.8,SUPP,1.3,-7.5,-0.4,0,-1.5,0.5,,,-2.5,-5.1,,,-2.5,-3.4,-2.9,3.6,SUPP,-0.6,-3.7,-0.4,-2,0.8,,-3.2,0,-1.4,-1.3,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment - lower confidence limit
1176,KS2_19,READPROG_M_UPPER,,0.4,5.3,7.5,2.8,0.5,1.7,0.3,SUPP,7.1,-0.6,3.6,4.2,2.7,3.8,,,1.6,-0.7,,,1.5,2.9,1,6.7,SUPP,3.8,0.4,2.9,3.5,5.5,,2.5,4.2,2.3,2.9,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment - upper confidence limit
1177,KS2_19,READPROG_H,,-0.9,0.1,3.3,1.6,-1.3,-0.3,0.8,NA,0.7,-1.5,2.7,0.5,1,2.1,,,1.9,-2.6,,,-2.1,0.6,-2.4,5,NA,1.7,-2.4,2,-1.2,3.9,,SUPP,2.3,2.7,0.7,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment
1178,KS2_19,READPROG_H_LOWER,,-3.6,-4.4,0.5,-1.9,-3.1,-3,-0.9,NA,-3.6,-5.2,-0.3,-2.3,-2.2,-0.5,,,0,-6.4,,,-4.3,-3.4,-5.6,2,NA,-0.9,-5.1,0,-5.1,0.4,,SUPP,-0.2,-1.6,-1.9,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment - lower confidence limit
1179,KS2_19,READPROG_H_UPPER,,1.8,4.7,6.2,5.1,0.5,2.5,2.5,NA,5,2.1,5.7,3.4,4.3,4.6,,,3.8,1.2,,,0.1,4.7,0.9,8,NA,4.2,0.3,4,2.6,7.4,,SUPP,4.8,7,3.4,,,,,,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment - upper confidence limit
1180,KS2_19,READPROG_FSM6CLA1A,,-0.1,2.6,SUPP,0.7,-1,-0.4,-0.9,-5.8,2.6,-1.9,2.6,1.4,1.4,1.1,,,-4.9,-2.9,,,-1.6,1.6,-1.4,3.1,-4.9,0.7,-2.7,-1.4,-1.1,1.8,,-1.2,0,0.7,1.7,,,,,,,,,,,,,,,-0.6,,Reading progress measure for disadvantaged pupils
1181,KS2_19,READPROG_FSM6CLA1A_LOWER,,-2.4,-0.4,SUPP,-3.3,-2.6,-3.3,-2.6,-9.6,-0.5,-5.2,0.2,-0.9,-0.6,-0.9,,,-9.1,-5.2,,,-3.9,-2.6,-3.5,1.2,-8.2,-3.4,-4.7,-3.9,-4.5,-0.7,,-4.3,-2.8,-1.7,-0.3,,,,,,,,,,,,,,,0,,Reading progress measure for disadvantaged pupils - lower confidence limit
1182,KS2_19,READPROG_FSM6CLA1A_UPPER,,2.1,5.6,SUPP,4.7,0.6,2.4,0.8,-2,5.7,1.3,4.9,3.7,3.3,3,,,-0.6,-0.7,,,0.6,5.9,0.6,5.1,-1.5,4.7,-0.6,1,2.3,4.2,,1.9,2.8,3.2,3.7,,,,,,,,,,,,,,,0,,Reading progress measure for disadvantaged pupils - upper confidence limit
1183,KS2_19,READPROG_NOTFSM6CLA1A,,-2.4,-0.8,SUPP,0.6,-1.5,-0.3,-0.4,-3.5,3.6,-3.8,0.8,2.3,-1.7,2.6,,,1.2,0.9,,,-0.5,-0.5,-0.3,4.9,-4.8,1.5,-0.7,2.7,1,4.5,,1.7,3.2,1.4,-0.3,,,,,,,,,,,,,,,0.3,,Reading progress measure for non-disadvantaged pupils
1184,KS2_19,READPROG_NOTFSM6CLA1A_LOWER,,-4.7,-4.2,SUPP,-2,-2.8,-2.2,-1.9,-8.1,0.5,-7.2,-1.5,0.1,-4.7,0.8,,,-0.2,-2,,,-2.1,-3.3,-2.7,3.2,-9.7,-0.3,-3.2,1.2,-2,1.6,,-2.1,1.3,-0.8,-3.2,,,,,,,,,,,,,,,0,,Reading progress measure for non-disadvantaged pupils - lower confidence limit
1185,KS2_19,READPROG_NOTFSM6CLA1A_UPPER,,-0.2,2.5,SUPP,3.2,-0.2,1.5,1.1,1.1,6.7,-0.5,3,4.6,1.3,4.3,,,2.6,3.7,,,1.2,2.3,2.1,6.7,0.2,3.2,1.7,4.2,4.1,7.5,,5.6,5.1,3.5,2.5,,,,,,,,,,,,,,,0,,Reading progress measure for non-disadvantaged pupils - upper confidence limit
1186,KS2_19,DIFFN_READPROG,,-0.4,2.3,SUPP,0.4,-1.3,-0.7,-1.2,-6.1,2.3,-2.2,2.3,1.1,1.1,0.8,,,-5.2,-3.2,,,-1.9,1.3,-1.7,2.8,-5.2,0.4,-3,-1.7,-1.4,1.5,,-1.5,-0.3,0.4,1.4,,,,,,,,,,,,,,,0,,Difference between reading progress measure for disadvantaged pupils in school and other pupils nationally
