No,Namespace,Variable,Silvertrees Academy - 140792,Reaside Academy - 139002,Northfield Road Primary School - 147155,Northfield Road Primary School - 103775,Hydesville Tower School - 104266,Four Oaks Primary School - 131920,St Edward's Catholic Primary School - 125707,St Edward's Catholic Primary School - 148125,Glebefields Primary School - 103925,St Pauls Church of England Academy - 140921,St James Catholic Primary School - 141820,Kings Hill Primary School - 104179,Woodlands - 145224,St Mary of the Angels Catholic Primary School - 104240,Hill West Primary School - 139520,Dudley Wood Primary School - 144078,Wednesbury Oak Academy - 140793,Salisbury Primary School - 104178,Lutley Primary School - 143783,Cradley CofE Primary School - 103846,Moorcroft Wood Primary School - 135016,Butts Primary School - 104147,St Patricks Church of England Primary Academy - 136320,Colley Lane Primary Academy - 142964,Romsley St Kenelm's CofE Primary School - 116846,West Midlands Education and Skills - 146563,Little Sutton Primary School - 103388,"St Patrick's Catholic Primary School, Walsall - 104233",Emmanuel School - 130323,Birchills Church of England Community Academy - 139435,St Martin's Church of England Primary School - 141825,Cooper and Jordan Church of England Primary School - 132073,Netherton CofE Primary School - 144418,Pinfold Street Primary School - 104176,Blowers Green Primary School - 103771,Blowers Green Primary School - 147708,Beaconside Primary and Nursery School - 116768,Little Aston Primary Academy - 148285,Little Aston Primary School - 124127,Caslon Primary Community  School - 103801,Holywell Primary and Nursery School - 132060,Gospel Oak School - 135599,St Francis of Assisi Catholic College - 104255,Aldridge School - A Science College - 137974,Queen Mary's High School - 136777,The Link Academy - 144952,Bloomfield School - 135518,West Walsall E-ACT Academy - 138374,Walsall College - 130483,Dudley College of Technology - 130475,National state-funded primary,National state-funded secondary and 16 to 18,Description
1167,KS2_19,READPROG_B_UPPER,,5.8,,-5.4,,4.9,2.4,,1.3,1.4,2.5,3.5,-0.1,5.9,2.7,3.1,4.1,6.1,-0.9,4.9,3.7,2.3,1.7,-1.5,3.2,,3.1,1.5,,1.3,-1.2,1.9,-2.8,-0.9,7.2,,4.7,,0.4,2.9,0.7,,,,,,,,,,0,,Reading progress measure for boys - upper confidence limit
1168,KS2_19,READPROG_G,,3.5,,-5.7,,2.3,0.3,,1.5,1.2,-0.3,2.1,SUPP,4.2,1.3,1.1,2.1,3.2,-2.6,1,3.3,2.4,-0.3,-0.5,0.3,,3.7,2.5,,-1.8,-1.5,2.3,-3.3,-4.8,0.8,,0.9,,2.3,0.3,-1.5,,,,,,,,,,0.6,,Reading progress measure for girls
1169,KS2_19,READPROG_G_LOWER,,1.1,,-7.6,,0.1,-2.9,,-0.9,-1.7,-3.7,-1,SUPP,1.3,-0.9,-1.1,-0.3,0.7,-4.4,-2.1,0.5,-0.9,-3.4,-2.5,-2.8,,1.7,-0.9,,-4.2,-5.3,0.2,-5.6,-7.2,-2.6,,-3.1,,-0.7,-3,-3.5,,,,,,,,,,0,,Reading progress measure for girls - lower confidence limit
1170,KS2_19,READPROG_G_UPPER,,5.9,,-3.7,,4.5,3.5,,4,4.2,3,5.2,SUPP,7,3.6,3.4,4.5,5.6,-0.8,4.2,6.2,5.6,2.8,1.4,3.4,,5.8,5.9,,0.7,2.3,4.5,-0.9,-2.5,4.1,,4.9,,5.3,3.7,0.5,,,,,,,,,,0,,Reading progress measure for girls - upper confidence limit
1171,KS2_19,READPROG_L,,SUPP,,SUPP,,SUPP,SUPP,,-4.3,SUPP,SUPP,5.3,-3.8,SUPP,SUPP,-2.1,SUPP,6.5,SUPP,SUPP,1.5,SUPP,NA,-8.3,SUPP,,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,SUPP,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment
1172,KS2_19,READPROG_L_LOWER,,SUPP,,SUPP,,SUPP,SUPP,,-8.8,SUPP,SUPP,0.4,-6.9,SUPP,SUPP,-6.7,SUPP,2.3,SUPP,SUPP,-2.8,SUPP,NA,-13.2,SUPP,,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,SUPP,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment - lower confidence limit
1173,KS2_19,READPROG_L_UPPER,,SUPP,,SUPP,,SUPP,SUPP,,0.3,SUPP,SUPP,10.3,-0.7,SUPP,SUPP,2.5,SUPP,10.8,SUPP,SUPP,5.7,SUPP,NA,-3.4,SUPP,,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,SUPP,,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment - upper confidence limit
1174,KS2_19,READPROG_M,,3.7,,-7.4,,3,-0.5,,0.1,-0.6,1.7,1.7,NA,2.5,-0.2,2.5,3.2,2.4,-3,1.6,1.7,-1.3,-2.3,-1.6,-0.4,,3.2,-0.5,,-2.3,-2.3,1,-4.7,-4.9,3.7,,1.5,,0.6,2.7,-2.9,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment
1175,KS2_19,READPROG_M_LOWER,,1.5,,-9.6,,0.8,-3.1,,-1.9,-3.3,-1.8,-0.8,NA,-0.7,-2.2,0.4,1.3,0.2,-5.5,-1.5,-1.1,-4.1,-6.5,-3.3,-3.3,,0.8,-3.5,,-4.3,-5.4,-1,-6.9,-6.9,-0.1,,-1.2,,-3.5,-0.5,-4.9,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment - lower confidence limit
1176,KS2_19,READPROG_M_UPPER,,5.9,,-5.1,,5.2,2.1,,2.1,2,5.2,4.3,NA,5.8,1.9,4.6,5.1,4.6,-0.5,4.8,4.6,1.5,2,0,2.5,,5.6,2.5,,-0.2,0.8,3.1,-2.6,-2.8,7.5,,4.3,,4.6,5.9,-0.9,,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment - upper confidence limit
1177,KS2_19,READPROG_H,,3.6,,-6.2,,1.2,-0.5,,3.1,1.6,-1.4,-1.2,NA,3.7,2.2,-0.6,1,SUPP,-2.4,-0.1,SUPP,4.9,-0.3,-1.5,0.5,,1.9,0.4,,0.3,-5,1,-4,-3.2,0,,0.8,,-0.9,-3,0.7,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment
1178,KS2_19,READPROG_H_LOWER,,0.9,,-8.6,,-1.1,-4.8,,-0.4,-2.9,-4.4,-4.8,NA,0.1,-0.2,-3.5,-2.3,SUPP,-3.9,-3.5,SUPP,0.9,-2.8,-3.8,-3.4,,-0.2,-3.9,,-2.9,-9.1,-1.4,-6.9,-6.2,-3.5,,-3.8,,-3.5,-6.6,-2.1,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment - lower confidence limit
1179,KS2_19,READPROG_H_UPPER,,6.3,,-3.9,,3.5,3.7,,6.6,6.2,1.5,2.4,NA,7.4,4.7,2.4,4.4,SUPP,-0.9,3.2,SUPP,8.9,2.1,0.7,4.3,,4,4.7,,3.6,-1,3.3,-1.1,-0.3,3.5,,5.3,,1.8,0.7,3.5,,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment - upper confidence limit
1180,KS2_19,READPROG_FSM6CLA1A,,3.8,,-6,,3.2,-2.8,,-0.8,1.5,SUPP,2.1,-3.6,SUPP,-2.8,1.7,0.2,4,-1.9,SUPP,2.5,0.6,SUPP,-4.2,SUPP,,3.8,0.4,,-0.8,-4,4.5,-4.8,-4.6,2.8,,2.3,,SUPP,0.9,-3.6,,,,,,,,,,-0.6,,Reading progress measure for disadvantaged pupils
1181,KS2_19,READPROG_FSM6CLA1A_LOWER,,1.9,,-8.4,,-1.4,-7.7,,-3,-1.9,SUPP,-0.5,-7.9,SUPP,-7.7,-1.4,-2,1.5,-5.2,SUPP,-0.1,-2.4,SUPP,-6.2,SUPP,,-0.8,-3,,-3.4,-7.2,0.2,-6.9,-6.8,-1.5,,-2.6,,SUPP,-2.1,-7.9,,,,,,,,,,0,,Reading progress measure for disadvantaged pupils - lower confidence limit
1182,KS2_19,READPROG_FSM6CLA1A_UPPER,,5.6,,-3.6,,7.7,2.1,,1.5,4.8,SUPP,4.6,0.7,SUPP,2.2,4.8,2.3,6.6,1.3,SUPP,5.2,3.6,SUPP,-2.1,SUPP,,8.4,3.9,,1.8,-0.7,8.8,-2.6,-2.4,7.1,,7.3,,SUPP,3.8,0.6,,,,,,,,,,0,,Reading progress measure for disadvantaged pupils - upper confidence limit
1183,KS2_19,READPROG_NOTFSM6CLA1A,,2.1,,-6.9,,2.4,0.5,,1.2,-1.4,SUPP,0.7,-4,SUPP,1.3,0.8,4.3,2.2,-2.8,SUPP,0.9,0.9,SUPP,-0.7,SUPP,,2.2,0.2,,-1.8,-2.2,0.6,-3.4,-3.2,1.7,,1.4,,SUPP,-1,-1.3,,,,,,,,,,0.3,,Reading progress measure for non-disadvantaged pupils
1184,KS2_19,READPROG_NOTFSM6CLA1A_LOWER,,-1.8,,-9,,0.7,-2,,-1.1,-4.4,SUPP,-2.3,-8.6,SUPP,-0.3,-1.1,1.8,-0.6,-4.2,SUPP,-3.4,-2.5,SUPP,-2.3,SUPP,,0.6,-3,,-4.1,-5.7,-1.1,-6.1,-5.6,-1.3,,-1.2,,SUPP,-4.5,-3,,,,,,,,,,0,,Reading progress measure for non-disadvantaged pupils - lower confidence limit
1185,KS2_19,READPROG_NOTFSM6CLA1A_UPPER,,5.9,,-4.7,,4.1,2.9,,3.5,1.6,SUPP,3.6,0.5,SUPP,3,2.6,6.7,5,-1.4,SUPP,5.2,4.2,SUPP,1,SUPP,,3.9,3.4,,0.4,1.3,2.2,-0.8,-0.8,4.7,,4,,SUPP,2.5,0.4,,,,,,,,,,0,,Reading progress measure for non-disadvantaged pupils - upper confidence limit
1186,KS2_19,DIFFN_READPROG,,3.5,,-6.3,,2.9,-3.1,,-1.1,1.2,SUPP,1.8,-3.9,SUPP,-3.1,1.4,-0.1,3.7,-2.2,SUPP,2.2,0.3,SUPP,-4.5,SUPP,,3.5,0.1,,-1.1,-4.3,4.2,-5.1,-4.9,2.5,,2,,SUPP,0.6,-3.9,,,,,,,,,,0,,Difference between reading progress measure for disadvantaged pupils in school and other pupils nationally
1187,KS2_19,READPROG_EAL,,SUPP,,-4.1,,1.6,NA,,SUPP,SUPP,SUPP,0.6,SUPP,SUPP,SUPP,SUPP,SUPP,2.7,SUPP,SUPP,SUPP,0,2.8,-2.8,SUPP,,SUPP,-0.9,,-2.2,SUPP,SUPP,-1.4,-2.6,3.7,,NA,,-0.8,SUPP,SUPP,,,,,,,,,,0.8,,Reading progress measure for EAL pupils
1188,KS2_19,READPROG_EAL_LOWER,,SUPP,,-7.9,,-1.8,NA,,SUPP,SUPP,SUPP,-2.1,SUPP,SUPP,SUPP,SUPP,SUPP,0.4,SUPP,SUPP,SUPP,-2.8,-2.2,-5.4,SUPP,,SUPP,-5.2,,-5.8,SUPP,SUPP,-6.3,-7.2,0.6,,NA,,-4.9,SUPP,SUPP,,,,,,,,,,0,,Reading progress measure for EAL pupils - lower confidence limit
1189,KS2_19,READPROG_EAL_UPPER,,SUPP,,-0.2,,4.9,NA,,SUPP,SUPP,SUPP,3.4,SUPP,SUPP,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,2.9,7.7,-0.3,SUPP,,SUPP,3.4,,1.5,SUPP,SUPP,3.6,2,6.7,,NA,,3.2,SUPP,SUPP,,,,,,,,,,0,,Reading progress measure for EAL pupils - upper confidence limit
1190,KS2_19,READPROG_MOBN,,3.8,,-6.2,,2.4,-0.6,,0.3,-0.3,-0.4,1.5,-1.8,3.4,0.9,1,2.5,3,-2.8,1.5,2.1,0.3,-0.8,-2.1,0.6,,2.5,1.1,,-1.4,-3.3,1,-4,-3.9,2.2,,1.6,,-0.6,-0.1,-1.4,,,,,,,,,,0.1,,Reading progress measure for non-mobile pupils
1191,KS2_19,READPROG_MOBN_LOWER,,2.1,,-7.8,,0.8,-2.9,,-1.3,-2.6,-2.6,-0.5,-5.3,1.1,-0.7,-0.7,0.8,1.1,-4.1,-0.7,-0.2,-2,-3,-3.4,-1.7,,0.9,-1.4,,-3.1,-5.9,-0.5,-5.8,-5.6,-0.3,,-0.7,,-2.9,-2.5,-3,,,,,,,,,,0,,Reading progress measure for non-mobile pupils - lower confidence limit
1192,KS2_19,READPROG_MOBN_UPPER,,5.5,,-4.5,,4,1.7,,2,2,1.8,3.5,1.7,5.7,2.5,2.6,4.2,5,-1.5,3.6,4.3,2.5,1.3,-0.8,2.9,,4,3.6,,0.3,-0.8,2.6,-2.3,-2.3,4.8,,3.9,,1.7,2.3,0.3,,,,,,,,,,0,,Reading progress measure for non-mobile pupils - upper confidence limit
1193,KS2_19,WRITPROG_B,,-0.7,,-7.7,,1.4,-1.5,,-2.2,-0.4,-1.2,2.5,-3.3,-2.2,1.9,0,-1.1,3.1,0.5,2.6,5.3,1.2,-1.6,0,-2.3,,1.2,-4.3,,-3.3,-0.4,-2.8,0.9,-0.4,2.1,,1.9,,-2,-1.3,2.9,,,,,,,,,,-0.7,,Writing progress measure for boys
1194,KS2_19,WRITPROG_B_LOWER,,-2.9,,-10.3,,-0.7,-4.3,,-4.2,-3.6,-3.9,0.3,-6.3,-5.6,-0.1,-2.1,-3.1,0.4,-1.2,-0.2,2,-1.7,-4.4,-1.5,-5.2,,-1,-7.4,,-5.4,-3.2,-4.9,-1.3,-2.5,-1.3,,-0.6,,-4.9,-4.1,0.6,,,,,,,,,,0,,Writing progress measure for boys - lower confidence limit
1195,KS2_19,WRITPROG_B_UPPER,,1.5,,-5.2,,3.4,1.3,,-0.3,2.8,1.5,4.7,-0.3,1.1,4,2.1,0.9,5.8,2.2,5.4,8.7,4.1,1.1,1.6,0.6,,3.4,-1.2,,-1.2,2.4,-0.7,3.2,1.6,5.4,,4.5,,0.9,1.5,5.2,,,,,,,,,,0,,Writing progress measure for boys - upper confidence limit
1196,KS2_19,WRITPROG_G,,0,,-4.3,,1.2,0.9,,-1,3.2,0.8,4.5,SUPP,0.8,1.4,-0.2,0.3,3.3,1.8,2.7,5,3.1,-0.4,0.3,-1.4,,3.1,1.9,,-2.1,0.1,2.1,0.3,-1.3,2.6,,2.2,,1.6,2,3.1,,,,,,,,,,0.8,,Wwriting progress measure for girls
1197,KS2_19,WRITPROG_G_LOWER,,-2.2,,-6.1,,-0.8,-2.1,,-3.3,0.4,-2.3,1.6,SUPP,-1.8,-0.6,-2.3,-1.9,1,0.2,-0.2,2.4,0.1,-3.3,-1.5,-4.3,,1.2,-1.1,,-4.3,-3.4,0.1,-1.9,-3.4,-0.5,,-1.5,,-1.2,-1.1,1.2,,,,,,,,,,0,,Writing progress measure for girls - lower confidence limit
1198,KS2_19,WRITPROG_G_UPPER,,2.2,,-2.4,,3.3,3.9,,1.2,5.9,3.9,7.4,SUPP,3.5,3.5,1.9,2.6,5.6,3.5,5.6,7.6,6.1,2.5,2.1,1.4,,5.1,4.8,,0.1,3.7,4,2.4,0.8,5.7,,5.9,,4.4,5.1,5,,,,,,,,,,0,,Writing progress measure for girls - upper confidence limit
1199,KS2_19,WRITPROG_L,,SUPP,,SUPP,,SUPP,SUPP,,0.5,SUPP,SUPP,5.9,-3.7,SUPP,SUPP,1,SUPP,4.4,SUPP,SUPP,5.1,SUPP,NA,0.4,SUPP,,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,SUPP,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment
1200,KS2_19,WRITPROG_L_LOWER,,SUPP,,SUPP,,SUPP,SUPP,,-3.7,SUPP,SUPP,1.7,-6.6,SUPP,SUPP,-3.2,SUPP,0.5,SUPP,SUPP,1.1,SUPP,NA,-4.2,SUPP,,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,SUPP,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment - lower confidence limit
1201,KS2_19,WRITPROG_L_UPPER,,SUPP,,SUPP,,SUPP,SUPP,,4.7,SUPP,SUPP,10.1,-0.8,SUPP,SUPP,5.2,SUPP,8.4,SUPP,SUPP,9,SUPP,NA,5,SUPP,,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,SUPP,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment - upper confidence limit
1202,KS2_19,WRITPROG_M,,-0.5,,-6.1,,1,-0.2,,-2.1,0.6,-0.9,2.3,NA,-0.2,0.5,0.9,-0.2,2.8,-1.2,3.7,4.9,2,-1,0.2,-2.1,,2.1,-2.1,,-2.6,0,0.1,0.2,-0.8,1.3,,1.4,,-2.1,0.5,1.9,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment
1203,KS2_19,WRITPROG_M_LOWER,,-2.5,,-8.1,,-1,-2.6,,-3.9,-1.9,-4.1,0,NA,-3.1,-1.4,-1.1,-2,0.8,-3.5,0.8,2.3,-0.6,-5,-1.3,-4.8,,-0.1,-4.8,,-4.4,-2.9,-1.7,-1.8,-2.7,-2.2,,-1.1,,-5.9,-2.5,0.1,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment - lower confidence limit
1204,KS2_19,WRITPROG_M_UPPER,,1.5,,-4,,3.1,2.2,,-0.2,3,2.3,4.6,NA,2.8,2.5,2.8,1.6,4.8,1,6.5,7.5,4.5,2.9,1.7,0.6,,4.3,0.6,,-0.7,2.9,2,2.1,1.1,4.8,,4,,1.6,3.5,3.7,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment - upper confidence limit
1205,KS2_19,WRITPROG_H,,0.8,,-5.4,,1.9,1.3,,-1.9,5.5,0.4,3.4,NA,1.9,2.9,-2.4,1.3,SUPP,2.2,1.1,SUPP,1.9,-1.1,0,-2.9,,2.4,1.9,,-3.9,-1.5,-0.8,-3,-1.8,2.4,,2.7,,0,-1.6,5.2,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment
1206,KS2_19,WRITPROG_H_LOWER,,-1.7,,-7.6,,-0.2,-2.6,,-5.1,1.2,-2.3,0.1,NA,-1.5,0.6,-5.1,-1.8,SUPP,0.8,-2,SUPP,-1.8,-3.4,-2.1,-6.4,,0.5,-2.1,,-6.9,-5.2,-3,-5.7,-4.5,-0.8,,-1.6,,-2.5,-4.9,2.6,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment - lower confidence limit
1207,KS2_19,WRITPROG_H_UPPER,,3.2,,-3.3,,4.1,5.3,,1.3,9.7,3.1,6.8,NA,5.2,5.2,0.3,4.4,SUPP,3.6,4.2,SUPP,5.7,1.2,2,0.6,,4.4,5.8,,-1,2.2,1.4,-0.3,0.9,5.6,,6.9,,2.4,1.8,7.8,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment - upper confidence limit
1208,KS2_19,WRITPROG_FSM6CLA1A,,-0.2,,-4.9,,-0.7,0.9,,-2.4,3,SUPP,2.9,-3.3,SUPP,0.4,1.5,-0.6,1.8,2.1,SUPP,5.2,2.5,SUPP,-0.9,SUPP,,2.5,-1.7,,-3,-2.1,1.4,1.5,-1.8,3.5,,3.8,,SUPP,1.2,3.8,,,,,,,,,,-0.5,,Writing progress measure for disadvantaged pupils
1209,KS2_19,WRITPROG_FSM6CLA1A_LOWER,,-1.9,,-7.1,,-5,-3.7,,-4.5,-0.1,SUPP,0.6,-7.3,SUPP,-4.1,-1.4,-2.6,-0.6,-0.8,SUPP,2.8,-0.3,SUPP,-2.8,SUPP,,-1.7,-4.9,,-5.2,-5.1,-2.4,-0.5,-3.8,-0.4,,-0.7,,SUPP,-1.5,-0.2,,,,,,,,,,0,,Writing progress measure for disadvantaged pupils - lower confidence limit
1210,KS2_19,WRITPROG_FSM6CLA1A_UPPER,,1.5,,-2.7,,3.5,5.5,,-0.3,6.1,SUPP,5.2,0.6,SUPP,5,4.4,1.4,4.2,5.1,SUPP,7.7,5.3,SUPP,1,SUPP,,6.7,1.5,,-0.8,0.8,5.1,3.5,0.2,7.5,,8.4,,SUPP,3.9,7.7,,,,,,,,,,0,,Writing progress measure for disadvantaged pupils - upper confidence limit
1211,KS2_19,WRITPROG_NOTFSM6CLA1A,,-1,,-5.8,,1.6,-0.7,,-1,0.6,SUPP,3.6,-4.2,SUPP,1.8,-0.7,-0.2,4.9,1,SUPP,4.9,1.6,SUPP,0.8,SUPP,,2.3,-0.6,,-2.5,2.1,-0.5,-0.8,0.2,1.8,,1.5,,SUPP,-1.3,2.9,,,,,,,,,,0.3,,Writing progress measure for non-disadvantaged pupils
1212,KS2_19,WRITPROG_NOTFSM6CLA1A_LOWER,,-4.5,,-7.8,,0,-3,,-3.1,-2.2,SUPP,1,-8.4,SUPP,0.3,-2.4,-2.5,2.3,-0.3,SUPP,0.9,-1.5,SUPP,-0.7,SUPP,,0.7,-3.5,,-4.6,-1.2,-2,-3.2,-2,-1,,-0.9,,SUPP,-4.5,1.3,,,,,,,,,,0,,Writing progress measure for non-disadvantaged pupils - lower confidence limit
1213,KS2_19,WRITPROG_NOTFSM6CLA1A_UPPER,,2.5,,-3.9,,3.1,1.6,,1.2,3.4,SUPP,6.3,0.1,SUPP,3.4,1.1,2,7.4,2.3,SUPP,8.8,4.7,SUPP,2.3,SUPP,,3.8,2.2,,-0.4,5.3,1.1,1.7,2.4,4.6,,3.9,,SUPP,1.9,4.5,,,,,,,,,,0,,Writing progress measure for non-disadvantaged pupils - upper confidence limit
1214,KS2_19,DIFFN_WRITPROG,,-0.5,,-5.2,,-1,0.6,,-2.7,2.7,SUPP,2.6,-3.6,SUPP,0.1,1.2,-0.9,1.5,1.8,SUPP,4.9,2.2,SUPP,-1.2,SUPP,,2.2,-2,,-3.3,-2.4,1.1,1.2,-2.1,3.2,,3.5,,SUPP,0.9,3.5,,,,,,,,,,0,,Difference between writing progress measure for disadvantaged pupils in school and other pupils nationally
1215,KS2_19,WRITPROG_EAL,,SUPP,,-2.5,,1.5,NA,,SUPP,SUPP,SUPP,5.2,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,2.3,1.1,1.3,SUPP,,SUPP,-0.9,,-1.8,SUPP,SUPP,0.7,0.1,3.6,,NA,,1.8,SUPP,SUPP,,,,,,,,,,1.2,,Writing progress measure for EAL pupils
1216,KS2_19,WRITPROG_EAL_LOWER,,SUPP,,-6,,-1.6,NA,,SUPP,SUPP,SUPP,2.6,SUPP,SUPP,SUPP,SUPP,SUPP,1.9,SUPP,SUPP,SUPP,-0.3,-3.4,-1,SUPP,,SUPP,-4.6,,-5.1,SUPP,SUPP,-3.8,-4.1,0.8,,NA,,-1.9,SUPP,SUPP,,,,,,,,,,0,,Writing progress measure for EAL pupils - lower confidence limit
1217,KS2_19,WRITPROG_EAL_UPPER,,SUPP,,1.1,,4.6,NA,,SUPP,SUPP,SUPP,7.7,SUPP,SUPP,SUPP,SUPP,SUPP,6.1,SUPP,SUPP,SUPP,5,5.7,3.7,SUPP,,SUPP,2.9,,1.4,SUPP,SUPP,5.3,4.3,6.3,,NA,,5.5,SUPP,SUPP,,,,,,,,,,0,,Writing progress measure for EAL pupils - upper confidence limit
1218,KS2_19,WRITPROG_MOBN,,0,,-5.3,,1.3,0.3,,-1.3,1.6,-0.3,3.3,-1.9,-0.3,1.7,-0.1,0.1,3.4,1,2.6,5.1,1.9,-1.1,0.1,-1.3,,2.3,-0.5,,-2.7,-0.4,-0.2,0.9,-0.9,2.4,,2,,-0.1,0.5,3.1,,,,,,,,,,0.1,,Writing progress measure for non-mobile pupils
1219,KS2_19,WRITPROG_MOBN_LOWER,,-1.6,,-6.8,,-0.1,-1.8,,-2.8,-0.5,-2.4,1.5,-5.1,-2.4,0.2,-1.6,-1.5,1.6,-0.2,0.6,3,-0.2,-3,-1.1,-3.4,,0.9,-2.7,,-4.3,-2.8,-1.6,-0.7,-2.5,0,,-0.1,,-2.2,-1.7,1.6,,,,,,,,,,0,,Writing progress measure for non-mobile pupils - lower confidence limit
1220,KS2_19,WRITPROG_MOBN_UPPER,,1.6,,-3.8,,2.8,2.5,,0.2,3.8,1.7,5.1,1.3,1.7,3.1,1.4,1.7,5.2,2.2,4.7,7.2,4,0.9,1.3,0.8,,3.8,1.8,,-1.2,2,1.3,2.6,0.6,4.7,,4.1,,2,2.7,4.6,,,,,,,,,,0,,Writing progress measure for non-mobile pupils - upper confidence limit
1221,KS2_19,MATPROG_B,,0.5,,-5.2,,5.7,3.6,,0.6,1.5,-0.6,4.4,-4.1,2.2,2.1,3.5,2.6,3,-1.3,3.1,4.2,0.1,-1.1,0.6,-0.5,,4,0.8,,-1.9,-1.3,1.1,-2.2,-2.2,5.9,,3,,-0.7,0.3,1,,,,,,,,,,0.7,,Maths progress measure for boys
1222,KS2_19,MATPROG_B_LOWER,,-1.6,,-7.6,,3.8,1,,-1.3,-1.6,-3.1,2.3,-6.9,-1.5,0.1,1.5,0.7,0.4,-2.9,0.4,1,-2.6,-3.6,-0.9,-3.2,,1.9,-2.1,,-4,-3.9,-0.8,-4.3,-4.2,2.7,,0.5,,-3.4,-2.4,-1.2,,,,,,,,,,0,,Maths progress measure for boys - lower confidence limit
1223,KS2_19,MATPROG_B_UPPER,,2.5,,-2.7,,7.7,6.3,,2.4,4.5,2,6.6,-1.3,6,4.1,5.5,4.5,5.5,0.3,5.7,7.4,2.9,1.5,2.1,2.2,,6.1,3.7,,0.2,1.4,3.1,-0.1,-0.3,9.1,,5.4,,2.1,2.9,3.2,,,,,,,,,,0,,Maths progress measure for boys - upper confidence limit
1224,KS2_19,MATPROG_G,,-1.6,,-5.6,,3.1,-2.5,,1.3,0.5,-2.7,2.3,SUPP,1,1,1.1,0.8,2.4,-3.9,0.7,3.1,1.2,-0.9,-0.8,-1.1,,3.6,-0.1,,-3.4,-2.7,1.3,-2.2,-3.8,0.1,,-1.6,,0.5,-0.5,-0.3,,,,,,,,,,-0.7,,Maths progress measure for girls
1225,KS2_19,MATPROG_G_LOWER,,-3.6,,-7.3,,1.2,-5.4,,-0.8,-2.1,-5.6,-0.4,SUPP,-1.5,-0.9,-0.9,-1.3,0.2,-5.5,-2.1,0.6,-1.6,-3.7,-2.5,-3.9,,1.8,-2.9,,-5.5,-6.1,-0.6,-4.3,-5.8,-2.8,,-5.2,,-2.1,-3.4,-2.1,,,,,,,,,,0,,Maths progress measure for girls - lower confidence limit
1226,KS2_19,MATPROG_G_UPPER,,0.5,,-3.9,,5,0.3,,3.5,3.1,0.3,5.1,SUPP,3.5,3,3.1,2.9,4.5,-2.4,3.4,5.6,4,1.8,0.9,1.6,,5.4,2.8,,-1.3,0.6,3.2,-0.1,-1.7,3.1,,1.9,,3.2,2.5,1.5,,,,,,,,,,0,,Maths progress measure for girls - upper confidence limit
1227,KS2_19,MATPROG_L,,SUPP,,SUPP,,SUPP,SUPP,,-1.5,SUPP,SUPP,SUPP,-4.6,SUPP,SUPP,-2,SUPP,5.6,SUPP,SUPP,3,SUPP,NA,2.6,SUPP,,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,SUPP,,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment
1228,KS2_19,MATPROG_L_LOWER,,SUPP,,SUPP,,SUPP,SUPP,,-5.5,SUPP,SUPP,SUPP,-7.4,SUPP,SUPP,-6.4,SUPP,1.9,SUPP,SUPP,-0.7,SUPP,NA,-1.8,SUPP,,SUPP,SUPP,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,SUPP,,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment - lower confidence limit
