No,Namespace,Variable,Mayfield School - 103619,St John's & St Peter's CofE Academy - 138883,St Edmund's Catholic Primary School - 103440,West House School - 103575,Percy Shurmer Academy - 138410,St Francis Catholic Primary School - 103437,Anglesey Primary School - 132074,Adderley Primary School - 103159,Prince Albert Junior and Infant School - 142230,Mansfield Green E-ACT Academy - 138998,The Oratory Roman Catholic Primary School - 103427,Wyndcliffe Primary School - 141319,Christ Church CofE Controlled Primary School and Nursery - 103397,St George's School Edgbaston - 103564,Heath Mount Primary School - 103333,St Clement's Church of England Academy - 138432,The Lambs Christian School - 134091,St George's Church of England Primary School - 139267,The Wisdom Academy - 135882,St Patrick's Catholic Primary School - 103439,Manor Park Primary Academy - 141977,St Saviour's C of E Primary School - 103406,Al-Hijrah School - 133306,Iqra Girls High School - 145186,Ladypool Primary School - 103265,Heathfield Primary School - 142231,Hallfield School - 103568,Barford Primary School - 103162,Priory School - 103566,Holte School - 103509,Hazrat Khadijatul Kubra Girls School - 136123,Birmingham Independent College - 143418,Heritage Academy - 147038,King Edward VI Aston School - 137043,Mander Portman Woodward Independent College - 103587,Orion School - 147234,Future First Independent School - 135422,Green Heath School - 135688,R.Y.A.N Education Academy - 139706,Hopwood Hall School - 146780,Holy Trinity Catholic School - 103538,Holy Trinity Catholic School - 144719,Bordesley Green Girls' School & Sixth Form - 103493,Birchfield Independent Girls' School - 103591,Al Huda Girls' School - 103595,Small Heath Leadership Academy - 144464,Redstone Academy for Girls - 148157,Redstone  Academy for Boys - 137560,BOA Stage and Screen Production Academy - 148635,Joseph Chamberlain Sixth Form College - 130468,National state-funded primary,National state-funded secondary and 16 to 18,Description
1055,KS5_STUDEST_21,DIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,0%,,,,,,,,,0%,,,,,,,0%,,,Oxbridge for disadvantaged students
1056,KS5_STUDEST_21,DIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,SUPP,,,,,,,,,2%,,,,,,,2%,,,Higher technical for disadvantaged students
1057,KS5_STUDEST_19,NONDIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63%,
1058,KS5_STUDEST_19,NONDIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1059,KS5_STUDEST_19,NONDIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59%,
1060,KS5_STUDEST_19,NONDIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,
1061,KS5_STUDEST_19,NONDIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,
1062,KS5_STUDEST_19,NONDIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1063,KS5_STUDEST_19,NONDIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,
1064,KS2_19,YEAR,2019,2019,2019,,2019,2019,2019,2019,2019,2019,2019,2019,2019,,2019,2019,,2019,,2019,2019,2019,2019,,2019,2019,,2019,,,,,,,,,,,,,,,,,,,,,,,2019,,
1065,KS2_19,RECTYPE,2,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,5,,Record type (1=Mainstream school; 2=Special school; 3=Local Authority; 4=National (all schools); 5=National (state-funded schools only))
1066,KS2_19,ALPHAIND,34548,49528,48346,,41986,48550,1768,508,43032,33900,39880,66604,11616,,24318,48092,,48716,,52428,33810,53210,1050,,30448,24402,,3466,,,,,,,,,,,,,,,,,,,,,,,,,Alphabetic index
1067,KS2_19,LEA,330,330,330,,330,330,330,330,330,330,330,330,330,,330,330,,330,,330,330,330,330,,330,330,,330,,,,,,,,,,,,,,,,,,,,,,,,,Local authority number
1068,KS2_19,ESTAB,7040,2071,3347,,2057,3342,2479,2010,2003,2075,3323,2146,3002,,2313,2059,,2120,,3346,2162,3019,4334,,2189,2309,,2014,,,,,,,,,,,,,,,,,,,,,,,,,Establishment number
1069,KS2_19,URN,103619,138883,103440,,138410,103437,132074,103159,142230,138998,103427,141319,103397,,103333,138432,,139267,,103439,141977,103406,133306,,103265,142231,,103162,,,,,,,,,,,,,,,,,,,,,,,,,School unique reference number
1070,KS2_19,SCHNAME,Mayfield School,St John's & St Peter's CofE Academy,St Edmund's Catholic Primary School,,Percy Shurmer Academy,St Francis Catholic Primary School,Anglesey Primary School,Adderley Primary School,Prince Albert Junior and Infant School,Mansfield Green E-ACT Academy,The Oratory Roman Catholic Primary School,Wyndcliffe Primary School,Christ Church CofE Controlled Primary School and Nursery,,Heath Mount Primary School,St Clement's Church of England Academy,,St George's Church of England Primary School,,St Patrick's Catholic Primary School,Manor Park Primary Academy,St Saviour's C of E Primary School,Al-Hijrah School,,Ladypool Primary School,Heathfield Primary School,,Barford Primary School,,,,,,,,,,,,,,,,,,,,,,,,,School/Local authority name
1071,KS2_19,ADDRESS1,Wheeler Street,St Vincent Street West,Rosebery Street,,Longmore Street,Nursery Road,Anglesey Street,Arden Road,Albert Road,Albert Road,Oliver Road,Little Green Lane,Claremont Road,,Knutsford Street,Butlin Street,,Beaufort Road,,Dudley Road,Church Lane,Alum Rock Road,Burbidge Road,,Stratford Road,Heathfield Road,,Barford Road,,,,,,,,,,,,,,,,,,,,,,,,,School address (1)
1072,KS2_19,ADDRESS2,Lozells,Ladywood,Springhill,,Balsall Heath,Handsworth,,Saltley,Aston,Aston,Ladywood,Bordesley Green,Sparkbrook,,Balsall Heath,Nechells,,,,,Aston,Saltley,Bordesley Green,,Sparkbrook,,,Ladywood,,,,,,,,,,,,,,,,,,,,,,,,,School address (2)
1073,KS2_19,ADDRESS3,,,,,,,,,,,,,,,,,,Edgbaston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
1074,KS2_19,TOWN,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,BIRMINGHAM,Birmingham,,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,,Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,School town
1075,KS2_19,PCODE,B19 2EP,B16 8RN,B18 7PA,,B12 9ED,B19 1PH,B19 1RA,B8 1DZ,B6 5NH,B6 5NH,B16 9ER,B9 5BG,B11 1LF,,B12 9SR,B7 5NS,,B16 8HY,,B18 7QW,B6 5UQ,B8 1JB,B9 4US,,B11 1QT,B19 1HJ,,B16 0EF,,,,,,,,,,,,,,,,,,,,,,,,,School postcode
1076,KS2_19,TELNUM,1218092500,1216751398,1215237274,,1214643431,1214645072,1214644388,1214641500,1213270594,1214646590,1214540600,1214644241,1216755121,,1214641691,1214644652,,1214642789,,1212473947,1213271023,1214646922,1217737979,,1214647002,1214646474,,1214643765,,,,,,,,,,,,,,,,,,,,,,,,,School telephone number 
1077,KS2_19,PCON_CODE,E14000564,E14000564,E14000564,,E14000562,E14000566,E14000566,E14000563,E14000564,E14000564,E14000564,E14000564,E14000562,,E14000562,E14000564,,E14000564,,E14000564,E14000564,E14000563,E14000564,,E14000562,E14000566,,E14000564,,,,,,,,,,,,,,,,,,,,,,,,,School parliamentary constituency code
1078,KS2_19,PCON_NAME,"Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood",,"Birmingham, Hall Green","Birmingham, Perry Barr","Birmingham, Perry Barr","Birmingham, Hodge Hill","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Hall Green",,"Birmingham, Hall Green","Birmingham, Ladywood",,"Birmingham, Ladywood",,"Birmingham, Ladywood","Birmingham, Ladywood","Birmingham, Hodge Hill","Birmingham, Ladywood",,"Birmingham, Hall Green","Birmingham, Perry Barr",,"Birmingham, Ladywood",,,,,,,,,,,,,,,,,,,,,,,,,School parliamentary constituency name
1079,KS2_19,URN_AC,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: URN 
1080,KS2_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: name
1081,KS2_19,OPEN_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: open date
1082,KS2_19,NFTYPE,CYS,AC,VA,,AC,VA,CY,CY,ACC,AC,VA,AC,VC,,CY,AC,,AC,,VA,AC,VC,VA,,CY,ACC,,CY,,,,,,,,,,,,,,,,,,,,,,,,,"School type. Rectype 1: AC = Academy Sponsor Led (NFTYPE 20), CY = Community school (21), VA = Voluntary Aided school (22), VC = Voluntary Controlled school (23), FD = Foundation school (24), CTC = City Technology College (25), ACC = Academy converter (51), F = Free school (52). Rectype 2: CYS = Community special (26), FDS = Foundation special (27), ACS = Academy special (50), FS = Free Special School (53), ACCS = Academy Converter Special (55)."
1083,KS2_19,ICLOSE,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,1,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,"Closed Flag: 0 (Open), 1 (Closed) or 'null'"
1084,KS2_19,RELDENOM,Does not apply,Church of England,Roman Catholic,,None,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Church of England,,Does not apply,Church of England,,Church of England,,Roman Catholic,None,Church of England,Muslim,,Does not apply,Does not apply,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,Religious denomination
1085,KS2_19,AGERANGE,3 to 19,4 to 11,3 to 11,,3 to 11,4 to 11,3 to 11,4 to 11,3 to 11,2 to 11,3 to 11,3 to 11,3 to 11,,4 to 11,3 to 11,,5 to 11,,4 to 11,3 to 11,5 to 11,4 to 16,,3 to 11,3 to 11,,3 to 11,,,,,,,,,,,,,,,,,,,,,,,,,Age range
1086,KS2_19,CONFEXAM,R,,,,,,,,,,,,,,R,,,R,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,Confirmation flag that core performance information has been checked: R=No confirmation received from schools WITH RESULTS; Blank = Confirmed (or schools have no KS2)
1087,KS2_19,TAB15,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,School published in secondary school (key stage 4) performance tables: 1=Yes; 0=No
1088,KS2_19,TAB1618,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,School published in school and college (key stage 5) performance tables: 1=Yes; 0=No
1089,KS2_19,TOTPUPS,282,192,244,,450,408,791,566,744,460,234,659,233,,371,222,,207,,203,431,413,727,,411,484,,452,,,,,,,,,,,,,,,,,,,,,,,4602440,,Total number of pupils (including part-time pupils): NEW' =New school with no eligible pupils
1090,KS2_19,TPUPYEAR,24,30,31,,62,59,123,90,96,60,30,90,30,,53,29,,29,,31,60,60,60,,60,79,,60,,,,,,,,,,,,,,,,,,,,,,,643616,,Number of pupils aged 11 
1091,KS2_19,TELIG,24,30,30,,60,58,122,82,97,56,30,89,30,,54,29,,29,,31,56,59,59,,60,74,,59,,,,,,,,,,,,,,,,,,,,,,,644967,,Published eligible pupil number
1092,KS2_19,BELIG,18,14,13,,34,23,59,39,54,27,16,49,11,,29,14,,18,,16,26,29,30,,35,39,,27,,,,,,,,,,,,,,,,,,,,,,,329113,,Eligible boys on school roll at time of tests
1093,KS2_19,GELIG,6,16,17,,26,35,63,43,43,29,14,40,19,,25,15,,11,,15,30,30,29,,25,35,,32,,,,,,,,,,,,,,,,,,,,,,,315849,,Eligible girls on school roll at time of tests
1094,KS2_19,PBELIG,75%,47%,43%,,57%,40%,48%,48%,56%,48%,53%,55%,37%,,54%,48%,,62%,,52%,46%,49%,51%,,58%,53%,,46%,,,,,,,,,,,,,,,,,,,,,,,51%,,Percentage of eligible boys on school roll at time of tests
1095,KS2_19,PGELIG,25%,53%,57%,,43%,60%,52%,52%,44%,52%,47%,45%,63%,,46%,52%,,38%,,48%,54%,51%,49%,,42%,47%,,54%,,,,,,,,,,,,,,,,,,,,,,,49%,,Percentage of eligible girls on school roll at time of tests
1096,KS2_19,TKS1AVERAGE,2,14.9,15.1,,15.4,14.5,14.9,17.9,16,15.2,16.2,15.2,18.3,,15.4,16.7,,16.5,,16.2,12.9,16.3,17.6,,15.6,15.6,,15,,,,,,,,,,,,,,,,,,,,,,,16.2,,Cohort level key stage 1 average points score
1097,KS2_19,TKS1GROUP_L,23,4,3,,5,9,17,3,7,5,0,15,0,,3,2,,0,,2,20,4,0,,7,9,,7,,,,,,,,,,,,,,,,,,,,,,,53959,,Number of pupils in cohort with low KS1 attainment
1098,KS2_19,PTKS1GROUP_L,100%,16%,11%,,9%,18%,15%,4%,8%,10%,0%,20%,0%,,6%,8%,,0%,,7%,40%,7%,0%,,15%,13%,,13%,,,,,,,,,,,,,,,,,,,,,,,9%,,Percentage of pupils in cohort with low KS1 attainment
1099,KS2_19,TKS1GROUP_M,0,16,20,,40,34,75,39,62,33,22,39,13,,38,14,,17,,18,25,36,26,,26,41,,35,,,,,,,,,,,,,,,,,,,,,,,350287,,Number of pupils in cohort with medium KS1 attainment
1100,KS2_19,PTKS1GROUP_M,0%,64%,74%,,73%,67%,68%,51%,67%,67%,79%,51%,46%,,76%,56%,,65%,,67%,50%,62%,48%,,54%,61%,,65%,,,,,,,,,,,,,,,,,,,,,,,57%,,Percentage of pupils in cohort with medium KS1 attainment
1101,KS2_19,TKS1GROUP_H,0,5,4,,10,8,19,34,24,11,6,22,15,,9,9,,9,,7,5,18,28,,15,17,,12,,,,,,,,,,,,,,,,,,,,,,,209272,,Number of pupils in cohort high KS1 attainment
1102,KS2_19,PTKS1GROUP_H,0%,20%,15%,,18%,16%,17%,45%,26%,22%,21%,29%,54%,,18%,36%,,35%,,26%,10%,31%,52%,,31%,25%,,22%,,,,,,,,,,,,,,,,,,,,,,,34%,,Percentage of pupils in cohort with high KS1 attainment
1103,KS2_19,TKS1GROUP_NA,1,5,3,,5,7,11,6,4,7,2,13,2,,4,4,,3,,4,6,1,5,,12,7,,5,,,,,,,,,,,,,,,,,,,,,,,31449,,No. of pupils in KS1 group not calculable
1104,KS2_19,PTKS1GROUP_NA,4%,17%,10%,,8%,12%,9%,7%,4%,13%,7%,15%,7%,,7%,14%,,10%,,13%,11%,2%,8%,,20%,9%,,8%,,,,,,,,,,,,,,,,,,,,,,,5%,,Percentage of pupils in KS1group not calculable
1105,KS2_19,TFSM6CLA1A,18,22,18,,34,36,65,52,42,32,12,43,19,,32,18,,19,,14,30,27,30,,35,32,,29,,,,,,,,,,,,,,,,,,,,,,,197488,,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
1106,KS2_19,PTFSM6CLA1A,75%,73%,60%,,57%,62%,53%,63%,43%,57%,40%,48%,63%,,59%,62%,,66%,,45%,54%,46%,51%,,58%,43%,,49%,,,,,,,,,,,,,,,,,,,,,,,31%,,Percentage of key stage 2 disadvantaged pupils
1107,KS2_19,TNOTFSM6CLA1A,6,8,12,,26,22,57,30,55,24,18,46,11,,22,11,,10,,17,26,32,29,,25,42,,30,,,,,,,,,,,,,,,,,,,,,,,447479,,Number of key stage 2 pupils who are not disadvantaged
1108,KS2_19,PTNOTFSM6CLA1A,25%,27%,40%,,43%,38%,47%,37%,57%,43%,60%,52%,37%,,41%,38%,,34%,,55%,46%,54%,49%,,42%,57%,,51%,,,,,,,,,,,,,,,,,,,,,,,69%,,Percentage of key stage 2 pupils who are not disadvantaged
1109,KS2_19,TEALGRP2,16,16,15,,51,30,115,71,85,47,14,85,18,,50,17,,10,,21,44,55,58,,56,62,,31,,,,,,,,,,,,,,,,,,,,,,,135559,,Number of eligible pupils with English as additional language (EAL)
1110,KS2_19,PTEALGRP2,67%,53%,50%,,85%,52%,94%,87%,88%,84%,47%,96%,60%,,93%,59%,,34%,,68%,79%,93%,98%,,93%,84%,,53%,,,,,,,,,,,,,,,,,,,,,,,21%,,Percentage of eligible pupils with English as additional language (EAL)
1111,KS2_19,TMOBN,24,23,27,,55,56,116,77,94,48,30,75,30,,48,26,,27,,27,54,55,54,,59,63,,52,,,,,,,,,,,,,,,,,,,,,,,595736,,Number of eligible pupils classified as non-mobile
1112,KS2_19,PTMOBN,100%,77%,90%,,92%,97%,95%,94%,97%,86%,100%,84%,100%,,89%,90%,,93%,,87%,96%,93%,92%,,98%,85%,,88%,,,,,,,,,,,,,,,,,,,,,,,92%,,Percentage of eligible pupils classified as non-mobile
1113,KS2_19,PTRWM_EXP,0%,45%,70%,,55%,66%,57%,57%,78%,54%,50%,53%,83%,,52%,69%,,66%,,68%,54%,64%,69%,,50%,69%,,54%,,,,,,,,,,,,,,,,,,,,,,,65%,,"Percentage of pupils reaching the expected standard in reading, writing and maths"
1114,KS2_19,PTRWM_HIGH,0%,3%,3%,,2%,0%,4%,9%,7%,7%,7%,9%,27%,,7%,3%,,3%,,10%,9%,10%,15%,,5%,3%,,5%,,,,,,,,,,,,,,,,,,,,,,,11%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
1115,KS2_19,READPROG,0.1,-1.8,1.4,,-1.7,3.4,2,-5.5,2.8,-0.6,-1.7,0.4,0,,-0.5,-1.4,,-0.8,,0.9,3.7,-2.1,-0.6,,-3.8,0.3,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure
1116,KS2_19,READPROG_LOWER,-2.5,-4.2,-0.9,,-3.4,1.7,0.9,-6.9,1.5,-2.3,-3.9,-1,-2.3,,-2.2,-3.8,,-3.2,,-1.5,2,-3.7,-2.2,,-5.5,-1.2,,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure - lower confidence limit
1117,KS2_19,READPROG_UPPER,2.8,0.6,3.7,,-0.1,5.1,3.2,-4.1,4,1.2,0.6,1.8,2.2,,1.2,1,,1.6,,3.2,5.4,-0.5,1.1,,-2,1.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure - upper confidence limit
1118,KS2_19,READCOV,88%,83%,90%,,92%,88%,91%,93%,95%,88%,93%,85%,93%,,93%,86%,,90%,,84%,89%,98%,92%,,80%,91%,,92%,,,,,,,,,,,,,,,,,,,,,,,,,Reading progress measure - coverage
1119,KS2_19,WRITPROG,0,0.4,-0.1,,2.1,0.2,-0.9,-1.1,0.6,2.7,-0.3,2.1,0.8,,-0.3,-1,,-2.5,,-2.2,5.1,-0.4,-1.5,,-1.8,0.1,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure
1120,KS2_19,WRITPROG_LOWER,-2.4,-1.9,-2.2,,0.6,-1.4,-2,-2.3,-0.6,1.1,-2.4,0.9,-1.3,,-1.9,-3.3,,-4.7,,-4.3,3.5,-1.9,-3,,-3.4,-1.3,,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure - lower confidence limit
1121,KS2_19,WRITPROG_UPPER,2.4,2.6,2,,3.6,1.8,0.1,0.2,1.8,4.3,1.8,3.4,2.9,,1.2,1.2,,-0.3,,0,6.7,1,0.1,,-0.2,1.4,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure - upper confidence limit
1122,KS2_19,WRITCOV,92%,83%,90%,,92%,88%,91%,93%,95%,88%,93%,85%,93%,,93%,86%,,90%,,87%,89%,98%,92%,,80%,91%,,92%,,,,,,,,,,,,,,,,,,,,,,,,,Writing progress measure - coverage
1123,KS2_19,MATPROG,0.2,-0.5,0.5,,0.2,3.4,3.3,-3.5,3.7,-1.7,0.4,0.9,4.4,,1.4,-2.8,,-1.3,,3,4.1,-0.1,-0.5,,-0.7,2.5,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure
1124,KS2_19,MATPROG_LOWER,-2.1,-2.6,-1.6,,-1.2,1.9,2.2,-4.7,2.6,-3.2,-1.6,-0.3,2.4,,-0.1,-4.9,,-3.4,,1,2.6,-1.5,-1.9,,-2.2,1.2,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure - lower confidence limit
1125,KS2_19,MATPROG_UPPER,2.5,1.6,2.5,,1.7,4.9,4.3,-2.3,4.8,-0.2,2.4,2.1,6.4,,2.9,-0.7,,0.7,,5.1,5.6,1.3,0.9,,0.8,3.8,,4,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure - upper confidence limit
1126,KS2_19,MATCOV,88%,83%,90%,,92%,88%,91%,93%,95%,88%,93%,85%,93%,,93%,86%,,90%,,84%,89%,98%,92%,,80%,91%,,92%,,,,,,,,,,,,,,,,,,,,,,,,,Maths progress measure - coverage
1127,KS2_19,PTREAD_EXP,0%,47%,80%,,62%,72%,70%,60%,86%,59%,60%,60%,83%,,59%,72%,,72%,,77%,64%,68%,83%,,50%,73%,,58%,,,,,,,,,,,,,,,,,,,,,,,73%,,Percentage of pupils reaching the expected standard in reading
1128,KS2_19,PTREAD_HIGH,0%,13%,17%,,7%,26%,27%,18%,30%,18%,20%,20%,33%,,13%,24%,,17%,,16%,13%,20%,34%,,12%,16%,,14%,,,,,,,,,,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in reading
1129,KS2_19,PTREAD_AT,0%,3%,0%,,0%,0%,0%,0%,2%,0%,0%,0%,0%,,2%,0%,,0%,,3%,0%,0%,0%,,0%,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in reading
1130,KS2_19,READ_AVERAGE,,100,103,,101,104,104,102,106,101,102,101,107,,102,106,,103,,104,101,102,106,,100,103,,100,,,,,,,,,,,,,,,,,,,,,,,104,,Average scaled score in reading
1131,KS2_19,PTGPS_EXP,0%,73%,77%,,83%,79%,84%,85%,89%,75%,90%,70%,90%,,81%,83%,,76%,,77%,80%,85%,95%,,68%,84%,,85%,,,,,,,,,,,,,,,,,,,,,,,78%,,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
1132,KS2_19,PTGPS_HIGH,0%,30%,30%,,33%,38%,39%,44%,58%,38%,33%,30%,80%,,33%,55%,,21%,,58%,23%,39%,53%,,35%,57%,,47%,,,,,,,,,,,,,,,,,,,,,,,36%,,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
1133,KS2_19,PTGPS_AT,0%,3%,0%,,0%,0%,0%,0%,2%,0%,0%,0%,0%,,2%,0%,,0%,,3%,0%,0%,0%,,0%,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,0%,,"Percentage of pupils absent from or not able to access the test in grammar, punctuation and spelling"
1134,KS2_19,GPS_AVERAGE,,104,105,,106,106,108,109,111,106,107,105,116,,107,110,,105,,108,105,107,110,,105,110,,108,,,,,,,,,,,,,,,,,,,,,,,106,,"Average scaled score in grammar, punctuation and spelling"
1135,KS2_19,PTMAT_EXP,0%,77%,80%,,78%,86%,87%,77%,89%,63%,87%,66%,87%,,72%,76%,,83%,,81%,73%,76%,86%,,77%,89%,,80%,,,,,,,,,,,,,,,,,,,,,,,79%,,Percentage of pupils reaching the expected standard in maths
1136,KS2_19,PTMAT_HIGH,0%,13%,27%,,8%,24%,21%,17%,38%,13%,23%,16%,70%,,31%,14%,,10%,,55%,13%,25%,29%,,15%,22%,,37%,,,,,,,,,,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in maths
1137,KS2_19,PTMAT_AT,0%,3%,0%,,0%,0%,0%,0%,2%,0%,0%,0%,0%,,2%,0%,,0%,,3%,0%,0%,0%,,0%,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in maths
1138,KS2_19,MAT_AVERAGE,,103,104,,103,106,106,105,108,100,105,103,112,,105,104,,103,,107,103,105,106,,103,106,,106,,,,,,,,,,,,,,,,,,,,,,,105,,Average scaled score in maths
1139,KS2_19,PTWRITTA_EXP,0%,72%,77%,,83%,72%,64%,89%,84%,80%,77%,72%,87%,,69%,76%,,72%,,74%,73%,76%,86%,,65%,80%,,68%,,,,,,,,,,,,,,,,,,,,,,,78%,,Percentage of pupils reaching the expected standard in writing
1140,KS2_19,PTWRITTA_HIGH,0%,10%,7%,,18%,0%,5%,27%,10%,20%,10%,15%,40%,,9%,24%,,3%,,10%,20%,15%,17%,,8%,7%,,7%,,,,,,,,,,,,,,,,,,,,,,,20%,,Percentage of pupils working at greater depth within the expected standard in writing
1141,KS2_19,PTWRITTA_WTS,4%,14%,17%,,17%,26%,30%,6%,14%,20%,23%,25%,7%,,24%,7%,,24%,,13%,20%,24%,14%,,22%,16%,,24%,,,,,,,,,,,,,,,,,,,,,,,17%,,Percentage of pupils working towards the expected standard in writing
1142,KS2_19,PTWRITTA_AD,4%,0%,0%,,0%,0%,0%,0%,1%,0%,0%,0%,0%,,0%,0%,,0%,,0%,0%,0%,0%,,0%,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,0%,,Percentage of pupils absent or disapplied in writing TA
1143,KS2_19,PTSCITA_EXP,0%,83%,87%,,92%,79%,80%,89%,82%,80%,87%,75%,90%,,85%,86%,,72%,,81%,79%,80%,85%,,70%,95%,,75%,,,,,,,,,,,,,,,,,,,,,,,83%,,Percentage of pupils reaching the expected standard in science TA
1144,KS2_19,PTSCITA_AD,4%,0%,0%,,0%,0%,0%,0%,1%,0%,0%,0%,0%,,0%,0%,,0%,,0%,0%,0%,0%,,0%,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,0%,,Percentage of pupils absent or disapplied in science TA
1145,KS2_19,PTRWM_EXP_B,0%,31%,69%,,62%,57%,49%,59%,70%,41%,31%,51%,82%,,41%,64%,,67%,,69%,31%,55%,63%,,43%,64%,,41%,,,,,,,,,,,,,,,,,,,,,,,60%,,"Percentage of boys reaching the expected standard in reading, writing and maths"
1146,KS2_19,PTRWM_EXP_G,0%,56%,71%,,46%,71%,63%,56%,88%,66%,71%,55%,84%,,64%,73%,,64%,,67%,73%,73%,76%,,60%,74%,,66%,,,,,,,,,,,,,,,,,,,,,,,70%,,"Percentage of girls reaching the expected standard in reading, writing and maths"
1147,KS2_19,PTRWM_EXP_L,0%,SUPP,SUPP,,SUPP,0%,6%,SUPP,14%,SUPP,,7%,,,SUPP,SUPP,,,,SUPP,30%,SUPP,,,14%,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,7%,,"Percentage of pupils with low prior attainment reaching the expected standard in reading, writing and maths"
1148,KS2_19,PTRWM_EXP_M,,38%,75%,,43%,76%,61%,41%,82%,48%,36%,54%,77%,,47%,64%,,59%,,72%,68%,61%,42%,,38%,71%,,49%,,,,,,,,,,,,,,,,,,,,,,,58%,,"Percentage of pupils with medium prior attainment reaching the expected standard in reading, writing and maths"
1149,KS2_19,PTRWM_EXP_H,,SUPP,SUPP,,100%,100%,100%,82%,96%,100%,100%,100%,100%,,100%,100%,,100%,,86%,SUPP,89%,96%,,100%,100%,,100%,,,,,,,,,,,,,,,,,,,,,,,95%,,"Percentage of pupils with high prior attainment reaching the expected standard in reading, writing and maths"
