No,Namespace,Variable,Grestone Academy - 139904,Blakesley Hall Primary School - 103300,Crocketts Community Primary School - 103941,St Peters CofE Primary School - 134476,Stechford Primary School - 103262,Corpus Christi Catholic Primary School - 103424,Galton Valley Primary School - 135288,Water Mill Primary School - 103326,St Bernard's Catholic Primary School - 103462,The Regis Academy - 148359,Dorrington Academy - 138218,Featherstone Primary School - 103318,Raddlebarn Primary School - 103246,Uplands Manor Primary School and Nursery - 131184,St Dunstan's Catholic Primary School - 103455,Hodge Hill Primary School - 143869,St Gregory's Catholic Primary School - 141924,Yarnfield Primary School - 139378,Yorkmead Junior and Infant School - 103284,Cherry Oak School - 103626,Wilson Stuart School - 138281,Birches Green Junior School - 103168,Birches Green Infant School - 103169,Birches Green Junior School - 148887,Our Lady of Fatima Catholic Primary School - 141484,Beaufort School - 103627,Yardley Primary School - 133996,Abbey Infant School - 103930,Saint Barnabas Church of England Primary School - 103412,Saint Barnabas Church of England Primary School - 147478,Abbey Junior School - 103929,St Margaret Mary RC Junior and Infant School - 103453,St Mary's Church of England Primary School - 103410,Tame Valley Academy - 139011,Colebourne Primary School - 103263,Riverside Education - 142338,Oscott Manor School - 103628,Hodge Hill College - 103503,St John Wall Catholic School - 103534,Selly Park  Girls' School - 103498,Braidwood School for the Deaf - 103611,Bishop Challoner Catholic College - 103560,Hodge Hill Girls' School - 103483,Baskerville School - 103606,Al-Burhan Grammar School - 134034,North Birmingham Academy - 136032,Sandwell Academy - 134993,King Edward VI Camp Hill School for Girls - 137044,King Edward VI Camp Hill School for Boys - 137045,Imedia School - 143040,National state-funded primary,National state-funded secondary and 16 to 18,Description
1380,KS2_19,READPROG_DESCR,3,5,2,3,3,3,3,1,2,,2,3,3,5,1,4,3,5,3,3,5,5,,,4,3,4,,4,,2,3,2,3,3,,,,,,,,,,,,,,,,,,Maths progress measure 'description' - one year prior
1381,KS2_19,WRITPROG_DESCR,4,5,1,4,5,3,2,1,3,,1,4,3,3,3,3,3,5,3,3,5,5,,,3,3,3,,4,,2,3,2,3,4,,,,,,,,,,,,,,,,,,Writing progress measure 'description'
1382,KS2_19,MATPROG_DESCR,3,3,1,3,3,2,3,2,2,,1,3,3,4,1,4,3,4,2,3,5,5,,,4,3,2,,3,,2,4,1,3,3,,,,,,,,,,,,,,,,,,Maths progress measure 'description'
1383,KS4_19,YEAR,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,,2019,
1384,KS4_19,RECTYPE,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,,7,Record type (1=mainstream school; 2=special school; 4=local authority; 5=National (all schools); 7=National (maintained schools))
1385,KS4_19,LEA,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,330,330,330,330,330,330,330,330,330,330,330,333,330,330,330,,,Local authority code (see separate list of local authorities and their codes)
1386,KS4_19,ESTAB,,,,,,,,,,,,,,,,,,,,,7031,,,,,,,,,,,,,,,6019,7053,4201,4625,4177,7030,5413,4015,7016,6104,6909,6905,5406,5407,6030,,,Establishment number
1387,KS4_19,URN,,,,,,,,,,,,,,,,,,,,,138281,,,,,,,,,,,,,,,142338,103628,103503,103534,103498,103611,103560,103483,103606,134034,136032,134993,137044,137045,143040,,,School Unique Reference Number
1388,KS4_19,SCHNAME,,,,,,,,,,,,,,,,,,,,,Wilson Stuart School,,,,,,,,,,,,,,,Riverside Education,Oscott Manor School,Hodge Hill College,St John Wall Catholic School,Selly Park Girls' School,Braidwood School for the Deaf,Bishop Challoner Catholic College,Hodge Hill Girls' School,Baskerville School,Al-Burhan Grammar School,North Birmingham Academy,Sandwell Academy,King Edward VI Camp Hill School for Girls,King Edward VI Camp Hill School for Boys,Imedia School,,,School name
1389,KS4_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School now known as (used if the school has converted to an academy on or after 12 Sept 2018)
1390,KS4_19,ADDRESS1,,,,,,,,,,,,,,,,,,,,,Perry Common Road,,,,,,,,,,,,,,,2 Riverside Drive,Old Oscott Hill,Bromford Road,Oxhill Road,5 Selly Park Road,Bromford Road,Institute Road,Bromford Road,Fellows Lane,Spring Road Centre,395 College Road,Halfords Lane,Vicarage Road,Vicarage Road,Faraday Court,,,School address (1)
1391,KS4_19,ADDRESS2,,,,,,,,,,,,,,,,,,,,,Erdington,,,,,,,,,,,,,,,Stechford,,Hodge Hill,Handsworth,Selly Park,,Kings Heath,Hodge Hill,Harborne,258 Spring Road,,,Kings Heath,Kings Heath,Birmingham,,,School address (2)
1392,KS4_19,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyseley,Erdington,,,,85 Summer Road,,,School address (3)
1393,KS4_19,TOWN,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,,,,,,,,,,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,West Bromwich,Birmingham,Birmingham,Erdington,,,School town
1394,KS4_19,PCODE,,,,,,,,,,,,,,,,,,,,,B23 7AT,,,,,,,,,,,,,,,B33 9BF,B44 9SP,B36 8HB,B21 8HH,B29 7PH,B36 8AF,B14 7EG,B36 8EY,B17 9TS,B11 3DW,B44 0HF,B71 4LG,B14 7QJ,B14 7QJ,B23 6UT,,,School postcode
1395,KS4_19,TELNUM,,,,,,,,,,,,,,,,,,,,,01213734475,,,,,,,,,,,,,,,01216782942,01213608222,01217837807,01215541825,01214721238,01214645558,01214444161,01214643094,01214273191,01214405454,01213731647,01215251700,01214442150,01214443188,,,,School telephone number
1396,KS4_19,PCON_CODE,,,,,,,,,,,,,,,,,,,,,E14000561,,,,,,,,,,,,,,,E14000568,E14000566,E14000563,E14000566,E14000567,E14000563,E14000562,E14000563,E14000560,E14000568,E14000561,E14001016,E14000562,E14000562,E14000561,,,
1397,KS4_19,PCON_NAME,,,,,,,,,,,,,,,,,,,,,"Birmingham, Erdington",,,,,,,,,,,,,,,"Birmingham, Yardley","Birmingham, Perry Barr","Birmingham, Hodge Hill","Birmingham, Perry Barr","Birmingham, Selly Oak","Birmingham, Hodge Hill","Birmingham, Hall Green","Birmingham, Hodge Hill","Birmingham, Edgbaston","Birmingham, Yardley","Birmingham, Erdington",Warley,"Birmingham, Hall Green","Birmingham, Hall Green","Birmingham, Erdington",,,
1398,KS4_19,CONTFLAG,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Contingency flag - school results 'significantly affected'. This field is zero for all schools.
1399,KS4_19,ICLOSE,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Closed school flag (0=open; 1=closed)
1400,KS4_19,NFTYPE,,,,,,,,,,,,,,,,,,,,,ACCS,,,,,,,,,,,,,,,IND,CYS,CY,VA,CY,FDS,VA,CY,FDS,IND,AC,AC,ACC,ACC,IND,,,School type (see separate list of abbreviations used in the tables)
1401,KS4_19,RELDENOM,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,None,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,None,Does not apply,Does not apply,Christian,Christian,None,,,School religious character
1402,KS4_19,ADMPOL,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,NA,NSE,NSE,NSE,NA,NSE,NSE,NA,,NSE,NSE,SEL,SEL,,,,School admissions policy (self-declared by schools on Edubase)
1403,KS4_19,ADMPOL_PT,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,NA,NA,OTHER NON SEL,OTHER NON SEL,OTHER NON SEL,NA,OTHER NON SEL,OTHER NON SEL,NA,NA,OTHER NON SEL,OTHER NON SEL,SEL,SEL,NA,,,
1404,KS4_19,EGENDER,,,,,,,,,,,,,,,,,,,,,MIXED,,,,,,,,,,,,,,,MIXED,MIXED,MIXED,MIXED,GIRLS,MIXED,MIXED,GIRLS,MIXED,GIRLS,MIXED,MIXED,GIRLS,BOYS,MIXED,,,School gender of entry
1405,KS4_19,FEEDER,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Indicates whether school is a feeder school for sixth form centre/consortia (0=No; 1=Yes)
1406,KS4_19,TABKS2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Indicates whether school is published in the primary school (key stage 2) performance tables (0=No; 1=Yes)
1407,KS4_19,TAB1618,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,,,Indicates whether school is published in the school and college (16-18) performance tables (0=No; 1=Yes)
1408,KS4_19,AGERANGE,,,,,,,,,,,,,,,,,,,,,2 to 19,,,,,,,,,,,,,,,14 to 19,11 to 19,11 to 16,11 to 16,11 to 16,11 to 19,11 to 18,11 to 16,11 to 19,11 to 16,11 to 19,11 to 18,11 to 18,11 to 18,14 to 16,,,Age range
1409,KS4_19,CONFEXAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,R,,,,,,,,,,R,,,Indicates whether the school has checked its results (R=No; blank=Yes)
1410,KS4_19,TOTPUPS,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,60,115,1215,613,684,62,1213,750,131,126,1012,1280,1066,891,2,,3366207,Number of pupils on roll (all ages)
1411,KS4_19,NUMBOYS,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,43,93,853,381,NA,38,666,NA,114,NA,491,669,NA,891,SUPP,,1710775,Total boys on roll (including part-time pupils)
1412,KS4_19,NUMGIRLS,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,17,22,362,232,684,24,547,750,17,126,521,611,1066,NA,SUPP,,1655432,Total girls on roll (including part-time pupils)
1413,KS4_19,TPUP,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,14,14,233,108,134,11,202,147,18,10,158,181,147,118,4,,542621,Number of pupils at the end of key stage 4
1414,KS4_19,BPUP,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,8,172,72,NA,7,113,NA,15,NA,82,97,NA,118,SUPP,,276670,Number of boys at the end of key stage 4
1415,KS4_19,PBPUP,,,,,,,,,,,,,,,,,,,,,44%,,,,,,,,,,,,,,,71%,57%,74%,67%,NA,64%,56%,NA,83%,NA,52%,54%,NA,100%,SUPP,,51%,Percentage of pupils at the end of key stage 4 who are boys
1416,KS4_19,GPUP,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,4,6,61,36,134,4,89,147,3,10,76,84,147,NA,SUPP,,265951,Number of girls at the end of key stage 4
1417,KS4_19,PGPUP,,,,,,,,,,,,,,,,,,,,,56%,,,,,,,,,,,,,,,29%,43%,26%,33%,100%,36%,44%,100%,17%,100%,48%,46%,100%,NA,SUPP,,49%,Percentage of pupils at the end key stage 4 who are girls
1418,KS4_19,KS2APS,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,NP,14.6,27.7,26.2,27.7,17,29.8,27.6,14.6,NP,28.3,29.7,34,34,NP,,28.6,Key stage 2 Average Points Score of the cohort at the end of key stage 4
1419,KS4_19,TPRIORLO,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,NP,10,38,18,23,10,8,20,13,NP,16,5,0,0,NP,,60688,Number of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2
1420,KS4_19,PTPRIORLO,,,,,,,,,,,,,,,,,,,,,77%,,,,,,,,,,,,,,,NP,77%,17%,19%,18%,91%,4%,14%,72%,NP,11%,3%,0%,0%,NP,,12%,Percentage of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2
1421,KS4_19,TPRIORAV,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,NP,3,111,59,66,1,81,83,4,NP,82,89,0,0,NP,,228580,Number of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2
1422,KS4_19,PTPRIORAV,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,,,,,NP,23%,50%,63%,52%,9%,41%,59%,22%,NP,55%,49%,0%,0%,NP,,45%,Percentage of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2
1423,KS4_19,TPRIORHI,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,NP,0,75,17,39,0,110,39,1,NP,52,86,125,100,NP,,223661,Number of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2
1424,KS4_19,PTPRIORHI,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,NP,0%,34%,18%,31%,0%,55%,28%,6%,NP,35%,48%,100%,100%,NP,,44%,Percentage of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2
1425,KS4_19,TFSM6CLA1A,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,NP,11,114,56,71,9,49,69,11,NP,99,45,15,12,NP,,143816,Number of disadvantaged pupils at the end of key stage 4
1426,KS4_19,PTFSM6CLA1A,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,,NP,79%,49%,52%,53%,82%,24%,47%,61%,NP,63%,25%,10%,10%,NP,,27%,Percentage of pupils at the end of key stage 4 who are disadvantaged
1427,KS4_19,TNOTFSM6CLA1A,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,NP,3,119,52,63,2,153,78,7,NP,59,136,132,106,NP,,398805,Number of non-disadvantaged pupils at the end of key stage 4
1428,KS4_19,PTNOTFSM6CLA1A,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,,NP,21%,51%,48%,47%,18%,76%,53%,39%,NP,37%,75%,90%,90%,NP,,74%,Percentage of pupils at the end of key stage 4 who are not disadvantaged
1429,KS4_19,TEALGRP2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,NP,1,88,75,108,3,17,89,2,NP,52,60,27,32,NP,,90069,Number of pupils at the end of key stage 4 with English as additional language (EAL)
1430,KS4_19,PTEALGRP2,,,,,,,,,,,,,,,,,,,,,17%,,,,,,,,,,,,,,,NP,7%,38%,69%,81%,27%,8%,61%,11%,NP,33%,33%,18%,27%,NP,,17%,Percentage of pupils at the end of key stage 4 with English as additional language (EAL)
1431,KS4_19,TEALGRP1,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,NP,13,107,33,26,8,185,58,16,NP,106,121,119,85,NP,,450082,Number of pupils at the end of key stage 4 with English as their first language
1432,KS4_19,PTEALGRP1,,,,,,,,,,,,,,,,,,,,,83%,,,,,,,,,,,,,,,NP,93%,46%,31%,19%,73%,92%,40%,89%,NP,67%,67%,81%,72%,NP,,83%,Percentage of pupils at the end of key stage 4 with English as their first language
1433,KS4_19,TEALGRP3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,NP,0,38,0,0,0,0,0,0,NP,0,0,1,1,NP,,1332,Number of pupils at the end of key stage 4 whose first language is unclassified
1434,KS4_19,PTEALGRP3,,,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,NP,0%,16%,0%,0%,0%,0%,0%,0%,NP,0%,0%,1%,1%,NP,,0%,Percentage of pupils at the end of key stage 4 whose first language is unclassified
1435,KS4_19,TNMOB,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,NP,13,230,101,129,11,201,142,17,NP,150,181,146,117,NP,,522936,Number of pupils at the end of key stage 4 who are non-mobile
1436,KS4_19,PTNMOB,,,,,,,,,,,,,,,,,,,,,94%,,,,,,,,,,,,,,,NP,93%,99%,94%,96%,100%,100%,97%,94%,NP,95%,100%,99%,99%,NP,,96%,Percentage of pupils at the end of key stage 4 who are non-mobile
1437,KS4_19,SENSE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,4,1,1,,4,1,,NA,1,2,0,0,NA,,20373,"Number of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan"
1438,KS4_19,PSENSE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,2%,1%,1%,,2%,1%,,NA,1%,1%,0%,0%,NA,,4%,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan"
1439,KS4_19,SENAPK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,16,25,14,,16,23,,NA,15,17,7,3,NA,,56580,"Number of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan"
1440,KS4_19,PSENAPK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,7%,23%,10%,,8%,16%,,NA,10%,9%,5%,3%,NA,,10%,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan"
1441,KS4_19,SEN_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,20,26,15,,20,24,,NA,16,19,7,3,NA,,76953,"Number of pupils at the end of key stage 4 with special educational needs (SEN) including those with or without a statement or Education, health and care (EHC) plan"
1442,KS4_19,PSEN_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,9%,24%,11%,,10%,16%,,NA,10%,10%,5%,3%,NA,,14%,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) including those with or without a statement or Education, health and care (EHC) plan"
1443,KS4_19,TOTATT8,,,,,,,,,,,,,,,,,,,,,148.5,,,,,,,,,,,,,,,97,35,11529.3,5091.5,6364.8,69,11422.4,7450.9,71.8,769,7173,8582,11743.1,9767.8,SUPP,,25335160.8,Total sum of Attainment 8 scores
1444,KS4_19,ATT8SCR,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,6.9,2.5,49.5,47.1,47.5,6.3,56.5,50.7,4,76.9,45.4,47.4,79.9,82.8,SUPP,,46.7,Average Attainment 8 score per pupil
1445,KS4_19,TOTATT8ENG,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,21,11,2266,1040,1440,0,2507,1680,12,156,1667,1719,2376,1830,SUPP,,5396943.1,Total sum of Attainment 8 scores for English element
1446,KS4_19,ATT8SCRENG,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,1.5,0.8,9.7,9.6,10.7,0,12.4,11.4,0.7,15.6,10.6,9.5,16.2,15.5,SUPP,,9.9,Average Attainment 8 score per pupil for English element
1447,KS4_19,TOTATT8MAT,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,26,10,2048,826,1084,28,2138,1222,16,150,1344,1596,2216,2010,SUPP,,4918664.9,Total sum of Attainment 8 scores for mathematics element
1448,KS4_19,ATT8SCRMAT,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,1.9,0.7,8.8,7.6,8.1,2.5,10.6,8.3,0.9,15,8.5,8.8,15.1,17,SUPP,,9.1,Average Attainment 8 score per pupil for mathematics element
1449,KS4_19,TOTATT8EBAC,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,14,14,3262.5,1518.5,1829,15,3182.9,2181.4,23,244,1963.5,2294,3614.8,3052.8,SUPP,,7310635.9,Total sum of Attainment 8 scores for EBacc element
1450,KS4_19,ATT8SCREBAC,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,1,1,14,14.1,13.6,1.4,15.8,14.8,1.3,24.4,12.4,12.7,24.6,25.9,SUPP,,13.5,Average Attainment 8 score per pupil for EBacc element
1451,KS4_19,TOTATT8OPEN,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,36,0,3952.8,1707,2011.8,26,3594.5,2367.5,20.8,219,2198.5,2973,3536.4,2875,SUPP,,7708916.9,Total sum of Attainment 8 scores for open element
1452,KS4_19,ATT8SCROPEN,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,2.6,0,17,15.8,15,2.4,17.8,16.1,1.2,21.9,13.9,16.4,24.1,24.4,SUPP,,14.2,Average Attainment 8 score per pupil for open element
1453,KS4_19,TOTATT8OPENG,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,36,0,2420.5,1143.5,1650.5,26,3131,2202,15,219,1371.5,1547,3510.9,2875,SUPP,,6280931.7,Total sum of Attainment 8 scores for open element - GCSE only
1454,KS4_19,ATT8SCROPENG,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.6,0,10.4,10.6,12.3,2.4,15.5,15,0.8,21.9,8.7,8.5,23.9,24.4,SUPP,,11.6,Average Attainment 8 score per pupil for open element - GCSE only
1455,KS4_19,TOTATT8OPENNG,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,0,0,1532.3,563.5,361.3,0,463.5,165.5,5.8,0,827,1426,25.5,0,SUPP,,1427985.3,Total sum of Attainment 8 scores for open element - non-GCSE only
1456,KS4_19,ATT8SCROPENNG,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0,0,6.6,5.2,2.7,0,2.3,1.1,0.3,0,5.2,7.9,0.2,0,SUPP,,2.6,Average Attainment 8 score per pupil for open element - non-GCSE only
1457,KS4_19,AVGEBACFILL,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.6,0.6,2.9,2.8,3,0.6,3,2.9,0.4,3,2.9,2.9,3,3,SUPP,,2.8,Average number of EBacc slots filled in Attainment 8 per pupil
1458,KS4_19,AVGOPENFILL,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,1,0,3,3,3,0.5,3,3,0.4,3,2.9,3,3,3,SUPP,,2.8,Average number of Open slots filled in Attainment 8 per pupil
1459,KS4_19,P8PUP,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,NP,13,224,94,128,11,199,142,18,NP,150,180,125,100,NP,,512929,Number of pupils included in Progress 8 measure
1460,KS4_19,TP8ADJ,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,NP,0,0,1,0,0,0,0,0,NP,1,0,0,0,NP,,4876,Number of pupils who have had P8 score adjusted in average
1461,KS4_19,P8MEACOV,,,,,,,,,,,,,,,,,,,,,94%,,,,,,,,,,,,,,,NP,93%,96%,87%,96%,100%,99%,97%,100%,NP,95%,99%,85%,85%,NP,,95%,Percentage of pupils at the end of key stage 4 included in Progress 8 measure
1462,KS4_19,P8MEA,,,,,,,,,,,,,,,,,,,,,-1.23,,,,,,,,,,,,,,,NP,-1.9,0.6,0.82,0.51,-1.45,0.59,0.72,-1.94,NP,0.04,-0.24,0.72,0.95,NP,,-0.03,Progress 8 measure after adjustment for extreme scores
1463,KS4_19,P8CILOW,,,,,,,,,,,,,,,,,,,,,-1.84,,,,,,,,,,,,,,,NP,-2.6,0.43,0.56,0.29,-2.21,0.41,0.51,-2.53,NP,-0.16,-0.43,0.49,0.7,NP,,,Progress 8 lower 95% confidence interval for adjusted average
1464,KS4_19,P8CIUPP,,,,,,,,,,,,,,,,,,,,,-0.62,,,,,,,,,,,,,,,NP,-1.2,0.77,1.08,0.73,-0.7,0.77,0.93,-1.35,NP,0.25,-0.05,0.94,1.2,NP,,,Progress 8 upper 95% confidence interval for adjusted average
1465,KS4_19,P8MEA_ORIG,,,,,,,,,,,,,,,,,,,,,-1.23,,,,,,,,,,,,,,,NP,-1.9,0.6,0.81,0.51,-1.45,0.59,0.72,-1.94,NP,0.04,-0.24,0.72,0.95,NP,,-0.03,Progress 8 measure based on unadjusted pupil scores
1466,KS4_19,P8CILOW_ORIG,,,,,,,,,,,,,,,,,,,,,-1.85,,,,,,,,,,,,,,,NP,-2.61,0.43,0.54,0.28,-2.23,0.41,0.51,-2.55,NP,-0.17,-0.43,0.49,0.7,NP,,,Progress 8 lower 95% confidence interval for unadjusted average
1467,KS4_19,P8CIUPP_ORIG,,,,,,,,,,,,,,,,,,,,,-0.61,,,,,,,,,,,,,,,NP,-1.19,0.77,1.07,0.74,-0.68,0.77,0.94,-1.34,NP,0.24,-0.05,0.95,1.21,NP,,,Progress 8 upper 95% confidence interval for unadjusted average
1468,KS4_19,P8MEAENG,,,,,,,,,,,,,,,,,,,,,-1.26,,,,,,,,,,,,,,,NP,-2.08,0.18,0.6,0.76,-2.47,0.85,1.01,-2.3,NP,0.42,-0.54,0.86,0.47,NP,,-0.04,Progress 8 measure for English element
1469,KS4_19,P8MEAENG_CILOW,,,,,,,,,,,,,,,,,,,,,-1.99,,,,,,,,,,,,,,,NP,-2.93,-0.02,0.29,0.49,-3.39,0.63,0.76,-3.02,NP,0.17,-0.76,0.59,0.16,NP,,,Lower 95% confidence interval for Progress 8 English element
1470,KS4_19,P8MEAENG_CIUPP,,,,,,,,,,,,,,,,,,,,,-0.53,,,,,,,,,,,,,,,NP,-1.24,0.39,0.91,1.02,-1.56,1.06,1.27,-1.59,NP,0.67,-0.31,1.13,0.77,NP,,,Upper 95% confidence interval for Progress 8 English element
1471,KS4_19,P8MEAMAT,,,,,,,,,,,,,,,,,,,,,-1.11,,,,,,,,,,,,,,,NP,-1.34,0.25,0.18,0.01,-0.3,0.33,0,-1.5,NP,-0.06,-0.46,0.12,1.05,NP,,-0.02,Progress 8 measure for mathematics element
1472,KS4_19,P8MEAMAT_CILOW,,,,,,,,,,,,,,,,,,,,,-1.76,,,,,,,,,,,,,,,NP,-2.08,0.08,-0.09,-0.23,-1.11,0.14,-0.23,-2.13,NP,-0.28,-0.66,-0.12,0.78,NP,,,Lower 95% confidence interval for Progress 8 maths element
1473,KS4_19,P8MEAMAT_CIUPP,,,,,,,,,,,,,,,,,,,,,-0.46,,,,,,,,,,,,,,,NP,-0.59,0.43,0.46,0.24,0.51,0.52,0.22,-0.87,NP,0.16,-0.26,0.36,1.32,NP,,,Upper 95% confidence interval for Progress 8 maths element
1474,KS4_19,P8MEAEBAC,,,,,,,,,,,,,,,,,,,,,-1.04,,,,,,,,,,,,,,,NP,-1.58,0.56,0.99,0.57,-1.36,0.36,0.84,-1.71,NP,-0.15,-0.57,0.8,1.17,NP,,-0.03,Progress 8 measure for EBacc element
1475,KS4_19,P8MEAEBAC_CILOW,,,,,,,,,,,,,,,,,,,,,-1.76,,,,,,,,,,,,,,,NP,-2.41,0.36,0.68,0.31,-2.27,0.15,0.59,-2.41,NP,-0.39,-0.79,0.54,0.87,NP,,,Lower 95% confidence interval for Progress 8 EBacc element
1476,KS4_19,P8MEAEBAC_CIUPP,,,,,,,,,,,,,,,,,,,,,-0.31,,,,,,,,,,,,,,,NP,-0.75,0.76,1.3,0.84,-0.46,0.57,1.09,-1,NP,0.1,-0.35,1.07,1.47,NP,,,Upper 95% confidence interval for Progress 8 EBacc element
1477,KS4_19,P8MEAOPEN,,,,,,,,,,,,,,,,,,,,,-1.49,,,,,,,,,,,,,,,NP,-2.47,1.16,1.18,0.62,-1.64,0.83,0.89,-2.23,NP,0.03,0.44,0.94,1,NP,,-0.04,Progress 8 measure for open element
1478,KS4_19,P8MEAOPEN_CILOW,,,,,,,,,,,,,,,,,,,,,-2.21,,,,,,,,,,,,,,,NP,-3.29,0.96,0.87,0.36,-2.53,0.62,0.64,-2.93,NP,-0.21,0.22,0.67,0.7,NP,,,Lower 95% confidence interval for Progress 8 open element
