No,Namespace,Variable,Hall Green Infant School - 103210,Firs Primary School - 143089,Warren Farm Primary School - 138303,Woodhouse Primary Academy - 139637,Stirchley Primary School - 143433,Lightwoods Primary School - 103947,Hall Green Junior School - 103209,Paganel Primary School - 134281,Billesley Primary School - 138888,Paget Primary School - 103240,Lightwoods Primary Academy - 148333,Audley Primary School - 143437,St Wilfrid's Catholic Junior and Infant School - 103451,St Wilfrid's Catholic Junior and Infant School - 148083,The Oaklands Primary School - 139183,Christ The King Catholic Primary School - 103423,Calshot Primary School - 103391,Hamstead Junior School - 103895,Kingsthorne Primary School - 103368,Ferndale Primary School - 103982,Hamstead Infant School - 103896,Heathlands Primary Academy - 140890,Barr View Primary & Nursery Academy - 138694,Our Lady and St Rose of Lima Catholic Primary School - 103443,Jervoise School - 142353,Allens Croft Primary School - 103243,Woodthorpe Junior and Infant School - 103334,Lyndon Green Junior School - 103228,Yenton Primary School - 133729,Yenton Primary School - 146722,World's End Infant and Nursery School - 103337,World's End Junior School - 103279,Holy Trinity CofE Primary School - 103986,Our Lady of Lourdes Catholic Primary School - 103430,Lyndon Green Infant School - 103229,Lakey Lane Junior and Infant School - 103223,Gunter Primary School - 103208,Moat Farm Junior School - 103948,Moat Farm Infant School - 103949,Bleakhouse Primary School - 103934,George Betts Primary Academy - 139565,Holly Lodge High School College of Science - 104018,Kings Heath Boys - 103486,St Edmund Campion Catholic School & Sixth Form Centre - 103537,St Edmund Campion Catholic School - 147707,Bristnall Hall Academy - 139043,Dame Elizabeth Cadbury School - 143438,Fortis Academy - 143435,Cockshut Hill School - 142388,TLG North Birmingham - 135608,National state-funded primary,National state-funded secondary and 16 to 18,Description
1072,KS2_19,ADDRESS2,,Castle Bromwich,Kingstanding,Quinton,Stirchley,(Second Site At Wolverhampton Rd Cnr Clent Road B6,Hall Green,Selly Oak,Billesley,Pype Hayes,,Stechford,,,Acocks Green,Kingstanding,Great Barr,Great Barr,Kingstanding,Great Barr,,Castle Bromwich,Great Barr,Weoley Castle,Weoley Castle,Kings Heath,Kings Heath,Sheldon,Erdington,,,Quinton,,Yardley Wood,,Hall Green,Pype Hayes,,,,,,,,,,,,,,,,School address (2)
1073,KS2_19,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
1074,KS2_19,TOWN,,Birmingham,Birmingham,Birmingham,Birmingham,Oldbury,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,Birmingham,West Bromwich,Birmingham,,Birmingham,Birmingham,Oldbury,,Oldbury,Smethwick,,,,,,,,,,,,School town
1075,KS2_19,PCODE,,B36 8LL,B44 0DT,B32 2DL,B30 2JL,B68 9BG,B28 9AJ,B29 5TG,B13 0ES,B24 0JP,,B33 9HY,B36 8LY,,B27 7BT,B44 0QN,B42 2BY,B43 5BE,B44 0BX,B43 5QF,,B34 6NB,B44 8NT,B29 5DY,B29 5QU,B14 6RP,B14 6ET,B26 1LU,B24 0ED,,,B32 2SA,B70 6NF,B13 0EU,,B28 8RY,B24 0RU,B68 9QR,,B68 9DS,B66 1RE,,,,,,,,,,,,School postcode
1076,KS2_19,TELNUM,,1214643792,1213733885,1214641769,1214582989,1214292542,1214643840,1214645040,1216752800,1214643902,,1214643139,1216753319,,1217062168,1214649800,1216751059,1213571557,1216753897,1213573326,,1217472705,1214642251,1214642283,1214643233,1216752611,1214645203,1216752983,1214646588,,,1214645913,1215531573,1214442684,,1214641990,1214642367,1215521215,,1214222841,1215580472,,,,,,,,,,,,School telephone number 
1077,KS2_19,PCON_CODE,,E14000563,E14000561,E14000560,E14000567,E14001016,E14000562,E14000560,E14000567,E14000561,,E14000568,E14000563,,E14000568,E14000561,E14000566,E14001029,E14000561,E14001029,,E14000563,E14000566,E14000565,E14000565,E14000567,E14000567,E14000568,E14000561,,,E14000560,E14001029,E14000567,,E14000568,E14000561,E14001016,,E14001016,E14001016,,,,,,,,,,,,School parliamentary constituency code
1078,KS2_19,PCON_NAME,,"Birmingham, Hodge Hill","Birmingham, Erdington","Birmingham, Edgbaston","Birmingham, Selly Oak",Warley,"Birmingham, Hall Green","Birmingham, Edgbaston","Birmingham, Selly Oak","Birmingham, Erdington",,"Birmingham, Yardley","Birmingham, Hodge Hill",,"Birmingham, Yardley","Birmingham, Erdington","Birmingham, Perry Barr",West Bromwich East,"Birmingham, Erdington",West Bromwich East,,"Birmingham, Hodge Hill","Birmingham, Perry Barr","Birmingham, Northfield","Birmingham, Northfield","Birmingham, Selly Oak","Birmingham, Selly Oak","Birmingham, Yardley","Birmingham, Erdington",,,"Birmingham, Edgbaston",West Bromwich East,"Birmingham, Selly Oak",,"Birmingham, Yardley","Birmingham, Erdington",Warley,,Warley,Warley,,,,,,,,,,,,School parliamentary constituency name
1079,KS2_19,URN_AC,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,146722,,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,Converter academy: URN 
1080,KS2_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yenton Primary School,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: name
1081,KS2_19,OPEN_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190901,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: open date
1082,KS2_19,NFTYPE,,ACC,ACC,AC,ACC,CY,CY,CY,AC,CY,,ACC,VA,,ACC,VA,CY,CY,CY,CY,,ACC,ACC,VA,ACC,CY,CY,CY,CY,,,CY,VC,VA,,CY,CY,FD,,CY,AC,,,,,,,,,,,,"School type. Rectype 1: AC = Academy Sponsor Led (NFTYPE 20), CY = Community school (21), VA = Voluntary Aided school (22), VC = Voluntary Controlled school (23), FD = Foundation school (24), CTC = City Technology College (25), ACC = Academy converter (51), F = Free school (52). Rectype 2: CYS = Community special (26), FDS = Foundation special (27), ACS = Academy special (50), FS = Free Special School (53), ACCS = Academy Converter Special (55)."
1083,KS2_19,ICLOSE,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,"Closed Flag: 0 (Open), 1 (Closed) or 'null'"
1084,KS2_19,RELDENOM,,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,None,Does not apply,,Does not apply,Roman Catholic,,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,,Does not apply,Church of England,Roman Catholic,,Does not apply,Does not apply,Does not apply,,Does not apply,Does not apply,,,,,,,,,,,,Religious denomination
1085,KS2_19,AGERANGE,,3 to 11,3 to 11,3 to 11,3 to 11,4 to 11,7 to 11,3 to 11,3 to 11,3 to 11,,3 to 11,3 to 11,,3 to 11,3 to 11,3 to 11,7 to 11,3 to 11,3 to 11,,3 to 11,3 to 11,3 to 11,3 to 11,4 to 11,4 to 11,7 to 11,4 to 11,,,7 to 11,5 to 11,3 to 11,,3 to 11,3 to 11,7 to 11,,7 to 11,3 to 11,,,,,,,,,,,,Age range
1086,KS2_19,CONFEXAM,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,Confirmation flag that core performance information has been checked: R=No confirmation received from schools WITH RESULTS; Blank = Confirmed (or schools have no KS2)
1087,KS2_19,TAB15,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,School published in secondary school (key stage 4) performance tables: 1=Yes; 0=No
1088,KS2_19,TAB1618,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,School published in school and college (key stage 5) performance tables: 1=Yes; 0=No
1089,KS2_19,TOTPUPS,,410,338,453,226,303,480,417,644,426,,889,423,,440,400,470,235,429,606,,454,459,230,226,374,212,369,520,,,365,481,235,,444,228,485,,239,453,,,,,,,,,,4602440,,Total number of pupils (including part-time pupils): NEW' =New school with no eligible pupils
1090,KS2_19,TPUPYEAR,,56,45,61,27,32,121,55,90,60,,120,59,,60,53,60,61,61,64,,60,60,32,29,49,30,94,57,,,91,62,31,,60,30,123,,60,60,,,,,,,,,,643616,,Number of pupils aged 11 
1091,KS2_19,TELIG,,55,45,61,27,32,121,53,89,59,,119,58,,57,53,60,60,59,63,,60,60,31,29,48,29,94,56,,,90,62,31,,59,30,123,,59,59,,,,,,,,,,644967,,Published eligible pupil number
1092,KS2_19,BELIG,,27,24,29,16,17,65,21,49,27,,63,29,,35,27,32,34,31,27,,30,31,16,15,25,14,37,26,,,41,31,15,,24,19,59,,24,35,,,,,,,,,,329113,,Eligible boys on school roll at time of tests
1093,KS2_19,GELIG,,28,21,32,11,15,56,32,40,32,,56,29,,22,26,28,26,28,36,,30,29,15,14,23,15,57,30,,,49,31,16,,35,11,64,,35,24,,,,,,,,,,315849,,Eligible girls on school roll at time of tests
1094,KS2_19,PBELIG,,49%,53%,48%,59%,53%,54%,40%,55%,46%,,53%,50%,,61%,51%,53%,57%,53%,43%,,50%,52%,52%,52%,52%,48%,39%,46%,,,46%,50%,48%,,41%,63%,48%,,41%,59%,,,,,,,,,,51%,,Percentage of eligible boys on school roll at time of tests
1095,KS2_19,PGELIG,,51%,47%,52%,41%,47%,46%,60%,45%,54%,,47%,50%,,39%,49%,47%,43%,47%,57%,,50%,48%,48%,48%,48%,52%,61%,54%,,,54%,50%,52%,,59%,37%,52%,,59%,41%,,,,,,,,,,49%,,Percentage of eligible girls on school roll at time of tests
1096,KS2_19,TKS1AVERAGE,,14.6,16.3,17,15.9,17.7,16.7,15.7,16.4,14.9,,16.7,16.4,,16,16.6,16.2,16.6,16.1,15.7,,15.2,16,15.5,15.9,15.3,15,16.3,16.3,,,17.5,15.7,16.6,,15.9,15.7,15.8,,16.2,15.7,,,,,,,,,,16.2,,Cohort level key stage 1 average points score
1097,KS2_19,TKS1GROUP_L,,11,3,4,3,0,7,6,9,8,,7,6,,2,4,4,3,4,4,,8,9,6,2,6,4,8,7,,,3,6,3,,3,3,12,,4,4,,,,,,,,,,53959,,Number of pupils in cohort with low KS1 attainment
1098,KS2_19,PTKS1GROUP_L,,22%,7%,7%,11%,0%,6%,14%,11%,16%,,6%,12%,,4%,8%,7%,5%,7%,6%,,14%,16%,19%,7%,14%,14%,9%,13%,,,4%,11%,10%,,5%,10%,11%,,7%,8%,,,,,,,,,,9%,,Percentage of pupils in cohort with low KS1 attainment
1099,KS2_19,TKS1GROUP_M,,29,27,31,16,16,69,22,43,32,,66,24,,35,28,35,31,33,43,,39,27,14,20,26,16,50,26,,,40,33,17,,35,17,66,,36,33,,,,,,,,,,350287,,Number of pupils in cohort with medium KS1 attainment
1100,KS2_19,PTKS1GROUP_M,,59%,61%,53%,59%,50%,57%,52%,54%,65%,,58%,48%,,71%,55%,60%,55%,61%,69%,,66%,48%,45%,74%,60%,57%,54%,50%,,,47%,59%,55%,,64%,59%,61%,,62%,67%,,,,,,,,,,57%,,Percentage of pupils in cohort with medium KS1 attainment
1101,KS2_19,TKS1GROUP_H,,9,14,24,8,16,45,14,27,9,,40,20,,12,19,19,22,17,15,,12,20,11,5,11,8,34,19,,,42,17,11,,17,9,30,,18,12,,,,,,,,,,209272,,Number of pupils in cohort high KS1 attainment
1102,KS2_19,PTKS1GROUP_H,,18%,32%,41%,30%,50%,37%,33%,34%,18%,,35%,40%,,24%,37%,33%,39%,31%,24%,,20%,36%,35%,19%,26%,29%,37%,37%,,,49%,30%,35%,,31%,31%,28%,,31%,24%,,,,,,,,,,34%,,Percentage of pupils in cohort with high KS1 attainment
1103,KS2_19,TKS1GROUP_NA,,6,1,2,0,0,0,11,10,10,,6,8,,8,2,2,4,5,1,,1,4,0,2,5,1,2,4,,,5,6,0,,4,1,15,,1,10,,,,,,,,,,31449,,No. of pupils in KS1 group not calculable
1104,KS2_19,PTKS1GROUP_NA,,11%,2%,3%,0%,0%,0%,21%,11%,17%,,5%,14%,,14%,4%,3%,7%,8%,2%,,2%,7%,0%,7%,10%,3%,2%,7%,,,6%,10%,0%,,7%,3%,12%,,2%,17%,,,,,,,,,,5%,,Percentage of pupils in KS1group not calculable
1105,KS2_19,TFSM6CLA1A,,38,26,30,13,3,33,35,51,35,,78,30,,39,24,15,20,38,17,,32,28,15,20,33,4,34,29,,,48,29,13,,25,14,38,,18,30,,,,,,,,,,197488,,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
1106,KS2_19,PTFSM6CLA1A,,69%,58%,49%,48%,9%,27%,66%,57%,59%,,66%,52%,,68%,45%,25%,33%,64%,27%,,53%,47%,48%,69%,69%,14%,36%,52%,,,53%,47%,42%,,42%,47%,31%,,31%,51%,,,,,,,,,,31%,,Percentage of key stage 2 disadvantaged pupils
1107,KS2_19,TNOTFSM6CLA1A,,17,19,31,14,29,88,18,38,24,,41,28,,18,29,45,40,21,46,,28,32,16,9,15,25,60,27,,,42,33,18,,34,16,85,,41,29,,,,,,,,,,447479,,Number of key stage 2 pupils who are not disadvantaged
1108,KS2_19,PTNOTFSM6CLA1A,,31%,42%,51%,52%,91%,73%,34%,43%,41%,,34%,48%,,32%,55%,75%,67%,36%,73%,,47%,53%,52%,31%,31%,86%,64%,48%,,,47%,53%,58%,,58%,53%,69%,,69%,49%,,,,,,,,,,69%,,Percentage of key stage 2 pupils who are not disadvantaged
1109,KS2_19,TEALGRP2,,25,7,17,5,0,35,17,57,20,,42,33,,20,10,17,28,13,16,,29,20,5,6,16,6,13,18,,,20,44,2,,30,8,33,,11,41,,,,,,,,,,135559,,Number of eligible pupils with English as additional language (EAL)
1110,KS2_19,PTEALGRP2,,45%,16%,28%,19%,0%,29%,32%,64%,34%,,35%,57%,,35%,19%,28%,47%,22%,25%,,48%,33%,16%,21%,33%,21%,14%,32%,,,22%,71%,6%,,51%,27%,27%,,19%,69%,,,,,,,,,,21%,,Percentage of eligible pupils with English as additional language (EAL)
1111,KS2_19,TMOBN,,49,45,54,27,31,119,47,81,50,,110,49,,51,53,56,58,54,61,,58,56,30,26,41,28,86,46,,,80,59,29,,53,29,111,,56,57,,,,,,,,,,595736,,Number of eligible pupils classified as non-mobile
1112,KS2_19,PTMOBN,,89%,100%,89%,100%,97%,98%,89%,91%,85%,,92%,84%,,89%,100%,93%,97%,92%,97%,,97%,93%,97%,90%,85%,97%,91%,82%,,,89%,95%,94%,,90%,97%,90%,,95%,97%,,,,,,,,,,92%,,Percentage of eligible pupils classified as non-mobile
1113,KS2_19,PTRWM_EXP,,40%,73%,67%,59%,81%,87%,60%,72%,47%,,48%,52%,,49%,60%,70%,73%,51%,68%,,53%,87%,71%,41%,60%,62%,53%,73%,,,64%,52%,77%,,71%,53%,68%,,56%,78%,,,,,,,,,,65%,,"Percentage of pupils reaching the expected standard in reading, writing and maths"
1114,KS2_19,PTRWM_HIGH,,5%,18%,15%,4%,19%,17%,8%,13%,2%,,4%,5%,,5%,9%,10%,10%,5%,8%,,8%,17%,19%,3%,2%,14%,3%,23%,,,13%,5%,13%,,15%,3%,13%,,12%,10%,,,,,,,,,,11%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
1115,KS2_19,READPROG,,-1.6,0.4,-3.1,-0.1,0,3.5,-1.2,0.8,0.5,,-4.4,0.1,,-2.3,-0.3,1.7,1.7,-1.9,1.5,,-0.5,4.1,3.1,-3.8,-1.5,0.3,-3.8,1.9,,,-2.9,-0.8,-1.8,,3.1,-0.6,1.1,,-1.2,2.2,,,,,,,,,,,,Reading progress measure
1116,KS2_19,READPROG_LOWER,,-3.3,-1.4,-4.6,-2.4,-2.1,2.4,-3,-0.5,-1.2,,-5.5,-1.6,,-4.1,-2,0.1,0.1,-3.6,0,,-2.1,2.5,0.9,-6.1,-3.4,-1.9,-5.1,0.2,,,-4.3,-2.4,-4,,1.5,-2.9,-0.1,,-2.8,0.5,,,,,,,,,,,,Reading progress measure - lower confidence limit
1117,KS2_19,READPROG_UPPER,,0.2,2.2,-1.5,2.2,2.1,4.6,0.7,2.2,2.2,,-3.2,1.8,,-0.6,1.4,3.3,3.3,-0.3,3,,1,5.7,5.3,-1.4,0.3,2.6,-2.5,3.6,,,-1.6,0.8,0.4,,4.8,1.6,2.2,,0.4,3.9,,,,,,,,,,,,Reading progress measure - upper confidence limit
1118,KS2_19,READCOV,,89%,98%,97%,100%,100%,100%,79%,89%,83%,,94%,86%,,86%,96%,97%,93%,92%,98%,,98%,93%,100%,93%,90%,97%,96%,91%,,,94%,90%,100%,,93%,97%,88%,,98%,83%,,,,,,,,,,,,Reading progress measure - coverage
1119,KS2_19,WRITPROG,,-1,1,1,-1.2,-1.6,1.4,-0.9,1.6,-1.5,,-1.9,-1.7,,-0.6,0.5,0.5,0.3,-4.1,1.4,,1.6,3.7,3.1,1,1.1,1.1,-2.6,2.5,,,-2.8,-1.4,3.2,,2,-2.7,3.1,,-0.5,1.5,,,,,,,,,,,,Writing progress measure
1120,KS2_19,WRITPROG_LOWER,,-2.6,-0.7,-0.5,-3.3,-3.5,0.4,-2.6,0.3,-3.1,,-3,-3.3,,-2.1,-1.1,-0.9,-1.2,-5.6,0,,0.1,2.3,1.1,-1.2,-0.6,-1,-3.7,0.9,,,-4,-2.9,1.2,,0.5,-4.8,2,,-1.9,-0.1,,,,,,,,,,,,Writing progress measure - lower confidence limit
1121,KS2_19,WRITPROG_UPPER,,0.6,2.7,2.4,1,0.4,2.4,0.8,2.8,0.1,,-0.9,-0.1,,1,2,2,1.8,-2.6,2.9,,3,5.2,5.2,3.1,2.9,3.2,-1.4,4,,,-1.5,0.1,5.2,,3.5,-0.6,4.1,,1,3,,,,,,,,,,,,Writing progress measure - upper confidence limit
1122,KS2_19,WRITCOV,,89%,98%,97%,100%,100%,100%,79%,89%,83%,,94%,86%,,86%,96%,97%,93%,92%,98%,,98%,93%,100%,93%,90%,97%,98%,91%,,,94%,90%,100%,,93%,97%,88%,,98%,83%,,,,,,,,,,,,Writing progress measure - coverage
1123,KS2_19,MATPROG,,-3.8,0.7,-0.4,-0.3,0.8,3.8,-1.5,2.1,-0.3,,-3.3,-1.3,,-3.3,0.6,0.6,0.5,-2,0.6,,1.5,5.2,3.1,-2,-0.5,-1.2,-3,2.2,,,-2.6,0.8,0.2,,3.3,-1.4,2.5,,-2,2.4,,,,,,,,,,,,Maths progress measure
1124,KS2_19,MATPROG_LOWER,,-5.3,-0.9,-1.8,-2.4,-1,2.8,-3.1,0.9,-1.8,,-4.3,-2.8,,-4.8,-0.9,-0.7,-0.9,-3.4,-0.7,,0.1,3.8,1.2,-4.1,-2.1,-3.2,-4.1,0.7,,,-3.8,-0.6,-1.7,,1.9,-3.3,1.5,,-3.4,0.9,,,,,,,,,,,,Maths progress measure - lower confidence limit
1125,KS2_19,MATPROG_UPPER,,-2.3,2.3,1,1.7,2.7,4.8,0.1,3.3,1.2,,-2.3,0.2,,-1.8,2.1,2,1.9,-0.6,2,,2.8,6.6,5,0,1.1,0.8,-1.8,3.7,,,-1.5,2.2,2.1,,4.7,0.6,3.6,,-0.6,3.9,,,,,,,,,,,,Maths progress measure - upper confidence limit
1126,KS2_19,MATCOV,,89%,98%,97%,100%,100%,100%,79%,89%,83%,,94%,86%,,86%,96%,97%,93%,92%,98%,,98%,93%,100%,93%,90%,97%,96%,91%,,,94%,90%,100%,,93%,97%,88%,,97%,83%,,,,,,,,,,,,Maths progress measure - coverage
1127,KS2_19,PTREAD_EXP,,51%,80%,67%,67%,94%,91%,66%,74%,61%,,54%,66%,,63%,68%,85%,82%,61%,79%,,63%,93%,77%,55%,69%,69%,65%,79%,,,76%,58%,81%,,80%,60%,70%,,68%,83%,,,,,,,,,,73%,,Percentage of pupils reaching the expected standard in reading
1128,KS2_19,PTREAD_HIGH,,16%,31%,25%,15%,41%,42%,15%,30%,25%,,14%,26%,,21%,28%,27%,42%,19%,21%,,13%,35%,32%,7%,15%,31%,14%,38%,,,23%,23%,19%,,39%,23%,21%,,17%,22%,,,,,,,,,,27%,,Percentage of pupils achieving a high score in reading
1129,KS2_19,PTREAD_AT,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,1%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,2%,2%,,,0%,0%,0%,,0%,0%,0%,,0%,0%,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in reading
1130,KS2_19,READ_AVERAGE,,99,105,103,104,107,109,102,104,101,,100,104,,101,104,106,106,101,105,,101,108,105,99,103,103,102,105,,,104,102,105,,106,103,103,,103,105,,,,,,,,,,104,,Average scaled score in reading
1131,KS2_19,PTGPS_EXP,,60%,89%,82%,81%,91%,93%,66%,90%,66%,,66%,72%,,60%,94%,92%,83%,73%,90%,,68%,97%,90%,72%,81%,69%,74%,86%,,,84%,71%,87%,,97%,67%,89%,,75%,86%,,,,,,,,,,78%,,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
1132,KS2_19,PTGPS_HIGH,,29%,56%,33%,56%,25%,69%,30%,65%,29%,,26%,31%,,23%,49%,38%,58%,24%,25%,,18%,70%,55%,17%,42%,34%,17%,48%,,,41%,32%,42%,,66%,33%,43%,,32%,34%,,,,,,,,,,36%,,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
1133,KS2_19,PTGPS_AT,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,1%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,2%,2%,,,0%,0%,0%,,0%,0%,0%,,0%,0%,,,,,,,,,,0%,,"Percentage of pupils absent from or not able to access the test in grammar, punctuation and spelling"
1134,KS2_19,GPS_AVERAGE,,102,109,107,110,108,112,105,111,104,,103,106,,102,109,108,110,103,106,,103,113,110,103,109,106,104,109,,,108,104,109,,112,106,108,,105,107,,,,,,,,,,106,,"Average scaled score in grammar, punctuation and spelling"
1135,KS2_19,PTMAT_EXP,,45%,84%,80%,89%,91%,94%,70%,87%,68%,,66%,69%,,58%,89%,82%,85%,69%,81%,,77%,95%,84%,66%,77%,69%,74%,82%,,,79%,82%,87%,,92%,73%,89%,,69%,88%,,,,,,,,,,79%,,Percentage of pupils reaching the expected standard in maths
1136,KS2_19,PTMAT_HIGH,,13%,29%,34%,19%,41%,52%,15%,30%,22%,,13%,17%,,11%,19%,30%,32%,19%,21%,,22%,52%,32%,17%,17%,28%,17%,34%,,,31%,19%,42%,,44%,27%,33%,,19%,32%,,,,,,,,,,27%,,Percentage of pupils achieving a high score in maths
1137,KS2_19,PTMAT_AT,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,1%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,2%,2%,,,0%,0%,0%,,0%,0%,0%,,2%,0%,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in maths
1138,KS2_19,MAT_AVERAGE,,98,106,106,105,108,109,103,107,103,,102,104,,101,106,105,106,102,104,,104,109,106,102,105,102,103,106,,,105,104,107,,107,103,106,,103,107,,,,,,,,,,105,,Average scaled score in maths
1139,KS2_19,PTWRITTA_EXP,,60%,82%,90%,74%,84%,92%,68%,85%,61%,,74%,64%,,74%,81%,82%,80%,68%,84%,,75%,92%,87%,83%,81%,76%,70%,84%,,,78%,60%,90%,,81%,63%,82%,,76%,83%,,,,,,,,,,78%,,Percentage of pupils reaching the expected standard in writing
1140,KS2_19,PTWRITTA_HIGH,,9%,29%,28%,11%,19%,23%,13%,21%,5%,,7%,19%,,12%,25%,17%,18%,8%,16%,,17%,33%,23%,17%,21%,14%,15%,27%,,,23%,8%,52%,,25%,7%,25%,,17%,20%,,,,,,,,,,20%,,Percentage of pupils working at greater depth within the expected standard in writing
1141,KS2_19,PTWRITTA_WTS,,22%,16%,8%,22%,16%,7%,19%,15%,34%,,24%,28%,,26%,19%,18%,20%,15%,16%,,25%,7%,13%,17%,8%,21%,23%,14%,,,17%,39%,0%,,19%,30%,17%,,20%,12%,,,,,,,,,,17%,,Percentage of pupils working towards the expected standard in writing
1142,KS2_19,PTWRITTA_AD,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,1%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,2%,,,0%,0%,0%,,0%,0%,0%,,0%,0%,,,,,,,,,,0%,,Percentage of pupils absent or disapplied in writing TA
1143,KS2_19,PTSCITA_EXP,,69%,98%,90%,85%,88%,89%,72%,81%,66%,,74%,69%,,75%,89%,87%,85%,68%,81%,,77%,93%,90%,86%,79%,83%,77%,89%,,,80%,65%,90%,,85%,63%,93%,,80%,85%,,,,,,,,,,83%,,Percentage of pupils reaching the expected standard in science TA
1144,KS2_19,PTSCITA_AD,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,1%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,2%,,,0%,0%,0%,,0%,0%,0%,,0%,0%,,,,,,,,,,0%,,Percentage of pupils absent or disapplied in science TA
1145,KS2_19,PTRWM_EXP_B,,26%,63%,59%,69%,82%,82%,43%,63%,41%,,37%,48%,,37%,52%,63%,71%,39%,70%,,40%,84%,50%,60%,56%,43%,54%,73%,,,54%,26%,73%,,75%,63%,53%,,42%,71%,,,,,,,,,,60%,,"Percentage of boys reaching the expected standard in reading, writing and maths"
1146,KS2_19,PTRWM_EXP_G,,54%,86%,75%,45%,80%,93%,72%,83%,53%,,61%,55%,,68%,69%,79%,77%,64%,67%,,67%,90%,93%,21%,65%,80%,53%,73%,,,73%,77%,81%,,69%,36%,83%,,66%,88%,,,,,,,,,,70%,,"Percentage of girls reaching the expected standard in reading, writing and maths"
1147,KS2_19,PTRWM_EXP_L,,0%,SUPP,SUPP,SUPP,,0%,17%,11%,0%,,14%,0%,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,0%,44%,17%,SUPP,0%,SUPP,13%,29%,,,SUPP,17%,SUPP,,SUPP,SUPP,25%,,SUPP,SUPP,,,,,,,,,,7%,,"Percentage of pupils with low prior attainment reaching the expected standard in reading, writing and maths"
1148,KS2_19,PTRWM_EXP_M,,41%,67%,48%,50%,69%,87%,55%,74%,47%,,27%,38%,,40%,50%,66%,65%,36%,67%,,51%,96%,71%,35%,58%,56%,36%,73%,,,50%,45%,76%,,63%,41%,73%,,42%,82%,,,,,,,,,,58%,,"Percentage of pupils with medium prior attainment reaching the expected standard in reading, writing and maths"
1149,KS2_19,PTRWM_EXP_H,,100%,100%,100%,100%,94%,100%,100%,100%,100%,,90%,90%,,83%,89%,95%,100%,94%,87%,,100%,95%,100%,SUPP,100%,100%,91%,100%,,,86%,94%,100%,,100%,100%,100%,,100%,100%,,,,,,,,,,95%,,"Percentage of pupils with high prior attainment reaching the expected standard in reading, writing and maths"
1150,KS2_19,PTRWM_EXP_FSM6CLA1A,,39%,73%,63%,46%,SUPP,79%,51%,75%,43%,,42%,40%,,49%,50%,67%,60%,53%,59%,,47%,79%,60%,40%,55%,SUPP,32%,72%,,,56%,45%,69%,,68%,50%,74%,,56%,73%,,,,,,,,,,51%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths"
