No,Namespace,Variable,Forestdale Primary School - 133759,Bishop Wilson Church of England Primary School - 104105,Whitehall Junior Community School - 104162,Albert Bradbeer Primary Academy - 140889,Solihull School - 104124,Whitehouse Common Primary School - 132007,St John's Church of England Primary Academy - 140856,Great Bridge Primary School - 103915,Newfield Park Primary School - 103815,Temple Meadow Primary School - 103957,St Alphege Church of England Infant and Nursery School - 104090,Halesowen CofE Primary School - 103847,Windy Arbor Primary School - 104071,Whitehall Nursery and Infant School - 104163,Tividale Hall Primary School - 103960,Burnt Tree Primary School - 103914,Cofton Primary School - 103315,Palfrey Girls School - 104267,St Mary's The Mount Catholic Primary School - 104232,St Alphege Church of England Junior School - 104092,Tidbury Green School - 104065,St Martin's CofE Primary School - 103987,Our Lady and St Kenelm RC School - 103850,Old Hill Primary School - 103952,Coppice Primary School - 103390,St Columba's Catholic Primary School - 141669,Mayfield Preparatory School - 104265,Langley School - 103630,Saint Martin's School - 104123,Palfrey Junior School - 104160,St Mary's Catholic Primary School - 103993,St Mary's Catholic Primary School - 147795,Wood Green Junior School - 103913,Palfrey Infant School - 104161,New Hall Primary School - 103395,Caldmore Primary Academy - 143904,Reddal Hill Primary School - 103954,The Earls High School - 137812,Dudley Port School - 147736,Ormiston Forge Academy - 137673,Abu Bakr Boys School - 135483,Queen Mary's Grammar School - 136773,Wood Green Academy - 136616,Windsor High School and Sixth Form - 136618,Stuart Bathurst Catholic High School - 147881,Impact Independent School - 141560,Stuart Bathurst Catholic High School - 104020,The ACE Academy - 139328,Q3 Academy Tipton - 146383,Solihull Sixth Form College - 144887,National state-funded primary,National state-funded secondary and 16 to 18,Description
1050,KS5_STUDEST_21,DIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46%,,93%,88%,94%,,,,,,74%,,,Progressed for disadvantaged students
1051,KS5_STUDEST_21,DIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,0%,SUPP,0%,,,,,,SP,,,Apprenticeships for disadvantaged students
1052,KS5_STUDEST_21,DIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,93%,83%,94%,,,,,,71%,,,HE for disadvantaged students
1053,KS5_STUDEST_21,DIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,73%,8%,0%,,,,,,12%,,,Top third for disadvantaged students
1054,KS5_STUDEST_21,DIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,60%,8%,0%,,,,,,11%,,,Russell for disadvantaged students
1055,KS5_STUDEST_21,DIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,7%,0%,SUPP,,,,,,0%,,,Oxbridge for disadvantaged students
1056,KS5_STUDEST_21,DIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,0%,SUPP,0%,,,,,,3%,,,Higher technical for disadvantaged students
1057,KS5_STUDEST_19,NONDIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63%,
1058,KS5_STUDEST_19,NONDIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1059,KS5_STUDEST_19,NONDIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59%,
1060,KS5_STUDEST_19,NONDIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,
1061,KS5_STUDEST_19,NONDIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,
1062,KS5_STUDEST_19,NONDIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1063,KS5_STUDEST_19,NONDIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,
1064,KS2_19,YEAR,2019,2019,2019,2019,,2019,2019,2019,2019,2019,,2019,2019,,2019,2019,2019,,2019,2019,2019,2019,2019,2019,2019,2019,,2019,,2019,2019,,2019,,2019,2019,2019,,,,,,,,,,,,,,2019,,
1065,KS2_19,RECTYPE,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,2,,1,1,,1,,1,1,1,,,,,,,,,,,,,,5,,Record type (1=Mainstream school; 2=Special school; 3=Local Authority; 4=National (all schools); 5=National (state-funded schools only))
1066,KS2_19,ALPHAIND,19554,5632,64198,764,,64248,49608,21654,37518,59246,,22772,65188,,60142,8798,12664,,51770,46846,60016,50920,40340,39574,13328,48132,,30832,,40984,51216,,65640,,37180,9198,44420,,,,,,,,,,,,,,,,Alphabetic index
1067,KS2_19,LEA,330,334,335,330,,330,333,333,332,333,,332,334,,333,333,330,,335,334,334,333,332,333,330,330,,330,,335,333,,333,,330,335,333,,,,,,,,,,,,,,,,Local authority number
1068,KS2_19,ESTAB,2486,3512,2031,3433,,2478,2006,2056,2138,2148,,3352,2066,,2151,2054,2289,,3302,3305,2058,3003,3357,2138,2464,2154,,7060,,2028,3305,,2051,,2469,2123,2141,,,,,,,,,,,,,,,,Establishment number
1069,KS2_19,URN,133759,104105,104162,140889,,132007,140856,103915,103815,103957,,103847,104071,,103960,103914,103315,,104232,104092,104065,103987,103850,103952,103390,141669,,103630,,104160,103993,,103913,,103395,143904,103954,,,,,,,,,,,,,,,,School unique reference number
1070,KS2_19,SCHNAME,Forestdale Primary School,Bishop Wilson Church of England Primary School,Whitehall Junior Community School,Albert Bradbeer Primary Academy,,Whitehouse Common Primary School,St John's Church of England Primary Academy,Great Bridge Primary School,Newfield Park Primary School,Temple Meadow Primary School,,Halesowen CofE Primary School,Windy Arbor Primary School,,Tividale Hall Primary School,Burnt Tree Primary School,Cofton Primary School,,St Mary's The Mount Catholic Primary School,St Alphege Church of England Junior School,Tidbury Green School,St Martin's CofE Primary School,Our Lady and St Kenelm RC School,Old Hill Primary School,Coppice Primary School,St Columba's Catholic Primary School,,Langley School,,Palfrey Junior School,St Mary's Catholic Primary School,,Wood Green Junior School,,New Hall Primary School,Caldmore Primary Academy,Reddal Hill Primary School,,,,,,,,,,,,,,,,School/Local authority name
1071,KS2_19,ADDRESS1,Wareham Road,10 Craig Croft,Delves Road,Turves Green,,Cotysmore Road,Addison Terrace,Mount Street,Whittingham Road,Wrights Lane,,High Street,Woodlands Way,,Regent Road,Hill Road,Wootton Road,,Jesson Road,Widney Manor Road,Dickens Heath Road,Lower Church Lane,Bundle Hill,Lawrence Lane,Trinity Road,Lickey Road,,Trinity Road,,Dale Street,Manor House Road,,Hobs Road,,Langley Hall Drive,Carless Street,Trinity Street,,,,,,,,,,,,,,,,School address (1)
1072,KS2_19,ADDRESS2,Frankley,Chelmund's Cross,,Longbridge,,,,Great Bridge,,,,,Chelmsley Wood,,Tividale,Tividale,West Heath,,,,Tidbury Green,,,,Four Oaks,Rednal,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (2)
1073,KS2_19,ADDRESS3,,Chelmsley Wood,,,,,,Great Bridge Junior & Infant School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
1074,KS2_19,TOWN,Birmingham,Birmingham,Walsall,Birmingham,,Sutton Coldfield,Wednesbury,Tipton,Halesowen,Cradley Heath,,Halesowen,Birmingham,,Oldbury,Oldbury,Birmingham,,Walsall,Solihull,Solihull,Tipton,Halesowen,Cradley Heath,Sutton Coldfield,Birmingham,,Sutton Coldfield,,Walsall,Wednesbury,,Wednesbury,,Sutton Coldfield,Walsall,Cradley Heath,,,,,,,,,,,,,,,,School town
1075,KS2_19,PCODE,B45 0JS,B37 7TR,WS1 3JY,B31 4RD,,B75 6BL,WS10 9AR,DY4 7DE,B63 3TP,B64 6RH,,B63 3BB,B37 6RN,,B69 1TR,B69 2LN,B31 4ST,,WS1 3AY,B91 3JG,B90 1QW,DY4 7PG,B63 4AR,B64 6DR,B75 6TJ,B45 8TD,,B75 6TJ,,WS1 4AH,WS10 9PN,,WS10 9BW,,B75 7NQ,WS1 3RH,B64 6HT,,,,,,,,,,,,,,,,School postcode
1076,KS2_19,TELNUM,1214648659,1217704063,1922720778,1214642356,,1214641918,1215560269,1215571526,1384818640,1384569021,,1384818885,1217798080,,1384254865,1215572967,1214753374,,1922720711,1217042714,1564823189,1215571543,1384816880,1384569213,1214647022,1216754841,,1216752929,,1922721092,1215053595,,1215560377,,1214645170,1922721359,1384569053,,,,,,,,,,,,,,,,School telephone number 
1077,KS2_19,PCON_CODE,E14000565,E14000812,E14001012,E14000565,,E14000985,E14001030,E14001030,E14000722,E14000722,,E14000722,E14000812,,E14001030,E14001030,E14000565,,E14001012,E14000931,E14000812,E14001030,E14000722,E14000722,E14000985,E14000565,,E14000985,,E14001012,E14001030,,E14001030,,E14000985,E14001012,E14000722,,,,,,,,,,,,,,,,School parliamentary constituency code
1078,KS2_19,PCON_NAME,"Birmingham, Northfield",Meriden,Walsall South,"Birmingham, Northfield",,Sutton Coldfield,West Bromwich West,West Bromwich West,Halesowen and Rowley Regis,Halesowen and Rowley Regis,,Halesowen and Rowley Regis,Meriden,,West Bromwich West,West Bromwich West,"Birmingham, Northfield",,Walsall South,Solihull,Meriden,West Bromwich West,Halesowen and Rowley Regis,Halesowen and Rowley Regis,Sutton Coldfield,"Birmingham, Northfield",,Sutton Coldfield,,Walsall South,West Bromwich West,,West Bromwich West,,Sutton Coldfield,Walsall South,Halesowen and Rowley Regis,,,,,,,,,,,,,,,,School parliamentary constituency name
1079,KS2_19,URN_AC,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,Converter academy: URN 
1080,KS2_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: name
1081,KS2_19,OPEN_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: open date
1082,KS2_19,NFTYPE,CY,VA,CY,ACC,,FD,AC,CY,CY,FD,,VA,CY,,CY,CY,FD,,VA,VA,CY,VC,VA,FD,FD,AC,,FDS,,CY,VA,,FD,,CY,ACC,CY,,,,,,,,,,,,,,,,"School type. Rectype 1: AC = Academy Sponsor Led (NFTYPE 20), CY = Community school (21), VA = Voluntary Aided school (22), VC = Voluntary Controlled school (23), FD = Foundation school (24), CTC = City Technology College (25), ACC = Academy converter (51), F = Free school (52). Rectype 2: CYS = Community special (26), FDS = Foundation special (27), ACS = Academy special (50), FS = Free Special School (53), ACCS = Academy Converter Special (55)."
1083,KS2_19,ICLOSE,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,"Closed Flag: 0 (Open), 1 (Closed) or 'null'"
1084,KS2_19,RELDENOM,Does not apply,Church of England,Does not apply,Does not apply,,Does not apply,Church of England,Does not apply,Does not apply,Does not apply,,Church of England,Does not apply,,Does not apply,Does not apply,Does not apply,,Roman Catholic,Church of England,Does not apply,Church of England,Roman Catholic,Does not apply,Does not apply,Roman Catholic,,Does not apply,,Does not apply,Roman Catholic,,Does not apply,,Does not apply,Does not apply,Does not apply,,,,,,,,,,,,,,,,Religious denomination
1085,KS2_19,AGERANGE,3 to 11,3 to 11,7 to 11,3 to 11,,3 to 11,4 to 11,3 to 11,4 to 11,3 to 11,,3 to 11,3 to 11,,3 to 11,3 to 11,4 to 11,,3 to 11,7 to 11,0 to 11,3 to 11,4 to 11,3 to 11,5 to 11,4 to 11,,3 to 11,,7 to 11,3 to 11,,7 to 11,,3 to 11,3 to 11,3 to 11,,,,,,,,,,,,,,,,Age range
1086,KS2_19,CONFEXAM,,R,,R,,,,,,R,,R,R,,R,,,,,,R,,,R,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,Confirmation flag that core performance information has been checked: R=No confirmation received from schools WITH RESULTS; Blank = Confirmed (or schools have no KS2)
1087,KS2_19,TAB15,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,School published in secondary school (key stage 4) performance tables: 1=Yes; 0=No
1088,KS2_19,TAB1618,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,School published in school and college (key stage 5) performance tables: 1=Yes; 0=No
1089,KS2_19,TOTPUPS,231,459,356,449,,485,211,495,470,409,,220,445,,460,409,356,,234,278,319,250,212,246,419,202,,119,,361,245,,267,,369,451,419,,,,,,,,,,,,,,4602440,,Total number of pupils (including part-time pupils): NEW' =New school with no eligible pupils
1090,KS2_19,TPUPYEAR,30,52,90,60,,91,30,60,60,60,,30,47,,60,31,57,,30,70,42,32,30,30,60,30,,20,,90,31,,58,,56,60,58,,,,,,,,,,,,,,643616,,Number of pupils aged 11 
1091,KS2_19,TELIG,30,52,88,60,,90,30,59,60,59,,30,47,,60,31,57,,30,69,42,31,29,30,60,29,,19,,91,31,,60,,54,57,59,,,,,,,,,,,,,,644967,,Published eligible pupil number
1092,KS2_19,BELIG,23,30,51,27,,51,13,30,30,31,,15,27,,32,11,26,,13,31,20,19,15,20,36,16,,12,,42,14,,30,,19,26,27,,,,,,,,,,,,,,329113,,Eligible boys on school roll at time of tests
1093,KS2_19,GELIG,7,22,37,33,,39,17,29,30,28,,15,20,,28,20,31,,17,38,22,12,14,10,24,13,,7,,49,17,,30,,35,31,32,,,,,,,,,,,,,,315849,,Eligible girls on school roll at time of tests
1094,KS2_19,PBELIG,77%,58%,58%,45%,,57%,43%,51%,50%,53%,,50%,57%,,53%,35%,46%,,43%,45%,48%,61%,52%,67%,60%,55%,,63%,,46%,45%,,50%,,35%,46%,46%,,,,,,,,,,,,,,51%,,Percentage of eligible boys on school roll at time of tests
1095,KS2_19,PGELIG,23%,42%,42%,55%,,43%,57%,49%,50%,47%,,50%,43%,,47%,65%,54%,,57%,55%,52%,39%,48%,33%,40%,45%,,37%,,54%,55%,,50%,,65%,54%,54%,,,,,,,,,,,,,,49%,,Percentage of eligible girls on school roll at time of tests
1096,KS2_19,TKS1AVERAGE,15.1,16.4,17,16,,17.2,16.8,15.2,16.6,15,,15.8,16.1,,15.7,16.3,15.8,,16.9,17.8,16.4,15.8,18.3,17.4,18.1,16.1,,5.7,,16.7,16.5,,15.4,,16.9,14.4,14.9,,,,,,,,,,,,,,16.2,,Cohort level key stage 1 average points score
1097,KS2_19,TKS1GROUP_L,2,5,5,7,,2,2,5,5,12,,2,4,,3,2,6,,0,1,3,5,0,2,1,2,,16,,3,0,,7,,3,10,9,,,,,,,,,,,,,,53959,,Number of pupils in cohort with low KS1 attainment
1098,KS2_19,PTKS1GROUP_L,7%,10%,6%,12%,,2%,7%,9%,8%,22%,,7%,9%,,5%,7%,11%,,0%,2%,8%,17%,0%,7%,2%,7%,,94%,,4%,0%,,12%,,6%,21%,16%,,,,,,,,,,,,,,9%,,Percentage of pupils in cohort with low KS1 attainment
1099,KS2_19,TKS1GROUP_M,24,28,42,31,,51,13,40,29,27,,18,26,,40,14,36,,18,31,25,15,12,11,24,16,,1,,47,24,,36,,26,30,37,,,,,,,,,,,,,,350287,,Number of pupils in cohort with medium KS1 attainment
1100,KS2_19,PTKS1GROUP_M,86%,54%,50%,53%,,57%,48%,70%,49%,50%,,67%,55%,,69%,48%,63%,,62%,49%,63%,50%,41%,41%,41%,57%,,6%,,57%,83%,,63%,,52%,63%,65%,,,,,,,,,,,,,,57%,,Percentage of pupils in cohort with medium KS1 attainment
1101,KS2_19,TKS1GROUP_H,2,19,37,21,,37,12,12,25,15,,7,17,,15,13,15,,11,31,12,10,17,14,33,10,,0,,32,5,,14,,21,8,11,,,,,,,,,,,,,,209272,,Number of pupils in cohort high KS1 attainment
1102,KS2_19,PTKS1GROUP_H,7%,37%,44%,36%,,41%,44%,21%,42%,28%,,26%,36%,,26%,45%,26%,,38%,49%,30%,33%,59%,52%,57%,36%,,0%,,39%,17%,,25%,,42%,17%,19%,,,,,,,,,,,,,,34%,,Percentage of pupils in cohort with high KS1 attainment
1103,KS2_19,TKS1GROUP_NA,2,0,4,1,,0,3,2,1,5,,3,0,,2,2,0,,1,6,2,1,0,3,2,1,,2,,9,2,,3,,4,9,2,,,,,,,,,,,,,,31449,,No. of pupils in KS1 group not calculable
1104,KS2_19,PTKS1GROUP_NA,7%,0%,5%,2%,,0%,10%,3%,2%,8%,,10%,0%,,3%,6%,0%,,3%,9%,5%,3%,0%,10%,3%,3%,,11%,,10%,6%,,5%,,7%,16%,3%,,,,,,,,,,,,,,5%,,Percentage of pupils in KS1group not calculable
1105,KS2_19,TFSM6CLA1A,21,33,35,36,,10,11,32,13,27,,18,32,,17,16,17,,4,5,11,13,8,13,5,15,,9,,33,16,,27,,31,26,36,,,,,,,,,,,,,,197488,,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
1106,KS2_19,PTFSM6CLA1A,70%,63%,40%,60%,,11%,37%,54%,22%,46%,,60%,68%,,28%,52%,30%,,13%,7%,26%,42%,28%,43%,8%,52%,,47%,,36%,52%,,45%,,57%,46%,61%,,,,,,,,,,,,,,31%,,Percentage of key stage 2 disadvantaged pupils
1107,KS2_19,TNOTFSM6CLA1A,9,19,53,24,,80,19,27,47,32,,12,15,,43,15,40,,26,64,31,18,21,17,55,14,,10,,58,15,,33,,23,31,23,,,,,,,,,,,,,,447479,,Number of key stage 2 pupils who are not disadvantaged
1108,KS2_19,PTNOTFSM6CLA1A,30%,37%,60%,40%,,89%,63%,46%,78%,54%,,40%,32%,,72%,48%,70%,,87%,93%,74%,58%,72%,57%,92%,48%,,53%,,64%,48%,,55%,,43%,54%,39%,,,,,,,,,,,,,,69%,,Percentage of key stage 2 pupils who are not disadvantaged
1109,KS2_19,TEALGRP2,5,0,66,5,,11,18,16,3,7,,11,1,,5,14,3,,5,12,2,18,3,10,0,7,,3,,89,6,,6,,12,50,25,,,,,,,,,,,,,,135559,,Number of eligible pupils with English as additional language (EAL)
1110,KS2_19,PTEALGRP2,17%,0%,75%,8%,,12%,60%,27%,5%,12%,,37%,2%,,8%,45%,5%,,17%,17%,5%,58%,10%,33%,0%,24%,,16%,,98%,19%,,10%,,22%,88%,42%,,,,,,,,,,,,,,21%,,Percentage of eligible pupils with English as additional language (EAL)
1111,KS2_19,TMOBN,27,52,82,57,,87,29,54,58,51,,26,44,,60,26,52,,27,64,33,29,29,29,59,27,,19,,89,28,,56,,49,56,50,,,,,,,,,,,,,,595736,,Number of eligible pupils classified as non-mobile
1112,KS2_19,PTMOBN,90%,100%,93%,95%,,97%,97%,92%,97%,86%,,87%,94%,,100%,84%,91%,,90%,93%,79%,94%,100%,97%,98%,93%,,100%,,98%,90%,,93%,,91%,98%,85%,,,,,,,,,,,,,,92%,,Percentage of eligible pupils classified as non-mobile
1113,KS2_19,PTRWM_EXP,20%,63%,60%,75%,,86%,63%,71%,68%,39%,,63%,49%,,65%,87%,56%,,90%,75%,76%,58%,79%,83%,85%,45%,,0%,,62%,48%,,58%,,72%,54%,39%,,,,,,,,,,,,,,65%,,"Percentage of pupils reaching the expected standard in reading, writing and maths"
1114,KS2_19,PTRWM_HIGH,3%,4%,6%,13%,,26%,7%,7%,18%,2%,,3%,4%,,8%,10%,9%,,17%,23%,14%,3%,7%,13%,22%,17%,,0%,,15%,6%,,7%,,9%,4%,5%,,,,,,,,,,,,,,11%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing
1115,KS2_19,READPROG,-4.3,0.2,-4.3,2.7,,3.1,-1.6,2.5,1.8,-2.3,,-2,-3.3,,-0.8,2,0.1,,2.7,1.2,3.6,-1.9,-0.1,0.6,1.2,-3.3,,-10.9,,-1.4,-2.4,,1.2,,-0.6,0.6,-3.3,,,,,,,,,,,,,,,,Reading progress measure
1116,KS2_19,READPROG_LOWER,-6.6,-1.5,-5.6,1.1,,1.8,-4,0.8,0.2,-4,,-4.3,-5.1,,-2.3,-0.3,-1.5,,0.5,-0.3,1.7,-4.1,-2.4,-1.7,-0.3,-5.6,,-13.8,,-2.7,-4.7,,-0.4,,-2.3,-1.2,-4.9,,,,,,,,,,,,,,,,Reading progress measure - lower confidence limit
1117,KS2_19,READPROG_UPPER,-2,1.9,-2.9,4.2,,4.4,0.7,4.1,3.4,-0.7,,0.3,-1.6,,0.8,4.2,1.7,,5,2.7,5.5,0.3,2.1,2.9,2.8,-1,,-8,,-0.1,-0.2,,2.8,,1.1,2.4,-1.7,,,,,,,,,,,,,,,,Reading progress measure - upper confidence limit
1118,KS2_19,READCOV,93%,100%,93%,98%,,100%,90%,97%,98%,92%,,90%,100%,,97%,94%,100%,,97%,91%,95%,97%,100%,90%,97%,97%,,89%,,90%,94%,,95%,,93%,82%,97%,,,,,,,,,,,,,,,,Reading progress measure - coverage
1119,KS2_19,WRITPROG,-5.5,-1.1,-1,2.2,,2.6,-2.6,2.4,0.8,-1.7,,-1.5,-4.2,,0.5,1.7,0.2,,1.7,-1.4,-0.1,-1.6,0.6,1.2,0.3,1.9,,-10.8,,0.4,-2.2,,3.6,,-0.1,1.6,-3.4,,,,,,,,,,,,,,,,Writing progress measure
1120,KS2_19,WRITPROG_LOWER,-7.6,-2.7,-2.2,0.7,,1.4,-4.8,0.9,-0.6,-3.3,,-3.6,-5.8,,-1,-0.3,-1.3,,-0.4,-2.8,-1.8,-3.7,-1.5,-0.9,-1.2,-0.2,,-13.5,,-0.8,-4.3,,2.1,,-1.7,0,-4.9,,,,,,,,,,,,,,,,Writing progress measure - lower confidence limit
1121,KS2_19,WRITPROG_UPPER,-3.4,0.4,0.2,3.6,,3.7,-0.5,3.8,2.3,-0.2,,0.7,-2.6,,2,3.8,1.7,,3.7,0,1.7,0.4,2.7,3.4,1.7,4,,-8.1,,1.6,-0.2,,5.1,,1.5,3.3,-1.9,,,,,,,,,,,,,,,,Writing progress measure - upper confidence limit
1122,KS2_19,WRITCOV,93%,100%,95%,98%,,100%,90%,97%,98%,92%,,90%,100%,,97%,94%,100%,,97%,91%,95%,97%,100%,90%,97%,97%,,89%,,90%,94%,,95%,,93%,84%,97%,,,,,,,,,,,,,,,,Writing progress measure - coverage
1123,KS2_19,MATPROG,-3.2,1.8,-2.4,1.7,,2.8,-4,0.5,1.7,-2,,1.4,-2.4,,-0.6,3.7,-0.6,,4.6,0.6,3.4,-1.8,-3.1,0.5,1.5,0.6,,-10.8,,-0.9,-3.5,,-0.6,,-1.1,2.3,-3.1,,,,,,,,,,,,,,,,Maths progress measure
1124,KS2_19,MATPROG_LOWER,-5.2,0.3,-3.5,0.3,,1.7,-6.1,-0.9,0.3,-3.4,,-0.6,-3.9,,-2,1.8,-2,,2.6,-0.7,1.7,-3.8,-5,-1.5,0.1,-1.4,,-13.4,,-2.1,-5.5,,-2,,-2.6,0.7,-4.5,,,,,,,,,,,,,,,,Maths progress measure - lower confidence limit
1125,KS2_19,MATPROG_UPPER,-1.2,3.2,-1.2,3.1,,4,-2,1.9,3,-0.5,,3.4,-0.8,,0.8,5.7,0.8,,6.5,2,5.1,0.1,-1.1,2.5,2.9,2.6,,-8.2,,0.2,-1.6,,0.8,,0.4,3.8,-1.7,,,,,,,,,,,,,,,,Maths progress measure - upper confidence limit
1126,KS2_19,MATCOV,93%,100%,93%,97%,,100%,90%,97%,98%,92%,,90%,100%,,97%,94%,100%,,97%,91%,95%,97%,100%,90%,97%,97%,,89%,,90%,94%,,95%,,93%,82%,97%,,,,,,,,,,,,,,,,Maths progress measure - coverage
1127,KS2_19,PTREAD_EXP,40%,75%,65%,87%,,88%,73%,76%,83%,46%,,67%,53%,,75%,87%,68%,,93%,90%,86%,71%,86%,87%,93%,45%,,0%,,66%,58%,,75%,,83%,60%,51%,,,,,,,,,,,,,,73%,,Percentage of pupils reaching the expected standard in reading
1128,KS2_19,PTREAD_HIGH,7%,17%,17%,28%,,44%,23%,29%,38%,8%,,17%,21%,,17%,26%,28%,,33%,38%,48%,23%,45%,37%,47%,17%,,0%,,29%,19%,,18%,,22%,9%,7%,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in reading
1129,KS2_19,PTREAD_AT,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,,0%,,0%,0%,,0%,,0%,0%,0%,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in reading
1130,KS2_19,READ_AVERAGE,99,104,101,106,,109,105,105,106,100,,103,100,,103,106,103,,108,108,107,101,108,106,109,101,,,,104,102,,103,,104,100,98,,,,,,,,,,,,,,104,,Average scaled score in reading
1131,KS2_19,PTGPS_EXP,57%,90%,68%,83%,,93%,80%,85%,93%,69%,,80%,74%,,70%,94%,79%,,100%,88%,90%,87%,97%,90%,95%,86%,,0%,,88%,77%,,65%,,85%,74%,68%,,,,,,,,,,,,,,78%,,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
1132,KS2_19,PTGPS_HIGH,10%,42%,35%,28%,,70%,23%,46%,50%,20%,,50%,19%,,30%,55%,32%,,60%,54%,45%,35%,59%,43%,52%,38%,,0%,,42%,23%,,8%,,41%,33%,20%,,,,,,,,,,,,,,36%,,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
1133,KS2_19,PTGPS_AT,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,,0%,,0%,0%,,0%,,0%,0%,0%,,,,,,,,,,,,,,0%,,"Percentage of pupils absent from or not able to access the test in grammar, punctuation and spelling"
1134,KS2_19,GPS_AVERAGE,101,108,104,106,,113,106,108,109,104,,109,103,,104,110,105,,112,110,109,106,111,108,110,108,,,,108,104,,101,,107,105,102,,,,,,,,,,,,,,106,,"Average scaled score in grammar, punctuation and spelling"
1135,KS2_19,PTMAT_EXP,57%,94%,72%,83%,,92%,70%,83%,85%,66%,,80%,79%,,77%,94%,74%,,100%,88%,98%,74%,83%,87%,92%,76%,,0%,,80%,55%,,75%,,87%,72%,54%,,,,,,,,,,,,,,79%,,Percentage of pupils reaching the expected standard in maths
1136,KS2_19,PTMAT_HIGH,7%,31%,28%,33%,,47%,17%,10%,38%,12%,,30%,11%,,18%,39%,21%,,53%,46%,43%,10%,28%,43%,58%,34%,,0%,,29%,10%,,12%,,24%,18%,10%,,,,,,,,,,,,,,27%,,Percentage of pupils achieving a high score in maths
1137,KS2_19,PTMAT_AT,0%,0%,0%,2%,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,,0%,,0%,0%,,0%,,0%,0%,0%,,,,,,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in maths
1138,KS2_19,MAT_AVERAGE,101,106,104,105,,109,103,104,107,102,,107,102,,104,109,103,,111,108,108,102,105,106,109,105,,,,105,101,,102,,105,103,99,,,,,,,,,,,,,,105,,Average scaled score in maths
