No,Namespace,Variable,Brays School - 144042,Maryvale Catholic Primary School - 103426,Warley Infant School - 103963,Lea Forest Primary Academy - 139003,Princethorpe Junior School - 146817,Princethorpe Infant School - 143436,Princethorpe Junior School - 103244,St Joseph's Catholic Primary School - 141670,Severne Junior Infant and Nursery School - 103252,Twickenham Primary School - 140518,Rood End Primary School - 103984,Cotteridge Primary School - 103190,Our Lady and St Hubert's Catholic Primary School - 141926,Wylde Green Primary School - 103349,King George V Primary School - 131223,St Francis Church of England Aided Primary School and Nursery - 143434,Kings Rise Academy - 138889,Northfield Manor Primary Academy - 142203,Oasis Academy Blakenhale Junior - 139129,Oasis Academy Blakenhale Infants - 139120,St Ambrose Barlow Catholic Primary School - 103465,Kineton Green Primary School - 104048,Brandhall Primary School - 103976,St Alban's Catholic Primary School - 103466,Robin Hood Academy - 140262,Penns Primary School - 103356,St Margaret's Church of England Primary School - 146107,Boldmere Junior School - 103341,Boldmere Infant School and Nursery - 103342,Holy Name Catholic Primary School - 103996,Whitecrest Primary School - 103922,Bournville School - 141318,Hallmoor School - 144336,St Mary and St Margaret's Church of England Aided Primary School - 104097,Gossey Lane Academy - 142794,Olton Primary School - 104076,Yardley Wood Community Primary School - 103281,Chivenor Primary School - 140159,Brownmead Primary Academy - 141320,Eaton Valley Primary School - 103923,Lyng Primary School - 103968,Grove Vale Primary School - 103972,Q3 Academy Langley - 141698,Hillcrest School and Sixth Form Centre - 137346,Cardinal Wiseman Catholic School - 103539,Kings Norton Girls' School - 136590,Lyndon School - 142075,Oldbury Academy - 137701,King Edward VI Sheldon Heath Academy - 136152,Sandwell College - 130479,National state-funded primary,National state-funded secondary and 16 to 18,Description
1123,KS2_19,MATPROG,-2.4,-0.6,,5.9,,,-1.5,1.1,-0.5,2.5,5.5,0.1,2.7,2.1,1.7,-3.6,5,1.9,0.9,,2,-1.5,1.9,0.5,0.5,2.3,1.8,1.6,,1.6,2.3,,-11.1,-0.3,-0.9,-1.8,1.7,1.1,-0.3,-0.1,-0.6,1.7,,,,,,,,,,,Maths progress measure
1124,KS2_19,MATPROG_LOWER,-4.3,-2.6,,4.5,,,-2.8,-0.8,-1.9,1,4.1,-1.4,0.7,0.7,-0.3,-5.5,3.2,0.4,-0.2,,0.1,-3.5,0.5,-1.4,-0.6,0.4,-0.1,0.5,,-0.5,0.4,,-14.3,-2.3,-2.9,-3.1,-0.3,-0.4,-2.2,-1.6,-2.1,0.3,,,,,,,,,,,Maths progress measure - lower confidence limit
1125,KS2_19,MATPROG_UPPER,-0.5,1.4,,7.3,,,-0.1,3.1,0.9,3.9,7,1.6,4.7,3.4,3.7,-1.6,6.7,3.4,2.1,,3.9,0.4,3.3,2.5,1.7,4.3,3.8,2.7,,3.6,4.3,,-7.9,1.6,1.1,-0.4,3.6,2.6,1.7,1.3,0.9,3.1,,,,,,,,,,,Maths progress measure - upper confidence limit
1126,KS2_19,MATCOV,91%,97%,,97%,,,97%,100%,93%,95%,91%,93%,97%,100%,93%,100%,84%,86%,98%,,100%,97%,94%,100%,94%,100%,97%,98%,,93%,97%,,79%,100%,100%,97%,97%,93%,97%,95%,85%,97%,,,,,,,,,,,Maths progress measure - coverage
1127,KS2_19,PTREAD_EXP,0%,62%,,97%,,,53%,90%,63%,89%,65%,77%,83%,85%,70%,83%,89%,70%,78%,,77%,77%,87%,97%,70%,80%,83%,91%,,79%,97%,,0%,70%,44%,67%,63%,64%,73%,66%,75%,92%,,,,,,,,,73%,,Percentage of pupils reaching the expected standard in reading
1128,KS2_19,PTREAD_HIGH,0%,14%,,53%,,,17%,41%,27%,31%,19%,44%,27%,42%,10%,30%,39%,29%,22%,,42%,27%,35%,50%,26%,30%,53%,43%,,21%,47%,,0%,17%,15%,17%,20%,18%,17%,24%,24%,33%,,,,,,,,,27%,,Percentage of pupils achieving a high score in reading
1129,KS2_19,PTREAD_AT,0%,0%,,0%,,,2%,0%,0%,0%,2%,4%,0%,0%,0%,0%,0%,0%,1%,,0%,0%,2%,0%,0%,0%,0%,1%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in reading
1130,KS2_19,READ_AVERAGE,,102,,110,,,102,106,102,107,102,107,106,107,102,105,108,104,104,,106,104,106,109,103,106,108,109,,104,109,,,102,100,103,103,102,104,104,105,106,,,,,,,,,104,,Average scaled score in reading
1131,KS2_19,PTGPS_EXP,0%,76%,,95%,,,60%,93%,81%,84%,72%,79%,90%,93%,80%,83%,80%,77%,69%,,94%,73%,87%,93%,82%,97%,90%,89%,,86%,87%,,0%,70%,63%,77%,77%,80%,70%,81%,75%,90%,,,,,,,,,78%,,"Percentage of pupils reaching the expected standard in grammar, punctuation and spelling"
1132,KS2_19,PTGPS_HIGH,0%,17%,,50%,,,13%,69%,42%,49%,35%,58%,57%,60%,27%,20%,43%,48%,23%,,48%,47%,45%,50%,44%,53%,50%,54%,,45%,63%,,0%,17%,26%,36%,23%,33%,17%,48%,34%,53%,,,,,,,,,36%,,"Percentage of pupils achieving a high score in grammar, punctuation and spelling"
1133,KS2_19,PTGPS_AT,0%,0%,,0%,,,3%,0%,0%,0%,2%,4%,0%,0%,0%,0%,0%,2%,1%,,0%,0%,2%,0%,0%,0%,0%,1%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,0%,,"Percentage of pupils absent from or not able to access the test in grammar, punctuation and spelling"
1134,KS2_19,GPS_AVERAGE,,103,,110,,,102,111,107,108,106,109,110,111,106,105,107,107,103,,110,106,108,109,107,111,110,110,,108,110,,,104,103,106,104,105,103,110,106,109,,,,,,,,,106,,"Average scaled score in grammar, punctuation and spelling"
1135,KS2_19,PTMAT_EXP,0%,76%,,97%,,,63%,90%,76%,91%,79%,81%,90%,90%,90%,60%,91%,82%,83%,,97%,73%,85%,97%,82%,93%,93%,88%,,86%,93%,,0%,83%,63%,70%,80%,78%,77%,84%,78%,92%,,,,,,,,,79%,,Percentage of pupils reaching the expected standard in maths
1136,KS2_19,PTMAT_HIGH,0%,7%,,43%,,,10%,38%,27%,24%,19%,33%,53%,42%,10%,10%,41%,29%,10%,,42%,37%,24%,27%,28%,43%,43%,47%,,31%,60%,,0%,27%,19%,20%,20%,15%,17%,19%,29%,30%,,,,,,,,,27%,,Percentage of pupils achieving a high score in maths
1137,KS2_19,PTMAT_AT,0%,0%,,0%,,,0%,0%,0%,0%,2%,4%,0%,0%,0%,0%,0%,0%,1%,,0%,0%,2%,0%,0%,0%,0%,1%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,0%,,Percentage of pupils absent from or not able to access the test in maths
1138,KS2_19,MAT_AVERAGE,,102,,109,,,102,107,105,106,104,106,109,108,104,102,108,106,103,,108,104,105,107,105,109,108,108,,106,110,,,105,101,104,104,104,104,106,106,106,,,,,,,,,105,,Average scaled score in maths
1139,KS2_19,PTWRITTA_EXP,0%,72%,,93%,,,53%,86%,81%,85%,72%,81%,83%,90%,77%,80%,84%,82%,77%,,94%,73%,87%,87%,79%,90%,77%,93%,,83%,83%,,0%,77%,78%,69%,70%,76%,77%,84%,83%,90%,,,,,,,,,78%,,Percentage of pupils reaching the expected standard in writing
1140,KS2_19,PTWRITTA_HIGH,0%,17%,,23%,,,2%,28%,14%,29%,12%,21%,37%,28%,17%,17%,9%,18%,21%,,19%,30%,23%,30%,24%,27%,20%,33%,,21%,33%,,0%,30%,15%,19%,10%,9%,30%,7%,20%,18%,,,,,,,,,20%,,Percentage of pupils working at greater depth within the expected standard in writing
1141,KS2_19,PTWRITTA_WTS,0%,24%,,3%,,,37%,3%,19%,15%,18%,11%,17%,7%,23%,20%,11%,13%,22%,,6%,27%,6%,13%,7%,7%,23%,6%,,17%,17%,,0%,20%,22%,31%,30%,5%,23%,10%,7%,10%,,,,,,,,,17%,,Percentage of pupils working towards the expected standard in writing
1142,KS2_19,PTWRITTA_AD,0%,0%,,0%,,,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,0%,,Percentage of pupils absent or disapplied in writing TA
1143,KS2_19,PTSCITA_EXP,0%,72%,,93%,,,57%,90%,75%,89%,75%,79%,90%,88%,77%,90%,80%,91%,83%,,97%,90%,89%,93%,78%,83%,80%,93%,,86%,87%,,0%,87%,70%,80%,67%,82%,70%,79%,83%,90%,,,,,,,,,83%,,Percentage of pupils reaching the expected standard in science TA
1144,KS2_19,PTSCITA_AD,0%,0%,,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,0%,,Percentage of pupils absent or disapplied in science TA
1145,KS2_19,PTRWM_EXP_B,0%,58%,,84%,,,34%,91%,64%,64%,46%,61%,81%,76%,63%,83%,74%,68%,64%,,70%,63%,72%,81%,60%,78%,83%,82%,,74%,71%,,0%,65%,44%,46%,50%,48%,57%,72%,63%,78%,,,,,,,,,60%,,"Percentage of boys reaching the expected standard in reading, writing and maths"
1146,KS2_19,PTRWM_EXP_G,0%,47%,,96%,,,36%,83%,58%,97%,74%,86%,71%,92%,57%,44%,95%,67%,64%,,81%,55%,79%,86%,70%,83%,61%,78%,,83%,94%,,SUPP,62%,36%,61%,71%,57%,63%,58%,72%,93%,,,,,,,,,70%,,"Percentage of girls reaching the expected standard in reading, writing and maths"
1147,KS2_19,PTRWM_EXP_L,0%,SUPP,,33%,,,SUPP,SUPP,,SUPP,35%,SUPP,SUPP,SUPP,SUPP,SUPP,38%,SUPP,22%,,,SUPP,33%,SUPP,10%,SUPP,,SUPP,,SUPP,SUPP,,0%,SUPP,0%,SUPP,SUPP,0%,SUPP,14%,SUPP,SUPP,,,,,,,,,7%,,"Percentage of pupils with low prior attainment reaching the expected standard in reading, writing and maths"
1148,KS2_19,PTRWM_EXP_M,,47%,,95%,,,23%,92%,51%,91%,70%,61%,67%,84%,60%,47%,100%,73%,64%,,65%,33%,78%,73%,57%,55%,59%,68%,,81%,77%,,,40%,29%,38%,61%,65%,56%,62%,67%,84%,,,,,,,,,58%,,"Percentage of pupils with medium prior attainment reaching the expected standard in reading, writing and maths"
1149,KS2_19,PTRWM_EXP_H,,86%,,100%,,,92%,100%,94%,92%,100%,100%,100%,100%,SUPP,83%,100%,92%,93%,,100%,93%,94%,100%,100%,100%,100%,100%,,100%,100%,,,100%,100%,81%,SUPP,83%,89%,100%,100%,100%,,,,,,,,,95%,,"Percentage of pupils with high prior attainment reaching the expected standard in reading, writing and maths"
1150,KS2_19,PTRWM_EXP_FSM6CLA1A,SUPP,50%,,89%,,,31%,50%,65%,80%,63%,63%,57%,76%,71%,SUPP,80%,69%,67%,,SUPP,44%,76%,SUPP,51%,67%,83%,18%,,SUPP,SUPP,,SUPP,30%,28%,26%,50%,53%,59%,48%,67%,78%,,,,,,,,,51%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths"
1151,KS2_19,PTRWM_EXP_NOTFSM6CLA1A,SUPP,53%,,94%,,,44%,100%,46%,86%,60%,85%,83%,86%,46%,SUPP,93%,63%,57%,,SUPP,67%,75%,SUPP,75%,83%,67%,88%,,SUPP,SUPP,,SUPP,80%,67%,60%,88%,53%,62%,73%,68%,88%,,,,,,,,,71%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths"
1152,KS2_19,DIFFN_RWM_EXP,SUPP,-21,,18,,,-40,-21,-6,9,-8,-8,-14,5,0,SUPP,9,-2,-4,,SUPP,-27,5,SUPP,-20,-4,12,-53,,SUPP,SUPP,,SUPP,-41,-43,-45,-21,-18,-12,-23,-4,7,,,,,,,,,0,,"Difference between school percentage of disavantaged pupils and national percentage of other pupils reaching the expected standard in reading, writing and maths "
1153,KS2_19,PTRWM_EXP_EAL,0%,SUPP,,87%,,,43%,SUPP,63%,67%,62%,86%,SUPP,SUPP,60%,,90%,71%,50%,,SUPP,SUPP,82%,SUPP,63%,SUPP,SUPP,57%,,SUPP,SUPP,,SUPP,,,72%,64%,22%,SUPP,73%,69%,93%,,,,,,,,,64%,,"Percentage of EAL pupils reaching the expected standard in reading, writing and maths"
1154,KS2_19,PTRWM_EXP_MOBN,0%,52%,,91%,,,34%,92%,58%,81%,61%,74%,77%,83%,59%,60%,83%,68%,64%,,80%,61%,78%,82%,64%,79%,68%,80%,,75%,86%,,0%,63%,44%,49%,59%,52%,64%,65%,71%,85%,,,,,,,,,66%,,"Percentage of non-mobile pupils reaching the expected standard in reading, writing and maths"
1155,KS2_19,PTRWM_HIGH_B,0%,0%,,22%,,,0%,27%,15%,8%,4%,7%,6%,24%,0%,17%,0%,6%,0%,,0%,21%,14%,13%,5%,22%,42%,24%,,17%,21%,,0%,6%,6%,7%,0%,0%,14%,0%,10%,9%,,,,,,,,,9%,,Percentage of boys achieving a high score in reading and maths and working at greater depth in writing
1156,KS2_19,PTRWM_HIGH_G,0%,6%,,21%,,,0%,6%,4%,13%,19%,17%,43%,15%,0%,0%,14%,8%,4%,,29%,9%,3%,7%,16%,25%,0%,20%,,0%,38%,,SUPP,15%,9%,11%,14%,7%,6%,6%,17%,18%,,,,,,,,,13%,,"Percentage of girls reaching the HIGHected standard in reading, writing and maths"
1157,KS2_19,PTRWM_HIGH_L,0%,SUPP,,0%,,,SUPP,SUPP,,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,,,SUPP,0%,SUPP,0%,SUPP,,SUPP,,SUPP,SUPP,,0%,SUPP,0%,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,,,,,,,,,0%,,Percentage of pupils with low prior attainment achieving a high score in reading and maths and working at greater depth in writing
1158,KS2_19,PTRWM_HIGH_M,,0%,,13%,,,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,3%,2%,,5%,0%,0%,7%,7%,0%,5%,5%,,0%,0%,,,7%,0%,3%,0%,0%,0%,0%,3%,9%,,,,,,,,,2%,,Percentage of pupils with medium prior attainment achieving a high score in reading and maths and working at greater depth in writing
1159,KS2_19,PTRWM_HIGH_H,,14%,,57%,,,0%,31%,33%,38%,54%,33%,40%,52%,SUPP,17%,30%,23%,7%,,45%,36%,22%,14%,21%,41%,57%,45%,,50%,60%,,,15%,29%,19%,SUPP,17%,33%,7%,38%,31%,,,,,,,,,29%,,Percentage of pupils with high prior attainment achieving a high score in reading and maths and working at greater depth in writing
1160,KS2_19,PTRWM_HIGH_FSM6CLA1A,SUPP,0%,,18%,,,0%,0%,11%,5%,4%,3%,14%,6%,0%,SUPP,3%,6%,3%,,SUPP,11%,6%,SUPP,6%,0%,0%,0%,,SUPP,SUPP,,SUPP,20%,0%,5%,5%,0%,18%,0%,5%,6%,,,,,,,,,5%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
1161,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A,SUPP,7%,,31%,,,0%,19%,8%,29%,20%,22%,26%,26%,0%,SUPP,14%,11%,0%,,SUPP,19%,11%,SUPP,13%,29%,21%,26%,,SUPP,SUPP,,SUPP,5%,22%,9%,13%,13%,0%,5%,18%,17%,,,,,,,,,13%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing
1162,KS2_19,DIFFN_RWM_HIGH,SUPP,-13,,5,,,-13,-13,-2,-8,-9,-10,1,-7,-13,SUPP,-10,-7,-10,,SUPP,-2,-7,SUPP,-7,-13,-13,-13,,SUPP,SUPP,,SUPP,7,-13,-8,-8,-13,5,-13,-8,-7,,,,,,,,,0,,"Difference between school percentage of disavantaged pupils and national percentage of other pupils achieving a high score in reading, writing and maths "
1163,KS2_19,PTRWM_HIGH_EAL,0%,SUPP,,27%,,,0%,SUPP,9%,0%,11%,0%,SUPP,SUPP,0%,,10%,7%,0%,,SUPP,SUPP,18%,SUPP,7%,SUPP,SUPP,0%,,SUPP,SUPP,,SUPP,,,8%,7%,0%,SUPP,7%,15%,11%,,,,,,,,,11%,,Percentage of EAL pupils achieving a high score in reading and maths and working at greater depth in writing
1164,KS2_19,PTRWM_HIGH_MOBN,0%,4%,,24%,,,0%,15%,9%,10%,13%,12%,23%,20%,0%,7%,7%,7%,2%,,20%,14%,9%,11%,10%,24%,18%,23%,,14%,31%,,0%,10%,8%,8%,7%,4%,11%,4%,12%,14%,,,,,,,,,11%,,Percentage of non-mobile pupils achieving a high score in reading and maths and working at greater depth in writing
1165,KS2_19,READPROG_B,-2.1,2.2,,8.7,,,-1.1,1.5,-2.1,4.6,6.4,-0.7,-0.8,2,2,0.5,7.2,2.6,0.5,,-0.8,-0.6,3.5,3.2,-2.1,-0.1,4.4,2.1,,-0.3,1.1,,-10.8,-3.5,-2,-1.8,0.7,1.6,0.6,-0.1,-0.2,1.6,,,,,,,,,-0.5,,Reading progress measure for boys
1166,KS2_19,READPROG_B_LOWER,-4.7,-1.4,,6.5,,,-3.2,-2.1,-4.2,2.1,4,-3.1,-3.8,-0.1,-1.2,-3,4.3,0.2,-1.5,,-4.7,-3.4,1.1,0.2,-4,-2.9,0.9,0.4,,-2.9,-2.2,,-15.1,-6.4,-5,-3.7,-2.4,-0.8,-2.8,-2.6,-2.7,-0.6,,,,,,,,,0,,Reading progress measure for boys - lower confidence limit
1167,KS2_19,READPROG_B_UPPER,0.6,5.9,,10.8,,,1,5.2,0.1,7,8.8,1.7,2.2,4.1,5.1,4,10.1,5,2.6,,3,2.3,5.9,6.2,-0.2,2.8,7.9,3.8,,2.3,4.5,,-6.5,-0.5,1.1,0,3.8,4,3.9,2.3,2.4,3.8,,,,,,,,,0,,Reading progress measure for boys - upper confidence limit
1168,KS2_19,READPROG_G,-4.5,-1.6,,8.2,,,-1.1,0.5,-1.6,2.1,3.4,1.3,1.3,1.5,0,-0.3,4.6,0.7,3,,1.6,-2.8,3.7,2.8,1,0.8,2.5,3.1,,SUPP,2.3,,SUPP,-1.6,-2,-2.8,1.9,0.4,0.6,-1.1,0.1,4.1,,,,,,,,,0.6,,Reading progress measure for girls
1169,KS2_19,READPROG_G_LOWER,-8.3,-4.5,,5.8,,,-3.6,-2.3,-4.1,-0.2,1,-1,-2.1,-0.8,-3.3,-3.2,1.9,-1.8,1.2,,-1,-6.5,1.6,-0.4,-0.9,-2.7,-0.4,1.2,,SUPP,-0.7,,SUPP,-5,-5.7,-5.7,-1.4,-2,-2.4,-3.3,-2.2,1.8,,,,,,,,,0,,Reading progress measure for girls - lower confidence limit
1170,KS2_19,READPROG_G_UPPER,-0.7,1.4,,10.6,,,1.3,3.4,1,4.4,5.7,3.6,4.6,3.9,3.4,2.5,7.4,3.2,4.7,,4.3,0.8,5.8,6,2.9,4.3,5.4,5.1,,SUPP,5.3,,SUPP,1.7,1.6,0,5.1,2.8,3.6,1.1,2.4,6.4,,,,,,,,,0,,Reading progress measure for girls - upper confidence limit
1171,KS2_19,READPROG_L,-2.9,SUPP,,13.7,,,SUPP,SUPP,NA,SUPP,10.6,SUPP,SUPP,SUPP,SUPP,SUPP,8.8,SUPP,3.5,,NA,SUPP,6.8,SUPP,0.9,SUPP,NA,SUPP,,SUPP,SUPP,,-9.4,SUPP,2.3,SUPP,SUPP,0.4,SUPP,-0.2,SUPP,SUPP,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment
1172,KS2_19,READPROG_L_LOWER,-5,SUPP,,8.8,,,SUPP,SUPP,NA,SUPP,7.7,SUPP,SUPP,SUPP,SUPP,SUPP,4.5,SUPP,-0.5,,NA,SUPP,2.7,SUPP,-3.4,SUPP,NA,SUPP,,SUPP,SUPP,,-13,SUPP,-2.7,SUPP,SUPP,-2.9,SUPP,-4.7,SUPP,SUPP,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment - lower confidence limit
1173,KS2_19,READPROG_L_UPPER,-0.7,SUPP,,18.7,,,SUPP,SUPP,NA,SUPP,13.6,SUPP,SUPP,SUPP,SUPP,SUPP,13.1,SUPP,7.5,,NA,SUPP,10.8,SUPP,5.1,SUPP,NA,SUPP,,SUPP,SUPP,,-5.7,SUPP,7.2,SUPP,SUPP,3.8,SUPP,4.4,SUPP,SUPP,,,,,,,,,0,,Reading progress measure for pupils with low prior attainment - upper confidence limit
1174,KS2_19,READPROG_M,NA,-2.1,,9.3,,,-1.5,3.1,-3.5,3.3,2.5,-1.4,-0.5,1.4,0.9,-0.8,6.3,2,2.5,,-0.2,0.1,3.4,4.1,-1.2,-1.3,2.9,2.8,,1,0.1,,NA,-2.7,-5.1,-1.4,1.5,2,0.9,-2.1,1.4,3.9,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment
1175,KS2_19,READPROG_M_LOWER,NA,-5,,7.3,,,-3.4,-0.2,-5.5,1.2,-0.1,-3.6,-4,-0.8,-1.5,-3.7,3.5,-0.2,1,,-2.9,-3.4,1.2,1,-3,-4.9,0.4,1,,-2,-3.3,,NA,-5.9,-8.3,-3.4,-1.1,-0.3,-1.9,-4.2,-0.7,2.1,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment - lower confidence limit
1176,KS2_19,READPROG_M_UPPER,NA,0.8,,11.2,,,0.5,6.5,-1.5,5.3,5.1,0.9,3,3.5,3.4,2.2,9.1,4.2,4.1,,2.5,3.6,5.5,7.2,0.6,2.4,5.5,4.7,,4,3.4,,NA,0.4,-1.8,0.6,4,4.4,3.8,-0.1,3.6,5.7,,,,,,,,,0,,Reading progress measure for pupils with medium prior attainment - upper confidence limit
1177,KS2_19,READPROG_H,NA,-1.7,,3.9,,,0.5,-0.8,1.5,0.6,1.2,4.4,0.3,2.5,SUPP,1.1,2.7,0.2,-1.5,,2.7,-1.7,2.3,2.3,0.1,0.3,4.3,2,,-1.3,3.9,,NA,-2.9,0.5,-3.5,SUPP,-0.6,-2.5,2.6,-1.6,-0.2,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment
1178,KS2_19,READPROG_H_LOWER,NA,-6.3,,0.7,,,-2.8,-4.1,-1.3,-2.8,-2.1,1.8,-2.8,0,SUPP,-2.3,-1.1,-3.2,-4.6,,-0.9,-4.9,-0.6,-0.9,-2.2,-2.6,-0.2,0.1,,-5.6,0.7,,NA,-6.2,-4.1,-6.1,SUPP,-4.1,-6.6,-0.6,-5,-3.6,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment - lower confidence limit
1179,KS2_19,READPROG_H_UPPER,NA,2.9,,7.2,,,3.9,2.6,4.4,4,4.6,7,3.5,5.1,SUPP,4.6,6.5,3.5,1.6,,6.4,1.6,5.3,5.5,2.4,3.3,8.9,3.9,,3,7,,NA,0.5,5.1,-0.9,SUPP,2.9,1.5,5.9,1.7,3.1,,,,,,,,,0,,Reading progress measure for pupils with high prior attainment - upper confidence limit
1180,KS2_19,READPROG_FSM6CLA1A,SUPP,2.3,,8.5,,,-1.1,0.8,-1.7,3.6,4.9,-2.2,2.1,-0.1,2.3,SUPP,5.7,1.8,2.8,,SUPP,-4.5,3.4,SUPP,-0.9,-3.3,SUPP,1.1,,SUPP,SUPP,,SUPP,-2.8,-2.8,-3.5,0,0.2,2.2,-2.7,0.6,3.6,,,,,,,,,-0.6,,Reading progress measure for disadvantaged pupils
1181,KS2_19,READPROG_FSM6CLA1A_LOWER,SUPP,-1,,6.6,,,-3,-3.5,-3.5,1.7,2.6,-4.6,-2.5,-3,-0.6,SUPP,3.4,-0.3,1.2,,SUPP,-8.5,1.3,SUPP,-3,-8.2,SUPP,-2.7,,SUPP,SUPP,,SUPP,-6.7,-5.6,-6.3,-2.6,-1.8,-0.8,-5.4,-2.1,0.6,,,,,,,,,0,,Reading progress measure for disadvantaged pupils - lower confidence limit
1182,KS2_19,READPROG_FSM6CLA1A_UPPER,SUPP,5.7,,10.3,,,0.8,5.1,0.1,5.5,7.2,0.1,6.7,2.8,5.3,SUPP,8,3.9,4.4,,SUPP,-0.5,5.5,SUPP,1.2,1.7,SUPP,5,,SUPP,SUPP,,SUPP,1,0.1,-0.7,2.7,2.1,5.2,-0.1,3.2,6.5,,,,,,,,,0,,Reading progress measure for disadvantaged pupils - upper confidence limit
1183,KS2_19,READPROG_NOTFSM6CLA1A,SUPP,-2.2,,8.5,,,-1.3,0.9,-2.5,2.1,4.8,3.1,-0.5,2.5,-0.9,SUPP,6.5,1.4,0.2,,SUPP,0,3.9,SUPP,-0.3,1.1,SUPP,2.7,,SUPP,SUPP,,SUPP,-2.6,-0.4,-1.5,4.5,3.4,-1.4,0.6,-0.4,2.5,,,,,,,,,0.3,,Reading progress measure for non-disadvantaged pupils
1184,KS2_19,READPROG_NOTFSM6CLA1A_LOWER,SUPP,-5.3,,5.2,,,-4.3,-1.7,-6.2,-1.4,2.3,0.7,-3.1,0.7,-4.5,SUPP,2.5,-1.8,-2.1,,SUPP,-2.8,1.5,SUPP,-2,-1.3,SUPP,1.4,,SUPP,SUPP,,SUPP,-5.3,-4.4,-3.4,0.2,0.1,-4.8,-1.5,-2.7,0.6,,,,,,,,,0,,Reading progress measure for non-disadvantaged pupils - lower confidence limit
1185,KS2_19,READPROG_NOTFSM6CLA1A_UPPER,SUPP,1,,11.7,,,1.7,3.6,1.1,5.6,7.2,5.5,2.1,4.4,2.8,SUPP,10.5,4.7,2.4,,SUPP,2.7,6.3,SUPP,1.4,3.6,SUPP,4.1,,SUPP,SUPP,,SUPP,0.1,3.6,0.3,8.8,6.8,1.9,2.7,1.8,4.4,,,,,,,,,0,,Reading progress measure for non-disadvantaged pupils - upper confidence limit
1186,KS2_19,DIFFN_READPROG,SUPP,2,,8.2,,,-1.4,0.5,-2,3.3,4.6,-2.5,1.8,-0.4,2,SUPP,5.4,1.5,2.5,,SUPP,-4.8,3.1,SUPP,-1.2,-3.6,SUPP,0.8,,SUPP,SUPP,,SUPP,-3.1,-3.1,-3.8,-0.3,-0.1,1.9,-3,0.3,3.3,,,,,,,,,0,,Difference between reading progress measure for disadvantaged pupils in school and other pupils nationally
1187,KS2_19,READPROG_EAL,-2.9,SUPP,,9,,,0.5,SUPP,-1.3,SUPP,5.3,2.9,SUPP,SUPP,1.9,NA,7.5,0.5,4.3,,SUPP,SUPP,3.3,SUPP,-1.7,SUPP,SUPP,-2,,SUPP,SUPP,,SUPP,NA,NA,-1.4,1.1,-0.4,SUPP,1.6,-0.4,2.8,,,,,,,,,0.8,,Reading progress measure for EAL pupils
1188,KS2_19,READPROG_EAL_LOWER,-6.6,SUPP,,5.8,,,-4.4,SUPP,-3.5,SUPP,3.4,-2,SUPP,SUPP,-2.4,NA,2.5,-3.8,0.8,,SUPP,SUPP,0,SUPP,-4.1,SUPP,SUPP,-7,,SUPP,SUPP,,SUPP,NA,NA,-3.9,-2.2,-5,SUPP,-0.8,-3.2,0.5,,,,,,,,,0,,Reading progress measure for EAL pupils - lower confidence limit
1189,KS2_19,READPROG_EAL_UPPER,0.7,SUPP,,12.3,,,5.5,SUPP,1,SUPP,7.2,7.8,SUPP,SUPP,6.1,NA,12.4,4.7,7.8,,SUPP,SUPP,6.5,SUPP,0.7,SUPP,SUPP,2.9,,SUPP,SUPP,,SUPP,NA,NA,1,4.3,4.2,SUPP,3.9,2.3,5.2,,,,,,,,,0,,Reading progress measure for EAL pupils - upper confidence limit
