No,Namespace,Variable,Sacred Heart Primary School - 135029,Albert Pritchard Infant School - 103906,Ocker Hill Infant School - 103919,Ocker Hill Academy - 140140,Meadow Green Primary School - 116763,Colmers Farm Primary School - 146696,Colmers Farm Primary School - 103187,Holly Hill Methodist CofE Infant School - 103479,Joseph Turner Primary School - 103970,Curdworth Primary School - 146457,Curdworth Primary School - 125583,Blue Coat Church of England Aided Infant School - 104231,St Margaret's At Hasbury CofE Primary School - 103840,Blue Coat Church of England Aided Junior School - 104230,Compass Community School Victoria Park - 148064,Abu Bakr Girls School - 132750,Holyhead Primary Academy - 144630,Hillary Primary School - 131511,Timbertree Academy - 139768,Jubilee Park Academy - 140136,Kates Hill Primary School - 144080,Corngreaves Academy - 139742,Chuckery Primary School - 132076,Sledmere Primary School - 149221,Beechwood Church of England Primary School - 142047,Sledmere Primary School - 144081,Netherbrook Primary School - 144079,Huntingtree Primary School - 103802,Old Park Primary School - 103909,St Joseph's Catholic Primary School - 140147,Summerhill Primary Academy - 143322,Mere Green Primary School - 139452,Rednal Hill Junior School - 103248,Rednal Hill Infant School - 103249,Moor Hall Primary School - 103351,Whetstone Field Primary School - 104198,Cheswick Green Primary School - 104074,High Meadow Community School - 125584,Monkspath Junior and Infant School - 104084,Coleshill Church of England Primary School - 146171,Tipton Green Junior School - 103928,Balaam Wood School - 103529,King Edward VI Balaam Wood Academy - 147440,Al-Furqan Solihul - 103592,Al-Furqan Community College (Boys) - 136063,Colmers School and Sixth Form College - 103563,Blue Coat Church of England Academy - 138606,The Arthur Terry School - 138136,Walsall Studio School - 139789,The Coleshill School - 136986,National state-funded primary,National state-funded secondary and 16 to 18,Description
1010,KS5_STUDEST_21,LALLOTH_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,3,,,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
1011,KS5_STUDEST_21,LALLOTH_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
1012,KS5_STUDEST_21,LALLOTH_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,0,,,"Further education (level 3 and below) (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
1013,KS5_STUDEST_21,LALLOTH_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,0,,,"Higher education (level 4 and above) (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
1014,KS5_STUDEST_21,LALLOTH_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Other education destinations (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
1015,KS5_STUDEST_21,LALLOTH_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
1016,KS5_STUDEST_21,LALLOTH_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
1017,KS5_STUDEST_21,LALLOTH_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,0,,,"Activity not captured in data (L1, entry level and other)  (number of students) (not identified as disadvantaged)"
1018,KS5_STUDEST_21,LALLOTH_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1019,KS5_STUDEST_21,LALLOTH_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,33%,,,"Staying in apprenticeships for at least 6 months after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1020,KS5_STUDEST_21,LALLOTH_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Students staying in education for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1021,KS5_STUDEST_21,LALLOTH_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,0%,,,"Further education (level 3 and below) (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1022,KS5_STUDEST_21,LALLOTH_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,0%,,,"Higher education (level 4 and above) (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1023,KS5_STUDEST_21,LALLOTH_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Other education destinations (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1024,KS5_STUDEST_21,LALLOTH_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Students staying in employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1025,KS5_STUDEST_21,LALLOTH_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,"Students not staying in education or employment for at least two terms after 16 to 18 study (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1026,KS5_STUDEST_21,LALLOTH_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,0%,,,"Activity not captured in data (L1, entry level and other) (percentage) (not identified as disadvantaged)"
1027,KS5_STUDEST_21,REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,KS5_STUDEST_21,ALL_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,3,3,,,Band for the total cohort (e.g. About average)
1029,KS5_STUDEST_21,ALL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,43,2,-1,-5,,,Progression score for the total cohort
1030,KS5_STUDEST_21,ALL_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,19,219,74,40,,,Cohort size
1031,KS5_STUDEST_21,ALL_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69%,95%,77%,50%,58%,,,Progressed
1032,KS5_STUDEST_21,ALL_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,2%,0%,0%,,,Apprenticeships
1033,KS5_STUDEST_21,ALL_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69%,84%,73%,49%,53%,,,HE
1034,KS5_STUDEST_21,ALL_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,5%,18%,1%,10%,,,Top third
1035,KS5_STUDEST_21,ALL_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26%,5%,17%,0%,10%,,,Russell
1036,KS5_STUDEST_21,ALL_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,,,Oxbridge
1037,KS5_STUDEST_21,ALL_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,11%,1%,1%,5%,,,Higher technical
1038,KS5_STUDEST_21,ACADAGEN_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,15,219,38,34,,,Cohort size for academic/applied general cohort
1039,KS5_STUDEST_21,ACADAGEN_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69%,93%,77%,63%,59%,,,Progressed for academic/applied general cohort
1040,KS5_STUDEST_21,ACADAGEN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,35,2,5,-7,,,Progression score for academic/applied general cohort
1041,KS5_STUDEST_21,ACADAGEN_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,3,3,,,Band for academic/applied general cohort
1042,KS5_STUDEST_21,TLEV_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,12,0,,,Cohort size for TLEV cohort
1043,KS5_STUDEST_21,TLEV_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,SUPP,0%,42%,0%,,,Progressed for TLEV cohort
1044,KS5_STUDEST_21,TLEV_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,SUPP,NA,4,NA,,,Score for TLEV cohort
1045,KS5_STUDEST_21,TLEV_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,SUPP,NA,3,NA,,,Band for TLEV cohort
1046,KS5_STUDEST_21,OTHER_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,24,6,,,Cohort size for other level 3 qualifications cohort
1047,KS5_STUDEST_21,OTHER_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,33%,50%,,,Progressed for other level 3 qualifications cohort
1048,KS5_STUDEST_21,OTHER_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,-12,11,,,Score for other level 3 qualifications cohort
1049,KS5_STUDEST_21,OTHER_BAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,3,3,,,Band for other level 3 qualifications cohort
1050,KS5_STUDEST_21,DIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,89%,72%,52%,SUPP,,,Progressed for disadvantaged students
1051,KS5_STUDEST_21,DIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,SUPP,,,Apprenticeships for disadvantaged students
1052,KS5_STUDEST_21,DIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44%,SUPP,72%,SUPP,SUPP,,,HE for disadvantaged students
1053,KS5_STUDEST_21,DIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,SUPP,16%,SUPP,SUPP,,,Top third for disadvantaged students
1054,KS5_STUDEST_21,DIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,SUPP,16%,SUPP,SUPP,,,Russell for disadvantaged students
1055,KS5_STUDEST_21,DIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,SUPP,0%,SUPP,SUPP,,,Oxbridge for disadvantaged students
1056,KS5_STUDEST_21,DIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,SUPP,0%,SUPP,SUPP,,,Higher technical for disadvantaged students
1057,KS5_STUDEST_19,NONDIS_PROGRESSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63%,
1058,KS5_STUDEST_19,NONDIS_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1059,KS5_STUDEST_19,NONDIS_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59%,
1060,KS5_STUDEST_19,NONDIS_TOP3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,
1061,KS5_STUDEST_19,NONDIS_RUSSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,
1062,KS5_STUDEST_19,NONDIS_OXBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,
1063,KS5_STUDEST_19,NONDIS_HTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,
1064,KS2_19,YEAR,2019,,,2019,2019,,2019,,2019,,2019,,2019,2019,,,2019,2019,2019,2019,2019,2019,2019,,2019,2019,2019,2019,2019,2019,2019,2019,2019,,2019,2019,2019,2019,2019,2019,2019,,,,,,,,,,2019,,
1065,KS2_19,RECTYPE,1,,,1,1,,1,,1,,1,,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,5,,Record type (1=Mainstream school; 2=Special school; 3=Local Authority; 4=National (all schools); 5=National (state-funded schools only))
1066,KS2_19,ALPHAIND,46626,,,39452,34644,,12860,,28516,,14508,,50668,6112,,,26554,25540,60076,28550,28606,13446,11834,,4444,55984,36988,27310,39596,49990,58392,35012,44536,,36028,63992,11278,25136,35872,12754,60098,,,,,,,,,,,,Alphabetic index
1067,KS2_19,LEA,333,,,333,885,,330,,333,,937,,332,335,,,333,335,333,333,332,333,335,,332,332,332,332,333,332,333,330,330,,330,335,334,937,334,937,333,,,,,,,,,,,,Local authority number
1068,KS2_19,ESTAB,3406,,,2061,2188,,2052,,2164,,2502,,3052,3300,,,2007,2246,2158,2057,2010,2118,2250,,2003,2004,2147,2116,2047,3302,3407,2463,2160,,2416,2214,2082,2569,2096,3586,2082,,,,,,,,,,,,Establishment number
1069,KS2_19,URN,135029,,,140140,116763,,103187,,103970,,125583,,103840,104230,,,144630,131511,139768,140136,144080,139742,132076,,142047,144081,144079,103802,103909,140147,143322,139452,103248,,103351,104198,104074,125584,104084,146171,103928,,,,,,,,,,,,School unique reference number
1070,KS2_19,SCHNAME,Sacred Heart Primary School,,,Ocker Hill Academy,Meadow Green Primary School,,Colmers Farm Primary School,,Joseph Turner Primary School,,Curdworth Primary School,,St Margaret's At Hasbury CofE Primary School and Nursery,Blue Coat Church of England Aided Junior School,,,Holyhead Primary Academy,Hillary Primary School,Timbertree Academy,Jubilee Park Academy,Kates Hill Primary School,Corngreaves Academy,Chuckery Primary School,,Beechwood Church of England Primary School,Sledmere Primary School,Netherbrook Primary School,Huntingtree Primary School,Old Park Primary School,St Joseph's Catholic Primary School,Summerhill Primary Academy,Mere Green Primary School,Rednal Hill Junior School,,Moor Hall Primary School,Whetstone Field Primary School,Cheswick Green Primary School,High Meadow Community School,Monkspath Junior and Infant School,Coleshill Church of England Primary School,Tipton Green Junior School,,,,,,,,,,,,School/Local authority name
1071,KS2_19,ADDRESS1,Sedgley Road East,,,Gospel Oak Road,Meadow Road,,Leybrook Road,,Powis Avenue,,Farthing Lane,,Hagley Road,Springhill Road,,,Holyhead Road,Hillary Street,Valley Road,Highfield Road,Peel Street,Plant Street,Lincoln Road,,Beechwood Road,The School Drive,Chester Road,Huntingtree Road,Old Park Road,Hillcrest Road,Upper Church Lane,Mere Green Road,Irwin Avenue,,Rowallan Road,Beaufort Way,Cheswick Way,Norton Road,Farmhouse Way,Wingfield Road,Manor Road,,,,,,,,,,,,School address (1)
1072,KS2_19,ADDRESS2,,,,,Wythall,,,,,,Curdworth,,Hasbury,,,,,Pleck,,,,,,,,Off Buffery Road,Netherton,,,,,,Rednal,,,Aldridge,Shirley,,Shirley,Coleshill,,,,,,,,,,,,,School address (2)
1073,KS2_19,ADDRESS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School address (3)
1074,KS2_19,TOWN,Tipton,,,Tipton,Birmingham,,Birmingham,,Tipton,,Sutton Coldfield,,Halesowen,Walsall,,,Wednesbury,Walsall,Cradley Heath,Tipton,Dudley,Cradley Heath,Walsall,,Dudley,Dudley,Dudley,Halesowen,Wednesbury,Dudley,Tipton,Sutton Coldfield,Birmingham,,Sutton Coldfield,Walsall,Solihull,Coleshill,Solihull,Birmingham,Tipton,,,,,,,,,,,,School town
1075,KS2_19,PCODE,DY4 8UH,,,DY4 0DS,B47 6EQ,,B45 9PB,,DY4 0RN,,B76 9HF,,B63 4QD,WS1 2LP,,,WS10 7PZ,WS2 9BP,B64 7LT,DY4 0QS,DY2 7HP,B64 6EZ,WS1 2DZ,,DY2 7QA,DY2 8EH,DY2 9RZ,B63 4HY,WS10 9LX,DY2 7PW,DY4 9PF,B75 5BL,B45 8QY,,B75 6RE,WS9 0HJ,B90 4HG,B46 1ES,B90 4EH,B46 3LL,DY4 8PR,,,,,,,,,,,,School postcode
1076,KS2_19,TELNUM,1215571511,,,1215560445,1564823495,,1217160444,,1215578733,,1675470379,,1384818660,1922720921,,,1215560114,1922720812,1384567830,1215222598,1384818700,1384569333,1922449104,,1384816715,1384818425,1384818415,1384818650,1215262669,1384818925,1215573282,1213081384,1214532520,,1216753966,1922743498,1564703336,1675462312,1217052686,1675463672,1215579242,,,,,,,,,,,,School telephone number 
1077,KS2_19,PCON_CODE,E14001030,,,E14001030,E14000605,,E14000565,,E14001030,,E14000854,,E14000722,E14001012,,,E14001030,E14001012,E14000722,E14001030,E14000671,E14000722,E14001012,,E14000671,E14000671,E14000976,E14000722,E14001030,E14000671,E14001030,E14000985,E14000565,,E14000985,E14000531,E14000812,E14000854,E14000812,E14000854,E14001030,,,,,,,,,,,,School parliamentary constituency code
1078,KS2_19,PCON_NAME,West Bromwich West,,,West Bromwich West,Bromsgrove,,"Birmingham, Northfield",,West Bromwich West,,North Warwickshire,,Halesowen and Rowley Regis,Walsall South,,,West Bromwich West,Walsall South,Halesowen and Rowley Regis,West Bromwich West,Dudley North,Halesowen and Rowley Regis,Walsall South,,Dudley North,Dudley North,Stourbridge,Halesowen and Rowley Regis,West Bromwich West,Dudley North,West Bromwich West,Sutton Coldfield,"Birmingham, Northfield",,Sutton Coldfield,Aldridge-Brownhills,Meriden,North Warwickshire,Meriden,North Warwickshire,West Bromwich West,,,,,,,,,,,,School parliamentary constituency name
1079,KS2_19,URN_AC,0,,,0,0,,146696,,0,,146457,,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,Converter academy: URN 
1080,KS2_19,SCHNAME_AC,,,,,,,Colmers Farm Primary School,,,,Curdworth Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: name
1081,KS2_19,OPEN_AC,,,,,,,20190401,,,,20181101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Converter academy: open date
1082,KS2_19,NFTYPE,CY,,,ACC,CY,,CY,,CY,,CY,,VC,VA,,,AC,CY,ACC,ACC,ACC,ACC,CY,,AC,ACC,ACC,CY,FD,ACC,ACC,ACC,CY,,FD,CY,CY,CY,CY,ACC,CY,,,,,,,,,,,,"School type. Rectype 1: AC = Academy Sponsor Led (NFTYPE 20), CY = Community school (21), VA = Voluntary Aided school (22), VC = Voluntary Controlled school (23), FD = Foundation school (24), CTC = City Technology College (25), ACC = Academy converter (51), F = Free school (52). Rectype 2: CYS = Community special (26), FDS = Foundation special (27), ACS = Academy special (50), FS = Free Special School (53), ACCS = Academy Converter Special (55)."
1083,KS2_19,ICLOSE,0,,,0,0,,0,,0,,0,,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,"Closed Flag: 0 (Open), 1 (Closed) or 'null'"
1084,KS2_19,RELDENOM,Does not apply,,,Does not apply,Does not apply,,Does not apply,,Does not apply,,Does not apply,,Church of England,Church of England,,,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,,Church of England,Does not apply,Does not apply,Does not apply,Does not apply,Roman Catholic,Does not apply,Does not apply,Does not apply,,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Church of England,Does not apply,,,,,,,,,,,,Religious denomination
1085,KS2_19,AGERANGE,3 to 11,,,7 to 11,3 to 11,,4 to 11,,3 to 11,,4 to 11,,2 to 11,7 to 11,,,3 to 11,3 to 11,3 to 11,2 to 11,3 to 11,4 to 11,2 to 11,,4 to 11,3 to 11,3 to 11,3 to 11,3 to 11,3 to 11,3 to 11,3 to 11,7 to 11,,5 to 11,3 to 11,3 to 11,4 to 11,2 to 11,5 to 11,7 to 11,,,,,,,,,,,,Age range
1086,KS2_19,CONFEXAM,R,,,,R,,,,,,,,,,,,,,R,R,,,,,,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,Confirmation flag that core performance information has been checked: R=No confirmation received from schools WITH RESULTS; Blank = Confirmed (or schools have no KS2)
1087,KS2_19,TAB15,0,,,0,0,,0,,0,,0,,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,School published in secondary school (key stage 4) performance tables: 1=Yes; 0=No
1088,KS2_19,TAB1618,0,,,0,0,,0,,0,,0,,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,School published in school and college (key stage 5) performance tables: 1=Yes; 0=No
1089,KS2_19,TOTPUPS,342,,,255,312,,406,,453,,117,,271,360,,,220,696,254,214,458,239,441,,191,645,478,456,516,253,812,391,351,,268,239,265,90,673,399,361,,,,,,,,,,4602440,,Total number of pupils (including part-time pupils): NEW' =New school with no eligible pupils
1090,KS2_19,TPUPYEAR,31,,,63,45,,62,,60,,16,,30,90,,,30,88,30,28,60,34,60,,31,61,61,60,58,33,113,33,88,,31,31,31,0,90,57,92,,,,,,,,,,643616,,Number of pupils aged 11 
1091,KS2_19,TELIG,31,,,64,45,,62,,60,,16,,29,90,,,30,87,30,27,61,34,59,,28,61,61,60,59,32,114,33,88,,31,31,31,,90,57,90,,,,,,,,,,644967,,Published eligible pupil number
1092,KS2_19,BELIG,18,,,29,29,,27,,34,,5,,17,48,,,15,43,17,12,34,15,34,,11,31,30,27,30,20,62,16,40,,13,15,10,,47,29,43,,,,,,,,,,329113,,Eligible boys on school roll at time of tests
1093,KS2_19,GELIG,13,,,35,16,,35,,26,,11,,12,42,,,15,44,13,15,27,19,25,,17,30,31,33,29,12,52,17,48,,18,16,21,,43,28,47,,,,,,,,,,315849,,Eligible girls on school roll at time of tests
1094,KS2_19,PBELIG,58%,,,45%,64%,,44%,,57%,,31%,,59%,53%,,,50%,49%,57%,44%,56%,44%,58%,,39%,51%,49%,45%,51%,63%,54%,48%,45%,,42%,48%,32%,,52%,51%,48%,,,,,,,,,,51%,,Percentage of eligible boys on school roll at time of tests
1095,KS2_19,PGELIG,42%,,,55%,36%,,56%,,43%,,69%,,41%,47%,,,50%,51%,43%,56%,44%,56%,42%,,61%,49%,51%,55%,49%,38%,46%,52%,55%,,58%,52%,68%,,48%,49%,52%,,,,,,,,,,49%,,Percentage of eligible girls on school roll at time of tests
1096,KS2_19,TKS1AVERAGE,13.2,,,17.1,16.3,,16.4,,16.3,,16.7,,16.7,15.8,,,15.3,15,16.8,14.7,15.7,17.3,14,,14.1,15.4,16.1,16.7,16.3,16.3,15.1,17,15.7,,18.4,16,17.5,,16.5,17.7,16,,,,,,,,,,16.2,,Cohort level key stage 1 average points score
1097,KS2_19,TKS1GROUP_L,8,,,3,3,,6,,1,,1,,3,6,,,4,9,1,4,9,2,10,,5,8,7,2,5,3,21,2,8,,0,3,1,,7,1,8,,,,,,,,,,53959,,Number of pupils in cohort with low KS1 attainment
1098,KS2_19,PTKS1GROUP_L,29%,,,5%,7%,,10%,,2%,,7%,,10%,7%,,,14%,11%,3%,17%,15%,6%,19%,,18%,14%,11%,3%,9%,9%,19%,7%,9%,,0%,10%,3%,,8%,2%,10%,,,,,,,,,,9%,,Percentage of pupils in cohort with low KS1 attainment
1099,KS2_19,TKS1GROUP_M,16,,,35,27,,30,,44,,7,,14,56,,,18,56,16,14,35,15,40,,19,37,34,35,34,20,59,18,55,,14,16,15,,46,26,51,,,,,,,,,,350287,,Number of pupils in cohort with medium KS1 attainment
1100,KS2_19,PTKS1GROUP_M,57%,,,55%,60%,,49%,,75%,,47%,,48%,64%,,,62%,68%,53%,61%,59%,45%,74%,,68%,65%,56%,59%,59%,63%,55%,60%,63%,,47%,55%,52%,,55%,46%,61%,,,,,,,,,,57%,,Percentage of pupils in cohort with medium KS1 attainment
1101,KS2_19,TKS1GROUP_H,4,,,26,15,,25,,14,,7,,12,25,,,7,17,13,5,15,16,4,,4,12,20,22,19,9,28,10,24,,16,10,13,,31,30,25,,,,,,,,,,209272,,Number of pupils in cohort high KS1 attainment
1102,KS2_19,PTKS1GROUP_H,14%,,,41%,33%,,41%,,24%,,47%,,41%,29%,,,24%,21%,43%,22%,25%,48%,7%,,14%,21%,33%,37%,33%,28%,26%,33%,28%,,53%,34%,45%,,37%,53%,30%,,,,,,,,,,34%,,Percentage of pupils in cohort with high KS1 attainment
1103,KS2_19,TKS1GROUP_NA,3,,,0,0,,1,,1,,1,,0,3,,,1,5,0,4,2,1,5,,0,4,0,1,1,0,6,3,1,,1,2,2,,6,0,6,,,,,,,,,,31449,,No. of pupils in KS1 group not calculable
1104,KS2_19,PTKS1GROUP_NA,10%,,,0%,0%,,2%,,2%,,6%,,0%,3%,,,3%,6%,0%,15%,3%,3%,8%,,0%,7%,0%,2%,2%,0%,5%,9%,1%,,3%,6%,6%,,7%,0%,7%,,,,,,,,,,5%,,Percentage of pupils in KS1group not calculable
1105,KS2_19,TFSM6CLA1A,16,,,25,7,,31,,23,,2,,6,33,,,17,38,9,18,32,12,21,,17,31,32,21,21,11,53,11,53,,2,9,2,,19,9,34,,,,,,,,,,197488,,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
